,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sadie Jane Ryan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1121003962,10.1101/769604,,,Mosquito species and age influence thermal performance of traits relevant to malaria transmission,bioRxiv,,,9/14/19,2019,,,769604,"All OA; Green, Accepted & Submitted",Preprint,"Miazgowicz, KL; Mordecai, EA; Ryan, SJ; Hall, RJ; Owen, J; Adanlawo, T; Balaji, K; Murdock, CC",,"Miazgowicz, KL (); Mordecai, EA (Stanford University); Ryan, SJ (University of Florida; University of KwaZulu-Natal); Hall, RJ (); Owen, J (); Adanlawo, T (); Balaji, K (); Murdock, CC ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121003962,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
11,100,pub.1120925831,10.1101/759860,,,Understanding the effect of temperature on Bluetongue disease risk in livestock,bioRxiv,,,9/8/19,2019,,,759860,"All OA; Green, Accepted & Submitted",Preprint,"Moustaid, Fadoua El; Thronton, Zorian; Slamani, Hani; Ryan, Sadie J.; Johnson, Leah R.",,"Moustaid, Fadoua El (); Thronton, Zorian (); Slamani, Hani (); Ryan, Sadie J. (University of Florida); Johnson, Leah R. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120925831,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
12,100,pub.1120280154,10.1101/732644,,,Intersecting vulnerabilities: Climatic and demographic contributions to future population exposure to Aedes-borne viruses in the United States,bioRxiv,,,8/12/19,2019,,,732644,"All OA; Green, Accepted & Submitted",Preprint,"Rohat, Guillaume; Monaghan, Andrew; Hayden, Mary H.; Ryan, Sadie J.; Wilhelmi, Olga",,"Rohat, Guillaume (University of Geneva; University of Twente); Monaghan, Andrew (University of Colorado Boulder); Hayden, Mary H. (); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Wilhelmi, Olga ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120280154,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
13,500,pub.1117154686,10.1097/olq.0000000000001000,31192890,,Sexual Risk Factors and Human Immunodeficiency Virus Testing Intention Among At-Risk College Students Who Have Never Been Tested.,Sexually Transmitted Diseases,,,2019-07,2019,46,7,e76-e79,Closed,Article,"James, Tyler G; Cheong, JeeWon; Ryan, Sadie J",,"James, Tyler G (); Cheong, JeeWon (); Ryan, Sadie J (University of Florida)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117154686,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
14,500,pub.1116997337,10.1007/s00436-019-06351-5,31177405,,"Gastrointestinal parasites of the New England cottontail rabbit (Sylvilagus transitionalis) and eastern cottontail rabbit (Sylvilagus floridanus) in the Hudson Valley, New York",Parasitology Research,,"Animals; Coccidiosis; Eimeria; Environment; Feces; Female; Geography; Intestinal Diseases, Parasitic; Microsatellite Repeats; New York; Ovum; Parasites; Population Dynamics; Rabbits; Surveys and Questionnaires; Sympatry",2019-07,2019,118,7,2257-2262,Closed,Article,"Whipps, Christopher M.; Gavard, Emily J.; Cohen, Jonathan; Ryan, Sadie J.","Whipps, Christopher M.","Whipps, Christopher M. (SUNY College of Environmental Science and Forestry); Gavard, Emily J. (SUNY College of Environmental Science and Forestry); Cohen, Jonathan (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry; University of Florida)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1116997337,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
15,500,pub.1112859816,10.1097/olq.0000000000001000,30882719,,Sexual risk factors and HIV testing intention among at-risk college students who have never been tested.,Sexually Transmitted Diseases,,,2019-07,2019,46,7,e76-e79,Closed,Article,"James, Tyler G; Cheong, JeeWon; Ryan, Sadie J",,"James, Tyler G (University of Florida); Cheong, JeeWon (); Ryan, Sadie J ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112859816,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
16,100,pub.1117693823,10.1111/1365-2664.13455,,,Predicting the fundamental thermal niche of crop pests and diseases in a changing world: A case study on citrus greening,Journal of Applied Ecology,,,2019-07,2019,56,8,2057-2068,All OA; Gold,Article,"Taylor, Rachel A.; Ryan, Sadie J.; Lippi, Catherine A.; Hall, David G.; Narouei‐Khandan, Hossein A.; Rohr, Jason R.; Johnson, Leah R.",,"Taylor, Rachel A. (University of South Florida; Animal and Plant Health Agency); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Lippi, Catherine A. (University of Florida); Hall, David G. (); Narouei‐Khandan, Hossein A. (University of Florida); Rohr, Jason R. (University of South Florida; University of Notre Dame); Johnson, Leah R. (Virginia Tech)",1,1,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.13455,https://app.dimensions.ai/details/publication/pub.1117693823,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
17,500,pub.1117025570,10.1371/journal.pntd.0007448,31181073,PMC6586360,Seasonal and geographic variation in insecticide resistance in Aedes aegypti in southern Ecuador,PLoS Neglected Tropical Diseases,,Aedes; Animals; Biological Assay; Cities; Ecuador; Gene Frequency; Genotype; Genotyping Techniques; Insecticide Resistance; Longitudinal Studies; Mosquito Vectors; Seasons,6/10/19,2019,13,6,e0007448,All OA; Gold,Article,"Ryan, Sadie J.; Mundis, Stephanie J.; Aguirre, Alex; Lippi, Catherine A.; Beltrán, Efraín; Heras, Froilán; Sanchez, Valeria; Borbor-Cordova, Mercy J.; Sippy, Rachel; Stewart-Ibarra, Anna M.; Neira, Marco",,"Ryan, Sadie J. (University of Florida); Mundis, Stephanie J. (University of Florida); Aguirre, Alex (Pontifical Catholic University of Ecuador); Lippi, Catherine A. (University of Florida); Beltrán, Efraín (Universidad Tecnica de Machala); Heras, Froilán (SUNY Upstate Medical University); Sanchez, Valeria (SUNY Upstate Medical University); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); Sippy, Rachel (University of Florida; SUNY Upstate Medical University); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Neira, Marco (Pontifical Catholic University of Ecuador)",2,2,,,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0007448&type=printable,https://app.dimensions.ai/details/publication/pub.1117025570,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
18,100,pub.1111326433,10.1139/cjz-2018-0277,,,Determinants of home-range size of imperiled New England cottontails (Sylvilagus transitionalis) and introduced eastern cottontails (Sylvilagus floridanus),Canadian Journal of Zoology,,,2019-06,2019,97,6,516-523,"All OA; Green, Accepted & Submitted",Article,"Cheeseman, Amanda E.; Cohen, Jonathan B.; Ryan, Sadie J.; Whipps, Christopher M.",,"Cheeseman, Amanda E. (SUNY College of Environmental Science and Forestry); Cohen, Jonathan B. (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (University of Florida); Whipps, Christopher M. (SUNY College of Environmental Science and Forestry)",1,1,,,https://tspace.library.utoronto.ca/bitstream/1807/94899/1/cjz-2018-0277.pdf,https://app.dimensions.ai/details/publication/pub.1111326433,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,100,pub.1115559663,10.1101/647206,,,Severity Index for Suspected Arbovirus (SISA): machine learning for accurate prediction of hospitalization in subjects suspected of arboviral infection,bioRxiv,,,5/24/19,2019,,,647206,"All OA; Green, Published",Preprint,"Sippy, Rachel; Farrell, Daniel F; Lichtenstein, Daniel; Nightingale, Ryan; Harris, Megan; Toth, Joseph; Hantztidiamantis, Paris; Usher, Nicholas; Cueva, Cinthya; Aguilar, Julio Barzallo; Puthumana, Anthony; Endy, Timothy; Ryan, Sadie J.; Ibarra, Anna M. Stewart",,"Sippy, Rachel (SUNY Upstate Medical University; University of Florida); Farrell, Daniel F (SUNY Upstate Medical University); Lichtenstein, Daniel (SUNY Upstate Medical University); Nightingale, Ryan (SUNY Upstate Medical University); Harris, Megan (SUNY Upstate Medical University); Toth, Joseph (SUNY Upstate Medical University); Hantztidiamantis, Paris (SUNY Upstate Medical University); Usher, Nicholas (Cornell University); Cueva, Cinthya (SUNY Upstate Medical University); Aguilar, Julio Barzallo (); Puthumana, Anthony (SUNY Upstate Medical University); Endy, Timothy (SUNY Upstate Medical University); Ryan, Sadie J. (University of Florida); Ibarra, Anna M. Stewart (SUNY Upstate Medical University)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/05/28/647206.full.pdf,https://app.dimensions.ai/details/publication/pub.1115559663,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
20,500,pub.1113531376,10.1371/journal.pntd.0007322,30995228,PMC6488096,Geographic shifts in Aedes aegypti habitat suitability in Ecuador using larval surveillance data and ecological niche modeling: Implications of climate change for public health vector control,PLoS Neglected Tropical Diseases,,"Aedes; Animals; Arboviruses; Climate Change; Ecosystem; Ecuador; Larva; Models, Biological; Mosquito Vectors",4/17/19,2019,13,4,e0007322,All OA; Gold,Article,"Lippi, Catherine A.; Stewart-Ibarra, Anna M.; Loor, M. E. Franklin Bajaña; Zambrano, Jose E. Dueñas; Lopez, Nelson A. Espinoza; Blackburn, Jason K.; Ryan, Sadie J.",,"Lippi, Catherine A. (University of Florida); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Loor, M. E. Franklin Bajaña (); Zambrano, Jose E. Dueñas (); Lopez, Nelson A. Espinoza (); Blackburn, Jason K. (University of Florida); Ryan, Sadie J. (University of Florida)",1,1,,,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0007322&type=printable,https://app.dimensions.ai/details/publication/pub.1113531376,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
21,500,pub.1111773559,10.3201/eid2504.181355,30698522,PMC6433012,"Ahead of Print - Effects of Political Instability in Venezuela on Malaria Resurgence at Ecuador–Peru Border, 2018 - Volume 25, Number 4—April 2019 - Emerging Infectious Diseases journal - CDC",Emerging Infectious Diseases,,,2019-04,2019,25,4,834-836,All OA; Gold,Article,"Jaramillo-Ochoa, Robinson; Sippy, Rachel; Farrell, Daniel F; Cueva-Aponte, Cinthya; Beltrán-Ayala, Efraín; Gonzaga, Jose L; Ordoñez-León, Tania; Quintana, Fernando A; Ryan, Sadie J; Stewart-Ibarra, Anna M",,"Jaramillo-Ochoa, Robinson (); Sippy, Rachel (); Farrell, Daniel F (); Cueva-Aponte, Cinthya (); Beltrán-Ayala, Efraín (); Gonzaga, Jose L (); Ordoñez-León, Tania (); Quintana, Fernando A (); Ryan, Sadie J (); Stewart-Ibarra, Anna M ()",8,8,,,https://doi.org/10.3201/eid2504.181355,https://app.dimensions.ai/details/publication/pub.1111773559,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
22,500,pub.1113054902,10.1371/journal.pntd.0007213,30921321,PMC6438455,Global expansion and redistribution of Aedes-borne virus transmission risk with climate change,PLoS Neglected Tropical Diseases,,"Aedes; Animals; Climate Change; Disease Transmission, Infectious; Global Health; Humans; Mosquito Vectors; Risk Assessment; Temperature; Virus Diseases",3/28/19,2019,13,3,e0007213,All OA; Gold,Article,"Ryan, Sadie J.; Carlson, Colin J.; Mordecai, Erin A.; Johnson, Leah R.",,"Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Carlson, Colin J. (Georgetown University; National Socio-Environmental Synthesis Center); Mordecai, Erin A. (Stanford University); Johnson, Leah R. (Virginia Tech)",18,18,,,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0007213&type=printable,https://app.dimensions.ai/details/publication/pub.1113054902,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
23,100,pub.1112982537,10.1101/587188,,,Co-developing climate services for public health: stakeholder needs and perceptions for the prevention and control of Aedes-transmitted diseases in the Caribbean.,bioRxiv,,,3/25/19,2019,,,587188,"All OA; Green, Published",Preprint,"Stewart-Ibarra, Anna M.; Romero, Moory; Hinds, Avery Q. J.; Lowe, Rachel; Mahon, Roche; Van Meerbeeck, Cedric J.; Rollock, Leslie; Hillaire, Marquita Gittens-St.; St. Ville, Sylvester; Ryan, Sadie J.; Trotman, Adrian R.; Borbor-Cordova, Mercy J.",,"Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Romero, Moory (); Hinds, Avery Q. J. (Caribbean Public Health Agency); Lowe, Rachel (London School of Hygiene & Tropical Medicine); Mahon, Roche (); Van Meerbeeck, Cedric J. (); Rollock, Leslie (); Hillaire, Marquita Gittens-St. (); St. Ville, Sylvester (); Ryan, Sadie J. (University of Florida); Trotman, Adrian R. (); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/03/25/587188.full.pdf,https://app.dimensions.ai/details/publication/pub.1112982537,1605 Policy and Administration; 1117 Public Health and Health Services; 11 Medical and Health Sciences; 16 Studies in Human Society,1605 Policy and Administration,1117 Public Health and Health Services,11 Medical and Health Sciences,16 Studies in Human Society,
24,500,pub.1112845174,10.3390/ijerph16060954,30884913,PMC6466347,"Modeling R0 for Pathogens with Environmental Transmission: Animal Movements, Pathogen Populations, and Local Infectious Zones",International Journal of Environmental Research and Public Health,,"Animal Migration; Animals; Communicable Diseases; Disease Outbreaks; Humans; Models, Biological",3/17/19,2019,16,6,954,All OA; Gold,Article,"Blackburn, Jason K; Ganz, Holly H; Ponciano, José Miguel; Turner, Wendy C; Ryan, Sadie J; Kamath, Pauline; Cizauskas, Carrie; Kausrud, Kyrre; Holt, Robert D; Stenseth, Nils Chr; Getz, Wayne M",,"Blackburn, Jason K (University of Florida); Ganz, Holly H (University of California, Davis); Ponciano, José Miguel (University of Florida); Turner, Wendy C (State University of New York Polytechnic Institute); Ryan, Sadie J (University of Florida; University of KwaZulu-Natal); Kamath, Pauline (University of Maine); Cizauskas, Carrie (University of California, Berkeley); Kausrud, Kyrre (); Holt, Robert D (University of Florida); Stenseth, Nils Chr (); Getz, Wayne M (University of Maine; University of KwaZulu-Natal)",2,2,,,https://www.mdpi.com/1660-4601/16/6/954/pdf,https://app.dimensions.ai/details/publication/pub.1112845174,0605 Microbiology; 11 Medical and Health Sciences; 1108 Medical Microbiology; 06 Biological Sciences,0605 Microbiology,11 Medical and Health Sciences,1108 Medical Microbiology,06 Biological Sciences,
25,500,pub.1112395401,10.3390/ijerph16050682,30813558,PMC6427784,"Socio-Ecological Factors Associated with Dengue Risk and Aedes aegypti Presence in the Galápagos Islands, Ecuador",International Journal of Environmental Research and Public Health,,Aedes; Animals; Dengue; Ecuador; Humans; Larva; Mosquito Vectors; Pilot Projects; Risk Factors; Social Environment; Socioeconomic Factors,2/26/19,2019,16,5,682,All OA; Gold,Article,"Ryan, Sadie J.; Lippi, Catherine A.; Nightingale, Ryan; Hamerlinck, Gabriela; Borbor-Cordova, Mercy J.; B, Marilyn Cruz; Ortega, Fernando; Leon, Renato; Waggoner, Egan; Stewart-Ibarra, Anna M.",,"Ryan, Sadie J. (University of Florida); Lippi, Catherine A. (University of Florida); Nightingale, Ryan (SUNY Upstate Medical University); Hamerlinck, Gabriela (University of Florida); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); B, Marilyn Cruz (); Ortega, Fernando (Universidad San Francisco de Quito); Leon, Renato (Universidad San Francisco de Quito); Waggoner, Egan (SUNY Upstate Medical University); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University)",1,1,,,https://www.mdpi.com/1660-4601/16/5/682/pdf,https://app.dimensions.ai/details/publication/pub.1112395401,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
