,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jamison H Steidl. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1025891319,10.1785/0120070030,,,Site Amplification and Attenuation via Downhole Array Seismogram Inversion: A Comparative Study of the 2003 Miyagi-Oki Aftershock SequenceSite Amplification and Attenuation via Downhole Array Seismogram Inversion,Bulletin of the Seismological Society of America,,,2008-02-01,2008,98,1,301-330,"All OA; Green, Accepted & Submitted",Article,"Assimaki, Dominic; Li, Wei; Steidl, Jamison H.; Tsuda, Kenichi",,"Assimaki, Dominic (Georgia Institute of Technology); Li, Wei (Georgia Institute of Technology); Steidl, Jamison H. (University of California, Santa Barbara); Tsuda, Kenichi (University of California, Santa Barbara)",53,9,,7.28,https://authors.library.caltech.edu/49033/1/Assimaki%20et%20al.%20-%202008%20-%20Site%20Amplification%20and%20Attenuation%20via%20Downhole%20Array%20Seismogram%20Inversion%20A%20Comparative%20Study%20of%20the%202003%20Miya.pdf,https://app.dimensions.ai/details/publication/pub.1025891319,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
11,100,pub.1020602907,10.1186/bf03352667,,,Nonlinear site response from the 2003 and 2005 Miyagi-Oki earthquakes,"Earth, Planets and Space",,,2006-12,2006,58,12,1593-1597,All OA; Gold,Article,"Tsuda, Kenichi; Steidl, Jamison","Tsuda, Kenichi","Tsuda, Kenichi (University of California, Santa Barbara); Steidl, Jamison (University of California, Santa Barbara)",3,0,,0.36,https://earth-planets-space.springeropen.com/track/pdf/10.1186/BF03352667,https://app.dimensions.ai/details/publication/pub.1020602907,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,200,pub.1039326023,10.1785/gssrl.77.6.651,,,The COSMOS Virtual Data Center: A Web Portal for Strong Motion Data Dissemination,Seismological Research Letters,,,2006-11-01,2006,77,6,651-658,Closed,Article,"Archuleta, Ralph J.; Steidl, Jamison; Squibb, Melinda",,"Archuleta, Ralph J. (University of California, Santa Barbara); Steidl, Jamison (University of California, Santa Barbara); Squibb, Melinda (University of California, Santa Barbara)",11,2,,1.37,,https://app.dimensions.ai/details/publication/pub.1039326023,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
13,100,pub.1046349183,10.1785/0120050160,,,Site-Response Estimation for the 2003 Miyagi-Oki Earthquake Sequence Considering Nonlinear Site Response,Bulletin of the Seismological Society of America,,,2006-08-01,2006,96,4A,1474-1482,Closed,Article,"Tsuda, Kenichi; Steidl, Jamison; Archuleta, Ralph; Assimaki, Dominic",,"Tsuda, Kenichi (); Steidl, Jamison (University of California, Santa Barbara); Archuleta, Ralph (); Assimaki, Dominic ()",30,2,,3.74,,https://app.dimensions.ai/details/publication/pub.1046349183,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
14,200,pub.1098704867,10.1061/40803(187)139,,,A Hybrid Optimization Algorithm for Downhole Seismogram Inversion: Theory and Applications,,GeoCongress 2006,,2006-02-21,2006,,,1-4,Closed,Proceeding,"Assimaki, Dominic; Steidl, Jamison H.",,"Assimaki, Dominic (); Steidl, Jamison H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098704867,,,,,,
15,100,pub.1004942358,10.1007/s00024-005-0009-7,,,Attenuation and Velocity Structure for Site Response Analyses via Downhole Seismogram Inversion,Pure and Applied Geophysics,,,2006-01,2006,163,1,81-118,Closed,Article,"Assimaki, Dominic; Steidl, Jamison; Liu, Peng Cheng","Assimaki, Dominic","Assimaki, Dominic (Georgia Institute of Technology); Steidl, Jamison (University of California, Santa Barbara); Liu, Peng Cheng (University of California, Santa Barbara)",31,6,,3.86,,https://app.dimensions.ai/details/publication/pub.1004942358,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
16,100,pub.1048379267,10.1007/1-4020-3812-7_13,,,The Cosmos Virtual Data Center,Nato Science Series: IV: Earth and Environmental Sciences,Directions in Strong Motion Instrumentation,,2005,2005,58,,209-222,"All OA; Green, Accepted & Submitted",Chapter,"Archuleta, Ralph; Steidl, Jamison; Squibb, Melinda",,"Archuleta, Ralph (University of California, Santa Barbara); Steidl, Jamison (University of California, Santa Barbara); Squibb, Melinda (University of California, Santa Barbara)",2,0,,0.52,http://www.iitk.ac.in/nicee/wcee/article/13_1566.pdf,https://app.dimensions.ai/details/publication/pub.1048379267,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
17,200,pub.1098727910,10.1061/40744(154)69,,,Baseline Practices and User Needs for Web Dissemination of Geotechnical Data,,Geotechnical Engineering for Transportation Projects,,2004-07-21,2004,,,816-828,Closed,Proceeding,"Turner, Loren L.; Brown, Michael P.; Chambers, Dave; Davis, Craig A.; Diehl, John; Hitchcock, Christopher S.; Holzer, Thomas L.; Nigbor, Robert L.; Plumb, Clifford; Real, Chuck; Reimer, Michael; Steidl, Jamison H.; Sun, Joseph I.; Tinsley, John C.; Vaughn, Diane",,"Turner, Loren L. (); Brown, Michael P. (); Chambers, Dave (); Davis, Craig A. (); Diehl, John (); Hitchcock, Christopher S. (); Holzer, Thomas L. (); Nigbor, Robert L. (); Plumb, Clifford (); Real, Chuck (); Reimer, Michael (); Steidl, Jamison H. (); Sun, Joseph I. (); Tinsley, John C. (); Vaughn, Diane ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098727910,,,,,,
18,200,pub.1098727738,10.1061/40744(154)156,,,Permanently Instrumented Field Sites in NEES: A Resource for Future Geotechnical Research,,Geotechnical Engineering for Transportation Projects,,2004-07-21,2004,,,1637-1644,Closed,Proceeding,"Nigbor, Robert L.; Steidl, Jamison H.; Youd, T. L.",,"Nigbor, Robert L. (); Steidl, Jamison H. (); Youd, T. L. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1098727738,,,,,,
19,100,pub.1008017206,10.1016/s0031-9201(03)00013-x,,,Finite-fault site-specific acceleration time histories that include nonlinear soil response,Physics of The Earth and Planetary Interiors,,,2003-05,2003,137,1-4,153-181,Closed,Article,"Archuleta, Ralph J.; Liu, Pengcheng; Steidl, Jamison H.; Bonilla, L.Fabian; Lavallée, Daniel; Heuze, Francois","Archuleta, Ralph J.","Archuleta, Ralph J. (University of California, Santa Barbara); Liu, Pengcheng (University of California, Santa Barbara); Steidl, Jamison H. (University of California, Santa Barbara); Bonilla, L.Fabian (Radioprotection and Nuclear Safety Institute); Lavallée, Daniel (University of California, Santa Barbara); Heuze, Francois (Lawrence Livermore National Laboratory)",11,1,,1.32,,https://app.dimensions.ai/details/publication/pub.1008017206,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
20,100,pub.1026529144,10.1785/0120010235,,,"Borehole Response Studies at the Garner Valley Downhole Array, Southern California",Bulletin of the Seismological Society of America,,,2002-12-01,2002,92,8,3165-3179,Closed,Article,"Bonilla, Luis Fabián; Steidl, Jamison H.; Gariel, Jean-Christophe; Archuleta, Ralph J.",,"Bonilla, Luis Fabián (); Steidl, Jamison H. (); Gariel, Jean-Christophe (); Archuleta, Ralph J. ()",58,17,,8.62,,https://app.dimensions.ai/details/publication/pub.1026529144,0905 Civil Engineering; 09 Engineering; 04 Earth Sciences; 0404 Geophysics,0905 Civil Engineering,09 Engineering,04 Earth Sciences,0404 Geophysics,
21,100,pub.1053016476,10.1785/0120000504,,,Site Response in Southern California for Probabilistic Seismic Hazard Analysis,Bulletin of the Seismological Society of America,,,2000-12-01,2000,90,6B,s149-s169,Closed,Article,"Steidl, Jamison H.",,"Steidl, Jamison H. ()",56,13,,5.28,,https://app.dimensions.ai/details/publication/pub.1053016476,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,100,pub.1024063113,10.1785/0120000511,,,The SCEC Phase III Strong-Motion Database,Bulletin of the Seismological Society of America,,,2000-12-01,2000,90,6B,s113-s135,Closed,Article,"Steidl, Jamison H.; Lee, Yajie",,"Steidl, Jamison H. (); Lee, Yajie ()",14,0,,1.44,,https://app.dimensions.ai/details/publication/pub.1024063113,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
23,200,pub.1052868694,10.1193/1.1585784,,,Response to E. H. Field's “Discussion of `Variation of Site Response at the UCSB Dense Array of Portable Accelerometers”',Earthquake Spectra,,,1994-05,1994,10,2,457-460,Closed,Article,"Steidl, Jamison H.",,"Steidl, Jamison H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1052868694,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
24,100,pub.1035459476,10.1193/1.1585716,,,Variation of Site Response at the UCSB Dense Array of Portable Accelerometers,Earthquake Spectra,,,1993-05,1993,9,2,289-302,Closed,Article,"Steidl, Jamison H.",,"Steidl, Jamison H. ()",21,4,,,,https://app.dimensions.ai/details/publication/pub.1035459476,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
