,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Matthew G Jackson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1103805511,10.2138/am-2018-6192,,,The mantle source of thermal plumes: Trace and minor elements in olivine and major oxides of primitive liquids (and why the olivine compositions don’t matter),American Mineralogist,,,2018-08-01,2018,103,8,1253-1270,All OA; Gold,Article,"Putirka, Keith; Tao, Yan; Hari, K.R.; Perfit, Michael R.; Jackson, Matthew G.; Arevalo, Ricardo",,"Putirka, Keith (California State University, Fresno); Tao, Yan (Institute of Geochemistry); Hari, K.R. (Pandit Ravishankar Shukla University); Perfit, Michael R. (); Jackson, Matthew G. (University of California, Santa Barbara); Arevalo, Ricardo (Goddard Space Flight Center)",3,3,,,https://doi.org/10.2138/am-2018-6192,https://app.dimensions.ai/details/publication/pub.1103805511,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
11,100,pub.1101382860,10.1016/j.epsl.2018.02.040,,,Geochemical nature of sub-ridge mantle and opening dynamics of the South China Sea,Earth and Planetary Science Letters,,,2018-05,2018,489,Earth Planet. Sci. Lett. 238 1 2005,145-155,Closed,Article,"Zhang, Guo-Liang; Luo, Qing; Zhao, Jian; Jackson, Matthew G.; Guo, Li-Shuang; Zhong, Li-Feng","Zhang, Guo-Liang","Zhang, Guo-Liang (Institute of Oceanology; Qingdao National Laboratory for Marine Science and Technology); Luo, Qing (Institute of Oceanology); Zhao, Jian (University of Queensland); Jackson, Matthew G. (University of California, Santa Barbara); Guo, Li-Shuang (China Earthquake Administration); Zhong, Li-Feng (Sun Yat-sen University)",17,17,,,,https://app.dimensions.ai/details/publication/pub.1101382860,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
12,100,pub.1099923920,10.1016/j.epsl.2017.12.017,,,Tracking Hadean processes in modern basalts with 142-Neodymium,Earth and Planetary Science Letters,,,2018-02,2018,484,Earth Planet. Sci. Lett. 66 1983,184-191,Closed,Article,"Horan, M.F.; Carlson, R.W.; Walker, R.J.; Jackson, M.; Garçon, M.; Norman, M.","Horan, M.F.","Horan, M.F. (); Carlson, R.W. (); Walker, R.J. (University of Maryland, College Park); Jackson, M. (University of California, Santa Barbara); Garçon, M. (Swiss Federal Institute of Technology in Zurich); Norman, M. (Australian National University)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1099923920,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
13,100,pub.1099909467,10.1016/j.epsl.2017.11.052,,,Evidence for a deep mantle source for EM and HIMU domains from integrated geochemical and geophysical constraints,Earth and Planetary Science Letters,,,2018-02,2018,484,Geochem. Geophys. Geosyst. 3 2002,154-167,Closed,Article,"Jackson, M.G.; Becker, T.W.; Konter, J.G.","Jackson, M.G.","Jackson, M.G. (University of California, Santa Barbara); Becker, T.W. (The University of Texas at Austin); Konter, J.G. (University of Hawaii at Manoa)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1099909467,0404 Geophysics; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0404 Geophysics,04 Earth Sciences,0403 Geology,0402 Geochemistry,
14,100,pub.1084065297,10.1016/j.chemgeo.2017.03.024,,,"Geochemical systematics of Pb isotopes, fluorine, and sulfur in melt inclusions from São Miguel, Azores",Chemical Geology,,,2017-05,2017,458,Lithos 8 1975,22-37,Closed,Article,"Rose-Koga, E.F.; Koga, K.T.; Moreira, M.; Vlastelic, I.; Jackson, M.G.; Whitehouse, M.J.; Shimizu, N.; Habib, N.","Rose-Koga, E.F.","Rose-Koga, E.F. (Observatoire de Physique du Globe de Clermont-Ferrand); Koga, K.T. (Observatoire de Physique du Globe de Clermont-Ferrand); Moreira, M. (Paris Diderot University); Vlastelic, I. (Observatoire de Physique du Globe de Clermont-Ferrand); Jackson, M.G. (University of California, Santa Barbara); Whitehouse, M.J. (Swedish Museum of Natural History); Shimizu, N. (Woods Hole Oceanographic Institution); Habib, N. (University of Clermont Auvergne)",4,4,,1.43,,https://app.dimensions.ai/details/publication/pub.1084065297,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
15,500,pub.1084608070,10.1126/science.aal4179,28386009,,Tungsten-182 heterogeneity in modern ocean island basalts,Science,,,2017-04-07,2017,356,6333,66-69,All OA; Gold,Article,"Mundl, Andrea; Touboul, Mathieu; Jackson, Matthew G.; Day, James M. D.; Kurz, Mark D.; Lekic, Vedran; Helz, Rosalind T.; Walker, Richard J.",,"Mundl, Andrea (University of Maryland, College Park); Touboul, Mathieu (École Normale Supérieure de Lyon); Jackson, Matthew G. (University of California, Santa Barbara); Day, James M. D. (University of California, San Diego); Kurz, Mark D. (Woods Hole Oceanographic Institution); Lekic, Vedran (University of Maryland, College Park); Helz, Rosalind T. (United States Geological Survey); Walker, Richard J. (University of Maryland, College Park)",60,49,0.64,23.07,https://science.sciencemag.org/content/sci/356/6333/66.full.pdf,https://app.dimensions.ai/details/publication/pub.1084608070,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1029830376,10.1016/j.chemgeo.2016.10.038,,,"Geochemistry of lavas from the Caroline hotspot, Micronesia: Evidence for primitive and recycled components in the mantle sources of lavas with moderately elevated 3He/4He",Chemical Geology,,,2017-04,2017,455,,385-400,Closed,Article,"Jackson, M.G.; Price, A.A.; Blichert-Toft, J.; Kurz, M.D.; Reinhard, A.A.","Jackson, M.G.","Jackson, M.G. (University of California, Santa Barbara); Price, A.A. (University of California, Santa Barbara); Blichert-Toft, J. (Claude Bernard University Lyon 1); Kurz, M.D. (Woods Hole Oceanographic Institution); Reinhard, A.A. (University of California, Santa Barbara)",4,3,,1.43,,https://app.dimensions.ai/details/publication/pub.1029830376,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
17,100,pub.1084129175,10.1038/ngeo2902,,,Seawater cycled throughout Earth’s mantle in partially serpentinized lithosphere,Nature Geoscience,,,2017-03,2017,10,3,222-228,Closed,Article,"Kendrick, M. A.; Hémond, C.; Kamenetsky, V. S.; Danyushevsky, L.; Devey, C. W.; Rodemann, T.; Jackson, M. G.; Perfit, M. R.","Kendrick, M. A.","Kendrick, M. A. (Australian National University); Hémond, C. (European Institute for Marine Studies); Kamenetsky, V. S. (University of Tasmania); Danyushevsky, L. (University of Tasmania); Devey, C. W. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Rodemann, T. (University of Tasmania); Jackson, M. G. (University of California, Santa Barbara); Perfit, M. R. (University of Florida)",41,36,,14.65,,https://app.dimensions.ai/details/publication/pub.1084129175,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
18,100,pub.1083746076,10.1002/2016gc006651,,,Geodynamic implications for zonal and meridional isotopic patterns across the northern Lau and North Fiji Basins,Geochemistry Geophysics Geosystems,,,2017-03,2017,18,3,1013-1042,"All OA; Green, Published",Article,"Price, Allison A.; Jackson, Matthew G.; Blichert‐Toft, Janne; Kurz, Mark D.; Gill, Jim; Blusztajn, Jerzy; Jenner, Frances; Brens, Raul; Arculus, Richard",,"Price, Allison A. (University of California, Santa Barbara); Jackson, Matthew G. (University of California, Santa Barbara); Blichert‐Toft, Janne (Claude Bernard University Lyon 1); Kurz, Mark D. (Woods Hole Oceanographic Institution); Gill, Jim (University of California, Santa Cruz); Blusztajn, Jerzy (Woods Hole Oceanographic Institution); Jenner, Frances (The Open University); Brens, Raul (Macquarie University); Arculus, Richard (Australian National University)",2,2,,0.77,http://darchive.mblwhoilibrary.org/bitstream/1912/8979/1/Price_et_al-2017-Geochemistry%2c_Geophysics%2c_Geosystems.pdf,https://app.dimensions.ai/details/publication/pub.1083746076,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1074210976,10.1038/ngeo2877,,,Evolution of carbonated melt to alkali basalt in the South China Sea,Nature Geoscience,,,2017-03,2017,10,3,229-235,Closed,Article,"Zhang, Guo-Liang; Chen, Li-Hui; Jackson, Matthew G.; Hofmann, Albrecht W.","Zhang, Guo-Liang","Zhang, Guo-Liang (Institute of Oceanology; Qingdao National Laboratory for Marine Science and Technology; University of California, Santa Barbara); Chen, Li-Hui (Nanjing University); Jackson, Matthew G. (University of California, Santa Barbara); Hofmann, Albrecht W. (Max Planck Society)",33,29,,11.79,,https://app.dimensions.ai/details/publication/pub.1074210976,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
20,500,pub.1083550153,10.1038/nature21023,28166539,,Primordial helium entrained by the hottest mantle plumes,Nature,,,2017-02,2017,542,7641,340-343,Closed,Article,"Jackson, M. G.; Konter, J. G.; Becker, T.W.","Jackson, M. G.","Jackson, M. G. (University of California, Santa Barbara); Konter, J. G. (University of Hawaii at Manoa); Becker, T.W. (The University of Texas at Austin)",20,18,0.44,8.09,,https://app.dimensions.ai/details/publication/pub.1083550153,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
21,200,pub.1095874447,10.1130/abs/2017cd-293078,,,"THE TWO LONGEST-LIVED PACIFIC HOTSPOTS, DIVERGING SINCE 80 MA",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Konter, Jasper; Koppers, Anthony A.P.; Jackson, Matthew G.; Finlayson, Valerie; Konrad, Kevin",,"Konter, Jasper (); Koppers, Anthony A.P. (); Jackson, Matthew G. (); Finlayson, Valerie (); Konrad, Kevin ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1095874447,,,,,,
22,200,pub.1008083311,10.1073/pnas.1616346113,27810960,PMC5135363,Missing Archean sulfur returned from the mantle,Proceedings of the National Academy of Sciences,,Seawater; Sulfur; Sulfur Isotopes,2016-11-15,2016,113,46,12893-12895,All OA; Gold,Article,"Farquhar, James; Jackson, Matthew",,"Farquhar, James (University of Maryland, College Park); Jackson, Matthew (University of California, Santa Barbara)",4,4,0.06,,https://www.pnas.org/content/pnas/113/46/12893.full.pdf,https://app.dimensions.ai/details/publication/pub.1008083311,,,,,,
23,100,pub.1014891149,10.1016/j.chemgeo.2016.05.017,,,Extreme differences in 87Sr/86Sr between Samoan lavas and the magmatic olivines they host: Evidence for highly heterogeneous 87Sr/86Sr in the magmatic plumbing system sourcing a single lava,Chemical Geology,,,2016-11,2016,439,Science 319 2008,120-131,All OA; Gold,Article,"Reinhard, A.A.; Jackson, M.G.; Harvey, J.; Brown, C.R.; Koornneef, J.M.",,"Reinhard, A.A. (University of California, Santa Barbara); Jackson, M.G. (University of California, Santa Barbara); Harvey, J. (University of Leeds); Brown, C.R. (Stony Brook University); Koornneef, J.M. (VU University Amsterdam)",4,4,,0.99,https://manuscript.elsevier.com/S000925411630256X/pdf/S000925411630256X.pdf,https://app.dimensions.ai/details/publication/pub.1014891149,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
24,100,pub.1016078311,10.1016/j.gca.2016.06.008,,,Silicon isotopes reveal recycled altered oceanic crust in the mantle sources of Ocean Island Basalts,Geochimica et Cosmochimica Acta,,,2016-09,2016,189,,282-295,"All OA; Green, Accepted & Submitted",Article,"Pringle, Emily A.; Moynier, Frédéric; Savage, Paul S.; Jackson, Matthew G.; Moreira, Manuel; Day, James M.D.","Pringle, Emily A.","Pringle, Emily A. (Washington University in St. Louis); Moynier, Frédéric (Institut Universitaire de France); Savage, Paul S. (Durham University; University of St Andrews); Jackson, Matthew G. (University of California, Santa Barbara); Moreira, Manuel (); Day, James M.D. (Scripps Institution of Oceanography)",13,10,,3.2,https://research-repository.st-andrews.ac.uk/bitstream/10023/10979/1/Savage_2016_GCA_Basalts_AAM.pdf,https://app.dimensions.ai/details/publication/pub.1016078311,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
25,100,pub.1012902931,10.1016/j.epsl.2016.06.029,,,Unusual δ 56Fe values in Samoan rejuvenated lavas generated in the mantle,Earth and Planetary Science Letters,,,2016-09,2016,450,Earth Planet. Sci. Lett. 376 2013,221-232,Closed,Article,"Konter, Jasper G.; Pietruszka, Aaron J.; Hanan, Barry B.; Finlayson, Valerie A.; Craddock, Paul R.; Jackson, Matthew G.; Dauphas, Nicolas","Konter, Jasper G.","Konter, Jasper G. (University of Hawaii at Manoa; San Diego State University); Pietruszka, Aaron J. (San Diego State University; United States Geological Survey); Hanan, Barry B. (San Diego State University); Finlayson, Valerie A. (University of Hawaii at Manoa); Craddock, Paul R. (); Jackson, Matthew G. (University of California, Santa Barbara); Dauphas, Nicolas ()",13,8,,3.2,,https://app.dimensions.ai/details/publication/pub.1012902931,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
26,100,pub.1042553305,10.1016/j.gca.2016.02.011,,,Peridotite xenoliths from the Polynesian Austral and Samoa hotspots: Implications for the destruction of ancient 187Os and 142Nd isotopic domains and the preservation of Hadean 129Xe in the modern convecting mantle,Geochimica et Cosmochimica Acta,,,2016-07,2016,185,,21-43,All OA; Gold,Article,"Jackson, M.G.; Shirey, S.B.; Hauri, E.H.; Kurz, M.D.; Rizo, H.","Jackson, M.G.","Jackson, M.G. (University of California, Santa Barbara); Shirey, S.B. (Carnegie Institution for Science); Hauri, E.H. (Carnegie Institution for Science); Kurz, M.D. (Woods Hole Oceanographic Institution); Rizo, H. (University of Quebec at Montreal)",4,3,,0.99,https://manuscript.elsevier.com/S0016703716300485/pdf/S0016703716300485.pdf,https://app.dimensions.ai/details/publication/pub.1042553305,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
27,400,pub.1062667235,10.1126/science.aad8563,27174983,,Preservation of Earth-forming events in the tungsten isotopic composition of modern flood basalts,Science,,,2016-05-13,2016,352,6287,809-812,All OA; Gold,Article,"Rizo, Hanika; Walker, Richard J.; Carlson, Richard W.; Horan, Mary F.; Mukhopadhyay, Sujoy; Manthos, Vicky; Francis, Don; Jackson, Matthew G.",,"Rizo, Hanika (University of Quebec at Montreal); Walker, Richard J. (University of Maryland, College Park); Carlson, Richard W. (Carnegie Institution for Science); Horan, Mary F. (Carnegie Institution for Science); Mukhopadhyay, Sujoy (University of California, Davis); Manthos, Vicky (University of California, Davis); Francis, Don (McGill University); Jackson, Matthew G. (University of California, Santa Barbara)",72,42,0.83,17.74,https://science.sciencemag.org/content/sci/352/6287/809.full.pdf,https://app.dimensions.ai/details/publication/pub.1062667235,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
28,100,pub.1052699535,10.1002/2015gc006237,,,Geochemical evidence in the northeast Lau Basin for subduction of the Cook‐Austral volcanic chain in the Tonga Trench,Geochemistry Geophysics Geosystems,,,2016-05,2016,17,5,1694-1724,All OA; Gold,Article,"Price, Allison A.; Jackson, Matthew G.; Blichert‐Toft, Janne; Blusztajn, Jerzy; Conatser, Christopher S.; Konter, Jasper G.; Koppers, Anthony A.P.; Kurz, Mark D.",,"Price, Allison A. (); Jackson, Matthew G. (); Blichert‐Toft, Janne (); Blusztajn, Jerzy (Woods Hole Oceanographic Institution); Conatser, Christopher S. (Oregon State University); Konter, Jasper G. (University of Hawaii at Manoa); Koppers, Anthony A.P. (Oregon State University); Kurz, Mark D. ()",5,4,,1.23,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GC006237,https://app.dimensions.ai/details/publication/pub.1052699535,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
29,100,pub.1003188426,10.1016/j.gca.2015.12.027,,,Triple oxygen isotopic composition of the high-3He/4He mantle,Geochimica et Cosmochimica Acta,,,2016-03,2016,176,Chem. Geol. 145 1998,227-238,All OA; Gold,Article,"Starkey, N.A.; Jackson, C.R.M.; Greenwood, R.C.; Parman, S.; Franchi, I.A.; Jackson, M.; Fitton, J.G.; Stuart, F.M.; Kurz, M.; Larsen, L.M.","Starkey, N.A.","Starkey, N.A. (The Open University); Jackson, C.R.M. (Geophysical Laboratory); Greenwood, R.C. (The Open University); Parman, S. (Brown University); Franchi, I.A. (The Open University); Jackson, M. (University of California, Santa Barbara); Fitton, J.G. (); Stuart, F.M. (Scottish Universities Environmental Research Centre); Kurz, M. (Woods Hole Oceanographic Institution); Larsen, L.M. (Geological Survey of Denmark and Greenland)",15,10,,3.7,https://doi.org/10.1016/j.gca.2015.12.027,https://app.dimensions.ai/details/publication/pub.1003188426,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
