,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Norman B Nelson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,100,pub.1025048659,10.1016/j.dsr2.2010.02.013,,,Dissolved organic carbon export and subsequent remineralization in the mesopelagic and bathypelagic realms of the North Atlantic basin,Deep Sea Research Part II Topical Studies in Oceanography,,,2010-08,2010,57,16,1433-1445,Closed,Article,"Carlson, Craig A.; Hansell, Dennis A.; Nelson, Norman B.; Siegel, David A.; Smethie, William M.; Khatiwala, Samar; Meyers, Meredith M.; Halewood, Elisa","Carlson, Craig A.","Carlson, Craig A. (University of California, Santa Barbara); Hansell, Dennis A. (); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Smethie, William M. (Lamont-Doherty Earth Observatory); Khatiwala, Samar (Lamont-Doherty Earth Observatory); Meyers, Meredith M. (University of California, Santa Barbara); Halewood, Elisa (University of California, Santa Barbara)",146,33,,13.71,,https://app.dimensions.ai/details/publication/pub.1025048659,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
12,100,pub.1037313244,10.1029/2009gl042325,,,Tracing global biogeochemical cycles and meridional overturning circulation using chromophoric dissolved organic matter,Geophysical Research Letters,,,2010-02,2010,37,3,n/a-n/a,All OA; Gold,Article,"Nelson, Norman B.; Siegel, David A.; Carlson, Craig A.; Swan, Chantal M.",,"Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Swan, Chantal M. (University of California, Santa Barbara)",104,18,,9.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009GL042325,https://app.dimensions.ai/details/publication/pub.1037313244,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1027120208,10.5194/bg-7-57-2010,,,Increased ocean carbon export in the Sargasso Sea linked to climate variability is countered by its enhanced mesopelagic attenuation,Biogeosciences,,,1/5/10,2010,7,1,57-70,All OA; Gold,Article,"Lomas, M. W.; Steinberg, D. K.; Dickey, T.; Carlson, C. A.; Nelson, N. B.; Condon, R. H.; Bates, N. R.",,"Lomas, M. W. (Bermuda Institute of Ocean Sciences); Steinberg, D. K. (William & Mary); Dickey, T. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Condon, R. H. (Bermuda Institute of Ocean Sciences); Bates, N. R. (Bermuda Institute of Ocean Sciences)",86,12,,8.05,https://www.biogeosciences.net/7/57/2010/bg-7-57-2010.pdf,https://app.dimensions.ai/details/publication/pub.1027120208,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
14,100,pub.1034530732,10.1016/j.dsr.2009.09.002,,,Biogeochemical and hydrographic controls on chromophoric dissolved organic matter distribution in the Pacific Ocean,Deep Sea Research Part I Oceanographic Research Papers,,,2009-12,2009,56,12,2175-2192,Closed,Article,"Swan, Chantal M.; Siegel, David A.; Nelson, Norman B.; Carlson, Craig A.; Nasir, Elora","Swan, Chantal M.","Swan, Chantal M. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Nasir, Elora (University of California, Santa Barbara)",78,7,,6.25,,https://app.dimensions.ai/details/publication/pub.1034530732,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1026963944,10.5194/bgd-6-9547-2009,,,Increased ocean carbon export in the Sargasso Sea is countered by its enhanced mesopelagic attenuation,Biogeosciences Discussions,,,10/6/09,2009,6,5,9547-9582,All OA; Gold,Article,"Lomas, M. W.; Steinberg, D. K.; Dickey, T.; Carlson, C. A.; Nelson, N. B.; Condon, R. H.; Bates, N. R.",,"Lomas, M. W. (Bermuda Institute of Ocean Sciences); Steinberg, D. K. (William & Mary); Dickey, T. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Condon, R. H. (Bermuda Institute of Ocean Sciences); Bates, N. R. (Bermuda Institute of Ocean Sciences)",6,1,,0.48,https://doi.org/10.5194/bgd-6-9547-2009,https://app.dimensions.ai/details/publication/pub.1026963944,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1027899150,10.1016/j.dsr2.2008.01.012,,,Satellite and in situ observations of the bio-optical signatures of two mesoscale eddies in the Sargasso Sea,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-05,2008,55,13-Oct,1218-1230,Closed,Article,"Siegel, D.A.; Court, D.B.; Menzies, D.W.; Peterson, P.; Maritorena, S.; Nelson, N.B.","Siegel, D.A.","Siegel, D.A. (University of California, Santa Barbara); Court, D.B. (University of California, Santa Barbara); Menzies, D.W. (University of California, Santa Barbara); Peterson, P. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara); Nelson, N.B. (University of California, Santa Barbara)",35,9,,2.72,,https://app.dimensions.ai/details/publication/pub.1027899150,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1023052495,10.4319/lo.2008.53.2.0835,,,Diel carbon monoxide cycling in the upper Sargasso Sea near Bermuda at the onset of spring and in midsummer,Limnology and Oceanography,,,2008-03,2008,53,2,835-850,All OA; Gold,Article,"Zafiriou, Oliver C.; Xie, Huixiang; Nelson, Norman B.; Najjar, Raymond G.; Wang, Wei",,"Zafiriou, Oliver C. (Woods Hole Oceanographic Institution); Xie, Huixiang (Woods Hole Oceanographic Institution); Nelson, Norman B. (University of California, Santa Barbara); Najjar, Raymond G. (Pennsylvania State University); Wang, Wei (Woods Hole Oceanographic Institution)",41,2,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2008.53.2.0835,https://app.dimensions.ai/details/publication/pub.1023052495,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
18,100,pub.1044339961,10.1016/j.dsr.2007.02.006,,,Hydrography of chromophoric dissolved organic matter in the North Atlantic,Deep Sea Research Part I Oceanographic Research Papers,,,2007-05,2007,54,5,710-731,"All OA; Green, Accepted & Submitted",Article,"Nelson, Norman B.; Siegel, David A.; Carlson, Craig. A.; Swan, Chantal; Smethie, William M.; Khatiwala, Samar","Nelson, Norman B.","Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Carlson, Craig. A. (University of California, Santa Barbara); Swan, Chantal (University of California, Santa Barbara); Smethie, William M. (Lamont-Doherty Earth Observatory); Khatiwala, Samar (Lamont-Doherty Earth Observatory)",128,17,,10.36,http://www.icess.ucsb.edu/%7Edavey/MyPapers/Nelsonetal_CDOM_DSRI_2007.pdf,https://app.dimensions.ai/details/publication/pub.1044339961,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,100,pub.1043277281,10.1029/2004jc002527,,,Independence and interdependencies among global ocean color properties: Reassessing the bio‐optical assumption,Journal of Geophysical Research,,,2005,2005,110,C7,,All OA; Gold,Article,"Siegel, David A.; Maritorena, Stéphane; Nelson, Norman B.; Behrenfeld, Michael J.",,"Siegel, David A. (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Behrenfeld, Michael J. (Goddard Space Flight Center; Oregon State University)",148,18,,9.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JC002527,https://app.dimensions.ai/details/publication/pub.1043277281,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1045758817,10.1016/j.marchem.2004.02.017,,,Production of chromophoric dissolved organic matter by Sargasso Sea microbes,Marine Chemistry,,,2004-10,2004,89,4-Jan,273-287,Closed,Article,"Nelson, Norman B; Carlson, Craig A; Steinberg, Deborah K","Nelson, Norman B","Nelson, Norman B (University of California, Santa Barbara); Carlson, Craig A (University of California, Santa Barbara); Steinberg, Deborah K (William & Mary)",132,23,,8.4,,https://app.dimensions.ai/details/publication/pub.1045758817,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,100,pub.1048964907,10.1016/j.dsr2.2004.02.001,,,The spring bloom in the northwestern Sargasso Sea: spatial extent and relationship with winter mixing,Deep Sea Research Part II Topical Studies in Oceanography,,,2004-06,2004,51,11-Oct,987-1000,Closed,Article,"Nelson, N.B.; Siegel, D.A.; Yoder, J.A.","Nelson, N.B.","Nelson, N.B. (University of California, Santa Barbara); Siegel, D.A. (University of California, Santa Barbara); Yoder, J.A. (University of Rhode Island)",5,0,,0.48,,https://app.dimensions.ai/details/publication/pub.1048964907,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1049566734,10.4319/lo.2004.49.1.0215,,,Seasonal cycle of phytoplankton UV absorption at the Bermuda Atlantic Time‐series Study (BATS) site,Limnology and Oceanography,,,2004-01,2004,49,1,215-224,All OA; Gold,Article,"Morrison, J. Ruairidh; Nelson, Norman B.",,"Morrison, J. Ruairidh (Woods Hole Oceanographic Institution); Nelson, Norman B. (University of California, Santa Barbara)",29,3,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2004.49.1.0215,https://app.dimensions.ai/details/publication/pub.1049566734,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
23,100,pub.1029016770,10.4319/lo.2003.48.3.1088,,,Photolysis and the dimethylsulfide (DMS) summer paradox in the Sargasso Sea,Limnology and Oceanography,,,2003-05,2003,48,3,1088-1100,"All OA; Green, Accepted & Submitted",Article,"Toole, Dierdre A.; Kieber, David J.; Kiene, Ronald P.; Siegel, David A.; Nelson, Norman B.",,"Toole, Dierdre A. (University of California, Santa Barbara); Kieber, David J. (); Kiene, Ronald P. (University of South Alabama); Siegel, David A. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara)",79,6,,5.73,http://www.icess.ucsb.edu/~davey/MyPapers/Toole_etal_L%26O_2003_DMSphotolysis.pdf,https://app.dimensions.ai/details/publication/pub.1029016770,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,100,pub.1049125658,10.1016/b978-012323841-2/50013-0,,,Chapter 11 Chromophoric DOM in the Open Ocean,,Biogeochemistry of Marine Dissolved Organic Matter,,2002,2002,,Mar. Ecol. Prog. Ser.1861999,547-vi,Closed,Chapter,"Nelson, Norman B.; Siegel, David A.",,"Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",132,13,,8.8,,https://app.dimensions.ai/details/publication/pub.1049125658,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1043865573,10.1016/s0967-0645(00)00173-9,,,Physical and biogeochemical variability from hours to years at the Bermuda Testbed Mooring site: June 1994–March 1998,Deep Sea Research Part II Topical Studies in Oceanography,,,2001-01,2001,48,9-Aug,2105-2140,Closed,Article,"Dickey, T; Zedler, S; Yu, X; Doney, S.C; Frye, D; Jannasch, H; Manov, D; Sigurdson, D; McNeil, J.D; Dobeck, L; Gilboy, T; Bravo, C; Siegel, D.A; Nelson, N","Dickey, T","Dickey, T (University of California, Santa Barbara); Zedler, S (University of California, Santa Barbara); Yu, X (University of California, Santa Barbara); Doney, S.C (National Center for Atmospheric Research); Frye, D (Woods Hole Oceanographic Institution); Jannasch, H (Monterey Bay Aquarium Research Institute); Manov, D (University of California, Santa Barbara); Sigurdson, D (University of California, Santa Barbara); McNeil, J.D (University of California, Santa Barbara); Dobeck, L (University of California, Santa Barbara); Gilboy, T (University of California, Santa Barbara); Bravo, C (University of California, Santa Barbara); Siegel, D.A (University of California, Santa Barbara); Nelson, N (University of California, Santa Barbara; Bermuda Institute of Ocean Sciences)",54,7,,4.16,,https://app.dimensions.ai/details/publication/pub.1043865573,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
26,100,pub.1036575946,10.1016/s0967-0645(00)00162-4,,,Spatial variability of the CO2 sink in the Sargasso Sea,Deep Sea Research Part II Topical Studies in Oceanography,,,2001-01,2001,48,9-Aug,1801-1821,Closed,Article,"Nelson, Norman B; Bates, Nicholas R; Siegel, David A; Michaels, Anthony F","Nelson, Norman B","Nelson, Norman B (Bermuda Institute of Ocean Sciences; University of California, Santa Barbara); Bates, Nicholas R (Bermuda Institute of Ocean Sciences); Siegel, David A (University of California, Santa Barbara); Michaels, Anthony F (Bermuda Institute of Ocean Sciences)",21,1,,1.62,,https://app.dimensions.ai/details/publication/pub.1036575946,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
27,100,pub.1005943067,10.1016/s0967-0645(00)00167-3,,,Bio-optical modeling of primary production on regional scales: the Bermuda BioOptics project,Deep Sea Research Part II Topical Studies in Oceanography,,,2001-01,2001,48,9-Aug,1865-1896,Closed,Article,"Siegel, D.A; Westberry, T.K; O’Brien, M.C; Nelson, N.B; Michaels, A.F; Morrison, J.R; Scott, A; Caporelli, E.A; Sorensen, J.C; Maritorena, S; Garver, S.A; Brody, E.A; Ubante, J; Hammer, M.A","Siegel, D.A","Siegel, D.A (University of California, Santa Barbara); Westberry, T.K (University of California, Santa Barbara); O’Brien, M.C (University of California, Santa Barbara); Nelson, N.B (Bermuda Institute of Ocean Sciences); Michaels, A.F (University of Southern California); Morrison, J.R (Bermuda Institute of Ocean Sciences; Woods Hole Oceanographic Institution); Scott, A (Bermuda Institute of Ocean Sciences); Caporelli, E.A (University of Southern California); Sorensen, J.C (University of California, Santa Barbara); Maritorena, S (University of California, Santa Barbara); Garver, S.A (California State Polytechnic University); Brody, E.A (University of California, Santa Barbara); Ubante, J (University of California, Santa Barbara); Hammer, M.A (University of Southern California)",85,3,,6.05,,https://app.dimensions.ai/details/publication/pub.1005943067,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
28,100,pub.1001832867,10.1016/s0967-0637(97)00096-4,,,Initial results from the Bermuda Testbed Mooring program,Deep Sea Research Part I Oceanographic Research Papers,,,1998-04,1998,45,5-Apr,771-794,Closed,Article,"Dickey, T.; Frye, D.; Jannasch, H.; Boyle, E.; Manov, D.; Sigurdson, D.; McNeil, J.; Stramska, M.; Michaels, A.; Nelson, N.; Siegel, D.; Chang, G.; Wu, J.; Knap, A.","Dickey, T.","Dickey, T. (University of California, Santa Barbara); Frye, D. (Woods Hole Oceanographic Institution); Jannasch, H. (Monterey Bay Aquarium Research Institute); Boyle, E. (Massachusetts Institute of Technology); Manov, D. (University of California, Santa Barbara); Sigurdson, D. (University of California, Santa Barbara); McNeil, J. (University of California, Santa Barbara); Stramska, M. (University of Southern California); Michaels, A. (Bermuda Institute of Ocean Sciences); Nelson, N. (Bermuda Institute of Ocean Sciences); Siegel, D. (University of California, Santa Barbara); Chang, G. (University of California, Santa Barbara); Wu, J. (Massachusetts Institute of Technology); Knap, A. (Bermuda Institute of Ocean Sciences)",73,2,,,,https://app.dimensions.ai/details/publication/pub.1001832867,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
29,100,pub.1052430912,10.1016/s0967-0637(97)00106-4,,,Seasonal dynamics of colored dissolved material in the Sargasso Sea,Deep Sea Research Part I Oceanographic Research Papers,,,1998-01,1998,45,6,931-957,Closed,Article,"Nelson, N.B.; Siegel, D.A.; Michaels, A.F.","Nelson, N.B.","Nelson, N.B. (Bermuda Institute of Ocean Sciences); Siegel, D.A. (Bermuda Institute of Ocean Sciences; University of California, Santa Barbara); Michaels, A.F. (Bermuda Institute of Ocean Sciences)",265,29,,,,https://app.dimensions.ai/details/publication/pub.1052430912,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
30,200,pub.1033831103,10.1117/12.266461,,,Bermuda bio-optics project (BBOP),Proceedings of SPIE,Ocean Optics XIII,,2/6/97,1997,2963,,308-313,Closed,Proceeding,"Siegel, David A.; O'Brien, Margaret C.; Garver, Sara A.; Brody, Eric A.; Sorensen, Jens C.; Michaels, Anthony F.; Caporelli, Elizabeth; Nelson, N.B.",,"Siegel, David A. (University of California, Santa Barbara); O'Brien, Margaret C. (University of California, Santa Barbara); Garver, Sara A. (University of California, Santa Barbara); Brody, Eric A. (University of California, Santa Barbara); Sorensen, Jens C. (University of California, Santa Barbara); Michaels, Anthony F. (Bermuda Institute of Ocean Sciences); Caporelli, Elizabeth (Bermuda Institute of Ocean Sciences); Nelson, N.B. (Bermuda Institute of Ocean Sciences)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1033831103,,,,,,
31,200,pub.1023298422,10.1117/12.266470,,,Validation of in-situ inherent optical properties in the Sargasso Sea,Proceedings of SPIE,Ocean Optics XIII,,2/6/97,1997,2963,,375-379,Closed,Proceeding,"Brody, Eric A.; O'Brien, Margaret C.; Siegel, David A.; Caporelli, Elizabeth; Nelson, N.B.",,"Brody, Eric A. (University of California, Santa Barbara); O'Brien, Margaret C. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Caporelli, Elizabeth (Bermuda Institute of Ocean Sciences); Nelson, N.B. (Bermuda Institute of Ocean Sciences)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1023298422,,,,,,
32,200,pub.1039093918,10.1080/01431169608949116,,,Cover The wake of Hurricane Felix,International Journal of Remote Sensing,,,1996-10,1996,17,15,2893-2895,Closed,Article,"NELSON, N. B.",,"NELSON, N. B. (Bermuda Institute of Ocean Sciences)",15,4,,,,https://app.dimensions.ai/details/publication/pub.1039093918,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
33,200,pub.1071172474,10.3354/meps114245,,,"Chromoprotein- and pigment-dependent modeling of spectral light absorption in two dinoflagellates, Prorocentrum minimum and Heterocapsa pygmaea",Marine Ecology Progress Series,,,1994,1994,114,,245-258,All OA; Gold,Article,"Johnsen, G; Nelson, NB; Jovine, RVM; Prezelin, BB",,"Johnsen, G (); Nelson, NB (); Jovine, RVM (); Prezelin, BB ()",50,3,,,https://doi.org/10.3354/meps114245,https://app.dimensions.ai/details/publication/pub.1071172474,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
34,400,pub.1065108383,10.1364/ao.32.006710,20856523,,Calibration of an integrating sphere for determining the absorption coefficient of scattering suspensions.,Applied Optics,,,11/20/93,1993,32,33,6710-7,Closed,Article,"Nelson, Norman B.; Prézelin, Barbara B.",,"Nelson, Norman B. (); Prézelin, Barbara B. ()",36,0,0.85,,,https://app.dimensions.ai/details/publication/pub.1065108383,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
