,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Robert R Warner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,500,pub.1084022117,10.1007/s00442-017-3857-9,28342012,,Predation risk influences feeding rates but competition structures space use for a common Pacific parrotfish,Oecologia,,Animals; Coral Reefs; Fishes; Herbivory; Predatory Behavior; Social Behavior,2017-05,2017,184,1,139-149,Closed,Article,"Davis, Kathryn; Carlson, P. M.; Bradley, D.; Warner, R. R.; Caselle, J. E.","Davis, Kathryn","Davis, Kathryn (University of California, Santa Barbara); Carlson, P. M. (University of California, Santa Barbara); Bradley, D. (University of California, Santa Barbara); Warner, R. R. (University of California, Santa Barbara); Caselle, J. E. (University of California, Santa Barbara)",8,4,0.68,2.95,,https://app.dimensions.ai/details/publication/pub.1084022117,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1079401987,10.1098/rspb.2016.1936,28123086,PMC5310031,Protection of large predators in a marine reserve alters size-dependent prey mortality,Proceedings of The Royal Society B Biological Sciences,,Animals; California; Ecosystem; Fishes; Food Chain; Kelp; Sea Urchins,1/25/17,2017,284,1847,20161936,All OA; Gold,Article,"Selden, Rebecca L; Gaines, Steven D; Hamilton, Scott L; Warner, Robert R",,"Selden, Rebecca L (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara); Hamilton, Scott L (California State University Los Angeles); Warner, Robert R (University of California, Santa Barbara)",11,9,0.89,4.07,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.1936,https://app.dimensions.ai/details/publication/pub.1079401987,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,400,pub.1050046701,10.1111/gcb.13083,26448058,,Human activities change marine ecosystems by altering predation risk,Global Change Biology,,Animals; Carbon; Conservation of Natural Resources; Ecosystem; Fisheries; Human Activities; Humans; Marine Biology; Oceans and Seas; Predatory Behavior; Risk Assessment,2016-01,2016,22,1,44-60,Closed,Article,"Madin, Elizabeth M. P.; Dill, Lawrence M.; Ridlon, April D.; Heithaus, Michael R.; Warner, Robert R.",,"Madin, Elizabeth M. P. (Macquarie University); Dill, Lawrence M. (Simon Fraser University); Ridlon, April D. (University of California, Santa Barbara); Heithaus, Michael R. (Florida International University); Warner, Robert R. (University of California, Santa Barbara)",25,15,0.91,7.17,,https://app.dimensions.ai/details/publication/pub.1050046701,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
13,400,pub.1035519027,10.1038/srep14102,26373803,PMC4642697,Recovery trajectories of kelp forest animals are rapid yet spatially variable across a network of temperate marine protected areas,Scientific Reports,,"Animals; Aquatic Organisms; Biomass; California; Conservation of Natural Resources; Ecosystem; Fishes; Kelp; Models, Theoretical; Oceans and Seas",2015-11,2015,5,1,14102,All OA; Gold,Article,"Caselle, Jennifer E.; Rassweiler, Andrew; Hamilton, Scott L.; Warner, Robert R.",,"Caselle, Jennifer E. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Hamilton, Scott L. (California State University Los Angeles); Warner, Robert R. (University of California, Santa Barbara)",31,17,0.98,5.92,https://www.nature.com/articles/srep14102.pdf,https://app.dimensions.ai/details/publication/pub.1035519027,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,400,pub.1062470062,10.1126/science.1255641,25593191,,Marine defaunation: Animal loss in the global ocean,Science,,"Animals; Animals, Wild; Aquatic Organisms; Biodiversity; Climate Change; Ecosystem; Endangered Species; Extinction, Biological; Human Activities; Humans; Oceans and Seas; Population Dynamics; Seawater",1/16/15,2015,347,6219,1255641,"All OA; Green, Published",Article,"McCauley, Douglas J.; Pinsky, Malin L.; Palumbi, Stephen R.; Estes, James A.; Joyce, Francis H.; Warner, Robert R.",,"McCauley, Douglas J. (University of California, Santa Barbara); Pinsky, Malin L. (Rutgers, The State University of New Jersey); Palumbi, Stephen R. (Stanford University); Estes, James A. (University of California, Santa Cruz); Joyce, Francis H. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",402,203,11.83,76.99,https://escholarship.org/content/qt1gj9w82r/qt1gj9w82r.pdf?t=nvg2ee,https://app.dimensions.ai/details/publication/pub.1062470062,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
15,200,pub.1071171728,10.3354/meps10871,,,Geospatial statistics strengthen the ability of natural geochemical tags to estimate range-wide population connectivity in marine species,Marine Ecology Progress Series,,,8/4/14,2014,508,,33-51,Closed,Article,"Simmonds, SE; Kinlan, BP; White, C; Paradis, GL; Warner, RR; Zacherl, DC",,"Simmonds, SE (); Kinlan, BP (); White, C (); Paradis, GL (); Warner, RR (); Zacherl, DC ()",9,3,,1.61,,https://app.dimensions.ai/details/publication/pub.1071171728,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
16,400,pub.1026284309,10.1111/ele.12185,24119205,,Predicting evolutionary responses to climate change in the sea,Ecology Letters,,"Adaptation, Biological; Aquatic Organisms; Biological Evolution; Climate Change; Oceans and Seas; Phenotype; Seawater",2013-12,2013,16,12,1488-1500,All OA; Gold,Article,"Munday, Philip L.; Warner, Robert R.; Monro, Keyne; Pandolfi, John M.; Marshall, Dustin J.",,"Munday, Philip L. (James Cook University); Warner, Robert R. (University of California, Santa Barbara); Monro, Keyne (Monash University); Pandolfi, John M. (University of Queensland); Marshall, Dustin J. (Monash University)",198,70,6.61,26.35,https://www.onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12185,https://app.dimensions.ai/details/publication/pub.1026284309,0602 Ecology; 0699 Other Biological Sciences; 0603 Evolutionary Biology; 0604 Genetics; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences
17,400,pub.1052643451,10.1093/icb/ict077,23817661,,Phylogenetic Perspectives on the Evolution of Functional Hermaphroditism in Teleost Fishes,Integrative and Comparative Biology,,"Animals; Biological Evolution; Female; Fishes; Hermaphroditic Organisms; Male; Models, Biological; Phylogeny; Sex Determination Processes; Species Specificity",10/1/13,2013,53,4,736-754,All OA; Gold,Article,"Erisman, Brad E.; Petersen, Christopher W.; Hastings, Philip A.; Warner, Robert R.",,"Erisman, Brad E. (); Petersen, Christopher W. (); Hastings, Philip A. (); Warner, Robert R. ()",31,10,1.14,5.12,https://academic.oup.com/icb/article-pdf/53/4/736/1774393/ict077.pdf,https://app.dimensions.ai/details/publication/pub.1052643451,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
18,400,pub.1037297383,10.1098/rspb.2013.0327,23516247,PMC3619519,Does fish larval dispersal differ between high and low latitudes?,Proceedings of The Royal Society B Biological Sciences,,Animal Distribution; Animals; Biodiversity; Ecosystem; Fishes; Larva; Reproduction; Temperature; Water Movements,5/22/13,2013,280,1759,20130327,All OA; Gold,Article,"Leis, Jeffrey M.; Caselle, Jennifer E.; Bradbury, Ian R.; Kristiansen, Trond; Llopiz, Joel K.; Miller, Michael J.; O'Connor, Mary I.; Paris, Claire B.; Shanks, Alan L.; Sogard, Susan M.; Swearer, Stephen E.; Treml, Eric A.; Vetter, Russell D.; Warner, Robert R.",,"Leis, Jeffrey M. (Australian Museum; University of Tasmania); Caselle, Jennifer E. (University of California System); Bradbury, Ian R. (Fisheries and Oceans Canada; Memorial University of Newfoundland); Kristiansen, Trond (Norwegian Institute of Marine Research); Llopiz, Joel K. (Woods Hole Oceanographic Institution); Miller, Michael J. (University of Tokyo); O'Connor, Mary I. (University of British Columbia); Paris, Claire B. (University of Miami); Shanks, Alan L. (University of Oregon); Sogard, Susan M. (National Marine Fisheries Service); Swearer, Stephen E. (University of Melbourne); Treml, Eric A. (University of Melbourne); Vetter, Russell D. (); Warner, Robert R. (University of California System)",41,18,1.04,5.77,http://rspb.royalsocietypublishing.org/content/280/1759/20130327.full.pdf,https://app.dimensions.ai/details/publication/pub.1037297383,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,200,pub.1071170924,10.3354/meps10259,,,Benthic processes and overlying fish assemblages drive the composition of benthic detritus on a central Pacific coral reef,Marine Ecology Progress Series,,,5/22/13,2013,482,,181-195,Closed,Article,"Max, LM; Hamilton, SL; Gaines, SD; Warner, RR",,"Max, LM (); Hamilton, SL (); Gaines, SD (); Warner, RR ()",11,4,,1.75,,https://app.dimensions.ai/details/publication/pub.1071170924,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
20,200,pub.1071170036,10.3354/meps09576,,,Where a male is hard to find: consequences of male rarity in the surfgrass Phyllospadix torreyi,Marine Ecology Progress Series,,,3/8/12,2012,449,,121-132,All OA; Gold,Article,"Buckel, CA; Blanchette, CA; Warner, RR; Gaines, SD",,"Buckel, CA (); Blanchette, CA (); Warner, RR (); Gaines, SD ()",7,1,,0.98,https://www.int-res.com/articles/meps_oa/m449p121.pdf,https://app.dimensions.ai/details/publication/pub.1071170036,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
21,400,pub.1022256687,10.1371/journal.pone.0032390,22403650,PMC3293809,Do Behavioral Foraging Responses of Prey to Predators Function Similarly in Restored and Pristine Foodwebs?,PLoS ONE,,Animals; Biomass; Conservation of Natural Resources; Coral Reefs; Fishes; Food Chain; Predatory Behavior,3/5/12,2012,7,3,e32390,All OA; Gold,Article,"Madin, Elizabeth M. P.; Gaines, Steven D.; Madin, Joshua S.; Link, Anne-Katrin; Lubchenco, Peggy J.; Selden, Rebecca L.; Warner, Robert R.",,"Madin, Elizabeth M. P. (University of California, Santa Barbara; Macquarie University); Gaines, Steven D. (University of California, Santa Barbara); Madin, Joshua S. (Macquarie University); Link, Anne-Katrin (Macquarie University); Lubchenco, Peggy J. (University of California, Santa Barbara); Selden, Rebecca L. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",9,2,0.17,1.43,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0032390&type=printable,https://app.dimensions.ai/details/publication/pub.1022256687,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
22,100,pub.1007377506,10.1007/s00265-011-1296-x,,,Linking male qualities to multiple display traits: an example in a fish with exclusive male care,Behavioral Ecology and Sociobiology,,,2012-03,2012,66,3,497-504,Closed,Article,"Pizzolon, Matteo; Locatello, Lisa; Warner, Robert R.; Chimento, Nicole; Finos, Livio; Rasotto, Maria B.","Rasotto, Maria B.","Pizzolon, Matteo (University of Padua); Locatello, Lisa (University of Padua); Warner, Robert R. (University of California, Santa Barbara); Chimento, Nicole (University of Padua); Finos, Livio (University of Padua); Rasotto, Maria B. (University of Padua)",8,4,,,,https://app.dimensions.ai/details/publication/pub.1007377506,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
23,200,pub.1071169946,10.3354/meps09514,,,Geographic variation in trace-element signatures in the statoliths of near-hatch larvae and recruits of Concholepas concholepas (loco),Marine Ecology Progress Series,,,2/23/12,2012,448,,105-118,All OA; Gold,Article,"Manríquez, PH; Galaz, SP; Opitz, T; Hamilton, S; Paradis, G; Warner, RR; Castilla, JC; Labra, FA; Lagos, NA",,"Manríquez, PH (); Galaz, SP (); Opitz, T (); Hamilton, S (); Paradis, G (); Warner, RR (); Castilla, JC (); Labra, FA (); Lagos, NA ()",10,1,,1.41,https://www.int-res.com/articles/meps2011/448/m448p105.pdf,https://app.dimensions.ai/details/publication/pub.1071169946,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
24,200,pub.1071169593,10.3354/meps09241,,,Spatial pattern of natal signatures in the otoliths of juvenile kelp rockfish along the Californian coast,Marine Ecology Progress Series,,,9/15/11,2011,437,,279-290,All OA; Gold,Article,"Standish, JD; White, JW; Warner, RR",,"Standish, JD (); White, JW (); Warner, RR ()",10,1,,1.28,https://www.int-res.com/articles/meps2011/437/m437p279.pdf,https://app.dimensions.ai/details/publication/pub.1071169593,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
25,100,pub.1008386533,10.1111/j.1365-2435.2010.01798.x,,,Indirect effects of an ectoparasite reduce successful establishment of a damselfish at settlement,Functional Ecology,,,2011-06,2011,25,3,586-594,All OA; Gold,Article,"Grutter, Alexandra S.; Crean, Angela J.; Curtis, Lynda M.; Kuris, Armand M.; Warner, Robert R.; McCormick, Mark I.",,"Grutter, Alexandra S. (University of Queensland); Crean, Angela J. (University of Queensland); Curtis, Lynda M. (University of Queensland); Kuris, Armand M. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara); McCormick, Mark I. (James Cook University)",31,11,,3.23,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2010.01798.x/pdf,https://app.dimensions.ai/details/publication/pub.1008386533,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1058844447,10.1086/657039,20961223,,Fishing indirectly structures macroalgal assemblages by altering herbivore behavior.,The American Naturalist,,"Animals; Coral Reefs; Fisheries; Food Chain; Models, Biological; Population Density; Population Dynamics; Predatory Behavior; Seaweed",2010-12,2010,176,6,785-801,"All OA; Green, Published",Article,"Madin, Elizabeth M P; Gaines, Steven D; Madin, Joshua S; Warner, Robert R",,"Madin, Elizabeth M P (University of California, Santa Barbara); Gaines, Steven D (); Madin, Joshua S (); Warner, Robert R ()",46,14,0.79,4.26,https://opus.lib.uts.edu.au/bitstream/10453/13318/1/2009008425OK.pdf,https://app.dimensions.ai/details/publication/pub.1058844447,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,400,pub.1052673879,10.1890/09-2174.1,21302828,,Field evidence for pervasive indirect effects of fishing on prey foraging behavior,Ecology,,Animals; Ecosystem; Feeding Behavior; Fisheries; Fishes; Oceans and Seas; Population Density,2010-12,2010,91,12,3563-3571,Closed,Article,"Madin, Elizabeth M. P.; Gaines, Steven D.; Warner, Robert R.",,"Madin, Elizabeth M. P. (University of California, Santa Barbara; Macquarie University); Gaines, Steven D. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara)",82,19,1.59,9.53,,https://app.dimensions.ai/details/publication/pub.1052673879,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
28,100,pub.1051879979,10.1007/s10641-010-9698-6,,,Otolith elemental signatures reflect residency in coastal water masses,Environmental Biology of Fishes,,,2010-11,2010,89,4-Mar,341-356,All OA; Gold,Article,"Nishimoto, Mary M.; Washburn, Libe; Warner, Robert R.; Love, Milton S.; Paradis, Georges L.","Nishimoto, Mary M.","Nishimoto, Mary M. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara); Love, Milton S. (University of California, Santa Barbara); Paradis, Georges L. (University of California, Santa Barbara)",12,2,,1.11,https://link.springer.com/content/pdf/10.1007%2Fs10641-010-9698-6.pdf,https://app.dimensions.ai/details/publication/pub.1051879979,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,400,pub.1034376004,10.1073/pnas.0907368107,20181570,PMC2972938,Detecting larval export from marine reserves,Proceedings of the National Academy of Sciences,,"Animals; Biomass; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Larva; Marine Biology; Models, Biological; Population Dynamics",10/26/10,2010,107,43,18266-18271,All OA; Gold,Article,"Pelc, R. A.; Warner, R. R.; Gaines, S. D.; Paris, C. B.",,"Pelc, R. A. (); Warner, R. R. (); Gaines, S. D. (University of California, Santa Barbara); Paris, C. B. (University of Miami)",83,13,1.12,7.69,http://www.pnas.org/content/107/43/18266.full.pdf,https://app.dimensions.ai/details/publication/pub.1034376004,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
30,400,pub.1004293947,10.1890/09-0156.1,21058547,,The relationship between maternal phenotype and offspring quality: Do older mothers really produce the best offspring?,Ecology,,"Adaptation, Physiological; Animals; Biological Evolution; Body Size; Ecosystem; Female; Models, Biological; Population Dynamics",2010-10,2010,91,10,2862-2873,"All OA; Green, Accepted & Submitted",Article,"Marshall, Dustin J.; Heppell, Selina S.; Munch, Stephan B.; Warner, Robert R.",,"Marshall, Dustin J. (University of Queensland); Heppell, Selina S. (Oregon State University); Munch, Stephan B. (Stony Brook University); Warner, Robert R. (University of California, Santa Barbara)",85,21,1.87,7.87,http://espace.library.uq.edu.au/view/UQ:219476/UQ219476_OA.pdf,https://app.dimensions.ai/details/publication/pub.1004293947,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,200,pub.1071168389,10.3354/meps08326,,,Quantifying larval export from South African marine reserves,Marine Ecology Progress Series,,,11/18/09,2009,394,,65-78,"All OA; Green, Accepted & Submitted",Article,"Pelc, RA; Baskett, ML; Tanci, T; Gaines, SD; Warner, RR",,"Pelc, RA (); Baskett, ML (); Tanci, T (); Gaines, SD (); Warner, RR ()",32,4,,3.53,https://escholarship.org/content/qt19x453b3/qt19x453b3.pdf?t=o17qbx,https://app.dimensions.ai/details/publication/pub.1071168389,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
32,100,pub.1019249457,10.1111/j.1365-2699.2009.02138.x,,,Geographical patterns of genetic structure in marine species with contrasting life histories,Journal of Biogeography,,,2009-10,2009,36,10,1881-1890,Closed,Article,"Pelc, R. A.; Warner, R. R.; Gaines, S. D.",,"Pelc, R. A. (University of California, Santa Barbara); Warner, R. R. (University of California, Santa Barbara); Gaines, S. D. (University of California, Santa Barbara)",125,24,,10.22,,https://app.dimensions.ai/details/publication/pub.1019249457,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
