,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Raymond C Smith. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1012930346,10.1093/plankt/fbi056,,,Interannual variability in the distribution of the phytoplankton standing stock across the seasonal sea-ice zone west of the Antarctic Peninsula,Journal of Plankton Research,,,8/1/05,2005,27,8,825-843,All OA; Gold,Article,"Garibotti, Irene A.; Vernet, María; Smith, Raymond C.; Ferrario, Martha E.",,"Garibotti, Irene A. (); Vernet, María (); Smith, Raymond C. (); Ferrario, Martha E. ()",50,10,,5.29,https://academic.oup.com/plankt/article-pdf/27/8/825/4483676/fbi056.pdf,https://app.dimensions.ai/details/publication/pub.1012930346,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0608 Zoology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0608 Zoology,
11,100,pub.1046390699,10.1016/j.marchem.2003.07.004,,,Processes regulating oxygen and carbon dioxide in surface waters west of the Antarctic Peninsula,Marine Chemistry,,,2004-01,2004,84,4-Mar,161-179,Closed,Article,"Carrillo, Christopher J.; Smith, Raymond C.; Karl, David M.","Smith, Raymond C.","Carrillo, Christopher J. (University of Hawaii at Manoa; University of California, Santa Barbara); Smith, Raymond C. (University of California, Santa Barbara); Karl, David M. (University of Hawaii at Manoa)",42,6,,2.67,,https://app.dimensions.ai/details/publication/pub.1046390699,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,100,pub.1037193797,10.1029/ar079p0131,,,Palmer Long‐Term Ecological Research on the Antarctic Marine Ecosystem,Antarctic Research Series,Antarctic Peninsula Climate Variability: Historical and Paleoenvironmental Perspectives,,1/1/03,2003,,,131-144,Closed,Chapter,"Smith, Raymond C.; Fraser, William R.; Stammerjohn, Sharon E.; Vernet, Maria",,"Smith, Raymond C. (University of California, Santa Barbara); Fraser, William R. (); Stammerjohn, Sharon E. (Lamont-Doherty Earth Observatory); Vernet, Maria (University of California, San Diego)",17,0,,,,https://app.dimensions.ai/details/publication/pub.1037193797,,,,,,
13,100,pub.1027311850,10.1029/2002jc001543,,,Ice‐atmosphere interactions during sea‐ice advance and retreat in the western Antarctic Peninsula region,Journal of Geophysical Research,,,2003,2003,108,C10,,All OA; Gold,Article,"Stammerjohn, S. E.; Drinkwater, M. R.; Smith, R. C.; Liu, X.",,"Stammerjohn, S. E. (); Drinkwater, M. R. (European Space Research and Technology Centre); Smith, R. C. (); Liu, X. (Jet Propulsion Lab)",44,2,,3.41,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002JC001543,https://app.dimensions.ai/details/publication/pub.1027311850,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
14,400,pub.1020050935,10.1073/pnas.032206999,11830636,PMC122272,Glacial meltwater dynamics in coastal waters west of the Antarctic peninsula,Proceedings of the National Academy of Sciences,,Air; Antarctic Regions; Chlorophyll; Ecosystem; Oceans and Seas; Phytoplankton; Seasons; Temperature; Time Factors; Water; Weather,2/19/02,2002,99,4,1790-1795,All OA; Gold,Article,"Dierssen, Heidi M.; Smith, Raymond C.; Vernet, Maria",,"Dierssen, Heidi M. (University of California, Santa Barbara); Smith, Raymond C. (University of California, Santa Barbara); Vernet, Maria (University of California, San Diego)",160,31,0.77,13.62,http://www.pnas.org/content/99/4/1790.full.pdf,https://app.dimensions.ai/details/publication/pub.1020050935,0602 Ecology; 0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,06 Biological Sciences,04 Earth Sciences
15,100,pub.1036877273,10.1093/icb/41.1.40,,,Variability of Primary Production in an Antarctic Marine Ecosystem as Estimated Using a Multi-scale Sampling Strategy,Integrative and Comparative Biology,,,2001-02,2001,41,1,40-56,All OA; Gold,Article,"Smith, Raymond C.; Baker, Karen S.; Dierssen, Heidi M.; Stammerjohn, Sharon E.; Vernet, Maria",,"Smith, Raymond C. (University of California, Santa Barbara); Baker, Karen S. (University of California, San Diego); Dierssen, Heidi M. (University of California, Santa Barbara); Stammerjohn, Sharon E. (University of California, Santa Barbara); Vernet, Maria (University of California, San Diego)",29,0,,2.83,https://academic.oup.com/icb/article-pdf/41/1/40/227698/i0003-1569-041-01-0040.pdf,https://app.dimensions.ai/details/publication/pub.1036877273,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
16,100,pub.1003294333,10.1668/0003-1569(2001)041[0040:voppia]2.0.co;2,,,Variability of Primary Production in an Antarctic Marine Ecosystem as Estimated Using a Multi-scale Sampling Strategy1,Integrative and Comparative Biology,,,2001-02,2001,41,1,40-56,"All OA; Green, Accepted & Submitted",Article,"Smith, Raymond C.; Baker, Karen S.; Dierssen, Heidi M.; Stammerjohn, Sharon E.; Vernet, Maria",,"Smith, Raymond C. (University of California, Santa Barbara); Baker, Karen S. (University of California, San Diego); Dierssen, Heidi M. (University of California, Santa Barbara); Stammerjohn, Sharon E. (University of California, Santa Barbara); Vernet, Maria (University of California, San Diego)",26,0,,2.53,http://polarphytoplankton.ucsd.edu/docs/publications/papers/SmithRC_etal_AmZoo_2001p40.pdf,https://app.dimensions.ai/details/publication/pub.1003294333,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
17,100,pub.1071117164,10.3189/172756401781818662,,,Variations of surface air temperature and sea-ice extent in the western Antarctic Peninsula region,Annals of Glaciology,,,2001,2001,33,,493-500,All OA; Gold,Article,"Smith, Raymond C.; Stammerjohn, Sharon E.",,"Smith, Raymond C. (); Stammerjohn, Sharon E. ()",82,4,,8.82,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9766E2EAC709DE958225DC706E1DC956/S0260305500264562a.pdf/div-class-title-variations-of-surface-air-temperature-and-sea-ice-extent-in-the-western-antarctic-peninsula-region-div.pdf,https://app.dimensions.ai/details/publication/pub.1071117164,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1033111240,10.1017/s0954102000000043,,,Optimizing models for remotely estimating primary production in Antarctic coastal waters,Antarctic Science,,,2000-03,2000,12,1,20-32,All OA; Gold,Article,"Dierssen, H.M.; Vernet, M.; Smith, R.C.",,"Dierssen, H.M. (University of California, Santa Barbara); Vernet, M. (University of California System); Smith, R.C. (University of California, Santa Barbara)",31,2,,1.91,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C7DCC5BF960B958A064265ACFE1B105B/S0954102000000043a.pdf/div-class-title-optimizing-models-for-remotely-estimating-primary-production-in-antarctic-coastal-waters-div.pdf,https://app.dimensions.ai/details/publication/pub.1033111240,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,400,pub.1065114915,10.1364/ao.39.000456,18337915,,Remote-sensing reflectance determinations in the coastal ocean environment: impact of instrumental characteristics and environmental variability.,Applied Optics,,,1/20/00,2000,39,3,456-69,Closed,Article,"Toole, D A; Siegel, D A; Menzies, D W; Neumann, M J; Smith, R C",,"Toole, D A (University of California, Santa Barbara); Siegel, D A (); Menzies, D W (); Neumann, M J (); Smith, R C ()",74,9,1.56,11.82,,https://app.dimensions.ai/details/publication/pub.1065114915,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
20,100,pub.1022387029,10.4319/lo.2000.45.1.0031,,,Growth limitation in young Euphausia superba under field conditions,Limnology and Oceanography,,,2000-01,2000,45,1,31-43,All OA; Gold,Article,"Ross, Robin M.; Quetin, Langdon B.; Baker, Karen S.; Vernet, Maria; Smith, Raymond C.",,"Ross, Robin M. (University of California, Santa Barbara); Quetin, Langdon B. (University of California, Santa Barbara); Baker, Karen S. (Scripps Institution of Oceanography); Vernet, Maria (Scripps Institution of Oceanography); Smith, Raymond C. (University of California, Santa Barbara)",77,5,,5.72,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2000.45.1.0031,https://app.dimensions.ai/details/publication/pub.1022387029,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,200,pub.1069435673,10.2307/1313632,,,Marine Ecosystem Sensitivity to Climate ChangeHistorical observations and paleoecological records reveal ecological transitions in the Antarctic Peninsula region,BioScience,,,1999-05,1999,49,5,393-404,All OA; Gold,Article,"Smith, Raymond C.; Ainley, David; Baker, Karen; Domack, Eugene; Emslie, Steve; Fraser, Bill; Kennett, James; Leventer, Amy; Mosley-Thompson, Ellen; Stammerjohn, Sharon; Vernet, Maria",,"Smith, Raymond C. (); Ainley, David (); Baker, Karen (); Domack, Eugene (); Emslie, Steve (); Fraser, Bill (); Kennett, James (); Leventer, Amy (); Mosley-Thompson, Ellen (); Stammerjohn, Sharon (); Vernet, Maria ()",200,16,,,https://academic.oup.com/bioscience/article-pdf/49/5/393/19403228/49-5-393.pdf,https://app.dimensions.ai/details/publication/pub.1069435673,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
22,100,pub.1049864714,10.1017/s0954102098000352,,,"Abandoned penguin colonies and environmental change in the Palmer Station area, Anvers Island, Antarctic Peninsula",Antarctic Science,,,1998-09,1998,10,3,257-268,All OA; Gold,Article,"Emslie, Steven D.; Fraser, William; Smith, Raymond C.; Walker, William",,"Emslie, Steven D. (University of North Carolina System); Fraser, William (Montana State University System); Smith, Raymond C. (University of California System); Walker, William (Alaska Fisheries Science Center)",76,6,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CECCD9D8289E36EBEAF87710BD04741F/S0954102098000352a.pdf/div-class-title-abandoned-penguin-colonies-and-environmental-change-in-the-palmer-station-area-anvers-island-antarctic-peninsula-div.pdf,https://app.dimensions.ai/details/publication/pub.1049864714,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,200,pub.1069435266,10.2307/1313133,,,Exploring Sea Ice Indexes for Polar Ecosystem StudiesSea ice indexes can give a common context to link variability in sea ice coverage to variability in marine ecosystems,BioScience,,,1998-02,1998,48,2,83-93,All OA; Gold,Article,"Smith, Raymond C.; Baker, Karen S.; Stammerjohn, Sharon E.",,"Smith, Raymond C. (); Baker, Karen S. (); Stammerjohn, Sharon E. ()",29,0,,,https://academic.oup.com/bioscience/article-pdf/48/2/83/670918/48-2-83.pdf,https://app.dimensions.ai/details/publication/pub.1069435266,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
24,100,pub.1048325721,10.1023/a:1005331731034,,,Opposing Southern Ocean Climate Patterns as Revealed by Trends in Regional Sea Ice Coverage,Climatic Change,,,1997-12,1997,37,4,617-639,Closed,Article,"Stammerjohn, S. E.; Smith, R. C.",,"Stammerjohn, S. E. (University of California, Santa Barbara); Smith, R. C. (University of California, Santa Barbara)",72,6,,,,https://app.dimensions.ai/details/publication/pub.1048325721,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1091527632,10.21236/ada628496,,,Coastal Ocean Optical Properties in Santa Barbara Basin: Blooms & Plumes,,,,1997-09,1997,,,,All OA; Gold,Article,"Smith, Raymond C; Brzezinski, Mark; Mertes, Leal; Siegel, Dave; Washburn, Libe",,"Smith, Raymond C (); Brzezinski, Mark (); Mertes, Leal (); Siegel, Dave (); Washburn, Libe ()",0,0,,,http://www.dtic.mil/dtic/tr/fulltext/u2/a628496.pdf,https://app.dimensions.ai/details/publication/pub.1091527632,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,200,pub.1001893057,10.1117/12.266443,,,Estimation of irradiance just below the air-water interface,Proceedings of SPIE,Ocean Optics XIII,,2/6/97,1997,2963,,204-209,Closed,Proceeding,"Dierssen, Heidi; Smith, Raymond C.",,"Dierssen, Heidi (University of California, Santa Barbara); Smith, Raymond C. (University of California, Santa Barbara)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1001893057,,,,,,
27,100,pub.1053707315,10.1029/ar070p0333,,,Phytoplankton Biomass and Productivity in the Western Antarctic Peninsula Region,Antarctic Research Series,Foundations for Ecological Research West of the Antarctic Peninsula,,1996,1996,70,,333-356,Closed,Chapter,"Smith, Raymond C.; Dierssen, Heidi M.; Vernet, Maria",,"Smith, Raymond C. (University of California, Santa Barbara); Dierssen, Heidi M. (University of California, Santa Barbara); Vernet, Maria (University of California, Santa Barbara)",46,1,,,,https://app.dimensions.ai/details/publication/pub.1053707315,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
28,100,pub.1040277966,10.1029/ar070p0081,,,Spatial and Temporal Variability of Western Antarctic Peninsula Sea Ice Coverage,Antarctic Research Series,Foundations for Ecological Research West of the Antarctic Peninsula,,1996,1996,70,,81-104,Closed,Chapter,"Stammerjohn, S. E.; Smith, R. C.",,"Stammerjohn, S. E. (University of California, Santa Barbara); Smith, R. C. (University of California, Santa Barbara)",65,0,,,,https://app.dimensions.ai/details/publication/pub.1040277966,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
29,100,pub.1008075160,10.1029/ar070p0105,,,Surface Air Temperature Variations in the Western Antarctic Peninsula Region,Antarctic Research Series,Foundations for Ecological Research West of the Antarctic Peninsula,,1996,1996,70,,105-121,Closed,Chapter,"Smith, Raymond C.; Stammerjohn, Sharon E.; Baker, Karen S.",,"Smith, Raymond C. (University of California, Santa Barbara); Stammerjohn, Sharon E. (University of California, Santa Barbara); Baker, Karen S. (University of California, San Diego)",103,4,,,,https://app.dimensions.ai/details/publication/pub.1008075160,,,,,,
30,200,pub.1073066889,10.5670/oceanog.1995.01,,,"The Palmer LTER: A Long-Term Ecological Research Program at Palmer Station, Antarctica",Oceanography,,,1995,1995,8,3,77-86,All OA; Gold,Article,"Smith, Raymond; Baker, Karen; Fraser, William; Hofmann, Eileen; Karl, David; Klink, John; Quentin, Langdon; Prezelin, Barbara; Ross, Robin; Trivelpiece, Wayne; Vernet, Maria",,"Smith, Raymond (); Baker, Karen (); Fraser, William (); Hofmann, Eileen (); Karl, David (); Klink, John (); Quentin, Langdon (); Prezelin, Barbara (); Ross, Robin (); Trivelpiece, Wayne (); Vernet, Maria ()",76,6,,,https://tos.org/oceanography/assets/docs/8-3_smith.pdf,https://app.dimensions.ai/details/publication/pub.1073066889,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
31,200,pub.1062545276,10.1126/science.259.5094.534-a,17734172,,Response,Science,,,1/22/93,1993,259,5094,534-535,All OA; Gold,Article,"Prézelin, Barbara B.; Smith, Raymond C.",,"Prézelin, Barbara B. (); Smith, Raymond C. ()",7,0,0.14,,http://science.sciencemag.org/content/259/5094/534.2.full.pdf,https://app.dimensions.ai/details/publication/pub.1062545276,,,,,,
32,200,pub.1071169657,10.3354/meps093025,,,In situ photosynthetic quantum yield. Correspondence to hydrographic and optical variability within the Southern California Bight,Marine Ecology Progress Series,,,1993,1993,93,,25-37,All OA; Gold,Article,"Schofield, O; Prezélin, BB; Bidigare, FtR; Smith, RC",,"Schofield, O (); Prezélin, BB (); Bidigare, FtR (); Smith, RC ()",24,0,,,https://doi.org/10.3354/meps093025,https://app.dimensions.ai/details/publication/pub.1071169657,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
33,200,pub.1042450054,10.1029/93jc02065,,,Correction to “Estimation of seasonal primary production from moored optical sensors in the Sargasso Sea” by John Marra et al.,Journal of Geophysical Research,,,1993,1993,98,C9,16589-16589,All OA; Gold,Article,"Marra, John; Dickey, T.; Chamberlin, W. S.; Ho, C.; Granata, T.; Kiefer, D. A.; Langdon, C.; Smith, R.; Baker, K.; Bidigare, R.; Hamilton, M.",,"Marra, John (); Dickey, T. (); Chamberlin, W. S. (); Ho, C. (); Granata, T. (); Kiefer, D. A. (); Langdon, C. (); Smith, R. (); Baker, K. (); Bidigare, R. (); Hamilton, M. ()",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/93JC02065,https://app.dimensions.ai/details/publication/pub.1042450054,,,,,,
34,100,pub.1031160926,10.1016/s0198-0149(11)80017-8,,,Springtime distributions and variability of biogenic particulate matter in Gulf Stream warm-core ring 82B and surrounding N.W. Atlantic waters,Deep Sea Research Part A Oceanographic Research Papers,,,1992-03,1992,39,,s295-s325,Closed,Article,"Bishop, J.K.B.; Smith, R.C.; Baker, K.S.",,"Bishop, J.K.B. (Columbia University); Smith, R.C. (University of California, Santa Barbara); Baker, K.S. (Scripps Institution of Oceanography)",14,0,,,,https://app.dimensions.ai/details/publication/pub.1031160926,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
