,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sarah E Anderson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
12,100,pub.1034584142,10.1007/s10021-015-9842-4,,,Citizen Science as an Approach for Overcoming Insufficient Monitoring and Inadequate Stakeholder Buy-in in Adaptive Management: Criteria and Evidence,Ecosystems,,,2015-04,2015,18,3,493-506,"All OA; Green, Accepted & Submitted",Article,"Aceves-Bueno, Eréndira; Adeleye, Adeyemi S.; Bradley, Darcy; Tyler Brandt, W.; Callery, Patrick; Feraud, Marina; Garner, Kendra L.; Gentry, Rebecca; Huang, Yuxiong; McCullough, Ian; Pearlman, Isaac; Sutherland, Sara A.; Wilkinson, Whitney; Yang, Yi; Zink, Trevor; Anderson, Sarah E.; Tague, Christina","Anderson, Sarah E.","Aceves-Bueno, Eréndira (University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California, Santa Barbara); Bradley, Darcy (University of California, Santa Barbara); Tyler Brandt, W. (University of California, Santa Barbara); Callery, Patrick (University of California, Santa Barbara); Feraud, Marina (University of California, Santa Barbara); Garner, Kendra L. (University of California, Santa Barbara); Gentry, Rebecca (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); McCullough, Ian (University of California, Santa Barbara); Pearlman, Isaac (University of California, Santa Barbara); Sutherland, Sara A. (University of California, Santa Barbara); Wilkinson, Whitney (University of California, Santa Barbara); Yang, Yi (University of California, Santa Barbara); Zink, Trevor (University of California, Santa Barbara); Anderson, Sarah E. (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",46,27,,,http://www.escholarship.org/uc/item/2qx5z0vb,https://app.dimensions.ai/details/publication/pub.1034584142,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
13,100,pub.1021456956,10.1016/j.marpol.2014.06.007,,,An assessment of sector separation on the Gulf of Mexico recreational red snapper fishery,Marine Policy,,,2014-12,2014,50,,309-317,Closed,Article,"Doerpinghaus, J.; Hentrich, K.; Troup, M.; Stavrinaky, A.; Anderson, S.","Hentrich, K.","Doerpinghaus, J. (University of California, Santa Barbara); Hentrich, K. (University of California, Santa Barbara); Troup, M. (University of California, Santa Barbara); Stavrinaky, A. (University of California, Santa Barbara); Anderson, S. (University of California, Santa Barbara)",4,1,,2.17,,https://app.dimensions.ai/details/publication/pub.1021456956,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
14,100,pub.1042580626,10.1177/1532673x13511658,,,The Policy Consequences of Motivated Information Processing Among the Partisan Elite,American Politics Research,,,2014-07,2014,42,4,700-728,"All OA; Green, Accepted & Submitted",Article,"Anderson, Sarah E.; Harbridge, Laurel",,"Anderson, Sarah E. (University of California, Santa Barbara); Harbridge, Laurel (Northwestern University)",4,0,,0.95,https://escholarship.org/content/qt4cq2c1p1/qt4cq2c1p1.pdf?t=odg0p0,https://app.dimensions.ai/details/publication/pub.1042580626,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
15,100,pub.1013732005,10.1080/07343469.2013.852273,,,Delaying the Buck: Timing and Strategic Advantages in Executive-Legislative Bargaining over Appropriations,Congress & the Presidency,,,2014-01,2014,41,1,25-48,"All OA; Green, Accepted & Submitted",Article,"Anderson, Sarah E.; Woon, Jonathan",,"Anderson, Sarah E. (); Woon, Jonathan ()",2,0,,1.47,https://escholarship.org/content/qt1pm2b2vs/qt1pm2b2vs.pdf?t=odg0rw,https://app.dimensions.ai/details/publication/pub.1013732005,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
16,400,pub.1027671519,10.1007/s00267-013-0165-y,24065384,,Perspectives on Disconnects Between Scientific Information and Management Decisions on Post-fire Recovery in Western US,Environmental Management,,"Conservation of Natural Resources; Decision Making, Organizational; Decision Support Techniques; Fires; Government Agencies; Information Dissemination; Northwestern United States; Politics; Southwestern United States; Time Factors",2013-12,2013,52,6,1415-1426,"All OA; Green, Accepted & Submitted",Article,"Chen, Xiaoli; Emery, Nathan; Garcia, Elizabeth S.; Hanan, Erin J.; Hodges, Heather E.; Martin, Tyronne; Meyers, Matthew A.; Peavey, Lindsey E.; Peng, Hui; Santamaria, Jaime Sainz; Uyeda, Kellie A.; Anderson, Sarah E.; Tague, Christina","Anderson, Sarah E.","Chen, Xiaoli (University of California, Santa Barbara); Emery, Nathan (University of California, Santa Barbara); Garcia, Elizabeth S. (University of California, Santa Barbara); Hanan, Erin J. (University of California, Santa Barbara); Hodges, Heather E. (University of California System); Martin, Tyronne (University of California, Santa Barbara); Meyers, Matthew A. (University of California, Santa Barbara); Peavey, Lindsey E. (University of California, Santa Barbara); Peng, Hui (University of California, Santa Barbara; China Institute of Water Resources and Hydropower Research); Santamaria, Jaime Sainz (University of California, Santa Barbara); Uyeda, Kellie A. (University of California, Santa Barbara; San Diego State University); Anderson, Sarah E. (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",5,1,0,0.94,https://escholarship.org/content/qt35n8t4pf/qt35n8t4pf.pdf?t=odg0uy,https://app.dimensions.ai/details/publication/pub.1027671519,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
17,100,pub.1047308861,10.1002/rhc3.12044,,,The Electoral Politics of Disaster Preparedness,Risk Hazards & Crisis in Public Policy,,,2013-12,2013,4,4,234-249,Closed,Article,"Sainz‐Santamaria, Jaime; Anderson, Sarah E.",,"Sainz‐Santamaria, Jaime (); Anderson, Sarah E. ()",7,5,,4.32,,https://app.dimensions.ai/details/publication/pub.1047308861,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
18,100,pub.1001173254,10.1002/pam.21697,,,"Technical Management in an Age of Openness: The Political, Public, and Environmental Forest Ranger",Journal of Policy Analysis and Management,,,2013-06,2013,32,3,554-573,Closed,Article,"Anderson, Sarah E.; Hodges, Heather E.; Anderson, Terry L.",,"Anderson, Sarah E. (); Hodges, Heather E. (); Anderson, Terry L. ()",8,2,,4.65,,https://app.dimensions.ai/details/publication/pub.1001173254,14 Economics; 1606 Political Science; 16 Studies in Human Society; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,1606 Political Science,16 Studies in Human Society,1605 Policy and Administration,1402 Applied Economics
19,100,pub.1052711890,10.1111/j.1540-6210.2012.02627.x,,,Invitation Phone Calls Increase Attendance at Civic Meetings: Evidence from a Field Experiment,Public Administration Review,,,2013-03,2013,73,2,221-228,Closed,Article,"Hock, Scott; Anderson, Sarah; Potoski, Matthew",,"Hock, Scott (); Anderson, Sarah (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",16,4,,7.51,,https://app.dimensions.ai/details/publication/pub.1052711890,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
20,100,pub.1006701634,10.1111/j.1747-1346.2012.00396.x,,,Policy Domain‐Specific Ideology: When Interest Group Scores Offer More Insight,Politics &amp Policy,,,2012-12,2012,40,6,1186-1202,"All OA; Green, Accepted & Submitted",Article,"Anderson, Sarah E.",,"Anderson, Sarah E. (University of California, Santa Barbara)",1,1,,0.53,http://fiesta.bren.ucsb.edu/~sanderson/Are We Missing Something.pdf,https://app.dimensions.ai/details/publication/pub.1006701634,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
21,100,pub.1036775256,10.1111/j.1939-9162.2012.00056.x,,,Political Bargaining and the Timing of Congressional Appropriations,Legislative Studies Quarterly,,,2012-11,2012,37,4,409-436,Closed,Article,"Woon, Jonathan; Anderson, Sarah",,"Woon, Jonathan (University of Pittsburgh); Anderson, Sarah (University of California, Santa Barbara)",15,5,,9.91,,https://app.dimensions.ai/details/publication/pub.1036775256,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
22,100,pub.1039534018,10.1080/09644016.2011.589579,,,Complex constituencies: intense environmentalists and representation,Environmental Politics,,,2011-07,2011,20,4,547-565,Closed,Article,"Anderson, Sarah E.",,"Anderson, Sarah E. ()",10,4,,5.87,,https://app.dimensions.ai/details/publication/pub.1039534018,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
23,100,pub.1028710655,10.1111/j.1540-6210.2010.02160.x,,,"Incrementalism in Appropriations: Small Aggregation, Big Changes",Public Administration Review,,,2010-05,2010,70,3,464-474,Closed,Article,"Anderson, Sarah; Harbridge, Laurel",,"Anderson, Sarah (University of California System); Harbridge, Laurel (Northwestern University)",12,2,,6.32,,https://app.dimensions.ai/details/publication/pub.1028710655,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
24,100,pub.1059969045,10.1093/pan/mpn015,,,"Revisiting Adjusted ADA Scores for the U.S. Congress, 1947–2007",Political Analysis,,,2009,2009,17,1,83-88,Closed,Article,"Anderson, Sarah; Habel, Philip",,"Anderson, Sarah (University of California, Santa Barbara); Habel, Philip (Southern Illinois University Carbondale)",26,6,,12.81,,https://app.dimensions.ai/details/publication/pub.1059969045,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
