,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Trevor W Hayton. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,500,pub.1105098861,10.1021/acs.inorgchem.8b00966,29939730,,Oxidation of the 14-Membered Macrocycle Dibenzotetramethyltetraaza[14]annulene upon Ligation to the Uranyl Ion.,Inorganic Chemistry,,,7/16/18,2018,57,14,8317-8324,Closed,Article,"Assefa, Mikiyas K; Pedrick, Elizabeth A; Wakefield, Megan E; Wu, Guang; Hayton, Trevor W",,"Assefa, Mikiyas K (University of California, Santa Barbara); Pedrick, Elizabeth A (University of California, Santa Barbara); Wakefield, Megan E (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105098861,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
11,100,pub.1100403145,10.1002/9781119115557.ch4,,,Organometallic Actinide Complexes with Novel Oxidation States and Ligand Types,,Experimental and Theoretical Approaches to Actinide Chemistry,,2/8/18,2018,,,181-236,Closed,Chapter,"Hayton, Trevor W.; Kaltsoyannis, Nikolas",,"Hayton, Trevor W. (University of California, Santa Barbara); Kaltsoyannis, Nikolas ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1100403145,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
12,100,pub.1091221802,10.1016/j.jorganchem.2017.08.007,,,Promoting oxo functionalization in the uranyl ion by ligation to ketimides,Journal of Organometallic Chemistry,,,2018-02,2018,857,Coord. Chem. Rev. 254 2010,34-37,Closed,Article,"Seaman, Lani A.; Pedrick, Elizabeth A.; Wu, Guang; Hayton, Trevor W.","Hayton, Trevor W.","Seaman, Lani A. (University of California, Santa Barbara); Pedrick, Elizabeth A. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1091221802,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
13,500,pub.1099604799,10.1021/jacs.7b10960,29211459,,"An Organometallic Cu20 Nanocluster: Synthesis, Characterization, Immobilization on Silica, and ""Click"" Chemistry.",Journal of the American Chemical Society,,"Click Chemistry; Copper; Cycloaddition Reaction; Models, Molecular; Molecular Structure; Nanostructures; Organometallic Compounds; Silicon Dioxide",1/10/18,2018,140,1,394-400,Closed,Article,"Cook, Andrew W; Jones, Zachary R; Wu, Guang; Scott, Susannah L; Hayton, Trevor W",,"Cook, Andrew W (University of California, Santa Barbara); Jones, Zachary R (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Scott, Susannah L (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",20,20,,,,https://app.dimensions.ai/details/publication/pub.1099604799,0305 Organic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences; 0302 Inorganic Chemistry,0305 Organic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,0302 Inorganic Chemistry,
14,500,pub.1105148943,10.1039/c8sc02536c,30310590,PMC6115681,Synthesis and reactivity of a nickel( ii ) thioperoxide complex: demonstration of sulfide-mediated N 2 O reduction,Chemical Science,,,2018,2018,9,31,6580-6588,All OA; Gold,Article,"Hartmann, Nathaniel J; Wu, Guang; Hayton, Trevor W",,"Hartmann, Nathaniel J (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",3,3,,,https://pubs.rsc.org/en/content/articlepdf/2018/sc/c8sc02536c,https://app.dimensions.ai/details/publication/pub.1105148943,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
15,500,pub.1099720082,10.1039/c7dt04123c,29292425,,Understanding the origins of O yl –U–O yl bending in the uranyl (UO 2 2+ ) ion,Dalton Transactions,,,2018,2018,47,4,1003-1009,All OA; Gold,Article,"Hayton, Trevor W.",,"Hayton, Trevor W. (University of California, Santa Barbara)",1,1,,,https://doi.org/10.1039/c7dt04123c,https://app.dimensions.ai/details/publication/pub.1099720082,0307 Theoretical and Computational Chemistry; 0302 Inorganic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences,0307 Theoretical and Computational Chemistry,0302 Inorganic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,
16,200,pub.1085248398,10.1021/acs.organomet.7b00202,,,"Synthesis, Thermochemistry, Bonding, and 13 C NMR Chemical Shift Analysis of a Phosphorano-Stabilized Carbene of Thorium",Organometallics,,,12/11/17,2017,36,23,4519-4524,Closed,Article,"Smiles, Danil E.; Wu, Guang; Hrobárik, Peter; Hayton, Trevor W.",,"Smiles, Danil E. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hrobárik, Peter (Technical University of Berlin; Comenius University); Hayton, Trevor W. (University of California, Santa Barbara)",9,7,,2.45,,https://app.dimensions.ai/details/publication/pub.1085248398,0305 Organic Chemistry; 0302 Inorganic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences,0305 Organic Chemistry,0302 Inorganic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,
17,500,pub.1090388941,10.1021/acs.inorgchem.7b01062,28657306,,Subnanometer-Sized Copper Clusters: A Critical Re-evaluation of the Synthesis and Characterization of Cu8(MPP)4 (HMPP = 2-Mercapto-5-n-propylpyrimidine).,Inorganic Chemistry,,,7/17/17,2017,56,14,8390-8396,Closed,Article,"Nguyen, Thuy-Ai D; Cook, Andrew W; Wu, Guang; Hayton, Trevor W",,"Nguyen, Thuy-Ai D (University of California, Santa Barbara); Cook, Andrew W (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",1,1,0,0.24,,https://app.dimensions.ai/details/publication/pub.1090388941,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
18,500,pub.1085467154,10.1021/acs.inorgchem.7b00700,28504885,,Uranyl Coordination by the 14-Membered Macrocycle Dibenzotetramethyltetraaza[14]annulene.,Inorganic Chemistry,,,6/5/17,2017,56,11,6638-6644,Closed,Article,"Pedrick, Elizabeth A; Assefa, Mikiyas K; Wakefield, Megan E; Wu, Guang; Hayton, Trevor W",,"Pedrick, Elizabeth A (University of California, Santa Barbara); Assefa, Mikiyas K (University of California, Santa Barbara); Wakefield, Megan E (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",7,5,0.98,1.9,,https://app.dimensions.ai/details/publication/pub.1085467154,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
19,200,pub.1085371311,10.1021/acs.organomet.7b00123,,,Trapping of an Ni II Sulfide by a Co I Fulvene Complex,Organometallics,,,5/8/17,2017,36,9,1765-1769,"All OA; Green, Accepted & Submitted",Article,"Hartmann, Nathaniel J.; Wu, Guang; Hayton, Trevor W.",,"Hartmann, Nathaniel J. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",0,0,,0,https://escholarship.org/content/qt871225sq/qt871225sq.pdf?t=ovk4rf,https://app.dimensions.ai/details/publication/pub.1085371311,0305 Organic Chemistry; 0302 Inorganic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences,0305 Organic Chemistry,0302 Inorganic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,
20,500,pub.1055876636,10.1021/jacs.6b11673,27997174,PMC6097510,Lithium Enolates in the Enantioselective Construction of Tetrasubstituted Carbon Centers with Chiral Lithium Amides as Noncovalent Stereodirecting Auxiliaries.,Journal of the American Chemical Society,,Amides; Carbon; Carboxylic Acids; Lithium; Molecular Structure; Stereoisomerism,1/11/17,2017,139,1,527-533,"All OA; Green, Accepted & Submitted",Article,"Yu, Kai; Lu, Ping; Jackson, Jeffrey J; Nguyen, Thuy-Ai D; Alvarado, Joseph; Stivala, Craig E; Ma, Yun; Mack, Kyle A; Hayton, Trevor W; Collum, David B; Zakarian, Armen",,"Yu, Kai (University of California, Santa Barbara); Lu, Ping (University of California, Santa Barbara); Jackson, Jeffrey J (University of California, Santa Barbara); Nguyen, Thuy-Ai D (University of California, Santa Barbara); Alvarado, Joseph (University of California, Santa Barbara); Stivala, Craig E (University of California, Santa Barbara); Ma, Yun (Cornell University); Mack, Kyle A (Cornell University); Hayton, Trevor W (University of California, Santa Barbara); Collum, David B (Cornell University); Zakarian, Armen (University of California, Santa Barbara)",8,6,2.32,2.18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6097510,https://app.dimensions.ai/details/publication/pub.1055876636,0305 Organic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0305 Organic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,0306 Physical Chemistry (incl. Structural),
21,500,pub.1091928439,10.1039/c7sc03715e,29163924,PMC5674170,Synthesis of a terminal Ce( iv ) oxo complex by photolysis of a Ce( iii ) nitrate complex,Chemical Science,,,2017,2017,8,11,7873-7878,All OA; Gold,Article,"Assefa, Mikiyas K; Wu, Guang; Hayton, Trevor W",,"Assefa, Mikiyas K (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",7,7,0.94,1.93,https://pubs.rsc.org/en/content/articlepdf/2017/sc/c7sc03715e,https://app.dimensions.ai/details/publication/pub.1091928439,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
22,400,pub.1055094615,10.1021/acs.inorgchem.6b02385,27934431,,"Synthesis, Characterization, and Reactivity of the Group 11 Hydrido Clusters [Ag6H4(dppm)4(OAc)2] and [Cu3H(dppm)3(OAc)2].",Inorganic Chemistry,,,12/5/16,2016,55,23,12435-12440,"All OA; Green, Accepted & Submitted",Article,"Cook, Andrew W; Nguyen, Thuy-Ai D; Buratto, William R; Wu, Guang; Hayton, Trevor W",,"Cook, Andrew W (University of California, Santa Barbara); Nguyen, Thuy-Ai D (University of California, Santa Barbara); Buratto, William R (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",15,13,1.15,3.06,https://escholarship.org/content/qt9bm0100j/qt9bm0100j.pdf?t=ojk59f,https://app.dimensions.ai/details/publication/pub.1055094615,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
23,200,pub.1053779368,10.1021/acs.chemmater.6b03879,,,Ligand-Exchange-Induced Growth of an Atomically Precise Cu 29 Nanocluster from a Smaller Cluster,Chemistry of Materials,,,11/22/16,2016,28,22,8385-8390,"All OA; Green, Accepted & Submitted",Article,"Nguyen, Thuy-Ai D.; Jones, Zachary R.; Leto, Domenick F.; Wu, Guang; Scott, Susannah L.; Hayton, Trevor W.",,"Nguyen, Thuy-Ai D. (University of California, Santa Barbara); Jones, Zachary R. (University of California, Santa Barbara); Leto, Domenick F. (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Scott, Susannah L. (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",16,14,,,https://escholarship.org/content/qt55x5t8kb/qt55x5t8kb.pdf?t=ojk5fv,https://app.dimensions.ai/details/publication/pub.1053779368,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
24,400,pub.1055876099,10.1021/jacs.6b07932,27622564,,Formation of a Ce(IV) Oxo Complex via Inner Sphere Nitrate Reduction.,Journal of the American Chemical Society,,,10/5/16,2016,138,39,12743-12746,"All OA; Green, Accepted & Submitted",Article,"Damon, Peter L; Wu, Guang; Kaltsoyannis, Nikolas; Hayton, Trevor W",,"Damon, Peter L (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Kaltsoyannis, Nikolas (University of Manchester); Hayton, Trevor W (University of California, Santa Barbara)",20,9,1.91,,https://escholarship.org/content/qt5wj5p13x/qt5wj5p13x.pdf?t=oe5p61,https://app.dimensions.ai/details/publication/pub.1055876099,03 Chemical Sciences,03 Chemical Sciences,,,,
25,400,pub.1044329028,10.1021/jacs.6b08084,27606792,,Reactivity of a Nickel Sulfide with Carbon Monoxide and Nitric Oxide.,Journal of the American Chemical Society,,"Carbon Monoxide; Models, Molecular; Molecular Structure; Nickel; Nitric Oxide",9/28/16,2016,138,38,12352-5,"All OA; Green, Accepted & Submitted",Article,"Hartmann, Nathaniel J; Wu, Guang; Hayton, Trevor W",,"Hartmann, Nathaniel J (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",7,2,0.64,1.43,https://escholarship.org/content/qt37t8v74z/qt37t8v74z.pdf?t=oe5p7i,https://app.dimensions.ai/details/publication/pub.1044329028,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
26,400,pub.1055094259,10.1021/acs.inorgchem.6b01618,27598404,,"Synthesis, Electrochemistry, and Reactivity of the Actinide Trisulfides [K(18-crown-6)][An(η(3)-S3)(NR2)3] (An = U, Th; R = SiMe3).",Inorganic Chemistry,,,9/19/16,2016,55,18,9150-3,Closed,Article,"Smiles, Danil E; Wu, Guang; Hayton, Trevor W",,"Smiles, Danil E (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",3,1,0.29,0.67,,https://app.dimensions.ai/details/publication/pub.1055094259,0305 Organic Chemistry; 03 Chemical Sciences,0305 Organic Chemistry,03 Chemical Sciences,,,
27,400,pub.1055093866,10.1021/acs.inorgchem.6b00799,27177203,,Perturbation of the O-U-O Angle in Uranyl by Coordination to a 12-Membered Macrocycle.,Inorganic Chemistry,,,6/6/16,2016,55,11,5693-701,"All OA; Green, Accepted & Submitted",Article,"Pedrick, Elizabeth A; Schultz, Jason W; Wu, Guang; Mirica, Liviu M; Hayton, Trevor W",,"Pedrick, Elizabeth A (University of California, Santa Barbara); Schultz, Jason W (Washington University in St. Louis); Wu, Guang (University of California, Santa Barbara); Mirica, Liviu M (Washington University in St. Louis); Hayton, Trevor W (University of California, Santa Barbara)",10,3,1.23,2.05,https://escholarship.org/content/qt340655nv/qt340655nv.pdf?t=ocs5um,https://app.dimensions.ai/details/publication/pub.1055093866,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
28,200,pub.1055122882,10.1021/acs.organomet.5b00929,,,Synthesis and Reactivity of a U(IV) Dibenzyne Complex,Organometallics,,,2/22/16,2016,35,4,494-502,Closed,Article,"Pedrick, Elizabeth A.; Seaman, Lani A.; Scott, Joshua C.; Griego, Leonel; Wu, Guang; Hayton, Trevor W.",,"Pedrick, Elizabeth A. (University of California, Santa Barbara); Seaman, Lani A. (University of California, Santa Barbara); Scott, Joshua C. (University of California, Santa Barbara); Griego, Leonel (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara)",3,0,,0.62,,https://app.dimensions.ai/details/publication/pub.1055122882,0305 Organic Chemistry; 0302 Inorganic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences,0305 Organic Chemistry,0302 Inorganic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,
