,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is John M Cottle. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1112872252,10.1016/j.lithos.2019.03.021,,,Thermodynamic modelling of phosphate minerals and its implications for the development of P-T-t histories: A case study in garnet - monazite bearing metapelites,Lithos,,,2019-06,2019,334-335,Geological Society of America Bulletin 118 1–2 2006,141-160,Closed,Article,"Shrestha, Sudip; Larson, Kyle P.; Duesterhoeft, Erik; Soret, Mathieu; Cottle, John M.","Shrestha, Sudip","Shrestha, Sudip (University of British Columbia); Larson, Kyle P. (University of British Columbia); Duesterhoeft, Erik (Kiel University); Soret, Mathieu (University of British Columbia); Cottle, John M. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112872252,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1107731592,10.1016/j.gsf.2018.09.007,,,Campaign-style U-Pb titanite petrochronology; along-strike variations in timing of metamorphism in the Himalayan Metamorphic Core,Geoscience Frontiers,,,2019-05,2019,10,3,827-847,All OA; Gold,Article,"Mottram, Catherine M.; Cottle, John; Kylander-Clark, Andrew","Mottram, Catherine M.","Mottram, Catherine M. (University of Portsmouth); Cottle, John (University of California, Santa Barbara); Kylander-Clark, Andrew (University of California, Santa Barbara)",6,6,,,https://doi.org/10.1016/j.gsf.2018.09.007,https://app.dimensions.ai/details/publication/pub.1107731592,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1101559291,10.1016/j.gsf.2018.02.008,,,"Timing of metamorphism and deformation in the Swat valley, northern Pakistan: insight into garnet-monazite HREE partitioning",Geoscience Frontiers,,,2019-05,2019,10,3,849-861,All OA; Gold,Article,"Larson, Kyle P.; Ali, Asghar; Shrestha, Sudip; Soret, Mathieu; Cottle, John M.; Ahmad, Rafique","Larson, Kyle P.","Larson, Kyle P. (University of British Columbia); Ali, Asghar (University of British Columbia; University of Peshawar); Shrestha, Sudip (University of British Columbia); Soret, Mathieu (University of British Columbia); Cottle, John M. (University of California, Santa Barbara); Ahmad, Rafique (Bacha Khan University)",4,4,,,https://doi.org/10.1016/j.gsf.2018.02.008,https://app.dimensions.ai/details/publication/pub.1101559291,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
13,100,pub.1086155202,10.1016/j.gsf.2017.05.010,,,Preservation of a Paleoproterozoic rifted margin in the Himalaya: Insight from the Ulleri-Phaplu-Melung orthogneiss,Geoscience Frontiers,,,2019-05,2019,10,3,873-883,All OA; Gold,Article,"Larson, K.; Piercey, S.; Cottle, J.","Larson, K.","Larson, K. (University of British Columbia); Piercey, S. (Memorial University of Newfoundland); Cottle, J. (University of California, Santa Barbara)",3,3,,,https://doi.org/10.1016/j.gsf.2017.05.010,https://app.dimensions.ai/details/publication/pub.1086155202,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1112199427,10.1111/jmg.12479,,,"Mesozoic to Cenozoic tectono‐metamorphic history of the South Pamir–Hindu Kush (Chitral, NW Pakistan): Insights from phase equilibria modelling, and garnet–monazite petrochronology",Journal of Metamorphic Geology,,,2019-04-25,2019,37,5,633-666,Closed,Article,"Soret, Mathieu; Larson, Kyle P.; Cottle, John M.; Smit, Matthijs; Johnson, Alex; Shrestha, Sudip; Ali, Asghar; Faisal, Shah",,"Soret, Mathieu (University of British Columbia); Larson, Kyle P. (University of British Columbia); Cottle, John M. (University of California, Santa Barbara); Smit, Matthijs (University of British Columbia); Johnson, Alex (University of California, Santa Barbara); Shrestha, Sudip (University of British Columbia); Ali, Asghar (University of British Columbia; University of Peshawar); Faisal, Shah (University of British Columbia; University of Peshawar)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112199427,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1113461919,10.1007/s11631-019-00337-x,,,Zircon chemistry and new laser ablation U–Pb ages for uraniferous granitoids in SW Cameroon,Acta Geochimica,,,2019-04-13,2019,,,1-24,Closed,Article,"Embui, V. F.; Suh, C. E.; Cottle, J. M.; Etame, J.; Mendes, J.; Agyingi, C. M.; Vishiti, A.; Shemang, E. M.; Lehmann, B.","Embui, V. F.","Embui, V. F. (University of Buea; Institute of Geological and Mining Research); Suh, C. E. (University of Buea; University of Bamenda); Cottle, J. M. (University of California, Santa Barbara); Etame, J. (University of Douala); Mendes, J. (Federal University of Rio de Janeiro); Agyingi, C. M. (University of Buea); Vishiti, A. (University of Douala); Shemang, E. M. (Botswana International University of Science and Technology); Lehmann, B. (Clausthal University of Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113461919,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1111979154,10.1016/j.epsl.2019.01.040,,,Extreme enriched and heterogeneous 87Sr/86Sr ratios recorded in magmatic plagioclase from the Samoan hotspot,Earth and Planetary Science Letters,,,2019-04,2019,511,Nature 336 1988,190-201,Closed,Article,"Edwards, M.A.; Jackson, M.G.; Kylander-Clark, A.R.C.; Harvey, J.; Hagen-Peter, G.A.; Seward, G.G.E.; Till, C.B.; Adams, J.V.; Cottle, J.M.; Hacker, B.R.; Spera, F.J.","Edwards, M.A.","Edwards, M.A. (University of California, Santa Barbara); Jackson, M.G. (University of California, Santa Barbara); Kylander-Clark, A.R.C. (University of California, Santa Barbara); Harvey, J. (University of Leeds); Hagen-Peter, G.A. (Aarhus University); Seward, G.G.E. (University of California, Santa Barbara); Till, C.B. (Arizona State University); Adams, J.V. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Spera, F.J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111979154,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
17,100,pub.1110808622,10.1130/l1021.1,,,Accessory mineral petrochronology reveals 30 m.y. of partial melting during the separation of Zealandia from eastern Gondwana,Литосфера,,,2019-02-01,2019,11,1,169-189,All OA; Gold,Article,"Briggs, Sophie I.; Cottle, John M.",,"Briggs, Sophie I. (University of California, Santa Barbara); Cottle, John M. (University of California, Santa Barbara)",1,1,,,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/11/1/169/4618456/169.pdf,https://app.dimensions.ai/details/publication/pub.1110808622,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1107797667,10.1111/jmg.12459,,,"Tectonometamorphic evolution of the tip of the Himalayan metamorphic core in the Jajarkot klippe, west Nepal",Journal of Metamorphic Geology,,,2019-02,2019,37,2,239-269,Closed,Article,"La Roche, Renaud Soucy; Godin, Laurent; Cottle, John M.; Kellett, Dawn A.",,"La Roche, Renaud Soucy (Queen's University; Geological Survey of Canada); Godin, Laurent (Queen's University); Cottle, John M. (University of California, Santa Barbara); Kellett, Dawn A. (Geological Survey of Canada)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1107797667,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1111500785,10.1144/sp483.15,,,Gneiss Dome Formation in the Himalaya and southern Tibet,Geological Society London Special Publications,,,2019,2019,483,1,401-422,Closed,Article,"Jessup, Micah J.; Langille, Jackie M.; Diedesch, Timothy F.; Cottle, John M.",,"Jessup, Micah J. (University of Tennessee at Knoxville); Langille, Jackie M. (University of North Carolina at Asheville); Diedesch, Timothy F. (Georgia Southern University); Cottle, John M. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1111500785,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1105687089,10.1144/sp483.2,,,"The South Tibetan Detachment System: history, advances, definition and future directions",Geological Society London Special Publications,,,2019,2019,483,1,377-400,Closed,Article,"Kellett, Dawn A.; Cottle, John M.; Larson, Kyle P.",,"Kellett, Dawn A. (); Cottle, John M. (University of California, Santa Barbara); Larson, Kyle P. (University of British Columbia)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1105687089,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1105010021,10.1016/j.gr.2018.06.002,,,"The secular development of accretionary orogens: linking the Gondwana magmatic arc record of West Antarctica, Australia and South America",Gondwana Research,,,2018-11,2018,63,Gondwana Research 22 2012,15-33,Closed,Article,"Nelson, D.A.; Cottle, J.M.","Nelson, D.A.","Nelson, D.A. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1105010021,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,200,pub.1106491971,10.1093/petrology/egy087,,,"Textural and Mineralogical Record of Low Pressure Melt Extraction and Silicic Cumulate Formation in the late Miocene Risco Bayo-Huemul Plutonic Complex, Southern Andes",Journal of Petrology,,,2018-09-07,2018,,,,Closed,Article,"Schaen, Allen J; Singer, Brad S; Cottle, John M; Garibaldi, Nicolas; Schoene, Blair; Satkoski, Aaron M; Fournelle, John",,"Schaen, Allen J (University of Wisconsin–Madison); Singer, Brad S (University of Wisconsin–Madison); Cottle, John M (); Garibaldi, Nicolas (University of Wisconsin–Madison); Schoene, Blair (Princeton University); Satkoski, Aaron M (University of Wisconsin–Madison); Fournelle, John (University of Wisconsin–Madison)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1106491971,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
23,100,pub.1101838020,10.1111/jmg.12313,,,"Record of plate boundary metamorphism during Gondwana breakup from Lu–Hf garnet geochronology of the Alpine Schist, New Zealand",Journal of Metamorphic Geology,,,2018-09,2018,36,7,821-841,Closed,Article,"Briggs, Sophie I.; Cottle, John M.; Smit, Matthijs A.",,"Briggs, Sophie I. (University of California, Santa Barbara); Cottle, John M. (University of California, Santa Barbara); Smit, Matthijs A. (University of British Columbia)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1101838020,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
24,100,pub.1103955403,10.1016/j.jsg.2018.05.002,,,"Thermobarometry of the Moine and Sgurr Beag thrust sheets, northern Scotland",Journal of Structural Geology,,,2018-08,2018,113,Geol. Soc. Am. Bull. 118 2006,10-32,"All OA; Green, Accepted & Submitted",Article,"Mazza, Sarah E.; Mako, Calvin; Law, Richard D.; Caddick, Mark J.; Krabbendam, Maarten; Cottle, John","Mazza, Sarah E.","Mazza, Sarah E. (Virginia Tech); Mako, Calvin (Virginia Tech); Law, Richard D. (Virginia Tech); Caddick, Mark J. (Virginia Tech); Krabbendam, Maarten (British Geological Survey); Cottle, John (University of California, Santa Barbara)",2,2,,,http://nora.nerc.ac.uk/id/eprint/521521/1/Thermobarometry%20of%20the%20Moine%20and%20Sgurr%20Beag%20thrust%20sheets_NORA.pdf,https://app.dimensions.ai/details/publication/pub.1103955403,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1105556348,10.1130/b31998.1,,,"Late Cretaceous to Miocene volcanism, sedimentation, and upper-crustal faulting and folding in the Principal Cordillera, central Chile: Field and geochronological evidence for protracted arc volcanism and transpressive deformation",Geological Society of America Bulletin,,,2018-07-12,2018,,,,Closed,Article,"Mosolf, Jesse G.; Gans, Phillip B.; Wyss, Andre R.; Cottle, John M.; Flynn, John J.",,"Mosolf, Jesse G. (University of California, Santa Barbara; Montana Tech of the University of Montana); Gans, Phillip B. (University of California, Santa Barbara); Wyss, Andre R. (University of California, Santa Barbara); Cottle, John M. (University of California, Santa Barbara); Flynn, John J. (American Museum of Natural History)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105556348,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,200,pub.1103769546,10.1016/j.epsl.2018.04.032,,,Erratum to “Cenozoic deep crust in the Pamir” [Earth Planet. Sci. Lett. 312 (2011) 411–421],Earth and Planetary Science Letters,,,2018-07,2018,493,,172,Closed,Article,"Schmidt, Jennifer; Hacker, Bradley R.; Ratschbacher, Lothar; Stübner, Konstanze; Stearns, Michael; Kylander-Clark, Andrew; Cottle, John M.; Webb, A. Alexander G.; Gehrels, George; Minaev, Vladislav","Hacker, Bradley R.","Schmidt, Jennifer (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Stübner, Konstanze (Freiberg University Of Mining And Technology); Stearns, Michael (University of California, Santa Barbara); Kylander-Clark, Andrew (University of California, Santa Barbara); Cottle, John M. (University of California, Santa Barbara); Webb, A. Alexander G. (Louisiana State University); Gehrels, George (University of Arizona); Minaev, Vladislav (Academy of Sciences of the Republic of Tajikistan)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103769546,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
27,100,pub.1103910061,10.1016/j.lithos.2018.05.003,,,Contrasting Accessory Mineral behavior in minimum-temperature melts: empirical constraints from the Himalayan Metamorphic Core,Lithos,,,2018-07,2018,312-313,Chem. Geol. 351 2013,57-71,Closed,Article,"Cottle, John M.; Larson, Kyle P.; Yakymchuk, Chris","Cottle, John M.","Cottle, John M. (University of California, Santa Barbara); Larson, Kyle P. (University of British Columbia); Yakymchuk, Chris (University of Waterloo)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1103910061,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1103176133,10.1130/g40097.1,,,"Renewed late Miocene (<8 Ma) hinterland ductile thrusting, western Nepal Himalaya",Geology,,,2018-06-01,2018,46,6,503-506,Closed,Article,"Braden, Zoe; Godin, Laurent; Cottle, John; Yakymchuk, Chris",,"Braden, Zoe (Queen's University); Godin, Laurent (Queen's University); Cottle, John (University of California, Santa Barbara); Yakymchuk, Chris (University of Waterloo)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1103176133,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1103447285,10.1002/2017tc004847,,,"Preservation of the Early Evolution of the Himalayan Middle Crust in Foreland Klippen: Insights from the Karnali Klippe, West Nepal",Tectonics,,,2018-05,2018,37,5,1161-1193,Closed,Article,"La Roche, Renaud Soucy; Godin, Laurent; Cottle, John M.; Kellett, Dawn A.",,"La Roche, Renaud Soucy (Queen's University); Godin, Laurent (Queen's University); Cottle, John M. (University of California, Santa Barbara); Kellett, Dawn A. (Geological Survey of Canada)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1103447285,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1093030372,10.1016/j.gr.2017.11.006,,,"Evaluating the relative roles of crustal growth versus reworking through continental arc magmatism: A case study from the Ross orogen, Antarctica",Gondwana Research,,,2018-03,2018,55,Tectonophysics 296 1998,153-166,Closed,Article,"Hagen-Peter, Graham; Cottle, John","Hagen-Peter, Graham","Hagen-Peter, Graham (University of California, Santa Barbara; Aarhus University); Cottle, John (University of California, Santa Barbara)",6,5,,,,https://app.dimensions.ai/details/publication/pub.1093030372,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
31,100,pub.1093152591,10.1002/9781119227250.ch4,,,Application of Single‐Shot Laser Ablation Split‐Stream Inductively Coupled Plasma Mass Spectrometry to Accessory Phase Petrochronology,Geophysical Monograph Series,Microstructural Geochronology,,2018-01-29,2018,,,91-111,Closed,Chapter,"Cottle, John M.; Stearns, Michael A.",,"Cottle, John M. (University of California, Santa Barbara); Stearns, Michael A. (University of Utah)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1093152591,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
32,200,pub.1101740858,10.3190/jgeosci.247,,,Petrology and geochronology of felsic volcanics in the Sabga area (Bamenda Highlands): implications for age variation along the Cameroon Volcanic Line,Journal of Geosciences,,,2018-01-23,2018,,,231-246,All OA; Gold,Article,"Bate Tibang, E.E.; Suh, C.E.; Cottle, J.; Ateh, K.I.; Tiabou, A.F.; Nche, L.A.; Che, V.B.; Vishiti, A.",,"Bate Tibang, E.E. (); Suh, C.E. (); Cottle, J. (); Ateh, K.I. (); Tiabou, A.F. (); Nche, L.A. (); Che, V.B. (); Vishiti, A. ()",1,1,,,http://www.jgeosci.org/content/jgeosci.247_bate_tibang.pdf,https://app.dimensions.ai/details/publication/pub.1101740858,,,,,,
33,200,pub.1110406316,10.1130/abs/2018am-316786,,,TIMESCALES OF PLUTON EMPLACEMENT AND RHYOLITE MELT EXTRACTION FROM U-PB TIMS DATING OF ZIRCON AND 40 AR/ 39 AR THERMOCHRONOLOGY WITHIN THE RISCO BAYO-HUEMUL PLUTONIC COMPLEX,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Schaen, Allen; Schoene, Blair; Singer, Brad S.; Jicha, Brian R.; Cottle, John M.; Samperton, Kyle Michael",,"Schaen, Allen (); Schoene, Blair (); Singer, Brad S. (); Jicha, Brian R. (); Cottle, John M. (); Samperton, Kyle Michael ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110406316,,,,,,
34,100,pub.1092942532,10.1002/2017tc004611,,,Long‐Term Geochemical and Geodynamic Segmentation of the Paleo‐Pacific Margin of Gondwana: Insight From the Antarctic and Adjacent Sectors,Tectonics,,,2017-12,2017,36,12,3229-3247,Closed,Article,"Nelson, D. A.; Cottle, J. M.",,"Nelson, D. A. (University of California, Santa Barbara); Cottle, J. M. (University of California, Santa Barbara)",5,5,,1.79,,https://app.dimensions.ai/details/publication/pub.1092942532,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
35,100,pub.1083777426,10.1080/00206814.2017.1286613,,,"Late Oligocene–Miocene mantle upwelling and interaction inferred from mantle signatures in gabbroic to granitic rocks from the Urumieh–Dokhtar arc, south Ardestan, Iran",International Geology Review,,,2017-09-10,2017,59,12,1-19,Closed,Article,"Babazadeh, Shahrouz; Ghorbani, Mohammad Reza; Bröcker, Michael; D’Antonio, Massimo; Cottle, John; Gebbing, Thorsten; Mazzeo, Fabio Carmine; Ahmadi, Parham",,"Babazadeh, Shahrouz (Tarbiat Modares University); Ghorbani, Mohammad Reza (Tarbiat Modares University); Bröcker, Michael (University of Münster); D’Antonio, Massimo (University of Naples Federico II); Cottle, John (University of California, Santa Barbara); Gebbing, Thorsten (University of Münster); Mazzeo, Fabio Carmine (University of Naples Federico II); Ahmadi, Parham (Tarbiat Modares University)",7,7,,2.69,,https://app.dimensions.ai/details/publication/pub.1083777426,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
