,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Christopher C Sorlien. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1036801955,10.1002/ggge.20112,,,"The Palos Verdes anticlinorium along the Los Angeles, California coast: Implications for underlying thrust faulting",Geochemistry Geophysics Geosystems,,,2013-06,2013,14,6,1866-1890,Closed,Article,"Sorlien, Christopher C.; Seeber, Leonardo; Broderick, Kris G.; Luyendyk, Bruce P.; Fisher, Michael A.; Sliter, Ray W.; Normark, William R.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Seeber, Leonardo (Columbia University); Broderick, Kris G. (); Luyendyk, Bruce P. (University of California, Santa Barbara); Fisher, Michael A. (United States Geological Survey); Sliter, Ray W. (United States Geological Survey); Normark, William R. ()",6,3,,0.9,,https://app.dimensions.ai/details/publication/pub.1036801955,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1025338549,10.1130/g32652.1,,,Evidence for widespread creep on the flanks of the Sea of Marmara transform basin from marine geophysical data,Geology,,,5/1/12,2012,40,5,439-442,"All OA; Green, Published",Article,"Shillington, D.J.; Seeber, L.; Sorlien, C.C.; Steckler, M.S.; Kurt, H.; Dondurur, D.; Çifçi, G.; İmren, C.; Cormier, M.-H.; McHugh, C.M.G.; Gürçay, S.; Poyraz, D.; Okay, S.; Atgın, O.; Diebold, J.B.",,"Shillington, D.J. (Lamont-Doherty Earth Observatory); Seeber, L. (Lamont-Doherty Earth Observatory); Sorlien, C.C. (University of California, Santa Barbara); Steckler, M.S. (Lamont-Doherty Earth Observatory); Kurt, H. (Istanbul Technical University); Dondurur, D. (Dokuz Eylül University); Çifçi, G. (Dokuz Eylül University); İmren, C. (Istanbul Technical University); Cormier, M.-H. (University of Missouri); McHugh, C.M.G. (Lamont-Doherty Earth Observatory); Gürçay, S. (Dokuz Eylül University); Poyraz, D. (Istanbul Technical University); Okay, S. (Dokuz Eylül University); Atgın, O. (Dokuz Eylül University); Diebold, J.B. (Lamont-Doherty Earth Observatory)",31,10,,5.1,https://academiccommons.columbia.edu/doi/10.7916/D8HD858H/download,https://app.dimensions.ai/details/publication/pub.1025338549,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1043129202,10.5194/sd-13-61-2012,,,Continental Transform Boundaries: Tectonic Evolution and Geohazards,Scientific Drilling,,,4/1/12,2012,13,13,61-64,All OA; Gold,Article,"McHugh, C. M. G.; Seeber, L.; Çağatay, M. N.; Henry, P.; Sorlien, C.; Steckler, M.; Uçarkuş, G.",,"McHugh, C. M. G. (Queens College, City University of New York); Seeber, L. (Lamont-Doherty Earth Observatory); Çağatay, M. N. (Istanbul Technical University); Henry, P. (French National Centre for Scientific Research); Sorlien, C. (University of California, Santa Barbara); Steckler, M. (Lamont-Doherty Earth Observatory); Uçarkuş, G. (Istanbul Technical University)",0,0,,,https://www.sci-dril.net/13/61/2012/sd-13-61-2012.pdf,https://app.dimensions.ai/details/publication/pub.1043129202,04 Earth Sciences,04 Earth Sciences,,,,
13,100,pub.1003113926,10.1016/j.tecto.2011.10.006,,,"Uniform basin growth over the last 500ka, North Anatolian Fault, Marmara Sea, Turkey",Tectonophysics,,,2012-01,2012,518,Marine Geology 153 1999,16-Jan,Closed,Article,"Sorlien, Christopher C.; Akhun, Selin D.; Seeber, Leonardo; Steckler, Michael S.; Shillington, Donna J.; Kurt, Hülya; Çifçi, Günay; Poyraz, Duygu Timur; Gürçay, Savaş; Dondurur, Derman; İmren, Caner; Perinçek, Emre; Okay, Seda; Küçük, H. Mert; Diebold, John B.","Sorlien, Christopher C.","Sorlien, Christopher C. (University of California, Santa Barbara; University of Missouri); Akhun, Selin D. (Dokuz Eylül University); Seeber, Leonardo (Lamont-Doherty Earth Observatory); Steckler, Michael S. (Lamont-Doherty Earth Observatory); Shillington, Donna J. (Lamont-Doherty Earth Observatory); Kurt, Hülya (Istanbul Technical University); Çifçi, Günay (Dokuz Eylül University); Poyraz, Duygu Timur (Istanbul Technical University); Gürçay, Savaş (Dokuz Eylül University); Dondurur, Derman (Dokuz Eylül University); İmren, Caner (Istanbul Technical University); Perinçek, Emre (Istanbul Technical University); Okay, Seda (Dokuz Eylül University); Küçük, H. Mert (Dokuz Eylül University); Diebold, John B. (Lamont-Doherty Earth Observatory)",20,6,,3.41,,https://app.dimensions.ai/details/publication/pub.1003113926,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
14,100,pub.1005519019,10.1130/g31815.1,,,Offshore sedimentary effects of the 12 January 2010 Haiti earthquake,Geology,,,8/1/11,2011,39,8,723-726,Closed,Article,"McHugh, Cecilia M.; Seeber, Leonardo; Braudy, Nicole; Cormier, Marie-Helene; Davis, Marcy B.; Diebold, John B.; Dieudonne, Nicole; Douilly, Roby; Gulick, Sean P.S.; Hornbach, Matthew J.; Johnson, Harold E.; Mishkin, Katherine Ryan; Sorlien, Christopher C.; Steckler, Michael S.; Symithe, Steeve J.; Templeton, John",,"McHugh, Cecilia M. (Queens College, City University of New York; Lamont-Doherty Earth Observatory); Seeber, Leonardo (Lamont-Doherty Earth Observatory); Braudy, Nicole (Queens College, City University of New York); Cormier, Marie-Helene (University of Missouri); Davis, Marcy B. (The University of Texas at Austin); Diebold, John B. (Lamont-Doherty Earth Observatory); Dieudonne, Nicole (); Douilly, Roby (); Gulick, Sean P.S. (The University of Texas at Austin); Hornbach, Matthew J. (The University of Texas at Austin); Johnson, Harold E. (University of Missouri); Mishkin, Katherine Ryan (Queens College, City University of New York); Sorlien, Christopher C. (University of California, Santa Barbara); Steckler, Michael S. (Lamont-Doherty Earth Observatory); Symithe, Steeve J. (); Templeton, John (Lamont-Doherty Earth Observatory)",43,8,,6.08,,https://app.dimensions.ai/details/publication/pub.1005519019,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
15,100,pub.1026987225,10.1038/ngeo975,,,High tsunami frequency as a result of combined strike-slip faulting and coastal landslides,Nature Geoscience,,,2010-11,2010,3,11,783-788,Closed,Article,"Hornbach, Matthew J.; Braudy, Nicole; Briggs, Richard W.; Cormier, Marie-Helene; Davis, Marcy B.; Diebold, John B.; Dieudonne, Nicole; Douilly, Roby; Frohlich, Cliff; Gulick, Sean P. S.; Johnson III, Harold E.; Mann, Paul; McHugh, Cecilia; Ryan-Mishkin, Katherine; Prentice, Carol S.; Seeber, Leonardo; Sorlien, Christopher C.; Steckler, Michael S.; Symithe, Steeve Julien; Taylor, Frederick W.; Templeton, John","Hornbach, Matthew J.","Hornbach, Matthew J. (The University of Texas at Austin); Braudy, Nicole (Queens College, City University of New York); Briggs, Richard W. (United States Geological Survey); Cormier, Marie-Helene (University of Missouri; Lamont-Doherty Earth Observatory); Davis, Marcy B. (The University of Texas at Austin); Diebold, John B. (Lamont-Doherty Earth Observatory); Dieudonne, Nicole (); Douilly, Roby (); Frohlich, Cliff (The University of Texas at Austin); Gulick, Sean P. S. (The University of Texas at Austin); Johnson III, Harold E. (University of Missouri); Mann, Paul (The University of Texas at Austin); McHugh, Cecilia (Queens College, City University of New York; Lamont-Doherty Earth Observatory); Ryan-Mishkin, Katherine (Queens College, City University of New York); Prentice, Carol S. (United States Geological Survey); Seeber, Leonardo (Lamont-Doherty Earth Observatory); Sorlien, Christopher C. (University of California, Santa Barbara); Steckler, Michael S. (Lamont-Doherty Earth Observatory); Symithe, Steeve Julien (); Taylor, Frederick W. (The University of Texas at Austin); Templeton, John (Lamont-Doherty Earth Observatory)",44,10,,6.53,,https://app.dimensions.ai/details/publication/pub.1026987225,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
16,100,pub.1040166485,10.1029/2010eo040001,,,Continental Transform Basins: Why Are They Asymmetric?,Eos,,,1/26/10,2010,91,4,29-30,All OA; Gold,Article,"Seeber, Leonardo; Sorlien, Christopher; Steckler, Michael; Cormier, Marie‐Helene",,"Seeber, Leonardo (Lamont-Doherty Earth Observatory); Sorlien, Christopher (University of California, Santa Barbara); Steckler, Michael (Lamont-Doherty Earth Observatory); Cormier, Marie‐Helene ()",16,1,,1.97,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010EO040001,https://app.dimensions.ai/details/publication/pub.1040166485,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
17,200,pub.1088799226,10.1130/2009.2454(4.4),,,"Potential earthquake faults offshore Southern California, from the eastern Santa Barbara Channel south to Dana Point",,Earth Science in the Urban Ocean: The Southern California Continental Borderland,,2009,2009,,,,Closed,Chapter,"Fisher, Michael A.; Sorlien, Christopher C.; Sliter, Ray W.",,"Fisher, Michael A. (); Sorlien, Christopher C. (); Sliter, Ray W. ()",6,4,,,,https://app.dimensions.ai/details/publication/pub.1088799226,,,,,,
18,100,pub.1028774021,10.1785/0120060236,,,"Subsidence, Compaction, and Gravity Sliding: Implications for 3D Geometry, Dynamic Rupture, and Seismic Hazard of Active Basin- Bounding Faults in Southern California",Bulletin of the Seismological Society of America,,,10/1/07,2007,97,5,1607-1620,Closed,Article,"Nicholson, Craig; Kamerling, Marc J.; Sorlien, Christopher C.; Hopps, Thomas E.; Gratier, Jean-Pierre",,"Nicholson, Craig (University of California, Santa Barbara); Kamerling, Marc J. (); Sorlien, Christopher C. (University of California, Santa Barbara); Hopps, Thomas E. (); Gratier, Jean-Pierre (Joseph Fourier University)",8,2,,0.98,,https://app.dimensions.ai/details/publication/pub.1028774021,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
19,100,pub.1038330041,10.1130/g23387a.1,,,Oligocene development of the West Antarctic Ice Sheet recorded in eastern Ross Sea strata,Geology,,,2007,2007,35,5,467-470,Closed,Article,"Sorlien, Christopher C.; Luyendyk, Bruce P.; Wilson, Douglas S.; Decesari, Robert C.; Bartek, Louis R.; Diebold, John B.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara); Wilson, Douglas S. (University of California, Santa Barbara); Decesari, Robert C. (University of California, Santa Barbara); Bartek, Louis R. (University of North Carolina System); Diebold, John B. (Lamont-Doherty Earth Observatory)",20,7,,1.88,,https://app.dimensions.ai/details/publication/pub.1038330041,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
20,100,pub.1036148378,10.1029/2005jb003632,,,"Restraining segments and reactivation of the Santa Monica–Dume–Malibu Coast fault system, offshore Los Angeles, California",Journal of Geophysical Research,,,2006-11,2006,111,B11,n/a-n/a,All OA; Gold,Article,"Sorlien, Christopher C.; Kamerling, Marc J.; Seeber, Leonardo; Broderick, Kris G.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Kamerling, Marc J. (University of California, Santa Barbara); Seeber, Leonardo (Columbia University); Broderick, Kris G. (University of California, Santa Barbara)",12,2,,1.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005JB003632,https://app.dimensions.ai/details/publication/pub.1036148378,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1045743493,10.1029/2006eo210001,,,Santa Barbara basin study extends global climate record,Eos,,,2006,2006,87,21,205-208,All OA; Gold,Article,"Hopkins, Sarah; Kennett, James; Nicholson, Craig; Pak, Dorothy; Sorlien, Christopher; Behl, Richard; Normark, William; Sliter, Ray; Hill, Tessa; Schimmelmann, Arndt; Cannariato, Kevin",,"Hopkins, Sarah (University of California, Santa Barbara); Kennett, James (University of California, Santa Barbara); Nicholson, Craig (University of California, Santa Barbara); Pak, Dorothy (University of California, Santa Barbara); Sorlien, Christopher (University of California, Santa Barbara); Behl, Richard (California State University, Long Beach); Normark, William (United States Geological Survey); Sliter, Ray (United States Geological Survey); Hill, Tessa (); Schimmelmann, Arndt (Indiana University Bloomington); Cannariato, Kevin (University of Southern California)",7,1,,0.82,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006EO210001,https://app.dimensions.ai/details/publication/pub.1045743493,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
22,100,pub.1006313555,10.1130/g22520a.1,,,"Rapid subsidence and sedimentation from oblique slip near a bend on the North Anatolian transform fault in the Marmara Sea, Turkey",Geology,,,2006,2006,34,11,933-936,Closed,Article,"Seeber, Leonardo; Cormier, Marie-Helene; McHugh, Cecilia; Emre, Omer; Polonia, Alina; Sorlien, Christopher",,"Seeber, Leonardo (); Cormier, Marie-Helene (); McHugh, Cecilia (); Emre, Omer (); Polonia, Alina (); Sorlien, Christopher (University of California, Santa Barbara)",39,10,,4.55,,https://app.dimensions.ai/details/publication/pub.1006313555,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1015661794,10.1785/0120050042,,,"Recent Deformation along the Offshore Malibu Coast, Dume, and Related Faults West of Point Dume, Southern California",Bulletin of the Seismological Society of America,,,12/1/05,2005,95,6,2486-2500,Closed,Article,"Fisher, Michael A.; Langenheim, Victoria E.; Sorlien, Christopher C.; Dartnell, Peter; Sliter, Ray W.; Cochrane, Guy R.; Wong, Florence L.",,"Fisher, Michael A. (); Langenheim, Victoria E. (); Sorlien, Christopher C. (University of California, Santa Barbara); Dartnell, Peter (); Sliter, Ray W. (); Cochrane, Guy R. (); Wong, Florence L. ()",8,1,,0.88,,https://app.dimensions.ai/details/publication/pub.1015661794,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
24,100,pub.1012409120,10.1016/j.tecto.2004.07.015,,,"Uplift and subsidence from oblique slip: the Ganos–Marmara bend of the North Anatolian Transform, western Turkey",Tectonophysics,,,2004-10,2004,391,4-Jan,239-258,Closed,Article,"Seeber, L.; Emre, O.; Cormier, M.-H.; Sorlien, C.C.; McHugh, C.M.G.; Polonia, A.; Ozer, N.; Cagatay, N.; Sea, The team of the 2000 R/V Urania Cruise in the Marmara","Seeber, L.","Seeber, L. (Lamont-Doherty Earth Observatory); Emre, O. (); Cormier, M.-H. (Lamont-Doherty Earth Observatory); Sorlien, C.C. (University of California, Santa Barbara); McHugh, C.M.G. (Lamont-Doherty Earth Observatory); Polonia, A. (National Research Council); Ozer, N. (Istanbul University); Cagatay, N. (Istanbul Technical University); Sea, The team of the 2000 R/V Urania Cruise in the Marmara (Lamont-Doherty Earth Observatory; University of California, Santa Barbara; National Research Council; Istanbul University; Istanbul Technical University)",54,6,,4.8,,https://app.dimensions.ai/details/publication/pub.1012409120,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1020809773,10.1029/2000tc001260,,,"Structural and tectonic evolution of the Ross Sea rift in the Cape Colbeck region, Eastern Ross Sea, Antarctica",Tectonics,,,2001-12,2001,20,6,933-958,All OA; Gold,Article,"Luyendyk, Bruce P.; Sorlien, Christopher C.; Wilson, Douglas S.; Bartek, Louis R.; Siddoway, Christine S.",,"Luyendyk, Bruce P. (); Sorlien, Christopher C. (); Wilson, Douglas S. (); Bartek, Louis R. (); Siddoway, Christine S. ()",28,3,,2.81,http://onlinelibrary.wiley.com/doi/10.1029/2000TC001260/pdf,https://app.dimensions.ai/details/publication/pub.1020809773,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1043244011,10.1029/2000tc001218,,,"Cenozoic tectonics of the Cape Roberts Rift Basin and Transantarctic Mountains Front, Southwestern Ross Sea, Antarctica",Tectonics,,,2001-06,2001,20,3,325-342,All OA; Gold,Article,"Hamilton, Rhea J.; Luyendyk, Bruce P.; Sorlien, Christopher C.; Bartek, Louis R.",,"Hamilton, Rhea J. (); Luyendyk, Bruce P. (); Sorlien, Christopher C. (); Bartek, Louis R. ()",50,6,,5.02,http://onlinelibrary.wiley.com/doi/10.1029/2000TC001218/pdf,https://app.dimensions.ai/details/publication/pub.1043244011,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,100,pub.1044279465,10.1130/0016-7606(2000)112<1080:mrofaf>2.0.co;2,,,"Map restoration of folded and faulted late Cenozoic strata across the Oak Ridge fault, onshore and offshore Ventura basin, California",Geological Society of America Bulletin,,,7/1/00,2000,112,7,1080-1090,Closed,Article,"Sorlien, Christopher C.; Gratier, Jean-Pierre; Luyendyk, Bruce P.; Hornafius, J. Scott; Hopps, Thomas E.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Gratier, Jean-Pierre (); Luyendyk, Bruce P. (University of California, Santa Barbara); Hornafius, J. Scott (University of California, Santa Barbara); Hopps, Thomas E. ()",15,0,,1.41,,https://app.dimensions.ai/details/publication/pub.1044279465,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1018446054,10.1130/0016-7606(2000)112<1067:ltitwt>2.0.co;2,,,"Listric thrusts in the western Transverse Ranges, California",Geological Society of America Bulletin,,,7/1/00,2000,112,7,1067-1079,Closed,Article,"Seeber, Leonardo; Sorlien, Christopher C.",,"Seeber, Leonardo (Lamont-Doherty Earth Observatory); Sorlien, Christopher C. (University of California, Santa Barbara)",36,5,,3.37,,https://app.dimensions.ai/details/publication/pub.1018446054,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1025785610,10.1029/1998jb900049,,,Recent crustal deformation in southern California deduced from the restoration of folded and faulted strata,Journal of Geophysical Research,,,3/10/99,1999,104,B3,4887-4899,All OA; Gold,Article,"Gratier, J. P.; Hopps, T.; Sorlien, C.; Wright, T.",,"Gratier, J. P. (); Hopps, T. (); Sorlien, C. (); Wright, T. ()",8,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/1998JB900049,https://app.dimensions.ai/details/publication/pub.1025785610,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
30,100,pub.1051672577,10.1130/0091-7613(1999)027<1039:bratot>2.3.co;2,,,"Block rotation and termination of the Hosgri strike-slip fault, California, from three-dimensional map restoration",Geology,,,1999,1999,27,11,1039-1042,Closed,Article,"Sorlien, Christopher C.; Kamerling, Marc J.; Mayerson, Drew",,"Sorlien, Christopher C. (University of California, Santa Barbara); Kamerling, Marc J. (University of California, Santa Barbara); Mayerson, Drew ()",21,2,,,,https://app.dimensions.ai/details/publication/pub.1051672577,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
