,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,200,pub.1100745942,10.1021/acsmacrolett.7b00937,,,Comparison between 102k and 20k Poly(ethylene oxide) Depletants in Osmotic Pressure Measurements of Interfilament Forces in Cytoskeletal Systems,ACS Macro Letters,,,2/20/18,2018,7,2,228-232,Closed,Article,"Chung, Peter J.; Song, Chaeyeon; Deek, Joanna; Miller, Herbert P.; Li, Youli; Choi, Myung Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Chung, Peter J. (); Song, Chaeyeon (); Deek, Joanna (); Miller, Herbert P. (); Li, Youli (); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (); Feinstein, Stuart C. (); Safinya, Cyrus R. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1100745942,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0306 Physical Chemistry (incl. Structural); 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
14,200,pub.1100865951,10.1016/j.bpj.2017.11.3398,,,Hydrophobic-Mediated Assembly of Lipid-Coated Building Blocks by Double-End Anchored Polymers,Biophysical Journal,,,2018-02,2018,114,3,629a,All OA; Gold,Article,"Wonder, Emily; Liu, Chenyu; Ewert, Kai K.; Kohl, Phillip; Li, Youli; Qiao, Weihong; Safinya, Cyrus R.",,"Wonder, Emily (University of California, Santa Barbara); Liu, Chenyu (University of California, Santa Barbara; Dalian University of Technology); Ewert, Kai K. (University of California, Santa Barbara); Kohl, Phillip (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Qiao, Weihong (Dalian University of Technology); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,http://www.cell.com/article/S0006349517346301/pdf,https://app.dimensions.ai/details/publication/pub.1100865951,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
15,200,pub.1100862586,10.1016/j.bpj.2017.11.2779,,,Modulation of Macromolecular Biological Structures by Divalent Ions,Biophysical Journal,,,2018-02,2018,114,3,508a-509a,All OA; Gold,Article,"Fletcher, Bretton J.; Song, Chaeyeon; Kohl, Phillip; Chung, Peter; Miller, Herbert P.; Li, Youli; Choi, Myung Chul; Wilson, Leslie; Feinstein, S.C.; Safinya, Cyrus R.",,"Fletcher, Bretton J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Kohl, Phillip (University of California, Santa Barbara); Chung, Peter (University of California, Santa Barbara; University of Chicago); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, S.C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,http://www.cell.com/article/S0006349517340110/pdf,https://app.dimensions.ai/details/publication/pub.1100862586,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
16,200,pub.1100860467,10.1016/j.bpj.2017.11.3399,,,Optimizing Cationic Liposome Composition for Hydrophobic Drug Loading and Delivery to Human Cancer Cells,Biophysical Journal,,,2018-02,2018,114,3,629a,All OA; Gold,Article,"Steffes, Victoria; MacDonald, Scott; Murali, Meena M.; Ewert, Kai K.; Safinya, Cyrus R.",,"Steffes, Victoria (University of California, Santa Barbara); MacDonald, Scott (University of California, Santa Barbara); Murali, Meena M. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,http://www.cell.com/article/S0006349517346313/pdf,https://app.dimensions.ai/details/publication/pub.1100860467,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
17,500,pub.1090806409,10.1016/j.jsb.2017.07.003,28734842,,Hydration forces between aligned DNA helices undergoing B to A conformational change: In-situ X-ray fiber diffraction studies in a humidity and temperature controlled environment,Journal of Structural Biology,,"Calibration; DNA; DNA, A-Form; DNA, B-Form; Environment, Controlled; Equipment Design; Humidity; Temperature; X-Ray Diffraction",2017-12,2017,200,3,283-292,Closed,Article,"Case, Ryan; Schollmeyer, Hauke; Kohl, Phillip; Sirota, Eric B.; Pynn, Roger; Ewert, Kai E.; Safinya, Cyrus R.; Li, Youli","Safinya, Cyrus R.","Case, Ryan (University of California, Santa Barbara); Schollmeyer, Hauke (University of California, Santa Barbara); Kohl, Phillip (University of California, Santa Barbara); Sirota, Eric B. (ExxonMobil (United States)); Pynn, Roger (Indiana University Bloomington; Oak Ridge National Laboratory); Ewert, Kai E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara)",2,2,0.35,0.73,,https://app.dimensions.ai/details/publication/pub.1090806409,0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,,
18,500,pub.1091220947,10.1016/j.biomaterials.2017.08.026,28889081,PMC5610109,Distinct solubility and cytotoxicity regimes of paclitaxel-loaded cationic liposomes at low and high drug content revealed by kinetic phase behavior and cancer cell viability studies,Biomaterials,,"Cations; Cell Death; Cell Line, Tumor; Cell Survival; Crystallization; DNA; Humans; Kinetics; Liposomes; Neoplasms; Paclitaxel; Scattering, Small Angle; Solubility; Synchrotrons; X-Ray Diffraction",2017-11,2017,145,J. Am. Chem. Soc. 93 1971,242-255,"All OA; Green, Accepted & Submitted",Article,"Steffes, Victoria M.; Murali, Meena M.; Park, Yoonsang; Fletcher, Bretton J.; Ewert, Kai K.; Safinya, Cyrus R.","Safinya, Cyrus R.","Steffes, Victoria M. (University of California, Santa Barbara); Murali, Meena M. (University of California, Santa Barbara); Park, Yoonsang (University of California, Santa Barbara); Fletcher, Bretton J. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",7,7,0.98,1.93,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5610109,https://app.dimensions.ai/details/publication/pub.1091220947,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
19,100,pub.1115531540,10.11362/cssj2.61.0_100,,,B13 液晶性を有するDNA/粘土鉱物混合コロイド,,,,2017-09,2017,,,100-101,Closed,Article,"展義, 宮元; 信哉, 安樂; 直哉, 山口; Safinya, Cyrus R.; Michot, Laurent J.; Paineau, Erwan; Davidson, Patrick",,"展義, 宮元 (); 信哉, 安樂 (); 直哉, 山口 (); Safinya, Cyrus R. (University of California System); Michot, Laurent J. (Sorbonne University); Paineau, Erwan (University of Paris-Sud); Davidson, Patrick (University of Paris-Sud)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115531540,,,,,,
20,100,pub.1090277157,10.1101/156166,,,Competition of Charge-Mediated and Specific Binding by Peptide-Tagged Cationic Liposome-DNA Nanoparticles In Vitro and In Vivo,bioRxiv,,,6/26/17,2017,,,156166,"All OA; Green, Published",Preprint,"Wonder, Emily; Simón-Gracia, Lorena; Scodeller, Pablo; Majzoub, Ramsey N.; Kotamraju, Venkata Ramana; Ewert, Kai; Teesalu, Tambet; Safinya, Cyrus R.",,"Wonder, Emily (University of California, Santa Barbara); Simón-Gracia, Lorena (University of Tartu); Scodeller, Pablo (University of Tartu); Majzoub, Ramsey N. (University of California, Santa Barbara); Kotamraju, Venkata Ramana (Sanford Burnham Prebys Medical Discovery Institute); Ewert, Kai (University of California System); Teesalu, Tambet (); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/12/20/156166.full.pdf,https://app.dimensions.ai/details/publication/pub.1090277157,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
21,100,pub.1086152308,10.1101/154948,,,Distinct Solubility and Cytotoxicity Regimes of Paclitaxel-Loaded Cationic Liposomes at Low and High Drug Content Revealed by Kinetic Phase Behavior and Cancer Cell Viability Studies,bioRxiv,,,6/23/17,2017,,,154948,"All OA; Green, Published",Preprint,"Steffes, Victoria M.; Murali, Meena M.; Park, Yoonsang; Fletcher, Bretton J.; Ewert, Kai; Safinya, Cyrus R.",,"Steffes, Victoria M. (University of California, Santa Barbara); Murali, Meena M. (University of California, Santa Barbara); Park, Yoonsang (University of California, Santa Barbara); Fletcher, Bretton J. (University of California, Santa Barbara); Ewert, Kai (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/06/23/154948.full.pdf,https://app.dimensions.ai/details/publication/pub.1086152308,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
22,200,pub.1083545968,10.1016/j.bpj.2016.11.3038,,,Cell-Free Reconstituions of Tau and Tubulin Mediate Complex Microtubule Architectures Found in the Axon,Biophysical Journal,,,2017-02,2017,112,3,564a,Closed,Article,"Chung, Peter J.; Song, Chaeyeon; Deek, Joanna; Miller, Herbert P.; Li, Youli; Choi, Myung Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Chung, Peter J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1083545968,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
23,200,pub.1083537996,10.1016/j.bpj.2016.11.964,,,Determining Interactions of Cationic Membrane Nanoparticles with Hydrophobic Drug Cargo and their Mechanisms of Drug Delivery to Cells,Biophysical Journal,,,2017-02,2017,112,3,174a,Closed,Article,"Steffes, Victoria; Murali, Meena; Ewert, Kai K.; Safinya, Cyrus R.",,"Steffes, Victoria (University of California, Santa Barbara); Murali, Meena (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1083537996,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
24,200,pub.1083536464,10.1016/j.bpj.2016.11.3039,,,Remodeling of Microtubule-Protein Tau Bundles in the Presence of Biologically Relevant Cations,Biophysical Journal,,,2017-02,2017,112,3,564a,Closed,Article,"Song, Chaeyeon; Kohl, Phillip; Chung, Peter; Fletcher, Bretton; Miller, Herbert P.; Li, Youli; Feinstein, S.C.; Wilson, Leslie; Safinya, Cyrus R.",,"Song, Chaeyeon (University of California, Santa Barbara); Kohl, Phillip (University of California, Santa Barbara); Chung, Peter (University of California, Santa Barbara); Fletcher, Bretton (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Feinstein, S.C. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1083536464,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
25,200,pub.1083536222,10.1016/j.bpj.2016.11.3182,,,Role of Charge and Ligand-Receptor Binding in Specific Targeting of Peptide-Tagged Cationic Liposome Nanoparticles for Gene Delivery,Biophysical Journal,,,2017-02,2017,112,3,591a,Closed,Article,"Wonder, Emily; Simón-Gracia, Lorena; Scodeller, Pablo; Majzoub, Ramsey; Kotamraju, Venkata Ramana; Ewert, Kai K.; Teesalu, Tambet; Safinya, Cyrus",,"Wonder, Emily (University of California, Santa Barbara); Simón-Gracia, Lorena (University of Tartu); Scodeller, Pablo (University of Tartu; Sanford Burnham Prebys Medical Discovery Institute); Majzoub, Ramsey (University of California, Santa Barbara; Janssen (United States)); Kotamraju, Venkata Ramana (Sanford Burnham Prebys Medical Discovery Institute); Ewert, Kai K. (University of California, Santa Barbara); Teesalu, Tambet (University of Tartu; Sanford Burnham Prebys Medical Discovery Institute); Safinya, Cyrus (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1083536222,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
26,500,pub.1020692970,10.1016/j.bbagen.2016.09.011,27632200,,Paclitaxel suppresses Tau-mediated microtubule bundling in a concentration-dependent manner,Biochimica et Biophysica Acta (BBA) - General Subjects,,"Animals; Cattle; Microtubules; Paclitaxel; Scattering, Small Angle; X-Ray Diffraction; tau Proteins",2017-01,2017,1861,1,3456-3463,Closed,Article,"Choi, Myung Chul; Chung, Peter J.; Song, Chaeyeon; Miller, Herbert P.; Kiris, E.; Li, Youli; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.","Safinya, Cyrus R.","Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Chung, Peter J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Kiris, E. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",4,3,0.83,1,,https://app.dimensions.ai/details/publication/pub.1020692970,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
