,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Zhengming Wan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1046191221,10.1080/01431160600702665,,,Evaluation and improvement of the MODIS land surface temperature/emissivity products using ground‐based measurements at a semi‐desert site on the western Tibetan Plateau,International Journal of Remote Sensing,,,2007-06,2007,28,11,2549-2565,Closed,Article,"Wang, K.; Wan, Z.; Wang, P.; Sparrow, M.; Liu, J.; Haginoya, S.",,"Wang, K. (Institute of Atmospheric Physics; Beijing Normal University); Wan, Z. (University of California, Santa Barbara); Wang, P. (Institute of Atmospheric Physics); Sparrow, M. (National Oceanography Centre); Liu, J. (China Meteorological Administration); Haginoya, S. (Japan Meteorological Agency)",53,9,,8.49,,https://app.dimensions.ai/details/publication/pub.1046191221,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
11,100,pub.1045040555,10.1029/2006gl026444,,,"Satellite‐derived, melt‐season surface temperature of the Greenland Ice Sheet (2000–2005) and its relationship to mass balance",Geophysical Research Letters,,,2006,2006,33,11,,All OA; Gold,Article,"Hall, D. K.; Williams, R. S.; Casey, K. A.; DiGirolamo, N. E.; Wan, Z.",,"Hall, D. K. (Goddard Space Flight Center); Williams, R. S. (); Casey, K. A. (Science Systems and Applications (United States)); DiGirolamo, N. E. (Science Systems and Applications (United States)); Wan, Z. (University of California, Santa Barbara)",32,4,,3.79,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GL026444,https://app.dimensions.ai/details/publication/pub.1045040555,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,200,pub.1108082499,10.1117/12.619679,,,<title>Preliminary accuracy assessment of MODIS land surface temperature products at a semi-desert site</title>,Proceedings of SPIE,,,5/12/05,2005,,,452-460,Closed,Proceeding,"Wang, Kaicun; Liu, Jingmiao; Wan, Zhengming; Wang, Pucai; Sparrow, Michael; Haginoya, Shigenori",,"Wang, Kaicun (); Liu, Jingmiao (); Wan, Zhengming (); Wang, Pucai (); Sparrow, Michael (); Haginoya, Shigenori ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1108082499,,,,,,
13,100,pub.1043362419,10.1016/j.rse.2004.08.009,,,Predicting riparian evapotranspiration from MODIS vegetation indices and meteorological data,Remote Sensing of Environment,,,2005-01,2005,94,1,17-30,Closed,Article,"Nagler, Pamela L.; Cleverly, James; Glenn, Edward; Lampkin, Derrick; Huete, Alfredo; Wan, Zhengming","Nagler, Pamela L.","Nagler, Pamela L. (University of Arizona); Cleverly, James (University of New Mexico); Glenn, Edward (University of Arizona); Lampkin, Derrick (University of Arizona); Huete, Alfredo (University of Arizona); Wan, Zhengming (University of California, Santa Barbara)",163,23,,19.78,,https://app.dimensions.ai/details/publication/pub.1043362419,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
14,100,pub.1031564616,10.1029/2004jd005566,,,Estimation of surface long wave radiation and broadband emissivity using Moderate Resolution Imaging Spectroradiometer (MODIS) land surface temperature/emissivity products,Journal of Geophysical Research,,,2005,2005,110,D11,,All OA; Gold,Article,"Wang, Kaicun; Wan, Zhengming; Wang, Pucai; Sparrow, Michael; Liu, Jingmiao; Zhou, Xiuji; Haginoya, Shigenori",,"Wang, Kaicun (Chinese Academy of Sciences); Wan, Zhengming (University of California, Santa Barbara); Wang, Pucai (Chinese Academy of Sciences); Sparrow, Michael (National Oceanography Centre); Liu, Jingmiao (China Meteorological Administration); Zhou, Xiuji (China Meteorological Administration); Haginoya, Shigenori (Japan Meteorological Agency)",119,22,,32.23,http://onlinelibrary.wiley.com/doi/10.1029/2004JD005566/pdf,https://app.dimensions.ai/details/publication/pub.1031564616,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
15,200,pub.1013105642,10.1117/12.462411,,,Monitoring thermal status of ecosystems with MODIS land-surface temperature and vegetation index products,Proceedings of SPIE,"Remote Sensing for Agriculture, Ecosystems, and Hydrology IV",,3/14/03,2003,4879,,280-288,"All OA; Green, Accepted & Submitted",Proceeding,"Wan, Zhengming",,"Wan, Zhengming (University of California, Santa Barbara)",4,1,,,http://hdl.handle.net/2060/20020087658,https://app.dimensions.ai/details/publication/pub.1013105642,,,,,,
16,200,pub.1058294284,10.1080/0143116031000101576,,,A practical algorithm to infer soil and foliage component temperatures from bi-angular ATSR-2 data,International Journal of Remote Sensing,,,2003-01,2003,24,23,4739-4760,Closed,Article,"Jia, L.; Li, Z.-l.; Menenti, M.; Su, Z.; Verhoef, W.; Wan, Z.",,"Jia, L. (Wageningen University & Research; Chinese Academy of Sciences); Li, Z.-l. (Chinese Academy of Sciences); Menenti, M. (); Su, Z. (Wageningen University & Research); Verhoef, W. (National Aerospace Laboratory); Wan, Z. (University of California, Santa Barbara)",59,9,,6.92,,https://app.dimensions.ai/details/publication/pub.1058294284,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
17,200,pub.1058294277,10.1080/0143116031000096014,,,A new approach for retrieving precipitable water from ATSR2 split-window channel data over land area,International Journal of Remote Sensing,,,2003-01,2003,24,24,5095-5117,Closed,Article,"Li, Zhao-Liang; Jia, Li; Su, Zhongbo; Wan, Zhengming; Zhang, Renhua",,"Li, Zhao-Liang (Institute of Geographic Sciences and Natural Resources Research); Jia, Li (); Su, Zhongbo (); Wan, Zhengming (University of California, Santa Barbara); Zhang, Renhua (Institute of Geographic Sciences and Natural Resources Research)",60,12,,7.04,,https://app.dimensions.ai/details/publication/pub.1058294277,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
18,100,pub.1047016726,10.1016/s0034-4257(02)00093-7,,,Validation of the land-surface temperature products retrieved from Terra Moderate Resolution Imaging Spectroradiometer data,Remote Sensing of Environment,,,2002-11,2002,83,2-Jan,163-180,"All OA; Green, Published",Article,"Wan, Zhengming; Zhang, Yulin; Zhang, Qincheng; Li, Zhao-liang","Wan, Zhengming","Wan, Zhengming (University of California, Santa Barbara); Zhang, Yulin (University of California, Santa Barbara); Zhang, Qincheng (University of California, Santa Barbara); Li, Zhao-liang (University of California, Santa Barbara)",556,82,,86.34,http://www.utsa.edu/lrsg/Teaching/EES5093/RSE_wan_MODIS-LST-2002.pdf,https://app.dimensions.ai/details/publication/pub.1047016726,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
19,100,pub.1023651539,10.1016/s0034-4257(01)00327-3,,,Preliminary estimate of calibration of the moderate resolution imaging spectroradiometer thermal infrared data using Lake Titicaca,Remote Sensing of Environment,,,2002-06,2002,80,3,497-515,Closed,Article,"Wan, Zhengming; Zhang, Yulin; Li, Zhao-liang; Wang, Ruibo; Salomonson, Vincent V.; Yves, Arnaud; Bosseno, Roland; Hanocq, Jean Francois","Wan, Zhengming","Wan, Zhengming (University of California, Santa Barbara); Zhang, Yulin (University of California, Santa Barbara); Li, Zhao-liang (University of California, Santa Barbara); Wang, Ruibo (University of California, Santa Barbara); Salomonson, Vincent V. (Goddard Space Flight Center); Yves, Arnaud (); Bosseno, Roland (); Hanocq, Jean Francois ()",29,1,,3.46,,https://app.dimensions.ai/details/publication/pub.1023651539,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
20,100,pub.1032237985,10.1016/s0034-4257(01)00266-8,,,Estimate of noise and systematic error in early thermal infrared data of the Moderate Resolution Imaging Spectroradiometer (MODIS),Remote Sensing of Environment,,,2002-04,2002,80,1,47-54,Closed,Article,"Wan, Zhengming","Wan, Zhengming","Wan, Zhengming (University of California, Santa Barbara)",30,1,,3.58,,https://app.dimensions.ai/details/publication/pub.1032237985,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
21,100,pub.1093567886,10.1109/igarss.2002.1027290,,,The MODIS Land-Surface Temperature Products for Regional Environmental Monitoring and Global Change Studies,,IEEE International Geoscience and Remote Sensing Symposium,,2002,2002,6,,3683-3685,Closed,Proceeding,"Wan, Zhengming; Zhang, Yulin; Zhan, Qincheng; Li, Zhao-Liang",,"Wan, Zhengming (University of California, Santa Barbara); Zhang, Yulin (University of California, Santa Barbara); Zhan, Qincheng (University of California, Santa Barbara); Li, Zhao-Liang ()",2,0,,0.22,,https://app.dimensions.ai/details/publication/pub.1093567886,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
22,200,pub.1003066450,10.1117/12.417105,,,Surface temperature retrieval from MODIS data,Proceedings of SPIE,"Sensors, Systems, and Next-Generation Satellites IV",,2/9/01,2001,4169,,47-55,Closed,Proceeding,"Sobrino, Jose A.; El-Kharraz, J.; Li, Z.-L.; Wan, Zhengming",,"Sobrino, Jose A. (University of Valencia); El-Kharraz, J. (University of Valencia); Li, Z.-L. (); Wan, Zhengming (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1003066450,,,,,,
23,100,pub.1094571455,10.1109/igarss.2001.978011,,,Towards an Operational Algorithm for Inferring Soil and Foliage Component Temperatures from ATSR-2,,IGARSS 2001. Scanning the Present and Resolving the Future. Proceedings. IEEE 2001 International Geoscience and Remote Sensing Symposium (Cat. No.01CH37217),,2001,2001,5,,2388-2390,Closed,Proceeding,"Li, Zhao-Liang; Jia, Li; Su, Zhongbo; Wan, Zhengming; Menenti, Massimo",,"Li, Zhao-Liang (); Jia, Li (); Su, Zhongbo (); Wan, Zhengming (University of California, Santa Barbara); Menenti, Massimo ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094571455,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
24,100,pub.1094218301,10.1109/igarss.2000.858054,,,Preliminary land surface products from the NASA Moderate Resolution Imaging Spectroradiometer (MODIS),,IGARSS 2000. IEEE 2000 International Geoscience and Remote Sensing Symposium. Taking the Pulse of the Planet: The Role of Remote Sensing in Managing the Environment. Proceedings (Cat. No.00CH37120),,2000,2000,3,,1157-1162 vol.3,Closed,Proceeding,"Justice, C.; Townshend, J.; Vermote, E.; Sohlberg, R.; Descloitres, J.; Roy, D.; Hall, D.; Salomonson, V.; Riggs, G.; Huerte, A.; Didan, K.; Miura, T.; Wan, Zhengming; Strahler, A.; Schaaf, C.; Myneni, R.; Running, S.; Glassy, J.; Nemani, R.; Saleous, N. El; Wolfe, R.",,"Justice, C. (University of Virginia); Townshend, J. (); Vermote, E. (); Sohlberg, R. (); Descloitres, J. (); Roy, D. (); Hall, D. (); Salomonson, V. (); Riggs, G. (); Huerte, A. (); Didan, K. (); Miura, T. (); Wan, Zhengming (); Strahler, A. (); Schaaf, C. (); Myneni, R. (); Running, S. (); Glassy, J. (); Nemani, R. (); Saleous, N. El (); Wolfe, R. ()",6,0,,0.96,,https://app.dimensions.ai/details/publication/pub.1094218301,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
25,100,pub.1013005796,10.1016/s0034-4257(99)00049-8,,,Evaluation of Six Methods for Extracting Relative Emissivity Spectra from Thermal Infrared Images,Remote Sensing of Environment,,,1999-09,1999,69,3,197-214,Closed,Article,"Li, Zhao-Liang; Becker, F.; Stoll, M.P.; Wan, Zhengming","Li, Zhao-Liang","Li, Zhao-Liang (); Becker, F. (International Space University); Stoll, M.P. (); Wan, Zhengming (University of California, Santa Barbara)",110,13,,,,https://app.dimensions.ai/details/publication/pub.1013005796,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
26,100,pub.1012066278,10.1016/s0034-4257(99)00012-7,,,Evaluation of Different Methods for Extracting Relative Spectral Emissivity Information from Simulated Thermal Infrared Multispectral Scanner Data,Remote Sensing of Environment,,,1999-08,1999,69,2,122-138,Closed,Article,"Li, Zhao-Liang; Becker, F.; Stoll, M.P.; Wan, Zhengming","Li, Zhao-Liang","Li, Zhao-Liang (); Becker, F. (International Space University); Stoll, M.P. (); Wan, Zhengming (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1012066278,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
27,100,pub.1061161824,10.1109/36.701075,,,The Moderate Resolution Imaging Spectroradiometer (MODIS): land remote sensing for global change research,IEEE Transactions on Geoscience and Remote Sensing,,,1998-07,1998,36,4,1228-1249,"All OA; Green, Accepted & Submitted",Article,"Justice, C.O.; Vermote, E.; Townshend, J.R.G.; Defries, R.; Roy, D.P.; Hall, D.K.; Salomonson, V.V.; Privette, J.L.; Riggs, G.; Strahler, A.; Lucht, W.; Myneni, R.B.; Knyazikhin, Y.; Running, S.W.; Nemani, R.R.; Wan, Zhengming; Huete, A.R.; van Leeuwen, W.; Wolfe, R.E.; Giglio, L.; Muller, J.; Lewis, P.; Barnsley, M.J.",,"Justice, C.O. (University of Virginia); Vermote, E. (); Townshend, J.R.G. (); Defries, R. (); Roy, D.P. (); Hall, D.K. (); Salomonson, V.V. (); Privette, J.L. (); Riggs, G. (); Strahler, A. (); Lucht, W. (); Myneni, R.B. (); Knyazikhin, Y. (); Running, S.W. (); Nemani, R.R. (); Wan, Zhengming (); Huete, A.R. (); van Leeuwen, W. (); Wolfe, R.E. (); Giglio, L. (); Muller, J. (); Lewis, P. (); Barnsley, M.J. ()",844,116,,,http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1027&context=nasapub,https://app.dimensions.ai/details/publication/pub.1061161824,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1032540086,10.1016/s0034-4257(97)00044-8,,,Requirements for satellite land surface temperature validation using a silt playa,Remote Sensing of Environment,,,1997-08,1997,61,2,279-289,Closed,Article,"Snyder, William C.; Wan, Zhengming; Zhang, Yulin; Feng, Yue-Zhang","Snyder, William C.","Snyder, William C. (University of California, Santa Barbara); Wan, Zhengming (University of California, Santa Barbara); Zhang, Yulin (University of California, Santa Barbara); Feng, Yue-Zhang (University of California, Santa Barbara)",19,3,,,,https://app.dimensions.ai/details/publication/pub.1032540086,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
29,100,pub.1061161652,10.1109/36.602541,,,A physics-based algorithm for retrieving land-surface emissivity and temperature from EOS/MODIS data,IEEE Transactions on Geoscience and Remote Sensing,,,1997-07,1997,35,4,980-996,Closed,Article,"Wan, Zhengming; Li, Zhao-Liang",,"Wan, Zhengming (University of California, Santa Barbara); Li, Zhao-Liang ()",528,86,,,,https://app.dimensions.ai/details/publication/pub.1061161652,09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,04 Earth Sciences,0404 Geophysics
30,100,pub.1017354199,10.1016/s0034-4257(96)00166-6,,,Thermal Infrared (3–14 μm) bidirectional reflectance measurements of sands and soils,Remote Sensing of Environment,,,1997-04,1997,60,1,101-109,Closed,Article,"Snyder, William C.; Wan, Zhengming; Zhang, Yulin; Feng, Yue-Zhang","Snyder, William C.","Snyder, William C. (University of California, Santa Barbara); Wan, Zhengming (University of California, Santa Barbara); Zhang, Yulin (University of California, Santa Barbara); Feng, Yue-Zhang (University of California, Santa Barbara)",70,10,,,,https://app.dimensions.ai/details/publication/pub.1017354199,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
31,100,pub.1061161465,10.1109/36.508406,,,A generalized split-window algorithm for retrieving land-surface temperature from space,IEEE Transactions on Geoscience and Remote Sensing,,,1996-07,1996,34,4,892-905,Closed,Article,"Wan, Zhengming; Dozier, J.",,"Wan, Zhengming (University of California, Santa Barbara); Dozier, J. (University of California, Santa Barbara)",932,213,,,,https://app.dimensions.ai/details/publication/pub.1061161465,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
32,100,pub.1093933107,10.1109/igarss.1996.516899,,,Validation of land-surface temperature retrieval from space,,IGARSS '96. 1996 International Geoscience and Remote Sensing Symposium,,1996,1996,4,,2095-2097 vol.4,Closed,Proceeding,"Wan, Zhengming; Snyder, W.; Zhang, Yulin",,"Wan, Zhengming (University of California, Santa Barbara); Snyder, W. (University of California, Santa Barbara); Zhang, Yulin (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1093933107,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
33,100,pub.1095271661,10.1109/igarss.1995.521176,,,A viewing-angle dependent split-window method for retrieving land-surface temperatures from space,,"1995 International Geoscience and Remote Sensing Symposium, IGARSS '95. Quantitative Remote Sensing for Science and Applications",,1995,1995,2,,1177-1179 vol.2,Closed,Proceeding,"Wan, Z.; Dozier, J.",,"Wan, Z. (University of California, Santa Barbara); Dozier, J. (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1095271661,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
34,100,pub.1032516063,10.1080/01431169408954346,,,Terrestrial remote sensing science and algorithms planned for EOS/MODIS,International Journal of Remote Sensing,,,1994-11,1994,15,17,3587-3620,Closed,Article,"RUNNING, S. W.; JUSTICE, C. O.; SALOMONSON, V.; HALL, D.; BARKER, J.; KAUFMANN, Y. J.; STRAHLER, A. H.; HUETE, A. R.; MULLER, J.-P.; VANDERBILT, V.; WAN, Z. M.; TEILLET, P.; CARNEGGIE, D.",,"RUNNING, S. W. (University of Montana); JUSTICE, C. O. (University of Maryland, College Park); SALOMONSON, V. (Goddard Space Flight Center); HALL, D. (Goddard Space Flight Center); BARKER, J. (Goddard Space Flight Center); KAUFMANN, Y. J. (Goddard Space Flight Center); STRAHLER, A. H. (Boston University); HUETE, A. R. (University of Arizona); MULLER, J.-P. (University College London); VANDERBILT, V. (Ames Research Center); WAN, Z. M. (University of California, Santa Barbara); TEILLET, P. (Natural Resources Canada); CARNEGGIE, D. ()",288,23,,,,https://app.dimensions.ai/details/publication/pub.1032516063,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
35,200,pub.1002057057,10.1117/12.190061,,,Estimation of ozone concentrations based on measurements of solar ultraviolet radiation in the Antarctic using the BSI PUV-510 instrument,Proceedings of SPIE,Ocean Optics XII,,10/26/94,1994,2258,,20-Dec,Closed,Proceeding,"Bruce, Elizabeth J.; Handley, Philip L.; Wan, Zhengming; Smith, Raymond C.",,"Bruce, Elizabeth J. (University of California, Santa Barbara); Handley, Philip L. (University of California, Santa Barbara); Wan, Zhengming (University of California, Santa Barbara); Smith, Raymond C. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1002057057,,,,,,
