,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Michael F Goodchild. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,200,pub.1091805652,10.1007/978-3-319-17885-1_592,,,Imprecision and Spatial Uncertainty,,Encyclopedia of GIS,,2017,2017,,,917-921,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1091805652,,,,,,
21,200,pub.1091805582,10.1007/978-3-319-17885-1_236,,,"Data Analysis, Spatial",,Encyclopedia of GIS,,2017,2017,,,405-409,All OA; Gold,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. ()",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-17885-1_236.pdf,https://app.dimensions.ai/details/publication/pub.1091805582,,,,,,
22,200,pub.1085722872,10.1007/978-1-4614-7163-9_322-1,,,Spatiotemporal Footprints in Social Networks,,Encyclopedia of Social Network Analysis and Mining,,2017,2017,,,9-Jan,Closed,Chapter,"Li, Linna; Goodchild, Michael F.",,"Li, Linna (); Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1085722872,,,,,,
23,100,pub.1047669323,10.1080/13658816.2015.1082566,,,Assessing the effectiveness of different visualizations for judgments of positional uncertainty,International Journal of Geographical Information Science,,,2016-02,2016,30,2,221-239,Closed,Article,"McKenzie, Grant; Hegarty, Mary; Barrett, Trevor; Goodchild, Michael",,"McKenzie, Grant (University of California, Santa Barbara); Hegarty, Mary (University of California, Santa Barbara); Barrett, Trevor (University of California, Santa Barbara); Goodchild, Michael (University of California, Santa Barbara)",14,12,,4.76,,https://app.dimensions.ai/details/publication/pub.1047669323,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
24,200,pub.1074245473,10.1007/978-1-4899-7993-3_178-2,,,Geographic Information System,,Encyclopedia of Database Systems,,2016,2016,,,6-Jan,Closed,Chapter,"Goodchild, Michael F",,"Goodchild, Michael F (University of California, Santa Barbara)",5,2,,,,https://app.dimensions.ai/details/publication/pub.1074245473,,,,,,
25,100,pub.1005671760,10.1007/s10708-014-9602-6,,,Data-driven geography,GeoJournal,,,2015-08,2015,80,4,449-461,Closed,Article,"Miller, Harvey J.; Goodchild, Michael F.","Miller, Harvey J.","Miller, Harvey J. (The Ohio State University); Goodchild, Michael F. (University of California, Santa Barbara)",139,93,,55.26,,https://app.dimensions.ai/details/publication/pub.1005671760,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
26,200,pub.1053958208,10.1177/0308518x15594911,,,Perspectives on the new cartography,Environment and Planning A Economy and Space,,,2015-06,2015,47,6,1341-1345,Closed,Article,"Goodchild, Michael F",,"Goodchild, Michael F (University of California, Santa Barbara)",4,3,,1.76,,https://app.dimensions.ai/details/publication/pub.1053958208,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
27,100,pub.1039889024,10.1007/978-94-017-9205-9_2,,,Perspectives on Space and Time in US and Chinese Science,,Space-Time Integration in Geography and GIScience,,2015,2015,,,19-Jul,Closed,Chapter,"Goodchild, Michael F.; Gong, Peng","Goodchild, Michael F.","Goodchild, Michael F. (University of California, Santa Barbara); Gong, Peng (University of California, Berkeley; Tsinghua University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1039889024,"2002 Cultural Studies; 20 Language, Communication and Culture",2002 Cultural Studies,"20 Language, Communication and Culture",,,
28,100,pub.1007297489,10.1016/b978-0-08-097086-8.72018-6,,,Geographic Information Systems,,International Encyclopedia of the Social & Behavioral Sciences,,2015,2015,,,58-63,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",4,3,,1.38,,https://app.dimensions.ai/details/publication/pub.1007297489,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
29,100,pub.1005461871,10.1080/01431161.2014.930206,,,Meta-discoveries from a synthesis of satellite-based land-cover mapping research,International Journal of Remote Sensing,,,7/3/14,2014,35,13,4573-4588,All OA; Gold,Article,"Yu, Le; Liang, Lu; Wang, Jie; Zhao, Yuanyuan; Cheng, Qu; Hu, Luanyun; Liu, Shuang; Yu, Liang; Wang, Xiaoyi; Zhu, Peng; Li, Xueyan; Xu, Yue; Li, Congcong; Fu, Wei; Li, Xuecao; Li, Wenyu; Liu, Caixia; Cong, Na; Zhang, Han; Sun, Fangdi; Bi, Xinfang; Xin, Qinchuan; Li, Dandan; Yan, Donghui; Zhu, Zhiliang; Goodchild, Michael F.; Gong, Peng",,"Yu, Le (Tsinghua University); Liang, Lu (University of California, Berkeley); Wang, Jie (State Key Laboratory of Remote Sensing Science); Zhao, Yuanyuan (Tsinghua University); Cheng, Qu (Tsinghua University); Hu, Luanyun (Tsinghua University); Liu, Shuang (State Key Laboratory of Remote Sensing Science); Yu, Liang (); Wang, Xiaoyi (State Key Laboratory of Remote Sensing Science); Zhu, Peng (State Key Laboratory of Remote Sensing Science); Li, Xueyan (Beijing Normal University); Xu, Yue (Beijing Normal University); Li, Congcong (Beijing Normal University); Fu, Wei (State Key Laboratory of Remote Sensing Science); Li, Xuecao (Tsinghua University); Li, Wenyu (State Key Laboratory of Remote Sensing Science); Liu, Caixia (State Key Laboratory of Remote Sensing Science); Cong, Na (Tsinghua University); Zhang, Han (Tsinghua University); Sun, Fangdi (Nanjing University); Bi, Xinfang (Beijing Normal University); Xin, Qinchuan (Tsinghua University); Li, Dandan (State Key Laboratory of Remote Sensing Science); Yan, Donghui (Fred Hutchinson Cancer Research Center); Zhu, Zhiliang (United States Geological Survey); Goodchild, Michael F. (University of California, Santa Barbara); Gong, Peng (Tsinghua University)",54,27,,12.86,http://www.tandfonline.com/doi/pdf/10.1080/01431161.2014.930206?needAccess=true,https://app.dimensions.ai/details/publication/pub.1005461871,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
30,100,pub.1017375888,10.1111/gean.12038,,,The p‐Compact‐regions Problem,Geographical Analysis,,,2014-07,2014,46,3,250-273,"All OA; Green, Published",Article,"Li, Wenwen; Church, Richard L.; Goodchild, Michael F.",,"Li, Wenwen (Arizona State University); Church, Richard L. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",14,8,,3.23,https://escholarship.org/content/qt20t5m3kd/qt20t5m3kd.pdf?t=oemjkr,https://app.dimensions.ai/details/publication/pub.1017375888,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
31,100,pub.1049732194,10.1016/j.compenvurbsys.2013.10.002,,,An extendable heuristic framework to solve the p-compact-regions problem for urban economic modeling,Computers Environment and Urban Systems,,,2014-01,2014,43,,13-Jan,Closed,Article,"Li, Wenwen; Church, Richard L.; Goodchild, Michael F.","Li, Wenwen","Li, Wenwen (Arizona State University); Church, Richard L. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",16,5,,4.22,,https://app.dimensions.ai/details/publication/pub.1049732194,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
32,200,pub.1014064574,10.4337/9780857932976.00008,,,Chapter 2: Critical spatial thinking,,Handbook of Research Methods and Applications in Spatially Integrated Social Science,,2014,2014,,,26-42,All OA; Gold,Chapter,"Goodchild, Michael F.; Janelle, Donald G.; Grossner, Karl",,"Goodchild, Michael F. (); Janelle, Donald G. (); Grossner, Karl ()",3,2,,,https://www.elgaronline.com/downloadpdf/9780857932969.00002.xml,https://app.dimensions.ai/details/publication/pub.1014064574,,,,,,
33,200,pub.1013405561,10.1007/978-1-4614-6170-8_322,,,Spatiotemporal Footprints in Social Networks,,Encyclopedia of Social Network Analysis and Mining,,2014,2014,,,1990-1996,Closed,Chapter,"Li, Linna; Goodchild, Michael F.",,"Li, Linna (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",4,1,,,,https://app.dimensions.ai/details/publication/pub.1013405561,,,,,,
34,100,pub.1039493184,10.1007/978-3-642-23430-9_61,,,The Practice of Geographic Information Science,,Handbook of Regional Science,,2014,2014,,,1107-1122,Closed,Chapter,"Goodchild, Michael F.; Longley, Paul A.","Goodchild, Michael F.","Goodchild, Michael F. (University of California, Santa Barbara); Longley, Paul A. (University College London)",4,1,,0.95,,https://app.dimensions.ai/details/publication/pub.1039493184,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
35,100,pub.1030087100,10.1177/2043820613513392,,,The quality of big (geo)data,Dialogues in Human Geography,,,2013-11,2013,3,3,280-284,Closed,Article,"Goodchild, Michael F",,"Goodchild, Michael F ()",75,31,,33.38,,https://app.dimensions.ai/details/publication/pub.1030087100,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
36,100,pub.1005014344,10.1080/13658816.2013.776049,,,CyberGIS software: a synthetic review and integration roadmap,International Journal of Geographical Information Science,,,2013-11,2013,27,11,24-Jan,Closed,Article,"Wang, Shaowen; Anselin, Luc; Bhaduri, Budhendra; Crosby, Christopher; Goodchild, Michael F.; Liu, Yan; Nyerges, Timothy L.",,"Wang, Shaowen (); Anselin, Luc (Arizona State University); Bhaduri, Budhendra (Oak Ridge National Laboratory); Crosby, Christopher (UNAVCO); Goodchild, Michael F. (University of California, Santa Barbara); Liu, Yan (); Nyerges, Timothy L. (University of Washington)",92,29,,29.4,,https://app.dimensions.ai/details/publication/pub.1005014344,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
37,200,pub.1006935834,10.1111/tgis.12013,,,Unforeseen at GISRUK ‘93,Transactions in GIS,,,2013-08,2013,17,4,483-487,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",1,1,,0.3,,https://app.dimensions.ai/details/publication/pub.1006935834,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
38,100,pub.1093173081,10.1109/comgeo.2013.18,,,Asking Spatial Questions to Identify GIS Functionality,,2013 Fourth International Conference on Computing for Geospatial Research and Application,,2013-07,2013,,,106-110,Closed,Proceeding,"Gao, Song; Goodchild, Michael F.",,"Gao, Song (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",8,3,,3.46,,https://app.dimensions.ai/details/publication/pub.1093173081,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
39,100,pub.1094221229,10.1109/geoinformatics.2013.6626191,,,Is Privacy Still an Issue in the Era of Big Data?,,2013 21st International Conference on Geoinformatics,,2013-06,2013,,,4-Jan,Closed,Proceeding,"Li, Linna; Goodchild, Michael F.",,"Li, Linna (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",10,3,,3.2,,https://app.dimensions.ai/details/publication/pub.1094221229,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
40,100,pub.1019991906,10.3390/ijgi2020413,,,A Geospatial Cyberinfrastructure for Urban Economic Analysis and Spatial Decision-Making,ISPRS International Journal of Geo-Information,,,5/21/13,2013,2,2,413-431,All OA; Gold,Article,"Li, Wenwen; Li, Linna; Goodchild, Michael F.; Anselin, Luc",,"Li, Wenwen (); Li, Linna (); Goodchild, Michael F. (); Anselin, Luc ()",26,9,,6.12,https://www.mdpi.com/2220-9964/2/2/413/pdf,https://app.dimensions.ai/details/publication/pub.1019991906,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
41,100,pub.1052325367,10.1016/j.jag.2012.08.004,,,A statistical simulation model for positional error of line features in Geographic Information Systems (GIS),International Journal of Applied Earth Observation and Geoinformation,,,2013-04,2013,21,,136-148,"All OA; Green, Accepted & Submitted",Article,"Tong, Xiaohua; Sun, Tong; Fan, Junyi; Goodchild, Michael F.; Shi, Wenzhong","Tong, Xiaohua","Tong, Xiaohua (Tongji University); Sun, Tong (Tongji University); Fan, Junyi (Tongji University); Goodchild, Michael F. (University of California, Santa Barbara); Shi, Wenzhong (Hong Kong Polytechnic University)",16,2,,2.94,http://hdl.handle.net/10397/31443,https://app.dimensions.ai/details/publication/pub.1052325367,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
42,200,pub.1062467848,10.1126/science.1232257,23520099,PMC3757548,Spatial Turn in Health Research,Science,,Biomedical Research; Crowdsourcing; Epidemiological Monitoring; Geographic Information Systems; Humans; Spatial Analysis,3/22/13,2013,339,6126,1390-1392,"All OA; Green, Accepted & Submitted",Article,"Richardson, Douglas B.; Volkow, Nora D.; Kwan, Mei-Po; Kaplan, Robert M.; Goodchild, Michael F.; Croyle, Robert T.",,"Richardson, Douglas B. (Association of American Geographers); Volkow, Nora D. (National Institute on Drug Abuse); Kwan, Mei-Po (University of Illinois at Urbana Champaign); Kaplan, Robert M. (National Institutes of Health); Goodchild, Michael F. (University of California, Santa Barbara); Croyle, Robert T. (National Cancer Institute)",113,40,3.53,,http://europepmc.org/articles/pmc3757548?pdf=render,https://app.dimensions.ai/details/publication/pub.1062467848,,,,,,
43,100,pub.1032406122,10.1080/15230406.2013.777139,,,"Spatial, temporal, and socioeconomic patterns in the use of Twitter and Flickr",Cartography and Geographic Information Science,,,2013-03,2013,40,2,61-77,Closed,Article,"Li, Linna; Goodchild, Michael F.; Xu, Bo",,"Li, Linna (); Goodchild, Michael F. (); Xu, Bo ()",185,86,,34,,https://app.dimensions.ai/details/publication/pub.1032406122,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
44,100,pub.1004164181,10.1007/978-94-007-4587-2_1,,,"Volunteered Geographic Information, the Exaflood, and the Growing Digital Divide",,Crowdsourcing Geographic Knowledge,,2013,2013,,,12-Jan,Closed,Chapter,"Sui, Daniel; Goodchild, Michael; Elwood, Sarah","Sui, Daniel","Sui, Daniel (The Ohio State University); Goodchild, Michael (University of California, Santa Barbara); Elwood, Sarah (University of Washington)",69,29,,26.67,,https://app.dimensions.ai/details/publication/pub.1004164181,08 Information and Computing Sciences; 0804 Data Format,08 Information and Computing Sciences,0804 Data Format,,,
45,100,pub.1000844809,10.1007/978-94-007-4587-2_20,,,Prospects for VGI Research and the Emerging Fourth Paradigm,,Crowdsourcing Geographic Knowledge,,2013,2013,,,361-375,Closed,Chapter,"Elwood, Sarah; Goodchild, Michael F.; Sui, Daniel","Elwood, Sarah","Elwood, Sarah (University of Washington); Goodchild, Michael F. (University of California, Santa Barbara); Sui, Daniel (The Ohio State University)",51,18,,15.94,,https://app.dimensions.ai/details/publication/pub.1000844809,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
46,100,pub.1009559374,10.1080/13658816.2012.717630,,,Response to ‘Comments on “Combining spatial transition probabilities for stochastic simulation of categorical fields” with communications on some issues related to Markov chain geostatistics’,International Journal of Geographical Information Science,,,2012-10,2012,26,10,1741-1750,Closed,Article,"Cao, Guofeng; Kyriakidis, Phaedon C.; Goodchild, Michael F.",,"Cao, Guofeng (); Kyriakidis, Phaedon C. (); Goodchild, Michael F. ()",3,0,,0.77,,https://app.dimensions.ai/details/publication/pub.1009559374,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
