,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roberta L Rudnick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
12,200,pub.1112871369,10.29173/ikc3845,,,Chalcophile elements in the mantle,,International Kimberlite Conference Extended Abstracts: 2017,,2017-09-18,2017,11,,,All OA; Gold,Proceeding,"Greaney, A.T.; Rudnick, R.L.",,"Greaney, A.T. (); Rudnick, R.L. ()",0,0,,,https://ikcabstracts.com/index.php/ikc/article/download/3845/3845,https://app.dimensions.ai/details/publication/pub.1112871369,,,,,,
13,100,pub.1090902179,10.1016/j.epsl.2017.06.034,,,Multi-mode Li diffusion in natural zircons: Evidence for diffusion in the presence of step-function concentration boundaries,Earth and Planetary Science Letters,,,2017-09,2017,474,Earth Planet. Sci. Lett. 301 2011,110-119,"All OA; Green, Published",Article,"Tang, Ming; Rudnick, Roberta L.; McDonough, William F.; Bose, Maitrayee; Goreva, Yulia","Tang, Ming","Tang, Ming (University of Maryland, College Park; Rice University); Rudnick, Roberta L. (University of Maryland, College Park; University of California, Santa Barbara); McDonough, William F. (University of Maryland, College Park; Tohoku University); Bose, Maitrayee (Arizona State University); Goreva, Yulia (Smithsonian Institution; Jet Propulsion Lab)",10,8,,3.84,https://escholarship.org/content/qt7hk3j0g5/qt7hk3j0g5.pdf?t=owvsg7,https://app.dimensions.ai/details/publication/pub.1090902179,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1085170835,10.1016/j.gca.2017.04.033,,,"The behavior of chalcophile elements during magmatic differentiation as observed in Kilauea Iki lava lake, Hawaii",Geochimica et Cosmochimica Acta,,,2017-08,2017,210,Science 317 2007,71-96,"All OA; Green, Published",Article,"Greaney, Allison T.; Rudnick, Roberta L.; Helz, Rosalind T.; Gaschnig, Richard M.; Piccoli, Philip M.; Ash, Richard D.","Greaney, Allison T.","Greaney, Allison T. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Helz, Rosalind T. (United States Geological Survey); Gaschnig, Richard M. (University of Maryland, College Park); Piccoli, Philip M. (University of Maryland, College Park); Ash, Richard D. (University of Maryland, College Park)",16,15,,5.72,https://escholarship.org/content/qt6bf5r89j/qt6bf5r89j.pdf?t=owvshv,https://app.dimensions.ai/details/publication/pub.1085170835,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
15,200,pub.1086976611,10.1515/9783110545630-007,,,6 Lithium Isotope Geochemistry,,Non-Traditional Stable Isotopes,,2017-01-31,2017,,,165-218,Closed,Chapter,"Penniston-Dorland, Sarah; Liu, Xiao-Ming; Rudnick, Roberta L.",,"Penniston-Dorland, Sarah (); Liu, Xiao-Ming (); Rudnick, Roberta L. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1086976611,,,,,,
16,200,pub.1091595509,10.1007/978-3-319-39193-9_277-1,,,Earth’s Continental Crust,Encyclopedia of Earth Sciences Series,Encyclopedia of Engineering Geology,,2017,2017,,,1-27,Closed,Chapter,"Rudnick, Roberta L.",,"Rudnick, Roberta L. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1091595509,,,,,,
17,200,pub.1083517700,10.2138/rmg.2017.82.6,,,Lithium Isotope Geochemistry,Reviews in Mineralogy and Geochemistry,,,2017,2017,82,1,165-217,Closed,Article,"Penniston-Dorland, Sarah; Liu, Xiao-Ming; Rudnick, Roberta L.",,"Penniston-Dorland, Sarah (University of Maryland, College Park); Liu, Xiao-Ming (University of North Carolina System); Rudnick, Roberta L. (University of California, Santa Barbara)",31,24,,11.08,,https://app.dimensions.ai/details/publication/pub.1083517700,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
18,100,pub.1037970779,10.1016/j.gca.2016.07.004,,,Platinum-group element abundances and Re–Os isotopic systematics of the upper continental crust through time: Evidence from glacial diamictites,Geochimica et Cosmochimica Acta,,,2016-10,2016,191,Earth Planet. Sci. Lett. 67 1984,1-16,All OA; Gold,Article,"Chen, Kang; Walker, Richard J.; Rudnick, Roberta L.; Gao, Shan; Gaschnig, Richard M.; Puchtel, Igor S.; Tang, Ming; Hu, Zhao-Chu","Chen, Kang","Chen, Kang (China University of Geosciences; University of Maryland, College Park); Walker, Richard J. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Gao, Shan (China University of Geosciences); Gaschnig, Richard M. (University of Maryland, College Park); Puchtel, Igor S. (University of Maryland, College Park); Tang, Ming (University of Maryland, College Park); Hu, Zhao-Chu (China University of Geosciences)",17,12,,4.19,https://manuscript.elsevier.com/S0016703716303842/pdf/S0016703716303842.pdf,https://app.dimensions.ai/details/publication/pub.1037970779,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
19,100,pub.1046098351,10.1016/j.gca.2016.03.020,,,"Compositional evolution of the upper continental crust through time, as constrained by ancient glacial diamictites",Geochimica et Cosmochimica Acta,,,2016-08,2016,186,,316-343,All OA; Gold,Article,"Gaschnig, Richard M.; Rudnick, Roberta L.; McDonough, William F.; Kaufman, Alan J.; Valley, John W.; Hu, Zhaochu; Gao, Shan; Beck, Michelle L.","Gaschnig, Richard M.","Gaschnig, Richard M. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Kaufman, Alan J. (University of Maryland, College Park); Valley, John W. (University of Wisconsin–Madison); Hu, Zhaochu (China University of Geosciences); Gao, Shan (China University of Geosciences); Beck, Michelle L. (Virginia Tech)",28,22,,6.9,https://manuscript.elsevier.com/S0016703716301296/pdf/S0016703716301296.pdf,https://app.dimensions.ai/details/publication/pub.1046098351,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
20,100,pub.1033150528,10.1111/maps.12643,,,Evidence for high‐temperature fractionation of lithium isotopes during differentiation of the Moon,Meteoritics and Planetary Science,,,2016-06,2016,51,6,1046-1062,"All OA; Green, Accepted & Submitted",Article,"Day, James M. D.; Qiu, Lin; Ash, Richard D.; McDonough, William F.; Teng, Fang‐Zhen; Rudnick, Roberta L.; Taylor, Lawrence A.",,"Day, James M. D. (University of California, San Diego); Qiu, Lin (University of Maryland, College Park; Yale University); Ash, Richard D. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Teng, Fang‐Zhen (University of Washington); Rudnick, Roberta L. (University of Maryland, College Park); Taylor, Lawrence A. (University of Tennessee at Knoxville)",7,5,,1.72,https://escholarship.org/content/qt54g1j8bn/qt54g1j8bn.pdf?t=owvsld,https://app.dimensions.ai/details/publication/pub.1033150528,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
21,100,pub.1023958028,10.1016/j.gca.2015.12.012,,,Insights into chemical weathering of the upper continental crust from the geochemistry of ancient glacial diamictites,Geochimica et Cosmochimica Acta,,,2016-03,2016,176,Tectonophysics 296 1998,96-117,All OA; Gold,Article,"Li, Su; Gaschnig, Richard M.; Rudnick, Roberta L.","Li, Su","Li, Su (China University of Petroleum; University of Maryland, College Park); Gaschnig, Richard M. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park)",16,8,,3.94,https://manuscript.elsevier.com/S0016703715007061/pdf/S0016703715007061.pdf,https://app.dimensions.ai/details/publication/pub.1023958028,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
22,400,pub.1062667025,10.1126/science.aad5513,26798012,,Archean upper crust transition from mafic to felsic marks the onset of plate tectonics,Science,,,2016-01-22,2016,351,6271,372-375,All OA; Gold,Article,"Tang, Ming; Chen, Kang; Rudnick, Roberta L.",,"Tang, Ming (University of Maryland, College Park); Chen, Kang (China University of Geosciences; University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park)",122,77,1.76,32.67,https://science.sciencemag.org/content/sci/351/6271/372.full.pdf,https://app.dimensions.ai/details/publication/pub.1062667025,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,200,pub.1010418142,10.1007/978-3-319-39193-9_232-1,,,Large-Ion Lithophile Elements,Encyclopedia of Earth Sciences Series,Encyclopedia of Engineering Geology,,2016,2016,,,1-3,Closed,Chapter,"Chauvel, Catherine; Rudnick, Roberta L.",,"Chauvel, Catherine (); Rudnick, Roberta L. ()",3,2,,,,https://app.dimensions.ai/details/publication/pub.1010418142,,,,,,
24,100,pub.1019652452,10.1130/g37259.1,,,Magnesium isotope evidence for a recycled origin of cratonic eclogites,Geology,,,2015-10-23,2015,43,12,1071-1074,Closed,Article,"Wang, Shui-Jiong; Teng, Fang-Zhen; Rudnick, Roberta L.; Li, Shu-Guang",,"Wang, Shui-Jiong (University of Washington; China University of Geosciences); Teng, Fang-Zhen (University of Washington); Rudnick, Roberta L. (University of Maryland, College Park); Li, Shu-Guang (China University of Geosciences; University of Science and Technology of China)",18,9,,3.35,,https://app.dimensions.ai/details/publication/pub.1019652452,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
25,100,pub.1013620322,10.1016/j.epsl.2015.07.032,,,New perspectives on the Li isotopic composition of the upper continental crust and its weathering signature,Earth and Planetary Science Letters,,,2015-10,2015,428,Tectonophysics 296 1998,181-192,All OA; Gold,Article,"Sauzéat, Lucie; Rudnick, Roberta L.; Chauvel, Catherine; Garçon, Marion; Tang, Ming","Sauzéat, Lucie","Sauzéat, Lucie (University of Maryland, College Park; Institute of Earth Science); Rudnick, Roberta L. (University of Maryland, College Park); Chauvel, Catherine (Institute of Earth Science; French National Centre for Scientific Research); Garçon, Marion (Carnegie Institution for Science); Tang, Ming (University of Maryland, College Park)",32,14,,5.96,https://manuscript.elsevier.com/S0012821X15004677/pdf/S0012821X15004677.pdf,https://app.dimensions.ai/details/publication/pub.1013620322,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
26,100,pub.1049668440,10.1016/j.gca.2015.06.019,,,The behavior of magnesium isotopes in low-grade metamorphosed mudrocks,Geochimica et Cosmochimica Acta,,,2015-09,2015,165,J. Anal. Atomic Spec. 26 2011,435-448,Closed,Article,"Wang, Shui-Jiong; Teng, Fang-Zhen; Rudnick, Roberta L.; Li, Shu-Guang","Wang, Shui-Jiong","Wang, Shui-Jiong (China University of Geosciences; University of Washington); Teng, Fang-Zhen (University of Washington); Rudnick, Roberta L. (University of Maryland, College Park); Li, Shu-Guang (China University of Geosciences; University of Science and Technology of China)",19,8,,3.54,,https://app.dimensions.ai/details/publication/pub.1049668440,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
27,100,pub.1026925067,10.1111/j.1751-908x.2014.00330.x,,,"Determination of Ga, Ge, Mo, Ag, Cd, In, Sn, Sb, W, Tl and Bi in USGS Whole‐Rock Reference Materials by Standard Addition ICP‐MS",Geostandards and Geoanalytical Research,,,2015-09,2015,39,3,371-379,Closed,Article,"Gaschnig, Richard M.; Rudnick, Roberta L.; McDonough, William F.",,"Gaschnig, Richard M. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park)",13,5,,2.42,,https://app.dimensions.ai/details/publication/pub.1026925067,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
28,100,pub.1009764938,10.1130/g36641.1,,,Europium anomalies constrain the mass of recycled lower continental crust,Geology,,,2015-08,2015,43,8,703-706,All OA; Gold,Article,"Tang, Ming; Rudnick, Roberta L.; McDonough, William F.; Gaschnig, Richard M.; Huang, Yu",,"Tang, Ming (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park); Gaschnig, Richard M. (University of Maryland, College Park); Huang, Yu (University of Maryland, College Park)",15,9,,3.08,https://pubs.geoscienceworld.org/geology/article-pdf/43/8/703/470633/703.pdf,https://app.dimensions.ai/details/publication/pub.1009764938,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1023049904,10.1002/2015gc005779,,,"Plume‐cratonic lithosphere interaction recorded by water and other trace elements in peridotite xenoliths from the Labait volcano, Tanzania",Geochemistry Geophysics Geosystems,,,2015-06,2015,16,6,1687-1710,All OA; Gold,Article,"Hui, Hejiu; Peslier, Anne H.; Rudnick, Roberta L.; Simonetti, Antonio; Neal, Clive R.",,"Hui, Hejiu (Nanjing University; University of Notre Dame; Lunar and Planetary Institute); Peslier, Anne H. (Johnson Space Center); Rudnick, Roberta L. (University of Maryland, College Park); Simonetti, Antonio (University of Notre Dame); Neal, Clive R. (University of Notre Dame)",17,7,,3.16,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GC005779,https://app.dimensions.ai/details/publication/pub.1023049904,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
30,100,pub.1029576579,10.1016/j.tecto.2014.05.009,,,Big insights from tiny peridotites: Evidence for persistence of Precambrian lithosphere beneath the eastern North China Craton,Tectonophysics,,,2015-05,2015,650,Geochim. Cosmochim. Acta 70 2006,104-112,"All OA; Green, Published",Article,"Liu, Jingao; Rudnick, Roberta L.; Walker, Richard J.; Xu, Wen-liang; Gao, Shan; Wu, Fu-yuan","Liu, Jingao","Liu, Jingao (University of Maryland, College Park; University of Alberta); Rudnick, Roberta L. (University of Maryland, College Park); Walker, Richard J. (University of Maryland, College Park); Xu, Wen-liang (Jilin University); Gao, Shan (China University of Geosciences); Wu, Fu-yuan (Institute of Geology and Geophysics)",17,8,,3.49,https://escholarship.org/content/qt8wb238nc/qt8wb238nc.pdf?t=owvsmi,https://app.dimensions.ai/details/publication/pub.1029576579,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1047773654,10.1016/j.epsl.2014.10.032,,,Processes controlling δ 7Li in rivers illuminated by study of streams and groundwaters draining basalts,Earth and Planetary Science Letters,,,2015-01,2015,409,Am. J. Sci. 283 1983,212-224,All OA; Gold,Article,"Liu, Xiao-Ming; Wanner, Christoph; Rudnick, Roberta L.; McDonough, William F.","Liu, Xiao-Ming","Liu, Xiao-Ming (University of Maryland, College Park; Geophysical Laboratory); Wanner, Christoph (Lawrence Berkeley National Laboratory); Rudnick, Roberta L. (University of Maryland, College Park); McDonough, William F. (University of Maryland, College Park)",28,12,,5.23,https://manuscript.elsevier.com/S0012821X14006591/pdf/S0012821X14006591.pdf,https://app.dimensions.ai/details/publication/pub.1047773654,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
32,100,pub.1019801252,10.1016/j.tecto.2014.11.011,,,"Deformation, hydration, and anisotropy of the lithospheric mantle in an active rift: Constraints from mantle xenoliths from the North Tanzanian Divergence of the East African Rift",Tectonophysics,,,2015-01,2015,639,J. Geophys. Res. 102 B6 1997,34-55,Closed,Article,"Baptiste, Virginie; Tommasi, Andréa; Vauchez, Alain; Demouchy, Sylvie; Rudnick, Roberta L.","Baptiste, Virginie","Baptiste, Virginie (Géosciences Montpellier); Tommasi, Andréa (Géosciences Montpellier); Vauchez, Alain (Géosciences Montpellier); Demouchy, Sylvie (Géosciences Montpellier); Rudnick, Roberta L. (University of Maryland, College Park)",22,5,,4.51,,https://app.dimensions.ai/details/publication/pub.1019801252,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
