,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Charles Jones. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1084060527,10.1016/j.atmosres.2017.03.010,,,WRF simulation of downslope wind events in coastal Santa Barbara County,Atmospheric Research,,,2017-07,2017,191,,57-73,"All OA; Green, Published",Article,"Cannon, Forest; Carvalho, Leila M.V.; Jones, Charles; Hall, Todd; Gomberg, David; Dumas, John; Jackson, Mark","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Hall, Todd (National Weather Service); Gomberg, David (National Weather Service); Dumas, John (National Weather Service); Jackson, Mark (National Weather Service)",7,6,,2.12,https://escholarship.org/content/qt8h89t6zv/qt8h89t6zv.pdf?t=ovgd4f,https://app.dimensions.ai/details/publication/pub.1084060527,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
11,100,pub.1000109130,10.1002/2016jd026038,,,Effects of topographic smoothing on the simulation of winter precipitation in High Mountain Asia,Journal of Geophysical Research Atmospheres,,,2017-02-16,2017,122,3,1456-1474,"All OA; Green, Published",Article,"Cannon, Forest; Carvalho, Leila M. V.; Jones, Charles; Norris, Jesse; Bookhagen, Bodo; Kiladis, George N.",,"Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Norris, Jesse (University of California, Santa Barbara); Bookhagen, Bodo (University of Potsdam); Kiladis, George N. (Earth System Research Laboratory)",11,9,,3.33,https://escholarship.org/content/qt3sc73873/qt3sc73873.pdf?t=ovgdc1,https://app.dimensions.ai/details/publication/pub.1000109130,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
12,100,pub.1025131871,10.1007/s00382-016-3137-0,,,The influence of tropical forcing on extreme winter precipitation in the western Himalaya,Climate Dynamics,,,2017-02,2017,48,3-4,1213-1232,"All OA; Green, Published",Article,"Cannon, Forest; Carvalho, Leila M. V.; Jones, Charles; Hoell, Andrew; Norris, Jesse; Kiladis, George N.; Tahir, Adnan A.","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Hoell, Andrew (Earth System Research Laboratory); Norris, Jesse (University of California, Santa Barbara); Kiladis, George N. (Earth System Research Laboratory); Tahir, Adnan A. (COMSATS University Islamabad)",22,15,,6.67,https://escholarship.org/content/qt32w6m49s/qt32w6m49s.pdf?t=oo8rxl,https://app.dimensions.ai/details/publication/pub.1025131871,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
13,100,pub.1010426584,10.1007/s00704-015-1489-8,,,Winter westerly disturbance dynamics and precipitation in the western Himalaya and Karakoram: a wave-tracking approach,Theoretical and Applied Climatology,,,2016-07,2016,125,1-2,27-44,"All OA; Green, Accepted & Submitted",Article,"Cannon, Forest; Carvalho, Leila M.V.; Jones, Charles; Norris, Jesse","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Norris, Jesse (University of California, Santa Barbara)",24,15,,4.89,https://escholarship.org/content/qt0sr8h24b/qt0sr8h24b.pdf?t=ogbstd,https://app.dimensions.ai/details/publication/pub.1010426584,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
14,100,pub.1017062019,10.1007/s10584-016-1640-2,,,Projections of climate change effects on discharge and inundation in the Amazon basin,Climatic Change,,,2016-06,2016,136,3-4,555-570,Closed,Article,"Sorribas, Mino Viana; Paiva, Rodrigo C. D.; Melack, John M.; Bravo, Juan Martin; Jones, Charles; Carvalho, Leila; Beighley, Edward; Forsberg, Bruce; Costa, Marcos Heil","Sorribas, Mino Viana","Sorribas, Mino Viana (Federal University of Rio Grande do Sul); Paiva, Rodrigo C. D. (Federal University of Rio Grande do Sul); Melack, John M. (University of California, Santa Barbara); Bravo, Juan Martin (Federal University of Rio Grande do Sul); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila (University of California, Santa Barbara); Beighley, Edward (Northeastern University); Forsberg, Bruce (National Institute of Amazonian Research); Costa, Marcos Heil (Federal University of Viçosa)",51,36,,12.59,,https://app.dimensions.ai/details/publication/pub.1017062019,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1001665273,10.1002/2015jc011323,,,Characterizing storm water dispersion and dilution from small coastal streams,Journal of Geophysical Research Oceans,,,2016-06,2016,121,6,3926-3943,All OA; Gold,Article,"Romero, Leonel; Siegel, David A.; McWilliams, James C.; Uchiyama, Yusuke; Jones, Charles",,"Romero, Leonel (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); McWilliams, James C. (University of California Los Angeles); Uchiyama, Yusuke (Kobe University); Jones, Charles (University of California, Santa Barbara)",13,9,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JC011323,https://app.dimensions.ai/details/publication/pub.1001665273,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1048878900,10.1175/ei-d-15-0033.1,,,Spatial and Temporal Patterns of Cloud Cover and Fog Inundation in Coastal California: Ecological Implications,Earth Interactions,,,2016-05,2016,20,15,1-19,All OA; Gold,Article,"Rastogi, Bharat; Williams, A. Park; Fischer, Douglas T.; Iacobellis, Sam F.; McEachern, Kathryn; Carvalho, Leila; Jones, Charles; Baguskas, Sara A.; Still, Christopher J.",,"Rastogi, Bharat (); Williams, A. Park (); Fischer, Douglas T. (); Iacobellis, Sam F. (); McEachern, Kathryn (); Carvalho, Leila (); Jones, Charles (); Baguskas, Sara A. (); Still, Christopher J. ()",11,9,,2.98,http://doi.org/10.1175/ei-d-15-0033.1,https://app.dimensions.ai/details/publication/pub.1048878900,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
17,100,pub.1012244515,10.1175/jcli-d-15-0423.1,,,Intraseasonal-to-Interannual Variability of the Indian Monsoon Identified with the Large-Scale Index for the Indian Monsoon System (LIMS),Journal of Climate,,,2016-04,2016,29,8,2941-2962,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles; Cannon, Forest; Norris, Jesse",,"Carvalho, Leila M. V. (); Jones, Charles (); Cannon, Forest (); Norris, Jesse ()",5,3,,1.02,http://journals.ametsoc.org/doi/pdf/10.1175/JCLI-D-15-0423.1,https://app.dimensions.ai/details/publication/pub.1012244515,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
18,100,pub.1028668516,10.1007/978-3-319-21650-8_10,,,The Madden–Julian Oscillation and the Monsoons,Springer Climate,The Monsoons and Climate Change,,2016,2016,,,207-224,Closed,Chapter,"Jones, Charles","Jones, Charles","Jones, Charles (University of California, Santa Barbara)",2,0,,0.41,,https://app.dimensions.ai/details/publication/pub.1028668516,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
19,100,pub.1033096525,10.1175/jcli-d-15-0149.1,,,The Madden–Julian Oscillation and Boreal Winter Forecast Skill: An Analysis of NCEP CFSv2 Reforecasts,Journal of Climate,,,2015-08,2015,28,15,6297-6307,Closed,Article,"Jones, Charles; Hazra, Abheera; Carvalho, Leila M. V.",,"Jones, Charles (); Hazra, Abheera (); Carvalho, Leila M. V. ()",12,7,,1.79,,https://app.dimensions.ai/details/publication/pub.1033096525,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
20,100,pub.1007869796,10.5194/npg-22-383-2015,,,Spatial random downscaling of rainfall signals in Andean heterogeneous terrain,Nonlinear Processes in Geophysics,,,2015-07-16,2015,22,4,383-402,All OA; Gold,Article,"Posadas, A.; Espinosa, L. A. Duffaut; Yarlequé, C.; Carbajal, M.; Heidinger, H.; Carvalho, L.; Jones, C.; Quiroz, R.",,"Posadas, A. (International Potato Center; World Agroforestry Centre); Espinosa, L. A. Duffaut (International Potato Center; George Mason University); Yarlequé, C. (University at Albany, State University of New York); Carbajal, M. (International Potato Center); Heidinger, H. (University of California, Santa Barbara); Carvalho, L. (University of California, Santa Barbara); Jones, C. (University of California, Santa Barbara); Quiroz, R. (International Potato Center)",3,2,,,https://www.nonlin-processes-geophys.net/22/383/2015/npg-22-383-2015.pdf,https://app.dimensions.ai/details/publication/pub.1007869796,04 Earth Sciences,04 Earth Sciences,,,,
21,100,pub.1034099393,10.1002/2014jd022592,,,WRF simulations of two extreme snowfall events associated with contrasting extratropical cyclones over the western and central Himalaya,Journal of Geophysical Research Atmospheres,,,2015-04-27,2015,120,8,3114-3138,"All OA; Green, Published",Article,"Norris, J.; Carvalho, L. M. V.; Jones, C.; Cannon, F.",,"Norris, J. (University of California, Santa Barbara); Carvalho, L. M. V. (University of California, Santa Barbara); Jones, C. (University of California, Santa Barbara); Cannon, F. (University of California, Santa Barbara)",27,13,,4.04,https://escholarship.org/content/qt5dh25846/qt5dh25846.pdf?t=ogbsx9,https://app.dimensions.ai/details/publication/pub.1034099393,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
22,100,pub.1014367773,10.1007/s00382-014-2248-8,,,Multi-annual variations in winter westerly disturbance activity affecting the Himalaya,Climate Dynamics,,,2015-01,2015,44,1-2,441-455,"All OA; Green, Accepted & Submitted",Article,"Cannon, Forest; Carvalho, Leila M. V.; Jones, Charles; Bookhagen, Bodo","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara)",66,33,,10.46,http://www.geog.ucsb.edu/%7Ebodo/pdf/cannon14_winter_westerlies_Karakoram.pdf,https://app.dimensions.ai/details/publication/pub.1014367773,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
23,100,pub.1030716028,10.1016/j.atmosres.2014.05.002,,,Sensitivity to Madden–Julian Oscillation variations on heavy precipitation over the contiguous United States,Atmospheric Research,,,2014-10,2014,147,,10-26,All OA; Gold,Article,"Jones, Charles; Carvalho, Leila M.V.","Jones, Charles","Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara)",16,5,,2.04,https://doi.org/10.1016/j.atmosres.2014.05.002,https://app.dimensions.ai/details/publication/pub.1030716028,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
24,100,pub.1008609492,10.1007/s00704-013-1056-0,,,Simulating the influence of the South Atlantic dipole on the South Atlantic convergence zone during neutral ENSO,Theoretical and Applied Climatology,,,2014-10,2014,118,1-2,251-269,Closed,Article,"Bombardi, Rodrigo J.; Carvalho, Leila M. V.; Jones, Charles","Bombardi, Rodrigo J.","Bombardi, Rodrigo J. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara)",4,2,,0.51,,https://app.dimensions.ai/details/publication/pub.1008609492,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
25,100,pub.1031192231,10.1007/s00382-013-1832-7,,,Precipitation over eastern South America and the South Atlantic Sea surface temperature during neutral ENSO periods,Climate Dynamics,,,2014-03,2014,42,5-6,1553-1568,Closed,Article,"Bombardi, Rodrigo J.; Carvalho, Leila M. V.; Jones, Charles; Reboita, Michelle S.","Bombardi, Rodrigo J.","Bombardi, Rodrigo J. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Reboita, Michelle S. (Federal University of Itajubá)",30,12,,4.01,,https://app.dimensions.ai/details/publication/pub.1031192231,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
26,100,pub.1023548019,10.1175/jcli-d-12-00412.1,,,Climate Change in the South American Monsoon System: Present Climate and CMIP5 Projections,Journal of Climate,,,2013-09,2013,26,17,130314153438000,"All OA; Green, Accepted & Submitted",Article,"Jones, Charles; Carvalho, Leila M. V.",,"Jones, Charles (); Carvalho, Leila M. V. ()",48,14,,5.3,https://escholarship.org/content/qt4k0202hz/qt4k0202hz.pdf?t=nkouvg,https://app.dimensions.ai/details/publication/pub.1023548019,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
27,100,pub.1000004859,10.1175/jcli-d-12-00532.1,,,CMIP5 Simulations of Low-Level Tropospheric Temperature and Moisture over the Tropical Americas,Journal of Climate,,,2013-09,2013,26,17,130315144221005,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles",,"Carvalho, Leila M. V. (); Jones, Charles ()",14,6,,1.55,https://escholarship.org/content/qt0624h642/qt0624h642.pdf?t=nkov3b,https://app.dimensions.ai/details/publication/pub.1000004859,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
28,100,pub.1044873139,10.1007/s00382-012-1321-4,,,Modulation of tropical ocean surface chlorophyll by the Madden–Julian Oscillation,Climate Dynamics,,,2013-01,2013,40,1-2,39-58,All OA; Gold,Article,"Jin, Daeho; Waliser, Duane E.; Jones, Charles; Murtugudde, Raghu","Jin, Daeho","Jin, Daeho (University of Maryland, College Park); Waliser, Duane E. (Jet Propulsion Lab); Jones, Charles (University of California, Santa Barbara); Murtugudde, Raghu (University of Maryland, College Park)",18,4,,2.26,https://link.springer.com/content/pdf/10.1007%2Fs00382-012-1321-4.pdf,https://app.dimensions.ai/details/publication/pub.1044873139,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
29,100,pub.1039712962,10.4236/ijg.2013.45b003,,,Evaluation of Desertification Processes in Seridó Region (NE Brazil),International Journal of Geosciences,,,2013,2013,04,05,12-17,All OA; Gold,Article,"Petta, Reinaldo Antonio; de Carvalho, Leila Vespoli; Erasmi, Stefan; Jones, Charles",,"Petta, Reinaldo Antonio (); de Carvalho, Leila Vespoli (); Erasmi, Stefan (); Jones, Charles ()",6,2,,1.43,http://www.scirp.org/journal/PaperDownload.aspx?paperID=37761,https://app.dimensions.ai/details/publication/pub.1039712962,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
30,100,pub.1063454919,10.1175/jcli-d-11-00335.1,,,Precipitation Characteristics of the South American Monsoon System Derived from Multiple Datasets,Journal of Climate,,,2012-07,2012,25,13,4600-4620,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles; Posadas, Adolfo N. D.; Quiroz, Roberto; Bookhagen, Bodo; Liebmann, Brant",,"Carvalho, Leila M. V. (); Jones, Charles (); Posadas, Adolfo N. D. (); Quiroz, Roberto (); Bookhagen, Bodo (); Liebmann, Brant ()",28,7,,2.88,https://cgspace.cgiar.org/bitstream/10568/67714/1/75947.pdf,https://app.dimensions.ai/details/publication/pub.1063454919,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
31,100,pub.1038902686,10.1175/jcli-d-11-00278.1,,,Spatial–Intensity Variations in Extreme Precipitation in the Contiguous United States and the Madden–Julian Oscillation,Journal of Climate,,,2012-07,2012,25,14,4898-4913,Closed,Article,"Jones, Charles; Carvalho, Leila M. V.",,"Jones, Charles (); Carvalho, Leila M. V. ()",30,11,,3.41,,https://app.dimensions.ai/details/publication/pub.1038902686,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
32,100,pub.1014466037,10.1029/2012jc007964,,,Introduction to special section on Recent Advances in the Study of Optical Variability in the Near‐Surface and Upper Ocean,Journal of Geophysical Research,,,2012-07,2012,117,C7,n/a-n/a,"All OA; Green, Published",Article,"Dickey, T.; Banner, M. L.; Bhandari, P.; Boyd, T.; Carvalho, L.; Chang, G.; Chao, Y.; Czerski, H.; Darecki, M.; Dong, C.; Farmer, D.; Freeman, S.; Gemmrich, J.; Gernez, P.; Hall‐Patch, N.; Holt, B.; Jiang, S.; Jones, C.; Kattawar, G.; LeBel, D.; Lenain, L.; Lewis, M.; Liu, Y.; Logan, L.; Manov, D.; Melville, W. K.; Moline, M. A.; Morison, R.; Nencioli, F.; Pegau, W. S.; Reineman, B.; Robbins, I.; Röttgers, R.; Schultz, H.; Shen, L.; Shinki, M.; Slivkoff, M.; Sokólski, M.; Spada, F.; Statom, N.; Stramski, D.; Sutherland, P.; Twardowski, M.; Vagle, S.; Van Dommelen, R.; Voss, K.; Washburn, L.; Wei, J.; Wijesekera, H.; Wurl, O.; Yang, D.; Yildiz, S.; You, Y.; Yue, D. K. P.; Zaneveld, R.; Zappa, C. J.",,"Dickey, T. (University of California, Santa Barbara); Banner, M. L. (UNSW Sydney); Bhandari, P. (University of Miami); Boyd, T. (Oregon State University); Carvalho, L. (University of California, Santa Barbara); Chang, G. (); Chao, Y. (Remote Sensing Solutions (United States)); Czerski, H. (University of Southampton); Darecki, M. (Institute of Oceanology); Dong, C. (University of California Los Angeles); Farmer, D. (University of Rhode Island); Freeman, S. (Science Systems and Applications (United States)); Gemmrich, J. (University of Victoria); Gernez, P. (University of Nantes); Hall‐Patch, N. (Fisheries and Oceans Canada); Holt, B. (Jet Propulsion Lab); Jiang, S. (University of California, Santa Barbara); Jones, C. (University of California, Santa Barbara); Kattawar, G. (Texas A&M University); LeBel, D. (Lamont-Doherty Earth Observatory); Lenain, L. (University of California, San Diego); Lewis, M. (Dalhousie University); Liu, Y. (Massachusetts Institute of Technology); Logan, L. (University of Miami); Manov, D. (University of California, Santa Barbara); Melville, W. K. (University of California, San Diego); Moline, M. A. (California Polytechnic State University); Morison, R. (UNSW Sydney); Nencioli, F. (Mediterranean Institute of Oceanography); Pegau, W. S. (); Reineman, B. (University of California, San Diego); Robbins, I. (California Polytechnic State University); Röttgers, R. (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Schultz, H. (University of Massachusetts System); Shen, L. (Johns Hopkins University); Shinki, M. (); Slivkoff, M. (); Sokólski, M. (Institute of Oceanology); Spada, F. (); Statom, N. (University of California, San Diego); Stramski, D. (University of California, San Diego); Sutherland, P. (University of California, San Diego); Twardowski, M. (); Vagle, S. (Fisheries and Oceans Canada); Van Dommelen, R. (); Voss, K. (University of Miami); Washburn, L. (University of California, Santa Barbara); Wei, J. (Dalhousie University); Wijesekera, H. (United States Naval Research Laboratory); Wurl, O. (Old Dominion University); Yang, D. (Johns Hopkins University); Yildiz, S. (University of California, San Diego); You, Y. (Texas A&M University); Yue, D. K. P. (Massachusetts Institute of Technology); Zaneveld, R. (); Zappa, C. J. (Lamont-Doherty Earth Observatory)",18,2,,2.05,https://digitalcommons.odu.edu/cgi/viewcontent.cgi?article=1275&context=oeas_fac_pubs,https://app.dimensions.ai/details/publication/pub.1014466037,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
