,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Daniel Lavallée. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1034677520,10.1029/2004gl022202,,,Coupling of the random properties of the source and the ground motion for the 1999 Chi Chi earthquake,Geophysical Research Letters,,,2005,2005,32,8,,All OA; Gold,Article,"Lavallée, Daniel; Archuleta, Ralph J.",,"Lavallée, Daniel (University of California, Santa Barbara); Archuleta, Ralph J. (University of California, Santa Barbara)",19,1,,2.37,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004GL022202,https://app.dimensions.ai/details/publication/pub.1034677520,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
11,100,pub.1048287432,10.1016/j.soildyn.2003.11.002,,,Estimating site-specific strong earthquake motions,Soil Dynamics and Earthquake Engineering,,,2004-04,2004,24,3,199-223,Closed,Article,"Heuze, F.; Archuleta, R.; Bonilla, F.; Day, S.; Doroudian, M.; Elgamal, A.; Gonzales, S.; Hoehler, M.; Lai, T.; Lavallee, D.; Lawrence, B.; Liu, P.-C.; Martin, A.; Matesic, L.; Minster, B.; Mellors, R.; Oglesby, D.; Park, S.; Riemer, M.; Steidl, J.; Vernon, F.; Vucetic, M.; Wagoner, J.; Yang, Z.","Heuze, F.","Heuze, F. (Lawrence Livermore National Laboratory); Archuleta, R. (University of California, Santa Barbara); Bonilla, F. (University of California, Santa Barbara); Day, S. (San Diego State University); Doroudian, M. (University of California Los Angeles); Elgamal, A. (University of California, San Diego); Gonzales, S. (San Diego State University); Hoehler, M. (Lawrence Livermore National Laboratory); Lai, T. (University of California, San Diego); Lavallee, D. (University of California, Santa Barbara); Lawrence, B. (University of California, Riverside); Liu, P.-C. (University of California, Santa Barbara); Martin, A. (University of California, Santa Barbara); Matesic, L. (University of California Los Angeles); Minster, B. (University of California, San Diego); Mellors, R. (San Diego State University); Oglesby, D. (University of California, Riverside); Park, S. (University of California, Riverside); Riemer, M. (University of California, Berkeley); Steidl, J. (University of California, Santa Barbara); Vernon, F. (University of California, San Diego); Vucetic, M. (University of California Los Angeles); Wagoner, J. (Lawrence Livermore National Laboratory); Yang, Z. (University of California, San Diego)",10,0,,1.29,,https://app.dimensions.ai/details/publication/pub.1048287432,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
12,100,pub.1053436461,10.1029/2004gl020263,,,Stochastic modeling of climatic variability in dendrochronology,Geophysical Research Letters,,,2004,2004,31,15,,All OA; Gold,Article,"Lavallée, Daniel; Beltrami, Hugo",,"Lavallée, Daniel (University of California, Santa Barbara); Beltrami, Hugo (St. Francis Xavier University)",5,0,,1.33,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004GL020263,https://app.dimensions.ai/details/publication/pub.1053436461,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
13,100,pub.1039112876,10.1029/2002wr001645,,,Multifractal anisotropic scaling of the hydraulic conductivity,Water Resources Research,,,2003-07,2003,39,7,,All OA; Gold,Article,"Tennekoon, Lilantha; Boufadel, Michel C.; Lavallee, Daniel; Weaver, James",,"Tennekoon, Lilantha (Temple University); Boufadel, Michel C. (Temple University); Lavallee, Daniel (University of California, Santa Barbara); Weaver, James (Environmental Protection Agency)",43,4,,8.43,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002WR001645,https://app.dimensions.ai/details/publication/pub.1039112876,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
14,100,pub.1008017206,10.1016/s0031-9201(03)00013-x,,,Finite-fault site-specific acceleration time histories that include nonlinear soil response,Physics of The Earth and Planetary Interiors,,,2003-05,2003,137,1-4,153-181,Closed,Article,"Archuleta, Ralph J.; Liu, Pengcheng; Steidl, Jamison H.; Bonilla, L.Fabian; Lavallée, Daniel; Heuze, Francois","Archuleta, Ralph J.","Archuleta, Ralph J. (University of California, Santa Barbara); Liu, Pengcheng (University of California, Santa Barbara); Steidl, Jamison H. (University of California, Santa Barbara); Bonilla, L.Fabian (Radioprotection and Nuclear Safety Institute); Lavallée, Daniel (University of California, Santa Barbara); Heuze, Francois (Lawrence Livermore National Laboratory)",11,1,,1.32,,https://app.dimensions.ai/details/publication/pub.1008017206,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
15,100,pub.1038084336,10.1029/2002gl015839,,,"Stochastic modeling of slip spatial complexities for the 1979 Imperial Valley, California, earthquake",Geophysical Research Letters,,,2003-03,2003,30,5,n/a-n/a,All OA; Gold,Article,"Lavallée, Daniel; Archuleta, Ralph J.",,"Lavallée, Daniel (University of California, Santa Barbara); Archuleta, Ralph J. (University of California, Santa Barbara)",63,6,,14.73,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002GL015839,https://app.dimensions.ai/details/publication/pub.1038084336,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
16,100,pub.1051906249,10.1029/2001gl014276,,,Multifractal properties of evolving convective systems over tropical South America,Geophysical Research Letters,,,2002-08,2002,29,15,33-1-33-4,All OA; Gold,Article,"Carvalho, Leila M. V.; Lavallée, Daniel; Jones, Charles",,"Carvalho, Leila M. V. (University of Sao Paulo; University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara)",14,2,,2.18,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GL014276,https://app.dimensions.ai/details/publication/pub.1051906249,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
17,100,pub.1004004589,10.1029/2000wr900208,,,Multifractal scaling of the intrinsic permeability,Water Resources Research,,,2000-11,2000,36,11,3211-3222,All OA; Gold,Article,"Boufadel, Michel C.; Lu, Silong; Molz, Fred J.; Lavallee, Daniel",,"Boufadel, Michel C. (); Lu, Silong (); Molz, Fred J. (); Lavallee, Daniel ()",51,3,,9.74,http://onlinelibrary.wiley.com/doi/10.1029/2000WR900208/pdf,https://app.dimensions.ai/details/publication/pub.1004004589,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
18,200,pub.1054517461,10.1007/s004770050049,,,Multifractal versus monofractal analysis of wetland topography,Stochastic Environmental Research and Risk Assessment,,,2000-03-09,2000,14,1,0008-0032,Closed,Article,"Tchiguirinskaia, I.; Lu, S.; Molz, F. J.; Williams, T. M.; Lavallée, D.",,"Tchiguirinskaia, I. (); Lu, S. (); Molz, F. J. (); Williams, T. M. (); Lavallée, D. ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1054517461,01 Mathematical Sciences; 09 Engineering,01 Mathematical Sciences,09 Engineering,,,
19,100,pub.1012081990,10.1007/s004770050002,,,Multifractal versus monofractal analysis of wetland topography,Stochastic Environmental Research and Risk Assessment,,,2000-03,2000,14,1,8-32,Closed,Article,"Tchiguirinskaia, I.; Lu, S.; Molz, F. J.; Williams, T. M.; Lavallée, D.",,"Tchiguirinskaia, I. (Clemson University); Lu, S. (Clemson University); Molz, F. J. (Clemson University); Williams, T. M. (Clemson University); Lavallée, D. (University of California, Santa Barbara)",18,2,,4.21,,https://app.dimensions.ai/details/publication/pub.1012081990,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
20,100,pub.1015206036,10.5194/npg-2-16-1995,,,The l1/2 law and multifractal topography: theory and analysis,Nonlinear Processes in Geophysics,,,1995,1995,2,1,16-22,All OA; Gold,Article,"Lovejoy, S.; Lavallée, D.; Schertzer, D.; Ladoy, P.",,"Lovejoy, S. (McGill University); Lavallée, D. (University of California, Santa Barbara); Schertzer, D. (Laboratoire de Météorologie Dynamique); Ladoy, P. ()",19,2,,,https://www.nonlin-processes-geophys.net/2/16/1995/npg-2-16-1995.pdf,https://app.dimensions.ai/details/publication/pub.1015206036,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1016610444,10.1029/93gl00369,,,Universal multifractal indices for the ocean surface at far red wavelengths,Geophysical Research Letters,,,1993-06-18,1993,20,12,1167-1170,Closed,Article,"Tessier, Y.; Lovejoy, S.; Schertzer, D.; Lavallée, D.; Kerman, B.",,"Tessier, Y. (McGill University); Lovejoy, S. (McGill University); Schertzer, D. (); Lavallée, D. (University of California, Santa Barbara); Kerman, B. ()",14,1,,,,https://app.dimensions.ai/details/publication/pub.1016610444,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1062957863,10.1142/s0218127492000835,,,UNIVERSAL MULTIFRACTAL CHARACTERIZATION AND SIMULATION OF SPEECH,International Journal of Bifurcation and Chaos,,,1992-09,1992,02,03,715-719,Closed,Article,"LARNDER, CHRIS; DESAULNIERS-SOUCY, NICOLAS; LOVEJOY, SHAUN; SCHERTZER, DANIEL; BRAUN, CLAUDE; LAVALLEE, D.",,"LARNDER, CHRIS (McGill University); DESAULNIERS-SOUCY, NICOLAS (McGill University); LOVEJOY, SHAUN (McGill University); SCHERTZER, DANIEL (McGill University); BRAUN, CLAUDE (McGill University); LAVALLEE, D. (McGill University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1062957863,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
23,100,pub.1006555927,10.1007/978-94-017-3550-6_27,,,On the Determination of Universal Multifractal Parameters in Turbulence,,Topological Aspects of the Dynamics of Fluids and Plasmas,,1992,1992,,,463-478,Closed,Chapter,"Lavallée, D.; Lovejoy, S.; Schertzer, D.; Schmitt, F.",,"Lavallée, D. (University of California, Santa Barbara); Lovejoy, S. (McGill University); Schertzer, D. (); Schmitt, F. ()",21,0,,,,https://app.dimensions.ai/details/publication/pub.1006555927,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
24,200,pub.1005349992,10.1117/12.49613,,,"Universal multifractal theory and observations of land and ocean surfaces, and of clouds",Proceedings of SPIE,Wave Propagation and Scattering in Varied Media II,,1991-11-11,1991,1558,,60-75,Closed,Proceeding,"Lavallee, Daniel; Lovejoy, Shaun; Schertzer, Daniel",,"Lavallee, Daniel (University of California, Santa Barbara); Lovejoy, Shaun (McGill University); Schertzer, Daniel ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1005349992,,,,,,
25,100,pub.1009420758,10.1007/978-94-009-2147-4_7,,,On the Determination of the Codimension Function,,Non-Linear Variability in Geophysics,,1991,1991,,,99-109,Closed,Chapter,"Lavallée, D.; Schertzer, D.; Lovejoy, S.",,"Lavallée, D. (McGill University); Schertzer, D. (McGill University); Lovejoy, S. (McGill University)",40,0,,,,https://app.dimensions.ai/details/publication/pub.1009420758,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
