,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Martin Raubal. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1116154767,10.1145/3314111.3319919,,,Eye tracking support for visual analytics systems,,Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications - ETRA '19,,2019,2019,,,1-10,"All OA; Green, Accepted & Submitted",Proceeding,"Silva, Nelson; Blascheck, Tanja; Jianu, Radu; Rodrigues, Nils; Weiskopf, Daniel; Raubal, Martin; Schreck, Tobias",,"Silva, Nelson (Know Center); Blascheck, Tanja (French Institute for Research in Computer Science and Automation); Jianu, Radu (City, University of London); Rodrigues, Nils (University of Stuttgart); Weiskopf, Daniel (University of Stuttgart); Raubal, Martin (Swiss Federal Institute of Technology in Zurich); Schreck, Tobias (Graz University of Technology)",0,0,,,http://openaccess.city.ac.uk/21945/1/ETRA2019_Rebuttal_final_Paper.pdf,https://app.dimensions.ai/details/publication/pub.1116154767,,,,,,
11,200,pub.1113814478,10.1145/3290605.3300721,,,Gaze-Guided Narratives,,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems - CHI '19,,2019,2019,,,1-12,Closed,Proceeding,"Kwok, Tiffany C.K.; Kiefer, Peter; Schinazi, Victor R.; Adams, Benjamin; Raubal, Martin",,"Kwok, Tiffany C.K. (Swiss Federal Institute of Technology in Zurich); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Schinazi, Victor R. (Swiss Federal Institute of Technology in Zurich); Adams, Benjamin (University of Canterbury); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113814478,,,,,,
12,200,pub.1105929849,10.1080/13658816.2018.1503277,,,Special section in honor of Andrew U. Frank,International Journal of Geographical Information Science,,,2018-12-02,2018,32,12,1-4,All OA; Gold,Article,"Winter, Stephan; Egenhofer, Max; Kuhn, Werner; Raubal, Martin",,"Winter, Stephan (University of Melbourne); Egenhofer, Max (University of Maine); Kuhn, Werner (University of California, Santa Barbara); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,https://www.tandfonline.com/doi/pdf/10.1080/13658816.2018.1503277?needAccess=true,https://app.dimensions.ai/details/publication/pub.1105929849,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
13,100,pub.1106368283,10.1080/17489725.2018.1508763,,,Location based services: ongoing evolution and research agenda,Journal of Location Based Services,,,2018-04-03,2018,12,2,1-31,All OA; Gold,Article,"Huang, Haosheng; Gartner, Georg; Krisp, Jukka M.; Raubal, Martin; Van de Weghe, Nico",,"Huang, Haosheng (University of Zurich); Gartner, Georg (TU Wien); Krisp, Jukka M. (University of Augsburg); Raubal, Martin (Swiss Federal Institute of Technology in Zurich); Van de Weghe, Nico (Ghent University)",11,11,,,https://www.tandfonline.com/doi/pdf/10.1080/17489725.2018.1508763?needAccess=true,https://app.dimensions.ai/details/publication/pub.1106368283,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
14,100,pub.1101176200,10.1016/j.apenergy.2018.02.008,,,A scalable method for estimating rooftop solar irradiation potential over large regions,Applied Energy,,,2018-04,2018,216,Energy 30 9 2005,389-401,Closed,Article,"Buffat, René; Grassi, Stefano; Raubal, Martin","Buffat, René","Buffat, René (Swiss Federal Institute of Technology in Zurich); Grassi, Stefano (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1101176200,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
15,100,pub.1091477438,10.1007/s00450-017-0345-8,,,Using locally produced photovoltaic energy to charge electric vehicles,SICS Software-Intensive Cyber-Physical Systems,,,2018-02,2018,33,1-2,37-47,Closed,Article,"Buffat, René; Bucher, Dominik; Raubal, Martin","Buffat, René","Buffat, René (Swiss Federal Institute of Technology in Zurich); Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1091477438,0912 Materials Engineering; 09 Engineering; 0906 Electrical and Electronic Engineering,0912 Materials Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,
16,100,pub.1091396156,10.1007/s00450-017-0375-2,,,Demo Abstract: Extracting eco-feedback information from automatic activity tracking to promote energy-efficient individual mobility behavior,SICS Software-Intensive Cyber-Physical Systems,,,2018-02,2018,33,1-2,267-268,Closed,Article,"Bucher, Dominik; Mangili, Francesca; Bonesana, Claudio; Jonietz, David; Cellina, Francesca; Raubal, Martin","Cellina, Francesca","Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Mangili, Francesca (); Bonesana, Claudio (); Jonietz, David (Swiss Federal Institute of Technology in Zurich); Cellina, Francesca (University of Applied Sciences and Arts of Southern Switzerland); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1091396156,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
17,100,pub.1107672588,10.1145/3242587.3242624,,,Turbulence Ahead - A 3D Web-Based Aviation Weather Visualizer,,The 31st Annual ACM Symposium on User Interface Software and Technology - UIST '18,,2018,2018,,,299-311,Closed,Proceeding,"Stähli, Lisa; Rudi, David; Raubal, Martin",,"Stähli, Lisa (Swiss Federal Institute of Technology in Zurich); Rudi, David (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107672588,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
18,100,pub.1104470214,10.1145/3204493.3204544,,,Improving map reading with gaze-adaptive legends,,Proceedings of the 2018 ACM Symposium on Eye Tracking Research & Applications  - ETRA '18,,2018,2018,,,29,Closed,Proceeding,"Göbel, Fabian; Kiefer, Peter; Giannopoulos, Ioannis; Duchowski, Andrew T.; Raubal, Martin",,"Göbel, Fabian (Swiss Federal Institute of Technology in Zurich); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Giannopoulos, Ioannis (TU Wien); Duchowski, Andrew T. (Clemson University); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104470214,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
19,100,pub.1104413814,10.1145/3205929.3205934,,,Visualizing pilot eye movements for flight instructors,,Proceedings of the 3rd Workshop on Eye Tracking and Visualization - ETVIS '18,,2018,2018,,,7,Closed,Proceeding,"Rudi, David; Kiefer, Peter; Raubal, Martin",,"Rudi, David (Swiss Federal Institute of Technology in Zurich); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1104413814,1113 Ophthalmology and Optometry; 11 Medical and Health Sciences,1113 Ophthalmology and Optometry,11 Medical and Health Sciences,,,
20,100,pub.1103568552,10.1145/3173574.3173856,,,The Index of Pupillary Activity: Measuring Cognitive Load vis-à-vis Task Difficulty with Pupil Oscillation,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems - CHI '18,,2018,2018,,,282,All OA; Gold,Proceeding,"Duchowski, Andrew T.; Krejtz, Krzysztof; Krejtz, Izabela; Biele, Cezary; Niedzielska, Anna; Kiefer, Peter; Raubal, Martin; Giannopoulos, Ioannis",,"Duchowski, Andrew T. (Clemson University); Krejtz, Krzysztof (University of Social Sciences and Humanities); Krejtz, Izabela (University of Social Sciences and Humanities); Biele, Cezary (); Niedzielska, Anna (); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich); Giannopoulos, Ioannis (TU Wien)",13,13,,,http://dl.acm.org/ft_gateway.cfm?id=3173856&type=pdf,https://app.dimensions.ai/details/publication/pub.1103568552,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
21,100,pub.1101719252,10.1007/978-3-319-78208-9_15,,,Identifying and Interpreting Clusters of Persons with Similar Mobility Behaviour Change Processes,Lecture Notes in Geoinformation and Cartography,Geospatial Technologies for All,,2018,2018,,,291-307,Closed,Chapter,"Jonietz, David; Bucher, Dominik; Martin, Henry; Raubal, Martin","Jonietz, David","Jonietz, David (Swiss Federal Institute of Technology in Zurich); Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Martin, Henry (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101719252,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
22,100,pub.1092477063,10.1016/j.apenergy.2017.10.041,,,Big data GIS analysis for novel approaches in building stock modelling,Applied Energy,,,2017-12,2017,208,Energy Convers Manage 87 2014,277-290,Closed,Article,"Buffat, René; Froemelt, Andreas; Heeren, Niko; Raubal, Martin; Hellweg, Stefanie","Buffat, René","Buffat, René (Swiss Federal Institute of Technology in Zurich); Froemelt, Andreas (Swiss Federal Institute of Technology in Zurich); Heeren, Niko (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich); Hellweg, Stefanie (Swiss Federal Institute of Technology in Zurich)",13,12,,5.73,,https://app.dimensions.ai/details/publication/pub.1092477063,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
23,100,pub.1085870864,10.1080/13658816.2017.1334896,,,Gaze-Informed location-based services,International Journal of Geographical Information Science,,,2017-09-02,2017,31,9,1-28,Closed,Article,"Anagnostopoulos, V.; Havlena, M.; Kiefer, P.; Giannopoulos, I.; Schindler, K.; Raubal, M.",,"Anagnostopoulos, V. (Swiss Federal Institute of Technology in Zurich); Havlena, M. (Swiss Federal Institute of Technology in Zurich); Kiefer, P. (Swiss Federal Institute of Technology in Zurich); Giannopoulos, I. (Swiss Federal Institute of Technology in Zurich); Schindler, K. (Swiss Federal Institute of Technology in Zurich); Raubal, M. (Swiss Federal Institute of Technology in Zurich)",6,6,,4.87,,https://app.dimensions.ai/details/publication/pub.1085870864,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
24,100,pub.1091575437,10.1016/j.egypro.2017.07.433,,,GIS-based Decision Support System for Building Retrofit,Energy Procedia,,,2017-09,2017,122,,403-408,All OA; Gold,Article,"Buffat, René; Schmid, Lorenz; Heeren, Niko; Froemelt, Andreas; Raubal, Martin; Hellweg, Stefanie",,"Buffat, René (Swiss Federal Institute of Technology in Zurich); Schmid, Lorenz (Swiss Federal Institute of Technology in Zurich); Heeren, Niko (Swiss Federal Institute of Technology in Zurich); Froemelt, Andreas (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich); Hellweg, Stefanie (Swiss Federal Institute of Technology in Zurich)",6,6,,2.29,https://doi.org/10.1016/j.egypro.2017.07.433,https://app.dimensions.ai/details/publication/pub.1091575437,1202 Building; 12 Built Environment and Design,1202 Building,12 Built Environment and Design,,,
25,100,pub.1007403702,10.1007/s10707-016-0282-x,,,Controllability matters: The user experience of adaptive maps,GeoInformatica,,,2017-07,2017,21,3,619-641,Closed,Article,"Kiefer, Peter; Giannopoulos, Ioannis; Athanasios Anagnostopoulos, Vasileios; Schöning, Johannes; Raubal, Martin","Kiefer, Peter","Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Giannopoulos, Ioannis (Swiss Federal Institute of Technology in Zurich); Athanasios Anagnostopoulos, Vasileios (Swiss Federal Institute of Technology in Zurich); Schöning, Johannes (University of Bremen); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",5,5,,1.9,,https://app.dimensions.ai/details/publication/pub.1007403702,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0499 Other Earth Sciences; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0499 Other Earth Sciences,04 Earth Sciences
26,100,pub.1084770416,10.1016/j.apgeog.2017.04.001,,,Automatic selection of weights for GIS-based multicriteria decision analysis: site selection of transmission towers as a case study,Applied Geography,,,2017-06,2017,83,,78-85,"All OA; Green, Accepted & Submitted",Article,"Veronesi, Fabio; Schito, Joram; Grassi, Stefano; Raubal, Martin","Veronesi, Fabio","Veronesi, Fabio (Swiss Federal Institute of Technology in Zurich); Schito, Joram (Swiss Federal Institute of Technology in Zurich); Grassi, Stefano (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",15,13,,7.19,https://hau.collections.crest.ac.uk/17282/1/Fabio%20Veronesi%20Automatic%20selection%20upload.pdf,https://app.dimensions.ai/details/publication/pub.1084770416,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
27,100,pub.1087287322,10.1080/13875868.2016.1254634,,,"Eye tracking for spatial research: Cognition, computation, challenges",Spatial Cognition and Computation,,,2017-01-02,2017,17,1-2,1-19,Closed,Article,"Kiefer, Peter; Giannopoulos, Ioannis; Raubal, Martin; Duchowski, Andrew",,"Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Giannopoulos, Ioannis (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich); Duchowski, Andrew (Clemson University)",22,20,,9.69,,https://app.dimensions.ai/details/publication/pub.1087287322,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1085481985,10.1080/17489725.2017.1323125,,,"Maps, vibration or gaze? Comparison of novel navigation assistance in indoor and outdoor environments",Journal of Location Based Services,,,2017-01-02,2017,11,1,1-21,Closed,Article,"Gkonos, Charalampos; Giannopoulos, Ioannis; Raubal, Martin",,"Gkonos, Charalampos (Swiss Federal Institute of Technology in Zurich); Giannopoulos, Ioannis (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",4,4,,3.31,,https://app.dimensions.ai/details/publication/pub.1085481985,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
29,200,pub.1091805446,10.1007/978-3-319-17885-1_1469,,,Wayfinding: Affordances and Agent Simulation,,Encyclopedia of GIS,,2017,2017,,,2467-2471,All OA; Gold,Chapter,"Raubal, Martin",,"Raubal, Martin (University of California, Santa Barbara)",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-17885-1_1469.pdf,https://app.dimensions.ai/details/publication/pub.1091805446,,,,,,
30,100,pub.1099690552,10.1145/3139958.3140038,,,A Model and Framework for Matching Complementary Spatio-Temporal Needs,,Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems - SIGSPATIAL'17,,2017,2017,,,66,Closed,Proceeding,"Bucher, Dominik; Scheider, Simon; Raubal, Martin",,"Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Scheider, Simon (Utrecht University); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",1,1,,0.8,,https://app.dimensions.ai/details/publication/pub.1099690552,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
31,100,pub.1084755664,10.1007/978-3-319-56759-4_17,,,Assessing Accuracy and Geographical Transferability of Machine Learning Algorithms for Wind Speed Modelling,Lecture Notes in Geoinformation and Cartography,Societal Geo-innovation,,2017,2017,,,297-310,Closed,Chapter,"Veronesi, Fabio; Korfiati, Athina; Buffat, René; Raubal, Martin","Veronesi, Fabio","Veronesi, Fabio (Swiss Federal Institute of Technology in Zurich); Korfiati, Athina (Swiss Federal Institute of Technology in Zurich); Buffat, René (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",3,3,,2.69,,https://app.dimensions.ai/details/publication/pub.1084755664,08 Information and Computing Sciences; 01 Mathematical Sciences; 0801 Artificial Intelligence and Image Processing; 0104 Statistics,08 Information and Computing Sciences,01 Mathematical Sciences,0801 Artificial Intelligence and Image Processing,0104 Statistics,
32,100,pub.1025322896,10.1007/978-3-319-47289-8_11,,,A Heuristic for Multi-modal Route Planning,Lecture Notes in Geoinformation and Cartography,Progress in Location-Based Services 2016,,2017,2017,,,211-229,Closed,Chapter,"Bucher, Dominik; Jonietz, David; Raubal, Martin","Bucher, Dominik","Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Jonietz, David (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",6,6,,4.78,,https://app.dimensions.ai/details/publication/pub.1025322896,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
33,200,pub.1072758317,10.5311/josis.2016.13.330,,,Provenance and credibility in spatial and platial data,Journal of Spatial Information Science,,,2016-12-21,2016,,13,,All OA; Gold,Article,"McKenzie, Grant; Raubal, Martin; Janowicz, Krzysztof; Flanagin, Andrew",,"McKenzie, Grant (); Raubal, Martin (); Janowicz, Krzysztof (); Flanagin, Andrew ()",1,1,,,https://doi.org/10.5311/josis.2016.13.330,https://app.dimensions.ai/details/publication/pub.1072758317,,,,,,
34,100,pub.1071880784,10.4018/ijmhci.2016100101,,,Map-based Visual Analytics of Moving Learners,International Journal of Mobile Human Computer Interaction,,,2016-10,2016,8,4,1-28,Closed,Article,"Sailer, Christian; Kiefer, Peter; Schito, Joram; Raubal, Martin",,"Sailer, Christian (Swiss Federal Institute of Technology in Zurich); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Schito, Joram (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",1,1,,0.57,,https://app.dimensions.ai/details/publication/pub.1071880784,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
35,100,pub.1026644585,10.1080/13658816.2016.1143555,,,Analyzing the distribution of human activity space from mobile phone usage: an individual and urban-oriented study,International Journal of Geographical Information Science,,,2016-08-02,2016,30,8,1594-1621,Closed,Article,"Yuan, Yihong; Raubal, Martin",,"Yuan, Yihong (Texas State University); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",20,16,,11.49,,https://app.dimensions.ai/details/publication/pub.1026644585,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
