,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Joshua P Schimel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1106470575,10.1007/s10533-018-0489-z,,,Evaluating soil microbial carbon use efficiency explicitly as a function of cellular processes: implications for measurements and models,Biogeochemistry,,,2018-09,2018,140,3,269-283,"All OA; Green, Accepted & Submitted",Article,"Hagerty, Shannon B.; Allison, Steven D.; Schimel, Joshua P.","Hagerty, Shannon B.","Hagerty, Shannon B. (University of California, Santa Barbara); Allison, Steven D. (University of California, Irvine); Schimel, Joshua P. (University of California, Santa Barbara)",10,10,,,https://escholarship.org/content/qt6xg7f48z/qt6xg7f48z.pdf?t=poxhf8,https://app.dimensions.ai/details/publication/pub.1106470575,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
11,100,pub.1105908108,10.1007/s10533-018-0478-2,,,"Improving understanding of soil organic matter dynamics by triangulating theories, measurements, and models",Biogeochemistry,,,2018-08,2018,140,1,1-13,Closed,Article,"Blankinship, Joseph C.; Berhe, Asmeret Asefaw; Crow, Susan E.; Druhan, Jennifer L.; Heckman, Katherine A.; Keiluweit, Marco; Lawrence, Corey R.; Marín-Spiotta, Erika; Plante, Alain F.; Rasmussen, Craig; Schädel, Christina; Schimel, Joshua P.; Sierra, Carlos A.; Thompson, Aaron; Wagai, Rota; Wieder, William R.","Blankinship, Joseph C.","Blankinship, Joseph C. (University of Arizona); Berhe, Asmeret Asefaw (University of California, Merced); Crow, Susan E. (University of Hawaii at Manoa); Druhan, Jennifer L. (University of Illinois at Urbana Champaign); Heckman, Katherine A. (US Forest Service); Keiluweit, Marco (University of Massachusetts Amherst); Lawrence, Corey R. (United States Geological Survey); Marín-Spiotta, Erika (University of Wisconsin–Madison); Plante, Alain F. (University of Pennsylvania); Rasmussen, Craig (University of Arizona); Schädel, Christina (Northern Arizona University); Schimel, Joshua P. (University of California, Santa Barbara); Sierra, Carlos A. (Max Planck Institute for Biogeochemistry); Thompson, Aaron (University of Georgia); Wagai, Rota (National Agriculture and Food Research Organization); Wieder, William R. (Institute of Arctic and Alpine Research; Climate and Global Dynamics Laboratory)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105908108,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
12,100,pub.1104452315,10.1007/s10533-018-0459-5,,,Minerals in the rhizosphere: overlooked mediators of soil nitrogen availability to plants and microbes,Biogeochemistry,,,2018-07,2018,139,2,103-122,All OA; Gold,Article,"Jilling, Andrea; Keiluweit, Marco; Contosta, Alexandra R.; Frey, Serita; Schimel, Joshua; Schnecker, Jörg; Smith, Richard G.; Tiemann, Lisa; Grandy, A. Stuart","Jilling, Andrea","Jilling, Andrea (University of New Hampshire); Keiluweit, Marco (University of Massachusetts Amherst); Contosta, Alexandra R. (University of New Hampshire); Frey, Serita (University of New Hampshire); Schimel, Joshua (University of California, Santa Barbara); Schnecker, Jörg (University of New Hampshire; University of Vienna); Smith, Richard G. (University of New Hampshire); Tiemann, Lisa (Michigan State University); Grandy, A. Stuart (University of New Hampshire)",17,17,,,https://link.springer.com/content/pdf/10.1007%2Fs10533-018-0459-5.pdf,https://app.dimensions.ai/details/publication/pub.1104452315,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
13,500,pub.1103768439,10.1021/acs.est.8b00937,29719150,,Carbonaceous Nanomaterials Have Higher Effects on Soybean Rhizosphere Prokaryotic Communities During the Reproductive Growth Phase than During Vegetative Growth.,Environmental Science & Technology,,"Nanostructures; Nanotubes, Carbon; Rhizosphere; Soil Microbiology; Soybeans",2018-06-05,2018,52,11,6636-6646,Closed,Article,"Ge, Yuan; Shen, Congcong; Wang, Ying; Sun, Yao-Qin; Schimel, Joshua P; Gardea-Torresdey, Jorge L; Holden, Patricia A",,"Ge, Yuan (Research Center for Eco-Environmental Sciences; University of California, Santa Barbara); Shen, Congcong (Research Center for Eco-Environmental Sciences); Wang, Ying (University of California, Santa Barbara); Sun, Yao-Qin (Research Center for Eco-Environmental Sciences); Schimel, Joshua P (University of California, Santa Barbara); Gardea-Torresdey, Jorge L (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1103768439,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
14,100,pub.1101197077,10.3390/soilsystems2010010,,,Biotic versus Abiotic Controls on Bioavailable Soil Organic Carbon,Soil Systems,,,2018-02-22,2018,2,1,10,All OA; Gold,Article,"Blankinship, Joseph C.; Schimel, Joshua P.",,"Blankinship, Joseph C. (University of Arizona); Schimel, Joshua P. ()",5,5,,,https://www.mdpi.com/2571-8789/2/1/10/pdf,https://app.dimensions.ai/details/publication/pub.1101197077,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
15,100,pub.1100808879,10.1007/s10533-018-0424-3,,,Beyond clay: towards an improved set of variables for predicting soil organic matter content,Biogeochemistry,,,2018-02,2018,137,3,297-306,Closed,Article,"Rasmussen, Craig; Heckman, Katherine; Wieder, William R.; Keiluweit, Marco; Lawrence, Corey R.; Berhe, Asmeret Asefaw; Blankinship, Joseph C.; Crow, Susan E.; Druhan, Jennifer L.; Hicks Pries, Caitlin E.; Marin-Spiotta, Erika; Plante, Alain F.; Schädel, Christina; Schimel, Joshua P.; Sierra, Carlos A.; Thompson, Aaron; Wagai, Rota","Rasmussen, Craig","Rasmussen, Craig (University of Arizona); Heckman, Katherine (US Forest Service); Wieder, William R. (University of Colorado Boulder); Keiluweit, Marco (University of Massachusetts Amherst); Lawrence, Corey R. (United States Geological Survey); Berhe, Asmeret Asefaw (University of California, Merced); Blankinship, Joseph C. (University of Arizona); Crow, Susan E. (University of Hawaii at Manoa); Druhan, Jennifer L. (University of Illinois at Urbana Champaign); Hicks Pries, Caitlin E. (Dartmouth College); Marin-Spiotta, Erika (University of Wisconsin–Madison); Plante, Alain F. (University of Pennsylvania); Schädel, Christina (Northern Arizona University); Schimel, Joshua P. (University of California, Santa Barbara); Sierra, Carlos A. (Max Planck Institute for Biogeochemistry); Thompson, Aaron (University of Georgia); Wagai, Rota (National Agriculture and Food Research Organization)",57,57,,,,https://app.dimensions.ai/details/publication/pub.1100808879,0503 Soil Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0406 Physical Geography and Environmental Geoscience,0503 Soil Sciences,04 Earth Sciences,05 Environmental Sciences,0406 Physical Geography and Environmental Geoscience,
16,100,pub.1092558239,10.1016/j.soilbio.2017.10.038,,,Cooperation of earthworm and arbuscular mycorrhizae enhanced plant N uptake by balancing absorption and supply of ammonia,Soil Biology and Biochemistry,,,2018-01,2018,116,Biology and Fertility of Soils 39 2004,351-359,Closed,Article,"He, Xinxing; Chen, Yuanqi; Liu, Shengjie; Gunina, Anna; Wang, Xiaoli; Chen, Weili; Shao, Yuanhu; Shi, Leilei; Yao, Qing; Li, Jianxiong; Zou, Xiaoming; Schimel, Joshua P.; Zhang, Weixin; Fu, Shenglei","Zhang, Weixin","He, Xinxing (South China Institute of Botany; University of Chinese Academy of Sciences); Chen, Yuanqi (Hunan University of Science and Technology); Liu, Shengjie (Xishuangbanna Tropical Botanical Garden); Gunina, Anna (Bangor University); Wang, Xiaoli (South China Institute of Botany); Chen, Weili (South China Agricultural University); Shao, Yuanhu (Henan University); Shi, Leilei (Henan University); Yao, Qing (South China Agricultural University); Li, Jianxiong (Guangdong Academy of Science); Zou, Xiaoming (University of Puerto Rico System); Schimel, Joshua P. (University of California, Santa Barbara); Zhang, Weixin (Henan University); Fu, Shenglei (Henan University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1092558239,0607 Plant Biology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0607 Plant Biology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
17,100,pub.1091900535,10.1016/j.soilbio.2017.09.005,,,Linking NO and N2O emission pulses with the mobilization of mineral and organic N upon rewetting dry soils,Soil Biology and Biochemistry,,,2017-12,2017,115,Soil Biology Biochemistry 41 2009,461-466,Closed,Article,"Leitner, Sonja; Homyak, Peter M.; Blankinship, Joseph C.; Eberwein, Jennifer; Jenerette, G. Darrel; Zechmeister-Boltenstern, Sophie; Schimel, Joshua P.","Leitner, Sonja","Leitner, Sonja (University of Natural Resources and Life Sciences; University of California, Santa Barbara); Homyak, Peter M. (University of California, Santa Barbara; University of California, Irvine); Blankinship, Joseph C. (University of California, Santa Barbara; University of Arizona); Eberwein, Jennifer (University of California, Riverside); Jenerette, G. Darrel (University of California, Riverside); Zechmeister-Boltenstern, Sophie (University of Natural Resources and Life Sciences); Schimel, Joshua P. (University of California, Santa Barbara)",12,12,,4.96,,https://app.dimensions.ai/details/publication/pub.1091900535,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
18,100,pub.1091200679,10.1016/j.soilbio.2017.08.009,,,Soil carbon and nitrogen dynamics throughout the summer drought in a California annual grassland,Soil Biology and Biochemistry,,,2017-12,2017,115,,54-62,Closed,Article,"Schaeffer, Sean M.; Homyak, Peter M.; Boot, Claudia M.; Roux-Michollet, Dad; Schimel, Joshua P.","Schaeffer, Sean M.","Schaeffer, Sean M. (University of California, Santa Barbara); Homyak, Peter M. (University of California, Santa Barbara; University of California, Irvine); Boot, Claudia M. (University of California, Santa Barbara; Colorado State University); Roux-Michollet, Dad (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",13,12,,5.37,,https://app.dimensions.ai/details/publication/pub.1091200679,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
19,100,pub.1090357661,10.1016/j.soilbio.2017.06.023,,,Estimating decay dynamics for enzyme activities in soils from different ecosystems,Soil Biology and Biochemistry,,,2017-11,2017,114,Biogeochemistry 81 2006,5-11,Closed,Article,"Schimel, Joshua; Becerra, Caryl Ann; Blankinship, Joseph","Schimel, Joshua","Schimel, Joshua (University of California, Santa Barbara); Becerra, Caryl Ann (University of California, Santa Barbara); Blankinship, Joseph (University of California, Santa Barbara)",31,31,,12.81,,https://app.dimensions.ai/details/publication/pub.1090357661,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
20,300,pub.1090882903,10.1038/nmicrobiol.2017.105,28741607,,The importance of anabolism in microbial control over soil carbon storage,Nature Microbiology,,Carbon; Carbon Cycle; Metabolism; Soil Microbiology,2017-08,2017,2,8,17105,Closed,Article,"Liang, Chao; Schimel, Joshua P.; Jastrow, Julie D.","Liang, Chao","Liang, Chao (Institute of Applied Ecology); Schimel, Joshua P. (University of California, Santa Barbara); Jastrow, Julie D. (Argonne National Laboratory)",136,135,4.96,47.88,,https://app.dimensions.ai/details/publication/pub.1090882903,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
21,100,pub.1084011358,10.1002/ecm.1258,,,Global pattern and controls of soil microbial metabolic quotient,Ecological Monographs,,,2017-08,2017,87,3,429-441,"All OA; Green, Accepted & Submitted",Article,"Xu, Xiaofeng; Schimel, Joshua P.; Janssens, Ivan A.; Song, Xia; Song, Changchun; Yu, Guirui; Sinsabaugh, Robert L.; Tang, Diandong; Zhang, Xiaochun; Thornton, Peter. E.",,"Xu, Xiaofeng (San Diego State University; Northeast Institute of Geography and Agroecology); Schimel, Joshua P. (University of California, Santa Barbara); Janssens, Ivan A. (University of Antwerp); Song, Xia (San Diego State University); Song, Changchun (Northeast Institute of Geography and Agroecology); Yu, Guirui (Chinese Academy of Sciences); Sinsabaugh, Robert L. (University of New Mexico); Tang, Diandong (Beijing Normal University); Zhang, Xiaochun (San Diego State University); Thornton, Peter. E. (Oak Ridge National Laboratory)",25,19,,8.8,https://ddd.uab.cat/pub/artpub/2017/181993/ecomon_a2017m8v87n3p429.pdf,https://app.dimensions.ai/details/publication/pub.1084011358,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
22,500,pub.1085619579,10.1021/acsnano.7b01337,28549216,PMC5860665,"Agglomeration Determines Effects of Carbonaceous Nanomaterials on Soybean Nodulation, Dinitrogen Fixation Potential, and Growth in Soil.",ACS Nano,,"Graphite; Nanostructures; Nanotubes, Carbon; Nitrogen Fixation; Plant Root Nodulation; Soil Pollutants; Soot; Soybeans",2017-06-27,2017,11,6,5753-5765,"All OA; Green, Accepted & Submitted",Article,"Wang, Ying; Chang, Chong Hyun; Ji, Zhaoxia; Bouchard, Dermont C; Nisbet, Roger M; Schimel, Joshua P; Gardea-Torresdey, Jorge L; Holden, Patricia A",,"Wang, Ying (University of California, Santa Barbara); Chang, Chong Hyun (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Bouchard, Dermont C (Environmental Protection Agency); Nisbet, Roger M (University of California, Santa Barbara); Schimel, Joshua P (University of California, Santa Barbara); Gardea-Torresdey, Jorge L (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A (University of California, Santa Barbara)",18,17,0.95,8.06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5860665,https://app.dimensions.ai/details/publication/pub.1085619579,0607 Plant Biology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0607 Plant Biology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
23,500,pub.1084011446,10.1002/ecy.1790,28263375,,Shrub encroachment in Arctic tundra: Betula nana effects on above‐ and belowground litter decomposition,Ecology,,Alaska; Arctic Regions; Betula; Ecosystem; Plant Leaves; Tundra,2017-05,2017,98,5,1361-1376,"All OA; Green, Published",Article,"McLaren, Jennie R.; Buckeridge, Kate M.; Weg, Martine J.; Shaver, Gaius R.; Schimel, Joshua P.; Gough, Laura",,"McLaren, Jennie R. (The University of Texas at El Paso); Buckeridge, Kate M. (Lancaster University); Weg, Martine J. (Marine Biological Laboratory); Shaver, Gaius R. (Marine Biological Laboratory); Schimel, Joshua P. (University of California, Santa Barbara); Gough, Laura (Towson University)",21,20,0.36,8.18,http://darchive.mblwhoilibrary.org/bitstream/1912/8972/1/McLaren_et_al-2017-Ecology.pdf,https://app.dimensions.ai/details/publication/pub.1084011446,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,500,pub.1018871551,10.1111/gcb.13507,27643755,,Acidity and organic matter promote abiotic nitric oxide production in drying soils,Global Change Biology,,Nevada; Nitric Oxide; Soil; Soil Microbiology,2017-04,2017,23,4,1735-1747,All OA; Gold,Article,"Homyak, Peter M.; Kamiyama, Matthew; Sickman, James O.; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Santa Barbara); Kamiyama, Matthew (University of California, Riverside); Sickman, James O. (University of California, Riverside); Schimel, Joshua P. (University of California, Santa Barbara)",9,6,0.73,3.72,https://doi.org/10.1111/gcb.13507,https://app.dimensions.ai/details/publication/pub.1018871551,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
25,500,pub.1037603944,10.1016/j.scitotenv.2016.11.149,27939199,,Damage assessment for soybean cultivated in soil with either CeO2 or ZnO manufactured nanomaterials,The Science of The Total Environment,,Cerium; Chlorophyll; Lipid Peroxidation; Nanostructures; Plant Leaves; Plant Roots; Reactive Oxygen Species; Soil; Soil Pollutants; Soybeans; Zinc Oxide,2017-02,2017,579,Int. J. Remote Sens. 20 1999,1756-1768,Closed,Article,"Priester, John H.; Moritz, Shelly Cole; Espinosa, Katherine; Ge, Yuan; Wang, Ying; Nisbet, Roger M.; Schimel, Joshua P.; Goggi, A. Susana; Gardea-Torresdey, Jorge L.; Holden, Patricia A.","Holden, Patricia A.","Priester, John H. (University of California, Santa Barbara); Moritz, Shelly Cole (University of California, Santa Barbara); Espinosa, Katherine (Iowa State University); Ge, Yuan (University of California, Santa Barbara); Wang, Ying (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara); Goggi, A. Susana (Iowa State University); Gardea-Torresdey, Jorge L. (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara)",24,22,1.34,11.68,,https://app.dimensions.ai/details/publication/pub.1037603944,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
