,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Joel C Michaelsen. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
21,400,pub.1049546949,10.1073/pnas.0914211107,21149715,PMC3003095,Forest responses to increasing aridity and warmth in the southwestern United States,Proceedings of the National Academy of Sciences,,"Animals; Climate; Climate Change; Computer Simulation; Droughts; Ecosystem; Fires; Insecta; Models, Theoretical; Southwestern United States; Temperature; Trees",2010-12-14,2010,107,50,21289-21294,All OA; Gold,Article,"Williams, A. Park; Allen, Craig D.; Millar, Constance I.; Swetnam, Thomas W.; Michaelsen, Joel; Still, Christopher J.; Leavitt, Steven W.",,"Williams, A. Park (University of California, Santa Barbara); Allen, Craig D. (); Millar, Constance I. (Pacific Southwest Research Station); Swetnam, Thomas W. (University of Arizona); Michaelsen, Joel (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara); Leavitt, Steven W. (University of Arizona)",241,49,2.4,29.02,http://www.pnas.org/content/107/50/21289.full.pdf,https://app.dimensions.ai/details/publication/pub.1049546949,0705 Forestry Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
22,100,pub.1019346370,10.1175/2010ei362.1,,,Using Tree Rings to Predict the Response of Tree Growth to Climate Change in the Continental United States during the Twenty-First Century,Earth Interactions,,,2010-12,2010,14,19,1-20,"All OA; Green, Published",Article,"Williams, A. Park; Michaelsen, Joel; Leavitt, Steven W.; Still, Christopher J.",,"Williams, A. Park (); Michaelsen, Joel (); Leavitt, Steven W. (); Still, Christopher J. ()",22,11,,2.5,https://academiccommons.columbia.edu/doi/10.7916/D88P69QT/download,https://app.dimensions.ai/details/publication/pub.1019346370,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
23,100,pub.1028904234,10.1175/2010ei328.1,,,Variations in Subpixel Fire Properties with Season and Land Cover in Southern Africa,Earth Interactions,,,2010-06,2010,14,6,1-29,Closed,Article,"Eckmann, Ted C.; Still, Christopher J.; Roberts, Dar A.; Michaelsen, Joel C.",,"Eckmann, Ted C. (); Still, Christopher J. (); Roberts, Dar A. (); Michaelsen, Joel C. ()",15,2,,1.8,,https://app.dimensions.ai/details/publication/pub.1028904234,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
24,400,pub.1041622011,10.1073/pnas.0708196105,18685101,PMC2497460,Warming of the Indian Ocean threatens eastern and southern African food security but could be mitigated by agricultural development,Proceedings of the National Academy of Sciences,,Africa; Agriculture; Disasters; Food Supply; Forecasting; Greenhouse Effect; Humans; Oceans and Seas; Rain,2008-08-12,2008,105,32,11081-11086,All OA; Gold,Article,"Funk, Chris; Dettinger, Michael D.; Michaelsen, Joel C.; Verdin, James P.; Brown, Molly E.; Barlow, Mathew; Hoell, Andrew",,"Funk, Chris (University of California, Santa Barbara); Dettinger, Michael D. (Scripps Institution of Oceanography); Michaelsen, Joel C. (University of California, Santa Barbara); Verdin, James P. (); Brown, Molly E. (Goddard Space Flight Center); Barlow, Mathew (); Hoell, Andrew ()",227,56,0.66,17.74,http://www.pnas.org/content/105/32/11081.full.pdf,https://app.dimensions.ai/details/publication/pub.1041622011,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1050110992,10.1029/2007jd009175,,,Crop area estimation using high and medium resolution satellite imagery in areas with complex topography,Journal of Geophysical Research,,,2008,2008,113,D14,,All OA; Gold,Article,"Husak, G. J.; Marshall, M. T.; Michaelsen, J.; Pedreros, D.; Funk, C.; Galu, G.",,"Husak, G. J. (University of California, Santa Barbara); Marshall, M. T. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Pedreros, D. (University of California, Santa Barbara); Funk, C. (University of California, Santa Barbara); Galu, G. (Regional Centre for Mapping of Resources for Development)",29,6,,4.71,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JD009175,https://app.dimensions.ai/details/publication/pub.1050110992,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
26,100,pub.1017611523,10.1002/joc.1441,,,Use of the gamma distribution to represent monthly rainfall in Africa for drought monitoring applications,International Journal of Climatology,,,2007-06-15,2007,27,7,935-944,All OA; Gold,Article,"Husak, Gregory J.; Michaelsen, Joel; Funk, Chris",,"Husak, Gregory J. (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara)",121,37,,14.48,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.1441,https://app.dimensions.ai/details/publication/pub.1017611523,09 Engineering; 0905 Civil Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,04 Earth Sciences,0401 Atmospheric Sciences,0907 Environmental Engineering
27,100,pub.1025752631,10.1175/jam2138.1,,,A Simplified Diagnostic Model of Orographic Rainfall for Enhancing Satellite-Based Rainfall Estimates in Data-Poor Regions,Journal of Applied Meteorology,,,2004-10,2004,43,10,1366-1378,"All OA; Green, Accepted & Submitted",Article,"Funk, Chris; Michaelsen, Joel",,"Funk, Chris (); Michaelsen, Joel ()",23,3,,3.29,http://chg.geog.ucsb.edu/publications/pdfs/2004_Funketal_OrographicRainfall.pdf,https://app.dimensions.ai/details/publication/pub.1025752631,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1045007068,10.1023/b:land.0000021713.81489.a7,,,"Variations in a regional fire regime related to vegetation type in San Diego County, California (USA)",Landscape Ecology,,,2004-03,2004,19,2,139-152,Closed,Article,"Wells, Michael L.; O'Leary, John F.; Franklin, Janet; Michaelsen, Joel; McKinsey, David E.","Wells, Michael L.","Wells, Michael L. (San Diego State University); O'Leary, John F. (San Diego State University); Franklin, Janet (San Diego State University); Michaelsen, Joel (University of California, Santa Barbara); McKinsey, David E. (San Diego State University)",30,1,,,,https://app.dimensions.ai/details/publication/pub.1045007068,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
29,400,pub.1026192844,10.1007/s00267-002-2837-x,12592458,,Remotely Sensed Data for Ecosystem Analyses: Combining Hierarchy Theory and Scene Models,Environmental Management,,"Conservation of Natural Resources; Cost-Benefit Analysis; Ecosystem; Environmental Monitoring; Models, Theoretical; Spacecraft",2003-03,2003,31,3,0429-0441,Closed,Article,"PHINN, Stuart R.; STOW, DOUGLAS A.; FRANKLIN, JANET; MERTES, LEAL A. K.; MICHAELSEN, JOEL",,"PHINN, Stuart R. (San Diego State University); STOW, DOUGLAS A. (San Diego State University); FRANKLIN, JANET (San Diego State University); MERTES, LEAL A. K. (University of California, Santa Barbara); MICHAELSEN, JOEL (University of California, Santa Barbara)",25,1,0.1,4.17,,https://app.dimensions.ai/details/publication/pub.1026192844,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0801 Artificial Intelligence and Image Processing; 05 Environmental Sciences; 0502 Environmental Science and Management,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0801 Artificial Intelligence and Image Processing,05 Environmental Sciences
30,100,pub.1020874501,10.1002/joc.866,,,The collaborative historical African rainfall model: description and evaluation,International Journal of Climatology,,,2003-01,2003,23,1,47-66,All OA; Gold,Article,"Funk, Chris; Michaelsen, Joel; Verdin, Jim; Artan, Guleid; Husak, Greg; Senay, Gabriel; Gadain, Hussein; Magadazire, Tamuka",,"Funk, Chris (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Verdin, Jim (University of California, Santa Barbara); Artan, Guleid (University of California, Santa Barbara); Husak, Greg (University of California, Santa Barbara); Senay, Gabriel (University of California, Santa Barbara); Gadain, Hussein (University of California, Santa Barbara); Magadazire, Tamuka (University of California, Santa Barbara)",44,0,,3.68,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.866,https://app.dimensions.ai/details/publication/pub.1020874501,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
31,100,pub.1016170227,10.1007/978-1-4615-1523-4_14,,,Stratified Sampling for Field Survey of Environmental Gradients in the Mojave Desert Ecoregion,,GIS and Remote Sensing Applications in Biogeography and Ecology,,2001,2001,,,229-253,Closed,Chapter,"Franklin, Janet; Keeler-Wolf, Todd; Thomas, Kathryn A.; Shaari, David A.; Stine, Peter A.; Michaelsen, Joel; Miller, Jennifer",,"Franklin, Janet (San Diego State University); Keeler-Wolf, Todd (California Department of Fish and Wildlife); Thomas, Kathryn A. (Northern Arizona University); Shaari, David A. (San Diego State University); Stine, Peter A. (); Michaelsen, Joel (University of California, Santa Barbara); Miller, Jennifer (San Diego State University)",18,0,,2.16,,https://app.dimensions.ai/details/publication/pub.1016170227,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
32,100,pub.1047802152,10.1006/qres.1999.2035,,,"A 560-Year Record of Santa Ana Fires Reconstructed from Charcoal Deposited in the Santa Barbara Basin, California",Quaternary Research,,,1999-05,1999,51,3,295-305,Closed,Article,"Mensing, Scott A.; Michaelsen, Joel; Byrne, Roger",,"Mensing, Scott A. (University of Nevada Reno); Michaelsen, Joel (University of California, Santa Barbara); Byrne, Roger (University of California, Berkeley)",73,9,,,,https://app.dimensions.ai/details/publication/pub.1047802152,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
33,100,pub.1037149646,10.1007/978-3-642-60030-2_21,,,Snowpack Accumulation Trends in California,,Ice Physics and the Natural Environment,,1999,1999,,,299-304,Closed,Chapter,"Johnson, Tammy; Dozier, Jeff; Michaelsen, Joel",,"Johnson, Tammy (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1037149646,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
34,100,pub.1009239606,10.1175/1520-0442(1997)010<1836:satvos>2.0.co;2,,,Spatial and Temporal Variability of Southern California Precipitation over the Last 400 yr and Relationships to Atmospheric Circulation Patterns,Journal of Climate,,,1997-08,1997,10,8,1836-1852,Closed,Article,"Haston, Laura; Michaelsen, Joel",,"Haston, Laura (); Michaelsen, Joel ()",32,2,,,,https://app.dimensions.ai/details/publication/pub.1009239606,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
35,100,pub.1070097700,10.2307/282419,,,"Risk, Climatic Variability, and the Study of Southwestern Prehistory: An Evolutionary Perspective",American Antiquity,,,1996-04,1996,61,2,217-241,Closed,Article,"Larson, Daniel O.; Neff, Hector; Graybill, Donald A.; Michaelsen, Joel; Ambos, Elizabeth",,"Larson, Daniel O. (California State University, Long Beach); Neff, Hector (); Graybill, Donald A. (University of Arizona); Michaelsen, Joel (University of California, Santa Barbara); Ambos, Elizabeth (California State University, Long Beach)",39,2,,,,https://app.dimensions.ai/details/publication/pub.1070097700,2101 Archaeology; 21 History and Archaeology,2101 Archaeology,21 History and Archaeology,,,
36,100,pub.1046668051,10.1016/0034-4257(95)00156-5,,,Scaling and uncertainty in the relationship between the NDVI and land surface biophysical variables: An analysis using a scene simulation model and data from FIFE,Remote Sensing of Environment,,,1995-12,1995,54,3,233-246,Closed,Article,"Friedl, M.A.; Davis, F.W.; Michaelsen, J.; Moritz, M.A.","Friedl, M.A.","Friedl, M.A. (Boston University); Davis, F.W. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Moritz, M.A. (University of California, Santa Barbara)",73,2,,,,https://app.dimensions.ai/details/publication/pub.1046668051,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
37,100,pub.1022640958,10.1007/978-1-4612-4186-7_21,,,Sensitivity of Fire Regime in Chaparral Ecosystems to Climate Change,Ecological Studies,Global Change and Mediterranean-Type Ecosystems,,1995,1995,117,,435-456,Closed,Chapter,"Davis, Frank W.; Michaelsen, Joel",,"Davis, Frank W. (); Michaelsen, Joel ()",49,6,,,,https://app.dimensions.ai/details/publication/pub.1022640958,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
38,100,pub.1046326429,10.2307/3235882,,,Regression Tree Analysis of satellite and terrain data to guide vegetation sampling and surveys,Journal of Vegetation Science,,,1994-10,1994,5,5,673-686,Closed,Article,"Michaelsen, Joel; Schimel, David S.; Friedl, Mark A.; Davis, Frank W.; Dubayah, Ralph C.",,"Michaelsen, Joel (University of California, Santa Barbara); Schimel, David S. (National Center for Atmospheric Research); Friedl, Mark A. (Boston University); Davis, Frank W. (University of California, Santa Barbara); Dubayah, Ralph C. (University of Maryland, College Park)",121,6,,,,https://app.dimensions.ai/details/publication/pub.1046326429,0602 Ecology; 0705 Forestry Sciences; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
39,100,pub.1003474495,10.1175/1520-0442(1994)007<1373:ltcccp>2.0.co;2,,,Long-Term Central Coastal California Precipitation Variability and Relationships to El Niño-Southern Oscillation,Journal of Climate,,,1994-09,1994,7,9,1373-1387,All OA; Gold,Article,"Haston, Laura; Michaelsen, Joel",,"Haston, Laura (); Michaelsen, Joel ()",50,4,,,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0442%281994%29007%3C1373%3ALTCCCP%3E2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1003474495,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,100,pub.1001975402,10.1080/01431169408954174,,,Estimating grassland biomass and leaf area index using ground and satellite data,International Journal of Remote Sensing,,,1994-05-10,1994,15,7,1401-1420,Closed,Article,"FRIEDL, M. A.; SCHIMEL, D. S.; MICHAELSEN, J.; DAVIS, F. W.; WALKER, H.",,"FRIEDL, M. A. (Boston University); SCHIMEL, D. S. (National Center for Atmospheric Research); MICHAELSEN, J. (University of California, Santa Barbara); DAVIS, F. W. (University of California, Santa Barbara); WALKER, H. (Lawrence Livermore National Laboratory)",97,12,,,,https://app.dimensions.ai/details/publication/pub.1001975402,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
41,100,pub.1093234357,10.1109/igarss.1994.399579,,,Modeling sources of uncertainty in satellite-based estimates of leaf area index using a scene simulation model,,Proceedings of IGARSS '94 - 1994 IEEE International Geoscience and Remote Sensing Symposium,,1994,1994,3,,1826-1828 vol.3,Closed,Proceeding,"Friedl, M.A.; Davis, F.W.; Michaelsen, J.; Moritz, M.",,"Friedl, M.A. (Boston University); Davis, F.W. (); Michaelsen, J. (); Moritz, M. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1093234357,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
42,200,pub.1006670054,10.1029/93gl03016,,,Correction to [“Droughts in river basins of the western United States”],Geophysical Research Letters,,,1993-11-05,1993,20,21,2411-2411,All OA; Gold,Article,"Loaiciga, H. A.; Michaelsen, J.; Garver, S.; Haston, L.; Leipnik, R. B.",,"Loaiciga, H. A. (); Michaelsen, J. (); Garver, S. (); Haston, L. (); Leipnik, R. B. ()",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/93GL03016,https://app.dimensions.ai/details/publication/pub.1006670054,,,,,,
43,100,pub.1005259457,10.1029/93rg00056,,,dendrohydrology and long‐term hydrologic phenomena,Reviews of Geophysics,,,1993-05,1993,31,2,151-171,Closed,Article,"Loaiciga, Hugo A.; Haston, Laura; Michaelsen, Joel",,"Loaiciga, Hugo A. (); Haston, Laura (); Michaelsen, Joel ()",71,6,,,,https://app.dimensions.ai/details/publication/pub.1005259457,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
44,100,pub.1025057628,10.1029/92gl01697,,,Droughts in river basins of the western United States,Geophysical Research Letters,,,1992-10-23,1992,19,20,2051-2054,Closed,Article,"Loaiciga, Hugo A.; Michaelsen, Joel; Garver, Sara; Haston, Laura; Leipnik, Roy B.",,"Loaiciga, Hugo A. (); Michaelsen, Joel (); Garver, Sara (); Haston, Laura (); Leipnik, Roy B. (University of California, Santa Barbara)",19,1,,,,https://app.dimensions.ai/details/publication/pub.1025057628,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
45,100,pub.1047311006,10.1111/j.1752-1688.1992.tb03187.x,,,TRUNCATED DISTRIBUTIONS IN HYDROLOGIC ANALYSIS1,JAWRA Journal of the American Water Resources Association,,,1992-10,1992,28,5,853-863,Closed,Article,"Loaiciga, Hugo A.; Michaelsen, Joel; Hudak, Paul F",,"Loaiciga, Hugo A. (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Hudak, Paul F (University of California, Santa Barbara)",10,2,,,,https://app.dimensions.ai/details/publication/pub.1047311006,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
46,100,pub.1046504257,10.1029/92jd01345,,,Covariance of biophysical data with digital topographic and land use maps over the FIFE site,Journal of Geophysical Research,,,1992,1992,97,D17,19009-19021,"All OA; Green, Accepted & Submitted",Article,"Davis, F. W.; Schimel, D. S.; Friedl, M. A.; Michaelsen, J. C.; Kittel, T. G. F.; Dubayah, R.; Dozier, J.",,"Davis, F. W. (); Schimel, D. S. (); Friedl, M. A. (); Michaelsen, J. C. (); Kittel, T. G. F. (); Dubayah, R. (); Dozier, J. ()",31,0,,,http://www2.bren.ucsb.edu/%7Edozier/Pubs/DavisJGR1992_FIFE.pdf,https://app.dimensions.ai/details/publication/pub.1046504257,09 Engineering; 0909 Geomatic Engineering; 05 Environmental Sciences; 0502 Environmental Science and Management,09 Engineering,0909 Geomatic Engineering,05 Environmental Sciences,0502 Environmental Science and Management,
47,100,pub.1002994763,10.1029/91wr00506,,,Snow accumulation and distribution in an Alpine Watershed,Water Resources Research,,,1991-07,1991,27,7,1541-1552,Closed,Article,"Elder, Kelly; Dozier, Jeff; Michaelsen, Joel",,"Elder, Kelly (); Dozier, Jeff (); Michaelsen, Joel ()",224,27,,,,https://app.dimensions.ai/details/publication/pub.1002994763,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
48,200,pub.1086365653,10.1109/igarss.1991.575407,,,Correspondence Of Surface Temperatures And Terrain Variables Over A Tallgrass Prairie,,[Proceedings] IGARSS'91 Remote Sensing: Global Monitoring for Earth Management,,1991,1991,4,,1913-1916,Closed,Proceeding,"Friedl, M.A.; Davis, F.W.; Michaelsen, J.C.",,"Friedl, M.A. (University of California, Santa Barbara); Davis, F.W. (); Michaelsen, J.C. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1086365653,,,,,,
49,100,pub.1070097003,10.2307/281645,,,Impacts of Climatic Variabiity and Population Growth on Virgin Branch Anasazi Cultural Developments,American Antiquity,,,1990-04,1990,55,2,227-249,Closed,Article,"Larson, Daniel O.; Michaelsen, Joel",,"Larson, Daniel O. (California State University, Long Beach); Michaelsen, Joel (University of California, Santa Barbara)",22,1,,,,https://app.dimensions.ai/details/publication/pub.1070097003,2101 Archaeology; 21 History and Archaeology,2101 Archaeology,21 History and Archaeology,,,
50,100,pub.1069661519,10.2307/1937544,,,Interactions of Factors Affecting Seedling Recruitment of Blue Oak (Quercus Douglasii) in California,Ecology,,,1989-04,1989,70,2,389-404,Closed,Article,"Borchert, Mark I.; Davis, Frank W.; Michaelsen, Joel; Oyler, Lyn Dee",,"Borchert, Mark I. (); Davis, Frank W. (); Michaelsen, Joel (); Oyler, Lyn Dee ()",122,8,,,,https://app.dimensions.ai/details/publication/pub.1069661519,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
51,100,pub.1016332437,10.1029/gm055p0001,,,"The Recording of Interannual Climatic Change by High‐Resolution Natural Systems: Tree‐Rings, Coral Bands, Glacial Ice Layers, and Marine Varves",Geophysical Monograph Series,Aspects of Climate Variability in the Pacific and the Western Americas,,1989-01-01,1989,,,1-14,Closed,Chapter,"Baumgartner, Tim R.; Michaelsen, Joel; Thompson, Lonnie G.; Shen, Glen T.; Souta, Andy; Casey, Richard E.",,"Baumgartner, Tim R. (); Michaelsen, Joel (University of California, Santa Barbara); Thompson, Lonnie G. (The Ohio State University); Shen, Glen T. (); Souta, Andy (Scripps Institution of Oceanography); Casey, Richard E. ()",32,0,,,,https://app.dimensions.ai/details/publication/pub.1016332437,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
52,100,pub.1091949460,10.3189/s0260305500007643,,,"Spatial and Temporal Variation of Net Snow Accumulation in a Small Alpine Watershed, Emerald Lake Basin, Sierra Nevada, California, U.S.A.",Annals of Glaciology,,,1989,1989,13,,56-63,All OA; Gold,Article,"Elder, K.; Dozier, J.; Michaelsen, J.",,"Elder, K. (); Dozier, J. (); Michaelsen, J. ()",3,2,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/35A265846F5FA2442710FEEB4B9521F5/S0260305500007643a.pdf/div-class-title-spatial-and-temporal-variation-of-net-snow-accumulation-in-a-small-alpine-watershed-emerald-lake-basin-sierra-nevada-california-u-s-a-div.pdf,https://app.dimensions.ai/details/publication/pub.1091949460,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
53,100,pub.1083771015,10.1017/s0260305500007643,,,"Spatial and Temporal Variation of Net Snow Accumulation in a Small Alpine Watershed, Emerald Lake Basin, Sierra Nevada, California, U.S.A.",Annals of Glaciology,,,1989,1989,13,,56-63,All OA; Gold,Article,"Elder, K.; Dozier, J.; Michaelsen, J.",,"Elder, K. (); Dozier, J. (); Michaelsen, J. ()",17,0,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/35A265846F5FA2442710FEEB4B9521F5/S0260305500007643a.pdf/div-class-title-spatial-and-temporal-variation-of-net-snow-accumulation-in-a-small-alpine-watershed-emerald-lake-basin-sierra-nevada-california-u-s-a-div.pdf,https://app.dimensions.ai/details/publication/pub.1083771015,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
54,100,pub.1106957218,10.1080/02723646.1988.10642341,,,CLIMATE RESPONSE FUNCTIONS FOR BIGCONE SPRUCE: A MEDITERRANEAN CLIMATE CONIFER,Physical Geography,,,1988-01,1988,9,1,81-97,Closed,Article,"Haston, Laura; Davis, Frank W.; Michaelsen, Joel",,"Haston, Laura (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1106957218,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
55,100,pub.1011479358,10.1111/j.1752-1688.1987.tb02956.x,,,400 YEARS OF CENTRAL CALIFORNIA PRECIPITATION VARIABILITY RECONSTRUCTED FROM TREE‐RINGS1,JAWRA Journal of the American Water Resources Association,,,1987-10,1987,23,5,809-818,Closed,Article,"Michaelsen, Joel; Haston, Laura; Davis, Frank W.",,"Michaelsen, Joel (University of California, Santa Barbara); Haston, Laura (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara)",41,5,,,,https://app.dimensions.ai/details/publication/pub.1011479358,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
56,100,pub.1020761928,10.1007/bf00033451,,,Spatial analysis of density dependent pattern in coniferous forest stands,Plant Ecology,,,1985-12,1985,64,1,29-36,Closed,Article,"Franklin, Janet; Michaelsen, Joel; Strahler, Alan H.",,"Franklin, Janet (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Strahler, Alan H. (Hunter College)",59,2,,,,https://app.dimensions.ai/details/publication/pub.1020761928,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
57,100,pub.1009691047,10.1007/bf01031613,,,An automated method for measuring thicknesses of layered sediments,Mathematical Geosciences,,,1985-10,1985,17,7,729-742,Closed,Article,"Michaelsen, Joel",,"Michaelsen, Joel (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1009691047,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
58,200,pub.1000924693,10.1111/j.1467-8306.1982.tb01848.x,,,Commentary On “The Highest Form of the Geographer's Art”,Annals of the American Association of Geographers,,,1982-12,1982,72,4,557-558,Closed,Article,"Golledge, Reginald G.; Church, Richard; Dozier, Jeffrey; Estes, John E.; Michaelsen, Joel; Sirnonett, David S.; Smith, Raymond; Smith, Terence; Strahler, Alan H.; Tobler, Waldo R.",,"Golledge, Reginald G. (University of California, Santa Barbara); Church, Richard (University of California, Santa Barbara); Dozier, Jeffrey (University of California, Santa Barbara); Estes, John E. (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Sirnonett, David S. (University of California, Santa Barbara); Smith, Raymond (University of California, Santa Barbara); Smith, Terence (University of California, Santa Barbara); Strahler, Alan H. (University of California, Santa Barbara); Tobler, Waldo R. (University of California, Santa Barbara)",19,1,,,,https://app.dimensions.ai/details/publication/pub.1000924693,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
