,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Oliver A Chadwick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1101183392,10.5194/bg-2018-67,,,Elevating the biogeosciences within environmental research networks,Biogeosciences Discussions,,,2018-02-22,2018,,,1-34,All OA; Gold,Article,"Richter, Daniel D.; Billings, Sharon A.; Groffman, Peter M.; Kelly, Eugene F.; Lohse, Kathleen A.; McDowell, William H.; Riebe, Clifford; Silver, Whendee L.; White, Timothy S.; Anderson, Suzanne; Brantley, Susan; Brecheisen, Zachary S.; Chadwick, Oliver A.; Hartnett, Hilairy E.; Hobbie, Sarah E.; Kazanski, Clare E.; Markewitz, Daniel; O'Neill, Katherine; Schroeder, Paul; Thompson, Aaron",,"Richter, Daniel D. (Duke University); Billings, Sharon A. (University of Kansas); Groffman, Peter M. (Queens College, City University of New York); Kelly, Eugene F. (Colorado State University); Lohse, Kathleen A. (Idaho State University); McDowell, William H. (University of New Hampshire); Riebe, Clifford (University of Wyoming); Silver, Whendee L. (University of California, Berkeley); White, Timothy S. (Pennsylvania State University); Anderson, Suzanne (University of Colorado Boulder); Brantley, Susan (Pennsylvania State University); Brecheisen, Zachary S. (Duke University); Chadwick, Oliver A. (University of California, Santa Barbara); Hartnett, Hilairy E. (Arizona State University); Hobbie, Sarah E. (University of Minnesota); Kazanski, Clare E. (University of Minnesota); Markewitz, Daniel (University of Georgia); O'Neill, Katherine (Roanoke College); Schroeder, Paul (University of Georgia); Thompson, Aaron (University of Georgia)",1,1,,,https://doi.org/10.5194/bg-2018-67,https://app.dimensions.ai/details/publication/pub.1101183392,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
11,100,pub.1092752133,10.5194/bg-14-5115-2017,,,Reviews and syntheses: on the roles trees play in building and plumbing the critical zone,Biogeosciences,,,2017-11-17,2017,14,22,5115-5142,All OA; Gold,Article,"Brantley, Susan L.; Eissenstat, David M.; Marshall, Jill A.; Godsey, Sarah E.; Balogh-Brunstad, Zsuzsanna; Karwan, Diana L.; Papuga, Shirley A.; Roering, Joshua; Dawson, Todd E.; Evaristo, Jaivime; Chadwick, Oliver; McDonnell, Jeffrey J.; Weathers, Kathleen C.",,"Brantley, Susan L. (Pennsylvania State University); Eissenstat, David M. (Pennsylvania State University); Marshall, Jill A. (University of California, Berkeley; University of Colorado Boulder); Godsey, Sarah E. (Idaho State University); Balogh-Brunstad, Zsuzsanna (Hartwick College); Karwan, Diana L. (University of Minnesota); Papuga, Shirley A. (University of Arizona; Wayne State University); Roering, Joshua (University of Oregon); Dawson, Todd E. (University of California, Berkeley); Evaristo, Jaivime (University of Nevada Reno); Chadwick, Oliver (University of California, Santa Barbara); McDonnell, Jeffrey J. (University of Saskatchewan); Weathers, Kathleen C. (Cary Institute of Ecosystem Studies)",34,32,,13.53,https://www.biogeosciences.net/14/5115/2017/bg-14-5115-2017.pdf,https://app.dimensions.ai/details/publication/pub.1092752133,0607 Plant Biology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 06 Biological Sciences,0607 Plant Biology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,06 Biological Sciences,
12,100,pub.1090576525,10.3389/fevo.2017.00069,,,"Rain, Sun, Soil, and Sweat: A Consideration of Population Limits on Rapa Nui (Easter Island) before European Contact",Frontiers in Ecology and Evolution,,,2017-07-10,2017,5,,69,All OA; Gold,Article,"Puleston, Cedric O.; Ladefoged, Thegn N.; Haoa, Sonia; Chadwick, Oliver A.; Vitousek, Peter M.; Stevenson, Christopher M.",,"Puleston, Cedric O. (University of California, Davis); Ladefoged, Thegn N. (University of Auckland); Haoa, Sonia (); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University); Stevenson, Christopher M. (Virginia Commonwealth University)",13,13,,5.37,https://www.frontiersin.org/articles/10.3389/fevo.2017.00069/pdf,https://app.dimensions.ai/details/publication/pub.1090576525,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
13,500,pub.1084602183,10.1093/femsec/fix045,28402397,,"Convergence and contrast in the community structure of Bacteria, Fungi and Archaea along a tropical elevation-climate gradient.",FEMS Microbiology Ecology,,Ammonia; Archaea; Bacteria; Biodiversity; Carbon; Fungi; High-Throughput Nucleotide Sequencing; Microbial Consortia; Nitrogen; Phosphorus; Soil; Soil Microbiology; Tropical Climate,2017-05,2017,93,5,,All OA; Gold,Article,"Peay, Kabir G; von Sperber, Christian; Cardarelli, Emily; Toju, Hirokazu; Francis, Christopher A; Chadwick, Oliver A; Vitousek, Peter M",,"Peay, Kabir G (Stanford University); von Sperber, Christian (Stanford University); Cardarelli, Emily (Stanford University); Toju, Hirokazu (Kyoto University); Francis, Christopher A (Stanford University); Chadwick, Oliver A (); Vitousek, Peter M (Stanford University)",22,21,1.78,8.01,https://academic.oup.com/femsec/article-pdf/93/5/fix045/17168853/fix045.pdf,https://app.dimensions.ai/details/publication/pub.1084602183,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
14,500,pub.1074234783,10.1002/ecy.1751,28130777,,Controls of nitrogen cycling evaluated along a well‐characterized climate gradient,Ecology,,Climate; Hawaii; Nitrogen; Nitrogen Cycle; Soil,2017-04,2017,98,4,1117-1129,"All OA; Green, Accepted & Submitted",Article,"Sperber, Christian; Chadwick, Oliver A.; Casciotti, Karen L.; Peay, Kabir G.; Francis, Christopher A.; Kim, Amy E.; Vitousek, Peter M.",,"Sperber, Christian (Stanford University); Chadwick, Oliver A. (University of California, Santa Barbara); Casciotti, Karen L. (Stanford University); Peay, Kabir G. (Stanford University); Francis, Christopher A. (Stanford University); Kim, Amy E. (Stanford University); Vitousek, Peter M. (Stanford University)",8,7,0.79,3.31,https://escholarship.org/content/qt2q99320f/qt2q99320f.pdf?t=ooylj6,https://app.dimensions.ai/details/publication/pub.1074234783,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
15,100,pub.1084465063,10.5194/bg-2017-61,,,Reviews and syntheses: On the roles trees play in building and plumbing the Critical Zone,Biogeosciences Discussions,,,2017-03-03,2017,,,1-41,All OA; Gold,Article,"Brantley, Susan L.; Eissenstat, David M.; Marshall, Jill A.; Godsey, Sarah E.; Balogh-Brunstad, Zsuzsanna; Karwan, Diana L.; Papuga, Shirley A.; Roering, Joshua; Dawson, Todd E.; Evaristo, Jaivime; Chadwick, Oliver; McDonnell, Jeffery J.; Weathers, Kathleen C.",,"Brantley, Susan L. (Pennsylvania State University); Eissenstat, David M. (Pennsylvania State University); Marshall, Jill A. (University of Oregon); Godsey, Sarah E. (Idaho State University); Balogh-Brunstad, Zsuzsanna (Hartwick College); Karwan, Diana L. (University of Minnesota); Papuga, Shirley A. (University of Arizona); Roering, Joshua (University of Oregon); Dawson, Todd E. (University of California, Berkeley); Evaristo, Jaivime (University of Saskatchewan); Chadwick, Oliver (University of California, Santa Barbara); McDonnell, Jeffery J. (University of Saskatchewan); Weathers, Kathleen C. (Cary Institute of Ecosystem Studies)",9,8,,3.58,https://doi.org/10.5194/bg-2017-61,https://app.dimensions.ai/details/publication/pub.1084465063,0607 Plant Biology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 06 Biological Sciences,0607 Plant Biology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,06 Biological Sciences,
16,100,pub.1006991095,10.5194/soil-3-17-2017,,,Timescales of carbon turnover in soils with mixed crystalline mineralogies,The Soil,,,2017-01-05,2017,3,1,17-30,All OA; Gold,Article,"Khomo, Lesego; Trumbore, Susan; Bern, Carleton R.; Chadwick, Oliver A.",,"Khomo, Lesego (Max Planck Institute for Biogeochemistry; University of South Africa); Trumbore, Susan (Max Planck Institute for Biogeochemistry; University of California, Irvine); Bern, Carleton R. (United States Geological Survey); Chadwick, Oliver A. (University of California, Santa Barbara)",5,5,,1.99,https://doi.org/10.5194/soil-3-17-2017,https://app.dimensions.ai/details/publication/pub.1006991095,0503 Soil Sciences; 04 Earth Sciences; 0403 Geology; 05 Environmental Sciences,0503 Soil Sciences,04 Earth Sciences,0403 Geology,05 Environmental Sciences,
17,200,pub.1099588775,10.1130/abs/2017am-303759,,,SPATIAL AND TEMPORAL PATTERNS OF ANTHROPOGENIC-DRIVEN EROSION CONTROLLED BY ROCK TYPE,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Bingham, Nina L.; Bookhagen, Bodo; Chadwick, Oliver A.",,"Bingham, Nina L. (); Bookhagen, Bodo (); Chadwick, Oliver A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099588775,,,,,,
18,400,pub.1031350746,10.1038/nature20139,27871089,,Water balance creates a threshold in soil pH at the global scale,Nature,,,2016-12,2016,540,7634,567-569,"All OA; Green, Published",Article,"Slessarev, E. W.; Lin, Y.; Bingham, N. L.; Johnson, J. E.; Dai, Y.; Schimel, J. P.; Chadwick, O. A.","Slessarev, E. W.","Slessarev, E. W. (University of California, Santa Barbara); Lin, Y. (University of California, Berkeley); Bingham, N. L. (University of California, Santa Barbara); Johnson, J. E. (University of Arizona; Department of Plant Biology); Dai, Y. (Sun Yat-sen University); Schimel, J. P. (University of California, Santa Barbara); Chadwick, O. A. (University of California, Santa Barbara)",61,57,2.65,17.7,https://escholarship.org/content/qt30f631wk/qt30f631wk.pdf?t=ohrc2r,https://app.dimensions.ai/details/publication/pub.1031350746,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
19,100,pub.1053917484,10.1017/s0376892916000199,,,Changes in carbon storage with land management promoted by payment for ecosystem services,Environmental Conservation,,,2016-12,2016,43,4,397-406,"All OA; Green, Published",Article,"BREMER, LEAH L.; FARLEY, KATHLEEN A.; CHADWICK, OLIVER A.; HARDEN, CAROL P.",,"BREMER, LEAH L. (San Diego State University; University of California, Santa Barbara); FARLEY, KATHLEEN A. (San Diego State University); CHADWICK, OLIVER A. (University of California, Santa Barbara); HARDEN, CAROL P. (University of Tennessee at Knoxville)",15,13,,4.63,https://escholarship.org/content/qt5n93t3t5/qt5n93t3t5.pdf?t=ooykuo,https://app.dimensions.ai/details/publication/pub.1053917484,0501 Ecological Applications; 0503 Soil Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,0503 Soil Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
20,100,pub.1045667227,10.1016/j.chemgeo.2016.01.024,,,Molybdenum sources and isotopic composition during early stages of pedogenesis along a basaltic climate transect,Chemical Geology,,,2016-12,2016,445,Rev. Mineral. Geochem. 55 2004,54-67,Closed,Article,"King, E.K.; Thompson, A.; Chadwick, O.A.; Pett-Ridge, J.C.","King, E.K.","King, E.K. (Oregon State University); Thompson, A. (University of Georgia); Chadwick, O.A. (University of California, Santa Barbara); Pett-Ridge, J.C. (Oregon State University)",14,9,,3.45,,https://app.dimensions.ai/details/publication/pub.1045667227,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
21,100,pub.1012230925,10.1016/j.chemgeo.2016.06.002,,,The behaviour of Cu and Zn isotopes during soil development: Controls on the dissolved load of rivers,Chemical Geology,,,2016-12,2016,445,J. Anal. Atom. Spectrom. 19 2004,36-53,Closed,Article,"Vance, Derek; Matthews, Alan; Keech, Andrew; Archer, Corey; Hudson, Gordon; Pett-Ridge, Julie; Chadwick, Oliver A.","Vance, Derek","Vance, Derek (Swiss Federal Institute of Technology in Zurich); Matthews, Alan (Hebrew University of Jerusalem); Keech, Andrew (University of Bristol); Archer, Corey (Swiss Federal Institute of Technology in Zurich); Hudson, Gordon (James Hutton Institute); Pett-Ridge, Julie (Oregon State University); Chadwick, Oliver A. (University of California, Santa Barbara)",21,14,,5.17,,https://app.dimensions.ai/details/publication/pub.1012230925,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
22,100,pub.1035645898,10.1111/rec.12402,,,The effects of check dams and other erosion control structures on the restoration of Andean bofedal ecosystems,Restoration Ecology,,,2016-11,2016,24,6,761-772,"All OA; Green, Published",Article,"Hartman, Brett D.; Bookhagen, Bodo; Chadwick, Oliver A.",,"Hartman, Brett D. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Chadwick, Oliver A. (University of California, Santa Barbara)",3,2,,0.98,https://escholarship.org/content/qt434806vm/qt434806vm.pdf?t=ooylx2,https://app.dimensions.ai/details/publication/pub.1035645898,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
23,100,pub.1029307540,10.1111/rec.12347,,,Linking changes in knowledge and attitudes with successful land restoration in indigenous communities,Restoration Ecology,,,2016-11,2016,24,6,749-760,"All OA; Green, Published",Article,"Hartman, Brett D.; Cleveland, David A.; Chadwick, Oliver A.",,"Hartman, Brett D. (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara)",3,3,,0.98,https://escholarship.org/content/qt4fd674vb/qt4fd674vb.pdf?t=ooykwt,https://app.dimensions.ai/details/publication/pub.1029307540,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
24,100,pub.1038417846,10.1007/s10533-016-0249-x,,,Parent material and pedogenic thresholds: observations and a simple model,Biogeochemistry,,,2016-10,2016,130,1-2,147-157,All OA; Gold,Article,"Vitousek, Peter; Dixon, Jean L.; Chadwick, Oliver A.","Vitousek, Peter","Vitousek, Peter (Stanford University); Dixon, Jean L. (Montana State University); Chadwick, Oliver A. (University of California, Santa Barbara)",6,4,,1.74,https://link.springer.com/content/pdf/10.1007%2Fs10533-016-0249-x.pdf,https://app.dimensions.ai/details/publication/pub.1038417846,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
25,400,pub.1043689203,10.1002/ecy.1467,27859095,,"Controls on carbon storage and weathering in volcanic soils across a high‐elevation climate gradient on Mauna Kea, Hawaii",Ecology,,Carbon; Carbon Sequestration; Climate; Ecology; Ecosystem; Hawaii; Soil,2016-09,2016,97,9,2384-2395,"All OA; Green, Published",Article,"Kramer, Marc G.; Chadwick, Oliver A.",,"Kramer, Marc G. (Washington State University); Chadwick, Oliver A. (University of California, Santa Barbara)",19,16,0.09,5.51,https://escholarship.org/content/qt239178fx/qt239178fx.pdf?t=oflkne,https://app.dimensions.ai/details/publication/pub.1043689203,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
26,100,pub.1007807322,10.1002/2016jf003864,,,Climate‐driven thresholds for chemical weathering in postglacial soils of New Zealand,Journal of Geophysical Research Earth Surface,,,2016-09,2016,121,9,1619-1634,"All OA; Green, Published",Article,"Dixon, Jean L.; Chadwick, Oliver A.; Vitousek, Peter M.",,"Dixon, Jean L. (Montana State University; University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University)",23,18,,5.9,https://scholarworks.montana.edu/xmlui/bitstream/1/13455/1/Dixon_et_al-2016-JGRES.pdf,https://app.dimensions.ai/details/publication/pub.1007807322,0402 Geochemistry; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 05 Environmental Sciences,0402 Geochemistry,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences
27,100,pub.1024928187,10.5194/soil-2016-31,,,"Timescales of C turnover in soils with mixed crystalline mineralogies, Kruger National Park, South Africa",The Soil,,,2016-04-26,2016,0,,1-29,All OA; Gold,Article,"Khomo, Lesego; Trumbore, Susan; Bern, Carleton R.; Chadwick, Oliver A.",,"Khomo, Lesego (); Trumbore, Susan (University of California, Irvine); Bern, Carleton R. (United States Geological Survey); Chadwick, Oliver A. (University of California, Santa Barbara)",3,1,,0.87,https://doi.org/10.5194/soil-2016-31,https://app.dimensions.ai/details/publication/pub.1024928187,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
28,100,pub.1029317277,10.1016/j.geodrs.2016.01.005,,,Modeling deep soil properties on California grassland hillslopes using LiDAR digital elevation models,Geoderma Regional,,,2016-03,2016,7,1,67-75,"All OA; Green, Accepted & Submitted",Article,"Lin, Yang; Prentice, Samuel E.; Tran, Tom; Bingham, Nina L.; King, Jennifer Y.; Chadwick, Oliver A.","Lin, Yang","Lin, Yang (University of California, Santa Barbara); Prentice, Samuel E. (); Tran, Tom (University of California, Santa Barbara); Bingham, Nina L. (University of California, Santa Barbara); King, Jennifer Y. (University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara)",4,3,,1.16,https://escholarship.org/content/qt6192s22r/qt6192s22r.pdf?t=o1nv9d,https://app.dimensions.ai/details/publication/pub.1029317277,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
29,100,pub.1026441231,10.1016/j.chemgeo.2015.12.008,,,"Ca, Sr and Ba stable isotopes reveal the fate of soil nutrients along a tropical climosequence in Hawaii",Chemical Geology,,,2016-03,2016,422,,25-45,All OA; Gold,Article,"Bullen, Thomas; Chadwick, Oliver","Bullen, Thomas","Bullen, Thomas (United States Geological Survey); Chadwick, Oliver (University of California, Santa Barbara)",28,17,,6.35,https://manuscript.elsevier.com/S0009254115301261/pdf/S0009254115301261.pdf,https://app.dimensions.ai/details/publication/pub.1026441231,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
