,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Rachel M Haymon. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1028558469,10.1029/2008gc002036,,,High‐resolution surveys along the hot spot–affected Galápagos Spreading Center: 2. Influence of magma supply on volcanic morphology,Geochemistry Geophysics Geosystems,,,2008-09,2008,9,9,n/a-n/a,All OA; Gold,Article,"White, Scott M.; Meyer, Jason D.; Haymon, Rachel M.; Macdonald, Ken C.; Baker, Edward T.; Resing, Joseph A.",,"White, Scott M. (University of South Carolina); Meyer, Jason D. (University of South Carolina); Haymon, Rachel M. (University of California, Santa Barbara); Macdonald, Ken C. (University of California, Santa Barbara); Baker, Edward T. (Pacific Marine Environmental Laboratory); Resing, Joseph A. (University of Washington)",25,3,,2.44,http://onlinelibrary.wiley.com/doi/10.1029/2008GC002036/pdf,https://app.dimensions.ai/details/publication/pub.1028558469,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,400,pub.1002930825,10.1111/j.1462-2920.2006.01211.x,17359262,,Evidence for hydrothermal Archaea within the basaltic flanks of the East Pacific Rise,Environmental Microbiology,,"Archaea; Biodiversity; Copper; DNA, Bacterial; Ecosystem; Ferric Compounds; Geologic Sediments; Hot Temperature; Molecular Sequence Data; Pacific Ocean; Phylogeny; RNA, Ribosomal, 16S; Seawater; Sulfides; Water Movements",2007-04,2007,9,4,900-912,Closed,Article,"Ehrhardt, Christopher J.; Haymon, Rachel M.; Lamontagne, Michael G.; Holden, Patricia A.",,"Ehrhardt, Christopher J. (University of California, Santa Barbara); Haymon, Rachel M. (University of California, Santa Barbara); Lamontagne, Michael G. (McNeese State University); Holden, Patricia A. (University of California, Santa Barbara)",32,2,0.71,3.3,,https://app.dimensions.ai/details/publication/pub.1002930825,0605 Microbiology; 06 Biological Sciences; 0603 Evolutionary Biology,0605 Microbiology,06 Biological Sciences,0603 Evolutionary Biology,,
12,100,pub.1010366519,10.1029/2006gc001407,,,"A new view of ridge segmentation and near‐axis volcanism at the East Pacific Rise, 8°–12°N, from EM300 multibeam bathymetry",Geochemistry Geophysics Geosystems,,,2006-12,2006,7,12,n/a-n/a,All OA; Gold,Article,"White, Scott M.; Haymon, Rachel M.; Carbotte, Suzanne",,"White, Scott M. (University of South Carolina); Haymon, Rachel M. (University of California, Santa Barbara); Carbotte, Suzanne (Columbia University)",47,5,,5.49,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GC001407,https://app.dimensions.ai/details/publication/pub.1010366519,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
13,100,pub.1031101418,10.1029/2005gc001011,,,Hydrothermal mineral deposits and fossil biota from a young (0.1 Ma) abyssal hill on the flank of the fast spreading East Pacific Rise: Evidence for pulsed hydrothermal flow and tectonic tapping of axial heat and fluids,Geochemistry Geophysics Geosystems,,,2006-05,2006,7,5,n/a-n/a,All OA; Gold,Article,"Benjamin, Sara B.; Haymon, Rachel M.",,"Benjamin, Sara B. (University of California, Santa Barbara); Haymon, Rachel M. (University of California, Santa Barbara)",15,1,,1.92,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GC001011,https://app.dimensions.ai/details/publication/pub.1031101418,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
14,200,pub.1007405152,10.1016/b0-12-369396-9/00448-2,,,TECTONICS | Hydrothermal Vents At Mid-Ocean Ridges,,Encyclopedia of Geology,,2005,2005,,,388-395,Closed,Chapter,"Haymon, R.M.",,"Haymon, R.M. (University of California, Santa Barbara)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1007405152,,,,,,
15,100,pub.1010658719,10.1130/g21058.1,,,Manifestations of hydrothermal discharge from young abyssal hills on the fast-spreading East Pacific Rise flank,Geology,,,2005,2005,33,2,153-156,Closed,Article,"Haymon, Rachel M.; Macdonald, Ken C.; Benjamin, Sara B.; Ehrhardt, Christopher J.",,"Haymon, Rachel M. (University of California, Santa Barbara); Macdonald, Ken C. (University of California, Santa Barbara); Benjamin, Sara B. (University of California, Santa Barbara); Ehrhardt, Christopher J. (University of California, Santa Barbara)",25,5,,2.42,,https://app.dimensions.ai/details/publication/pub.1010658719,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1010539653,10.1016/j.epsl.2004.08.002,,,Fine-scale segmentation of volcanic/hydrothermal systems along fast-spreading ridge crests,Earth and Planetary Science Letters,,,2004-10,2004,226,4-Mar,367-382,Closed,Article,"Haymon, Rachel M.; White, Scott M.","Haymon, Rachel M.","Haymon, Rachel M. (University of California, Santa Barbara); White, Scott M. (University of South Carolina)",20,4,,1.78,,https://app.dimensions.ai/details/publication/pub.1010539653,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1007433448,10.1666/0022-3360(2004)078<0542:ejhvcf>2.0.co;2,,,"Early Jurassic hydrothermal vent community from the Franciscan Complex, California",Journal of Paleontology,,,2004-05,2004,78,3,542-559,"All OA; Green, Accepted & Submitted",Article,"Little, Crispin T. S.; Danelian, Taniel; Herrington, Richard J.; Haymon, Rachel M.",,"Little, Crispin T. S. (University of Leeds); Danelian, Taniel (Sorbonne University); Herrington, Richard J. (Natural History Museum); Haymon, Rachel M. (University of California, Santa Barbara)",33,3,,2.93,http://www.bioone.org/doi/pdf/10.4202/app.2009.0082,https://app.dimensions.ai/details/publication/pub.1007433448,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1010898530,10.1029/148gm08,,,Submarine Lava Flow Emplacement at the East Pacific Rise 9°50´N: Implications for Uppermost Ocean Crust Stratigraphy and Hydrothermal Fluid Circulation,Geophysical Monograph Series,Mid-Ocean Ridges,,1/1/04,2004,,,187-217,Closed,Chapter,"Fornari, Daniel; Tivey, Maurice; Schouten, Hans; Perfit, Michael; Yoerger, Dana; Bradley, Al; Edwards, Margo; Haymon, Rachel; Scheirer, Daniel; Von Damm, Karen; Shank, Timothy; Soule, Adam",,"Fornari, Daniel (Woods Hole Oceanographic Institution); Tivey, Maurice (Woods Hole Oceanographic Institution); Schouten, Hans (Woods Hole Oceanographic Institution); Perfit, Michael (University of Florida); Yoerger, Dana (Woods Hole Oceanographic Institution); Bradley, Al (Woods Hole Oceanographic Institution); Edwards, Margo (University of Hawaii at Manoa); Haymon, Rachel (University of California, Santa Barbara); Scheirer, Daniel (Brown University); Von Damm, Karen (University of New Hampshire); Shank, Timothy (Woods Hole Oceanographic Institution); Soule, Adam (Woods Hole Oceanographic Institution)",72,8,,6.4,,https://app.dimensions.ai/details/publication/pub.1010898530,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1035926330,10.1029/2001jb000571,,,Correlation between volcanic and tectonic segmentation of fast‐spreading ridges: Evidence from volcanic structures and lava flow morphology on the East Pacific Rise at 9°–10°N,Journal of Geophysical Research,,,2002,2002,107,B8,epm 7-1-epm 7-20,"All OA; Green, Accepted & Submitted",Article,"White, Scott M.; Haymon, Rachel M.; Fornari, Daniel J.; Perfit, Michael R.; Macdonald, Ken C.",,"White, Scott M. (University of California, Santa Barbara; University of South Carolina); Haymon, Rachel M. (University of California, Santa Barbara); Fornari, Daniel J. (Woods Hole Oceanographic Institution); Perfit, Michael R. (University of Florida); Macdonald, Ken C. (University of California, Santa Barbara)",68,6,,6.06,http://www.geol.sc.edu/swhite/white_nepr_2002.pdf,https://app.dimensions.ai/details/publication/pub.1035926330,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1027657524,10.1029/2001jb000544,,,Crustal fissuring on the crest of the southern East Pacific Rise at 17°15′–40′S,Journal of Geophysical Research,,,2002,2002,107,B5,epm 5-1-epm 5-13,All OA; Gold,Article,"Wright, Dawn J.; Haymon, Rachel M.; White, Scott M.; Macdonald, Ken C.",,"Wright, Dawn J. (Oregon State University); Haymon, Rachel M. (University of California, Santa Barbara); White, Scott M. (University of California, Santa Barbara; University of South Carolina); Macdonald, Ken C. (University of California, Santa Barbara)",11,1,,0.98,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001JB000544,https://app.dimensions.ai/details/publication/pub.1027657524,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,200,pub.1086063128,10.1006/rwos.2001.0102,,,Hydrothermal Vent Deposits,,Encyclopedia of Ocean Sciences,,2001,2001,,Geology271999,1228-1234,Closed,Chapter,"Haymon, R.M.",,"Haymon, R.M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1086063128,,,,,,
22,100,pub.1023035452,10.1029/2000jb900248,,,"Basaltic lava domes, lava lakes, and volcanic segmentation on the southern East Pacific Rise",Journal of Geophysical Research,,,10/10/00,2000,105,B10,23519-23536,All OA; Gold,Article,"White, Scott M.; Macdonald, Ken C.; Haymon, Rachel M.",,"White, Scott M. (); Macdonald, Ken C. (); Haymon, Rachel M. ()",57,6,,5.34,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2000JB900248,https://app.dimensions.ai/details/publication/pub.1023035452,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1042600902,10.1130/0091-7613(1999)027<0167:ejhvcf>2.3.co;2,,,"Early Jurassic hydrothermal vent community from the Franciscan Complex, San Rafael Mountains, California",Geology,,,1999,1999,27,2,167-170,Closed,Article,"Little, Crispin T. S.; Herrington, Richard J.; Haymon, Rachel M.; Danelian, Taniel",,"Little, Crispin T. S. (Natural History Museum); Herrington, Richard J. (Natural History Museum); Haymon, Rachel M. (University of California, Santa Barbara); Danelian, Taniel (University of Edinburgh)",51,7,,,,https://app.dimensions.ai/details/publication/pub.1042600902,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
24,100,pub.1047001848,10.1016/s0012-821x(98)00101-0,,,"Time-series temperature measurements at high-temperature hydrothermal vents, East Pacific Rise 9°49′–51′N: evidence for monitoring a crustal cracking event",Earth and Planetary Science Letters,,,1998-08,1998,160,4-Mar,419-431,Closed,Article,"Fornari, D.J; Shank, T; Von Damm, K.L; Gregg, T.K.P; Lilley, M; Levai, G; Bray, A; Haymon, R.M; Perfit, M.R; Lutz, R","Fornari, D.J","Fornari, D.J (Woods Hole Oceanographic Institution); Shank, T (Rutgers, The State University of New Jersey); Von Damm, K.L (University of New Hampshire); Gregg, T.K.P (Woods Hole Oceanographic Institution); Lilley, M (University of Washington); Levai, G (Rutgers, The State University of New Jersey); Bray, A (University of New Hampshire); Haymon, R.M (University of California, Santa Barbara); Perfit, M.R (University of Florida); Lutz, R (Rutgers, The State University of New Jersey)",91,4,,,,https://app.dimensions.ai/details/publication/pub.1047001848,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1053510372,10.1029/98jb00028,,,Axial summit trough of the East Pacific Rice 9°–10°N: Geological characteristics and evolution of the axial zone on fast spreading mid‐ocean ridge,Journal of Geophysical Research,,,5/10/98,1998,103,B5,9827-9855,All OA; Gold,Article,"Fornari, Daniel J.; Haymon, Rachel M.; Perfit, Michael R.; Gregg, Tracy K. P.; Edwards, Margo H.",,"Fornari, Daniel J. (); Haymon, Rachel M. (); Perfit, Michael R. (); Gregg, Tracy K. P. (); Edwards, Margo H. ()",145,6,,,http://onlinelibrary.wiley.com/doi/10.1029/98JB00028/pdf,https://app.dimensions.ai/details/publication/pub.1053510372,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1050771932,10.1016/s0967-0645(97)00089-1,,,"Temporal and spatial patterns of biological community development at nascent deep-sea hydrothermal vents (9°50′N, East Pacific Rise)",Deep Sea Research Part II Topical Studies in Oceanography,,,1998-01,1998,45,3-Jan,465-515,Closed,Article,"Shank, Timothy M.; Fornari, Daniel J.; Von Damm, Karen L.; Lilley, Marvin D.; Haymon, Rachel M.; Lutz, Richard A.","Shank, Timothy M.","Shank, Timothy M. (Rutgers, The State University of New Jersey); Fornari, Daniel J. (Woods Hole Oceanographic Institution); Von Damm, Karen L. (); Lilley, Marvin D. (University of Washington); Haymon, Rachel M. (University of California, Santa Barbara); Lutz, Richard A. (Rutgers, The State University of New Jersey)",259,27,,,,https://app.dimensions.ai/details/publication/pub.1050771932,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,100,pub.1028065564,10.1016/s0012-821x(96)00179-3,,,Rapid emplacement of a mid-ocean ridge lava flow on the East Pacific Rise at 9° 46′–51′N,Earth and Planetary Science Letters,,,1996-11,1996,144,4-Mar,e1-e7,Closed,Article,"Gregg, Tracy K.P.; Fornari, Daniel J.; Perfit, Michael R.; Haymon, Rachel M.; Fink, Jonathan H.","Gregg, Tracy K.P.","Gregg, Tracy K.P. (Woods Hole Oceanographic Institution); Fornari, Daniel J. (Woods Hole Oceanographic Institution); Perfit, Michael R. (University of Florida); Haymon, Rachel M. (University of California, Santa Barbara); Fink, Jonathan H. ()",80,2,,,,https://app.dimensions.ai/details/publication/pub.1028065564,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1013644006,10.1144/gsl.sp.1996.118.01.09,,,"The response of ridge-crest hydrothermal systems to segmented, episodic magma supply",Geological Society London Special Publications,,,1996,1996,118,1,157-168,Closed,Article,"Haymon, Rachel M.",,"Haymon, Rachel M. (University of California, Santa Barbara)",37,3,,,,https://app.dimensions.ai/details/publication/pub.1013644006,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1025553271,10.1016/0012-821x(95)00081-m,,,Breaking new ground: Estimates of crack depth along the axial zone of the East Pacific Rise (9°12′–54′N),Earth and Planetary Science Letters,,,1995-09,1995,134,4-Mar,441-457,"All OA; Green, Accepted & Submitted",Article,"Wright, Dawn J.; Haymon, Rachel M.; MacDonald, Ken C.",,"Wright, Dawn J. (University of California, Santa Barbara; Oregon State University); Haymon, Rachel M. (University of California, Santa Barbara); MacDonald, Ken C. (University of California, Santa Barbara)",30,3,,,http://dusk.geo.orst.edu/dawn_epsl.pdf,https://app.dimensions.ai/details/publication/pub.1025553271,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1052111934,10.1029/94jb02876,,,Crustal fissuring and its relationship to magmatic and hydrothermal processes on the East Pacific Rise crest (9°12′ to 54′N),Journal of Geophysical Research,,,4/10/95,1995,100,B4,6097-6120,Closed,Article,"Wright, Dawn J.; Haymon, Rachel M.; Fornari, Daniel J.",,"Wright, Dawn J. (); Haymon, Rachel M. (); Fornari, Daniel J. ()",65,2,,,,https://app.dimensions.ai/details/publication/pub.1052111934,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,200,pub.1031888364,10.1038/371663a0,,,Rapid growth at deep-sea vents,Nature,,,1994-10,1994,371,6499,663-664,Closed,Article,"Lutz, Richard A.; Shank, Timothy M.; Fornari, Daniel J.; Haymon, Rachel M.; Lilley, Marvin D.; Von Damm, Karen L.; Desbruyeres, Daniel",,"Lutz, Richard A. (Rutgers, The State University of New Jersey); Shank, Timothy M. (Rutgers, The State University of New Jersey); Fornari, Daniel J. (Woods Hole Oceanographic Institution); Haymon, Rachel M. (University of California, Santa Barbara); Lilley, Marvin D. (University of Washington); Von Damm, Karen L. (University of New Hampshire); Desbruyeres, Daniel (French Research Institute for Exploitation of the Sea)",132,10,,,,https://app.dimensions.ai/details/publication/pub.1031888364,,,,,,
32,100,pub.1011654436,10.1130/0091-7613(1994)022<0375:sssatv>2.3.co;2,,,Small-scale spatial and temporal variations in mid-ocean ridge crest magmatic processes,Geology,,,4/1/94,1994,22,4,375-379,Closed,Article,"Perfit, M. R.; Fornari, D. J.; Smith, M. C.; Bender, J. F.; Langmuir, C. H.; Haymon, R. M.",,"Perfit, M. R. (University of Florida); Fornari, D. J. (Woods Hole Oceanographic Institution); Smith, M. C. (University of Florida); Bender, J. F. (); Langmuir, C. H. (Lamont-Doherty Earth Observatory); Haymon, R. M. (University of California, Santa Barbara)",161,8,,,,https://app.dimensions.ai/details/publication/pub.1011654436,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
33,100,pub.1016230653,10.1016/0012-821x(93)90008-w,,,"Volcanic eruption of the mid-ocean ridge along the East Pacific Rise crest at 9°45–52′N: Direct submersible observations of seafloor phenomena associated with an eruption event in April, 1991",Earth and Planetary Science Letters,,,1993-08,1993,119,2-Jan,85-101,Closed,Article,"Haymon, R.M.; Fornari, D.J.; Von Damm, K.L.; Lilley, M.D.; Perfit, M.R.; Edmond, J.M.; Shanks, W.C.; Lutz, R.A.; Grebmeier, J.M.; Carbotte, S.; Wright, D.; McLaughlin, E.; Smith, M.; Beedle, N.; Olson, E.",,"Haymon, R.M. (University of California, Santa Barbara); Fornari, D.J. (Lamont-Doherty Earth Observatory); Von Damm, K.L. (University of New Hampshire); Lilley, M.D. (University of Washington); Perfit, M.R. (University of Florida); Edmond, J.M. (Massachusetts Institute of Technology); Shanks, W.C. (United States Geological Survey); Lutz, R.A. (Rutgers, The State University of New Jersey); Grebmeier, J.M. (University of Tennessee at Knoxville; Oak Ridge National Laboratory); Carbotte, S. (University of California, Santa Barbara); Wright, D. (University of California, Santa Barbara); McLaughlin, E. (University of Washington); Smith, M. (University of Florida); Beedle, N. (University of California, Santa Barbara); Olson, E. (University of Washington)",368,14,,,,https://app.dimensions.ai/details/publication/pub.1016230653,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,100,pub.1013294659,10.1016/0012-821x(93)90050-j,,,The relationship between flow and permeability field in seafloor hydrothermal systems,Earth and Planetary Science Letters,,,1993-04,1993,116,4-Jan,135-153,Closed,Article,"Rosenberg, N.D.; Spera, F.J.; Haymon, R.M.",,"Rosenberg, N.D. (Los Alamos National Laboratory); Spera, F.J. (University of California, Santa Barbara); Haymon, R.M. (University of California, Santa Barbara)",61,3,,,,https://app.dimensions.ai/details/publication/pub.1013294659,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1100320252,10.1017/s2475262200007504,,,Fossil clues to paleoecology of deep-sea hydrothermal vent fauna: summary of recent findings,The Paleontological Society Special Publications,,,1992,1992,6,,190-190,All OA; Gold,Article,"Lutz, Richard A.; Haymon, Rachel M.",,"Lutz, Richard A. (); Haymon, Rachel M. ()",0,0,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/575E0956F5F8980820D27BBE83A1C82C/S2475262200007504a.pdf/div-class-title-fossil-clues-to-paleoecology-of-deep-sea-hydrothermal-vent-fauna-summary-of-recent-findings-div.pdf,https://app.dimensions.ai/details/publication/pub.1100320252,0602 Ecology; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0402 Geochemistry,0403 Geology,04 Earth Sciences,06 Biological Sciences
