,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Hallie C Eakin. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,pub.1110204045,10.1016/j.envsoft.2018.11.016,,,A standardization process for mental model analysis in socio-ecological systems,Environmental Modelling & Software,,,2019-02,2019,112,Environmental Modelling Software 109 2018,108-111,Closed,Article,"García, J. Mario Siqueiros; Lerner, Amy M.; Eakin, Hallie C.; Aguilar, Bertha Hernández","Lerner, Amy M.","García, J. Mario Siqueiros (National Autonomous University of Mexico); Lerner, Amy M. (National Autonomous University of Mexico); Eakin, Hallie C. (Arizona State University); Aguilar, Bertha Hernández (National Autonomous University of Mexico)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110204045,,,,,,
11,100,pub.1120407025,10.5751/es-11030-240315,,,"Loss and social-ecological transformation: pathways of change in Xochimilco, Mexico",Ecology and Society,,,2019,2019,24,3,,Closed,Article,"Eakin, Hallie; Shelton, Rebecca; Siqueiros-Garcia, J. Mario; Charli-Joseph, Lakshmi; Manuel-Navarrete, David",,"Eakin, Hallie (); Shelton, Rebecca (); Siqueiros-Garcia, J. Mario (); Charli-Joseph, Lakshmi (); Manuel-Navarrete, David ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120407025,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
12,500,pub.1106578479,10.1016/j.jenvman.2018.08.094,30193209,,Managing household socio-hydrological risk in Mexico city: A game to communicate and validate computational modeling with stakeholders,Journal of Environmental Management,,Decision Making; Floods; Hydrology; Mexico; Risk Management,2018-12,2018,227,Bull. Ecol. Soc. Am. 78 3 1997,200-208,Closed,Article,"Shelton, Rebecca E.; Baeza, Andres; Janssen, Marco A.; Eakin, Hallie","Shelton, Rebecca E.","Shelton, Rebecca E. (Arizona State University); Baeza, Andres (Arizona State University); Janssen, Marco A. (Arizona State University); Eakin, Hallie (Arizona State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106578479,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
13,100,pub.1105050166,10.1016/j.cities.2018.06.009,,,Governing the gaps in water governance and land-use planning in a megacity: The example of hydrological risk in Mexico City,Cities,,,2018-12,2018,83,Cities 25 3 2008,61-70,Closed,Article,"Lerner, Amy M.; Eakin, Hallie C.; Tellman, Elizabeth; Bausch, Julia Chrissie; Aguilar, Bertha Hernández","Lerner, Amy M.","Lerner, Amy M. (National Autonomous University of Mexico); Eakin, Hallie C. (Arizona State University); Tellman, Elizabeth (Arizona State University); Bausch, Julia Chrissie (Arizona State University); Aguilar, Bertha Hernández (National Autonomous University of Mexico)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105050166,16 Studies in Human Society; 1604 Human Geography; 12 Built Environment and Design; 1205 Urban and Regional Planning,16 Studies in Human Society,1604 Human Geography,12 Built Environment and Design,1205 Urban and Regional Planning,
14,100,pub.1107734134,10.1088/1748-9326/aae9b1,,,Socio-environmental impacts of lithium mineral extraction: towards a research agenda,Environmental Research Letters,,,11/27/18,2018,13,12,123001,All OA; Gold,Article,"Agusdinata, Datu Buyung; Liu, Wenjuan; Eakin, Hallie; Romero, Hugo",,"Agusdinata, Datu Buyung (); Liu, Wenjuan (Arizona State University); Eakin, Hallie (Arizona State University); Romero, Hugo (University of Chile)",2,2,,,https://iopscience.iop.org/article/10.1088/1748-9326/aae9b1/pdf,https://app.dimensions.ai/details/publication/pub.1107734134,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
15,100,pub.1107691272,10.1142/s234573761850015x,,,Critical Lines of Action for Vulnerability and Resilience Research and Practice: Lessons from the 2017 Hurricane Season,Journal of Extreme Events,,,2018-09,2018,5,02n03,1850015,All OA; Gold,Article,"Eakin, Hallie; Muñoz-Erickson, Tischa A.; Lemos, Maria Carmen",,"Eakin, Hallie (Arizona State University); Muñoz-Erickson, Tischa A. (International Institute of Tropical Forestry); Lemos, Maria Carmen (University of Michigan)",1,1,,,https://www.worldscientific.com/doi/pdf/10.1142/S234573761850015X,https://app.dimensions.ai/details/publication/pub.1107691272,1608 Sociology; 1604 Human Geography; 16 Studies in Human Society,1608 Sociology,1604 Human Geography,16 Studies in Human Society,,
16,100,pub.1106132264,10.1016/j.ancene.2018.08.002,,,"Agricultural change and resilience: Agricultural policy, climate trends and market integration in the Mexican maize system",Anthropocene,,,2018-09,2018,23,J. Peasant Stud. 37 2010,43-52,Closed,Article,"Eakin, Hallie; Sweeney, Stuart; Lerner, Amy M.; Appendini, Kirsten; Perales, Hugo; Steigerwald, Doug; Dewes, Candida F.; Davenport, Frank; Bausch, Julia C.","Eakin, Hallie","Eakin, Hallie (Arizona State University); Sweeney, Stuart (University of California, Santa Barbara); Lerner, Amy M. (National Autonomous University of Mexico); Appendini, Kirsten (College of Mexico); Perales, Hugo (El Colegio de la Frontera Sur); Steigerwald, Doug (University of California, Berkeley); Dewes, Candida F. (); Davenport, Frank (University of California, Santa Barbara); Bausch, Julia C. (Arizona State University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106132264,0499 Other Earth Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0499 Other Earth Sciences,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
17,200,pub.1106357964,10.13033/isahp.y2018.009,,,AN ANP-BASED SIMULATION OF VULNERABILITY OF TWO-WAY COUPLED SOCIO-ECOLOGICAL SYSTEMS,Proceedings of the International Symposium on the Analytic Hierarchy Process,Proceedings of the International Symposium on the Analytic Hierarchy Process: the 15th ISAHP conference. Publication date: July 2018,,7/15/18,2018,,,,All OA; Gold,Proceeding,"Bojórquez-Tapia, Luis Antonio; Eakin, Hallie; Janssen, Marco A; Baeza, Andrés",,"Bojórquez-Tapia, Luis Antonio (); Eakin, Hallie (); Janssen, Marco A (); Baeza, Andrés ()",0,0,,,https://doi.org/10.13033/isahp.y2018.009,https://app.dimensions.ai/details/publication/pub.1106357964,,,,,,
18,100,pub.1103754393,10.1088/1748-9326/aac17c,,,"Biophysical, infrastructural and social heterogeneities explain spatial distribution of waterborne gastrointestinal disease burden in Mexico City",Environmental Research Letters,,,6/1/18,2018,13,6,64016,All OA; Gold,Article,"Baeza, Andrés; Estrada-Barón, Alejandra; Serrano-Candela, Fidel; Bojórquez, Luis A; Eakin, Hallie; Escalante, Ana E",,"Baeza, Andrés (); Estrada-Barón, Alejandra (National Autonomous University of Mexico); Serrano-Candela, Fidel (National Autonomous University of Mexico); Bojórquez, Luis A (National Autonomous University of Mexico); Eakin, Hallie (Arizona State University); Escalante, Ana E ()",0,0,,,https://iopscience.iop.org/article/10.1088/1748-9326/aac17c/pdf,https://app.dimensions.ai/details/publication/pub.1103754393,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
19,100,pub.1103840807,10.1002/fee.1808,,,Measuring what matters in the Great Barrier Reef,Frontiers in Ecology and the Environment,,,2018-06,2018,16,5,271-277,"All OA; Green, Accepted & Submitted",Article,"Marshall, Nadine; Barnes, Michele L; Birtles, Alistair; Brown, Katrina; Cinner, Joshua; Curnock, Matt; Eakin, Hallie; Goldberg, Jeremy; Gooch, Margaret; Kittinger, Jack; Marshall, Paul; Manuel‐Navarrete, David; Pelling, Mark; Pert, Petina L; Smit, Barry; Tobin, Renae",,"Marshall, Nadine (James Cook University); Barnes, Michele L (University of Hawaii at Manoa; James Cook University); Birtles, Alistair (James Cook University); Brown, Katrina (University of Exeter); Cinner, Joshua (James Cook University); Curnock, Matt (James Cook University); Eakin, Hallie (Arizona State University); Goldberg, Jeremy (James Cook University); Gooch, Margaret (Great Barrier Reef Marine Park Authority); Kittinger, Jack (Arizona State University; Conservation International); Marshall, Paul (University of Queensland); Manuel‐Navarrete, David (Arizona State University); Pelling, Mark (King's College London); Pert, Petina L (); Smit, Barry (University of Guelph); Tobin, Renae (James Cook University)",8,8,,,http://espace.library.uq.edu.au/view/UQ:1a824a1/UQ1a824a1_OA.pdf,https://app.dimensions.ai/details/publication/pub.1103840807,"2002 Cultural Studies; 20 Language, Communication and Culture",2002 Cultural Studies,"20 Language, Communication and Culture",,,
20,100,pub.1103791833,10.3390/su10051390,,,Leveraging Post-Disaster Windows of Opportunities for Change towards Sustainability: A Framework,Sustainability,,,5/1/18,2018,10,5,1390,All OA; Gold,Article,"Brundiers, Katja; Eakin, Hallie C.",,"Brundiers, Katja (); Eakin, Hallie C. ()",11,11,,,https://www.mdpi.com/2071-1050/10/5/1390/pdf,https://app.dimensions.ai/details/publication/pub.1103791833,12 Built Environment and Design,12 Built Environment and Design,,,,
21,100,pub.1101760702,10.1007/s12571-018-0770-y,,,Governance of food systems across scales in times of social-ecological change: a review of indicators,Food Security,,,2018-04,2018,10,2,287-310,Closed,Article,"Delaney, Aogán; Evans, Tom; McGreevy, John; Blekking, Jordan; Schlachter, Tyler; Korhonen-Kurki, Kaisa; Tamás, Peter A.; Crane, Todd A.; Eakin, Hallie; Förch, Wiebke; Jones, Lindsey; Nelson, Donald R.; Oberlack, Christoph; Purdon, Mark; Rist, Stephan","Delaney, Aogán","Delaney, Aogán (); Evans, Tom (Indiana University Bloomington); McGreevy, John (University of Georgia); Blekking, Jordan (Indiana University Bloomington); Schlachter, Tyler (Indiana University Bloomington); Korhonen-Kurki, Kaisa (University of Helsinki; Center for International Forestry Research); Tamás, Peter A. (Wageningen University & Research); Crane, Todd A. (International Livestock Research Institute); Eakin, Hallie (Arizona State University); Förch, Wiebke (Climate Change, Agriculture and Food Security); Jones, Lindsey (Overseas Development Institute); Nelson, Donald R. (University of Georgia); Oberlack, Christoph (University of Bern); Purdon, Mark (University of Montreal); Rist, Stephan (University of Bern)",4,3,,,,https://app.dimensions.ai/details/publication/pub.1101760702,09 Engineering; 0703 Crop and Pasture Production; 0908 Food Sciences; 07 Agricultural and Veterinary Sciences,09 Engineering,0703 Crop and Pasture Production,0908 Food Sciences,07 Agricultural and Veterinary Sciences,
22,100,pub.1112266070,10.1175/amsmonographs-d-18-0011.1,,,"Social Sciences, Weather and Climate Change Social Sciences, Weather and Climate Change",Meteorological Monographs,,,2018-01,2018,59,,26.1-26.25,All OA; Gold,Article,"Lemos, Maria Carmen; Eakin, Hallie; Dilling, Lisa; Worl, Jessica",,"Lemos, Maria Carmen (University of Michigan); Eakin, Hallie (Arizona State University); Dilling, Lisa (University of Colorado Boulder); Worl, Jessica (University of Michigan)",1,1,,,https://doi.org/10.1175/amsmonographs-d-18-0011.1,https://app.dimensions.ai/details/publication/pub.1112266070,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
23,100,pub.1105116988,10.5751/es-10214-230246,,,Promoting agency for social-ecological transformation: a transformation-lab in the Xochimilco social-ecological system,Ecology and Society,,,2018,2018,23,2,,All OA; Gold,Article,"Charli-Joseph, Lakshmi; Siqueiros-Garcia, J. Mario; Eakin, Hallie; Manuel-Navarrete, David; Shelton, Rebecca",,"Charli-Joseph, Lakshmi (); Siqueiros-Garcia, J. Mario (); Eakin, Hallie (); Manuel-Navarrete, David (); Shelton, Rebecca ()",6,6,,,http://www.ecologyandsociety.org/vol23/iss2/art46/ES-2018-10214.pdf,https://app.dimensions.ai/details/publication/pub.1105116988,0602 Ecology; 16 Studies in Human Society; 1608 Sociology; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,16 Studies in Human Society,1608 Sociology,06 Biological Sciences,05 Environmental Sciences
24,100,pub.1100343316,10.5751/es-09712-230101,,,Adaptive pathways and coupled infrastructure: seven centuries of adaptation to water risk and the production of vulnerability in Mexico City,Ecology and Society,,,2018,2018,23,1,,All OA; Gold,Article,"Tellman, Beth; Bausch, Julia; Eakin, Hallie; Anderies, John; Mazari-Hiriart, Marisa; Manuel-Navarrete, David; Redman, Charles",,"Tellman, Beth (); Bausch, Julia (); Eakin, Hallie (); Anderies, John (); Mazari-Hiriart, Marisa (); Manuel-Navarrete, David (); Redman, Charles ()",14,14,,,http://www.ecologyandsociety.org/vol23/iss1/art1/ES-2017-9712.pdf,https://app.dimensions.ai/details/publication/pub.1100343316,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,100,pub.1091976700,10.1007/978-3-319-65003-6_15,,,Adaptation for Whom to What? Challenges and Opportunities in Agriculture-Urban Collaboration for Climate Change Adaptation,The Urban Book Series,Climate Change in Cities,,2018,2018,,,299-324,Closed,Chapter,"Bausch, Julia C.; Eakin, Hallie C.; Lerner, Amy M.","Lerner, Amy M.","Bausch, Julia C. (Arizona State University); Eakin, Hallie C. (Arizona State University); Lerner, Amy M. (National Autonomous University of Mexico)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1091976700,14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,16 Studies in Human Society,1604 Human Geography,1605 Policy and Administration,1402 Applied Economics
26,100,pub.1099799496,10.3390/su9122307,,,Examining the Business Case and Models for Sustainable Multifunctional Edible Landscaping Enterprises in the Phoenix Metro Area,Sustainability,,,12/12/17,2017,9,12,2307,All OA; Gold,Article,"Robinson, Christopher; Cloutier, Scott; Eakin, Hallie",,"Robinson, Christopher (); Cloutier, Scott (); Eakin, Hallie ()",1,1,,,https://www.mdpi.com/2071-1050/9/12/2307/pdf,https://app.dimensions.ai/details/publication/pub.1099799496,12 Built Environment and Design,12 Built Environment and Design,,,,
27,100,pub.1009831967,10.1007/s10460-016-9754-8,,,Identifying attributes of food system sustainability: emerging themes and consensus,Agriculture and Human Values,,,2017-09,2017,34,3,757-773,Closed,Article,"Eakin, Hallie; Connors, John Patrick; Wharton, Christopher; Bertmann, Farryl; Xiong, Angela; Stoltzfus, Jared","Eakin, Hallie","Eakin, Hallie (Arizona State University); Connors, John Patrick (Boston University); Wharton, Christopher (Arizona State University); Bertmann, Farryl (University of Vermont); Xiong, Angela (); Stoltzfus, Jared (James Madison University)",12,12,,10.94,,https://app.dimensions.ai/details/publication/pub.1009831967,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
28,200,pub.1030790649,10.1073/pnas.1620081114,28074032,PMC5240709,Opinion: Urban resilience efforts must consider social and political forces,Proceedings of the National Academy of Sciences,,,1/10/17,2017,114,2,186-189,All OA; Gold,Article,"Eakin, Hallie; Bojórquez-Tapia, Luis A.; Janssen, Marco A.; Georgescu, Matei; Manuel-Navarrete, David; Vivoni, Enrique R.; Escalante, Ana E.; Baeza-Castro, Andres; Mazari-Hiriart, M.; Lerner, Amy M.",,"Eakin, Hallie (Arizona State University); Bojórquez-Tapia, Luis A. (National Autonomous University of Mexico); Janssen, Marco A. (Arizona State University); Georgescu, Matei (Arizona State University); Manuel-Navarrete, David (Arizona State University); Vivoni, Enrique R. (Arizona State University); Escalante, Ana E. (National Autonomous University of Mexico); Baeza-Castro, Andres (Arizona State University); Mazari-Hiriart, M. (National Autonomous University of Mexico); Lerner, Amy M. (National Autonomous University of Mexico)",32,29,0.76,,https://www.pnas.org/content/pnas/114/2/186.full.pdf,https://app.dimensions.ai/details/publication/pub.1030790649,,,,,,
29,100,pub.1093008118,10.5751/es-09831-220432,,,Transforming governance in telecoupled food systems,Ecology and Society,,,2017,2017,22,4,,All OA; Gold,Article,"Eakin, Hallie; Rueda, Ximena; Mahanti, Ashwina",,"Eakin, Hallie (); Rueda, Ximena (); Mahanti, Ashwina ()",23,23,,,http://www.ecologyandsociety.org/vol22/iss4/art32/ES-2017-9831.pdf,https://app.dimensions.ai/details/publication/pub.1093008118,,,,,,
30,100,pub.1027373068,10.1016/j.envsci.2016.06.006,,,Adapting to risk and perpetuating poverty: Household’s strategies for managing flood risk and water scarcity in Mexico City,Environmental Science & Policy,,,2016-12,2016,66,,324-333,"All OA; Green, Accepted & Submitted",Article,"Eakin, Hallie; Lerner, Amy M.; Manuel-Navarrete, David; Aguilar, Bertha Hernández; Martínez-Canedo, Alejandra; Tellman, Beth; Charli-Joseph, Lakshmi; Álvarez, Rafael Fernández; Bojórquez-Tapia, Luis","Eakin, Hallie","Eakin, Hallie (Arizona State University); Lerner, Amy M. (National Autonomous University of Mexico); Manuel-Navarrete, David (Arizona State University); Aguilar, Bertha Hernández (National Autonomous University of Mexico); Martínez-Canedo, Alejandra (National Autonomous University of Mexico); Tellman, Beth (Arizona State University); Charli-Joseph, Lakshmi (National Autonomous University of Mexico); Álvarez, Rafael Fernández (National Autonomous University of Mexico); Bojórquez-Tapia, Luis (National Autonomous University of Mexico)",15,14,,10.8,http://www.ids.ac.uk/files/dmfile/IDSOpenDocsStandardTermsOfUse.pdf,https://app.dimensions.ai/details/publication/pub.1027373068,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
31,100,pub.1016645815,10.1088/1748-9326/11/9/094011,,,The limits of poverty reduction in support of climate change adaptation,Environmental Research Letters,,,9/1/16,2016,11,9,94011,All OA; Gold,Article,"Nelson, Donald R; Lemos, Maria Carmen; Eakin, Hallie; Lo, Yun-Jia",,"Nelson, Donald R (University of Georgia); Lemos, Maria Carmen (University of Michigan); Eakin, Hallie (Arizona State University); Lo, Yun-Jia (University of Michigan)",13,12,,10.26,https://iopscience.iop.org/article/10.1088/1748-9326/11/9/094011/pdf,https://app.dimensions.ai/details/publication/pub.1016645815,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
32,200,pub.1107096301,10.13033/isahp.y2016.128,,,VULNERABILITY ASSESSMENT IN MEGALOPOLIS: ANP-MAS MODELING APPROACH FOR MEXICO CITY,Proceedings of the International Symposium on the Analytic Hierarchy Process,,,8/15/16,2016,,,,All OA; Gold,Proceeding,"Bojórquez-Tapia, Luis Antonio; Eakin, Hallie; Jansen, Marco; Baeza, Andrés",,"Bojórquez-Tapia, Luis Antonio (); Eakin, Hallie (); Jansen, Marco (); Baeza, Andrés ()",0,0,,,https://doi.org/10.13033/isahp.y2016.128,https://app.dimensions.ai/details/publication/pub.1107096301,,,,,,
33,100,pub.1010063720,10.1016/j.gloenvcha.2016.05.001,,,Linking development to climate adaptation: Leveraging generic and specific capacities to reduce vulnerability to drought in NE Brazil,Global Environmental Change,,,2016-07,2016,39,,170-179,All OA; Gold,Article,"Lemos, Maria Carmen; Lo, Yun-Jia; Nelson, Donald R.; Eakin, Hallie; Bedran-Martins, Ana Maria","Lemos, Maria Carmen","Lemos, Maria Carmen (); Lo, Yun-Jia (); Nelson, Donald R. (University of Georgia); Eakin, Hallie (Arizona State University); Bedran-Martins, Ana Maria (University of Sao Paulo)",52,38,,41.06,https://doi.org/10.1016/j.gloenvcha.2016.05.001,https://app.dimensions.ai/details/publication/pub.1010063720,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
