,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Dawn Anne-Marie Kellett. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1062734490,10.1130/g37754.1,,,Direct shear fabric dating constrains early Oligocene onset of the South Tibetan detachment in the western Nepal Himalaya,Geology,,,2016-06,2016,44,6,403-406,Closed,Article,"La Roche, Renaud Soucy; Godin, Laurent; Cottle, John M.; Kellett, Dawn A.",,"La Roche, Renaud Soucy (Queen's University); Godin, Laurent (Queen's University); Cottle, John M. (University of California, Santa Barbara); Kellett, Dawn A. (Geological Survey of Canada)",20,14,,5.36,,https://app.dimensions.ai/details/publication/pub.1062734490,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1032389275,10.1016/j.lithos.2016.03.003,,,"Influence of deformation and fluids on Ar retention in white mica: Dating the Dover Fault, Newfoundland Appalachians",Lithos,,,2016-06,2016,254,Journal of Petrology 52 2011,1-17,"All OA; Green, Accepted & Submitted",Article,"Kellett, Dawn A.; Warren, Clare; Larson, Kyle P.; Zwingmann, Horst; van Staal, Cees R.; Rogers, Neil","Kellett, Dawn A.","Kellett, Dawn A. (Geological Survey of Canada); Warren, Clare (The Open University); Larson, Kyle P. (University of British Columbia); Zwingmann, Horst (); van Staal, Cees R. (Geological Survey of Canada); Rogers, Neil (Geological Survey of Canada)",9,7,,2.41,http://oro.open.ac.uk/45705/1/Influence%20of%20deformation.pdf,https://app.dimensions.ai/details/publication/pub.1032389275,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1062733631,10.1130/b31328.1,,,"Diachronous deformation along the base of the Himalayan metamorphic core, west-central Nepal",Geological Society of America Bulletin,,,2016-05,2016,128,5-6,860-878,Closed,Article,"Gibson, Rohanna; Godin, Laurent; Kellett, Dawn A.; Cottle, John M.; Archibald, Douglas",,"Gibson, Rohanna (Queen's University); Godin, Laurent (Queen's University); Kellett, Dawn A. (Geological Survey of Canada); Cottle, John M. (University of California, Santa Barbara); Archibald, Douglas (Queen's University)",16,11,,4.29,,https://app.dimensions.ai/details/publication/pub.1062733631,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
13,100,pub.1037804139,10.1016/j.jsg.2015.06.008,,,"How does the mid-crust accommodate deformation in large, hot collisional orogens? A review of recent research in the Himalayan orogen",Journal of Structural Geology,,,2015-09,2015,78,,119-133,All OA; Gold,Article,"Cottle, John M.; Larson, Kyle P.; Kellett, Dawn A.","Cottle, John M.","Cottle, John M. (University of California, Santa Barbara); Larson, Kyle P. (University of British Columbia); Kellett, Dawn A. (Geological Survey of Canada)",51,21,,10.47,https://manuscript.elsevier.com/S0191814115300080/pdf/S0191814115300080.pdf,https://app.dimensions.ai/details/publication/pub.1037804139,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1035184142,10.1139/cjes-2014-0090,,,"New age data refine extent and duration of Paleozoic and Neoproterozoic plutonism at Ganderia–Avalonia boundary, Newfoundland",Canadian Journal of Earth Sciences,,,2014-10,2014,51,10,943-972,Closed,Article,"Kellett, Dawn A.; Rogers, Neil; McNicoll, Vicki; Kerr, Andrew; van Staal, Cees",,"Kellett, Dawn A. (Geological Survey of Canada); Rogers, Neil (Geological Survey of Canada); McNicoll, Vicki (Geological Survey of Canada); Kerr, Andrew (); van Staal, Cees (Geological Survey of Canada)",4,3,,0.67,,https://app.dimensions.ai/details/publication/pub.1035184142,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1012786929,10.1130/l350.1,,,"Eocene deep crust at Ama Drime, Tibet: Early evolution of the Himalayan orogen",Литосфера,,,2014-08,2014,6,4,220-229,All OA; Gold,Article,"Kellett, Dawn A.; Cottle, John M.; Smit, Matthijs",,"Kellett, Dawn A. (University of California System); Cottle, John M. (University of California System); Smit, Matthijs (University of California System; University of Copenhagen)",29,12,,4.89,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/6/4/220/3039312/220.pdf,https://app.dimensions.ai/details/publication/pub.1012786929,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1013321275,10.1016/j.lithos.2013.08.012,,,A P–T–t–D discontinuity in east-central Nepal: Implications for the evolution of the Himalayan mid-crust,Lithos,,,2013-10,2013,179,Tectonophysics 95 1983,275-292,Closed,Article,"Larson, Kyle P.; Gervais, Félix; Kellett, Dawn A.","Larson, Kyle P.","Larson, Kyle P. (University of British Columbia); Gervais, Félix (Polytechnique Montréal); Kellett, Dawn A. (University of California, Santa Barbara)",58,18,,8.84,,https://app.dimensions.ai/details/publication/pub.1013321275,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1024749450,10.1002/tect.20014,,,The South Tibetan detachment system facilitates ultra rapid cooling of granulite‐facies rocks in Sikkim Himalaya,Tectonics,,,2013-03,2013,32,2,252-270,All OA; Gold,Article,"Kellett, Dawn A.; Grujic, Djordje; Coutand, Isabelle; Cottle, John; Mukul, Malay",,"Kellett, Dawn A. (University of California, Santa Barbara); Grujic, Djordje (Dalhousie University); Coutand, Isabelle (Dalhousie University); Cottle, John (University of California, Santa Barbara); Mukul, Malay (Indian Institute of Technology Bombay)",57,22,,8.69,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/tect.20014,https://app.dimensions.ai/details/publication/pub.1024749450,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1050304500,10.1093/petrology/egs048,,,Textures of Peritectic Crystals as Guides to Reactive Minerals in Magmatic Systems: New Insights from Melting Experiments,Journal of Petrology,,,2012-11-01,2012,53,11,2231-2258,All OA; Gold,Article,"Erdmann, S.; Scaillet, B.; Kellett, D. A.",,"Erdmann, S. (); Scaillet, B. (); Kellett, D. A. (University of California, Santa Barbara)",11,2,,1.84,https://academic.oup.com/petrology/article-pdf/53/11/2231/4223928/egs048.pdf,https://app.dimensions.ai/details/publication/pub.1050304500,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1005989643,10.1029/2011tc002957,,,New insight into the South Tibetan detachment system: Not a single progressive deformation,Tectonics,,,2012-04,2012,31,2,n/a-n/a,All OA; Gold,Article,"Kellett, Dawn A.; Grujic, Djordje",,"Kellett, Dawn A. (Dalhousie University; Geological Survey of Canada); Grujic, Djordje (Dalhousie University)",55,10,,9.18,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011TC002957,https://app.dimensions.ai/details/publication/pub.1005989643,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1021239681,10.1029/2010tc002738,,,Probing the depths of the India‐Asia collision: U‐Th‐Pb monazite chronology of granulites from NW Bhutan,Tectonics,,,2011-04,2011,30,2,n/a-n/a,All OA; Gold,Article,"Warren, C. J.; Grujic, D.; Kellett, D. A.; Cottle, J.; Jamieson, R. A.; Ghalley, K. S.",,"Warren, C. J. (The Open University); Grujic, D. (Dalhousie University); Kellett, D. A. (Dalhousie University; University of California, Santa Barbara); Cottle, J. (University of California, Santa Barbara; British Geological Survey); Jamieson, R. A. (Dalhousie University); Ghalley, K. S. ()",61,12,,7.67,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010TC002738,https://app.dimensions.ai/details/publication/pub.1021239681,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1035514652,10.1016/j.jvolgeores.2010.10.002,,,Xenocryst assimilation and formation of peritectic crystals during magma contamination: An experimental study,Journal of Volcanology and Geothermal Research,,,2010-12,2010,198,3-4,355-367,"All OA; Green, Accepted & Submitted",Article,"Erdmann, S.; Scaillet, B.; Kellett, D.A.","Erdmann, S.","Erdmann, S. (French National Centre for Scientific Research; University of Geneva); Scaillet, B. (French National Centre for Scientific Research); Kellett, D.A. (Dalhousie University)",15,4,,1.56,https://hal-insu.archives-ouvertes.fr/insu-00534451/file/Erdmann-JVGR-2010.pdf,https://app.dimensions.ai/details/publication/pub.1035514652,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,100,pub.1003375779,10.1111/j.1525-1314.2010.00893.x,,,"Metamorphic history of a syn‐convergent orogen‐parallel detachment: The South Tibetan detachment system, Bhutan Himalaya",Journal of Metamorphic Geology,,,2010-10,2010,28,8,785-808,Closed,Article,"KELLETT, D. A.; GRUJIC, D.; WARREN, C.; COTTLE, J.; JAMIESON, R.; TENZIN, T.",,"KELLETT, D. A. (Dalhousie University); GRUJIC, D. (Dalhousie University); WARREN, C. (The Open University); COTTLE, J. (British Geological Survey); JAMIESON, R. (Dalhousie University); TENZIN, T. ()",78,11,,8.12,,https://app.dimensions.ai/details/publication/pub.1003375779,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1044422261,10.1130/l56.1,,,"Miocene structural reorganization of the South Tibetan detachment, eastern Himalaya: Implications for continental collisionMiocene structural reorganization of the South Tibetan detachment",Литосфера,,,2009-10,2009,1,5,259-281,All OA; Gold,Article,"Kellett, Dawn A.; Grujic, Djordje; Erdmann, Saskia",,"Kellett, Dawn A. (Dalhousie University); Grujic, Djordje (Dalhousie University); Erdmann, Saskia (Dalhousie University)",78,6,,14.28,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/1/5/259/3043766/i1941-8264-1-5-259.pdf,https://app.dimensions.ai/details/publication/pub.1044422261,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
24,200,pub.1007285057,10.1144/0016-76492008-097,,,"Pre-Miocene deformation of the Himalayan superstructure, Hidden valley, central Nepal",Journal of the Geological Society,,,2009-03,2009,166,2,261-275,Closed,Article,"Kellett, Dawn A.; Godin, Laurent",,"Kellett, Dawn A. (Queen's University; Dalhousie University); Godin, Laurent (Queen's University)",42,8,,6.64,,https://app.dimensions.ai/details/publication/pub.1007285057,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
25,100,pub.1017779812,10.2113/gscanmin.43.1.225,,,"CARBONATED SERPENTINITE (LISTWANITE) AT ATLIN, BRITISH COLUMBIA: A GEOLOGICAL ANALOGUE TO CARBON DIOXIDE SEQUESTRATION",The Canadian Mineralogist,,,2005-02-01,2005,43,1,225-239,Closed,Article,"Hansen, Lyle D.; Dipple, Gregory M.; Gordon, Terry M.; Kellett, Dawn A.",,"Hansen, Lyle D. (University of British Columbia); Dipple, Gregory M. (University of British Columbia); Gordon, Terry M. (University of Calgary); Kellett, Dawn A. (University of British Columbia)",88,24,,9.48,,https://app.dimensions.ai/details/publication/pub.1017779812,0402 Geochemistry; 0403 Geology; 0301 Analytical Chemistry; 03 Chemical Sciences; 04 Earth Sciences,0402 Geochemistry,0403 Geology,0301 Analytical Chemistry,03 Chemical Sciences,04 Earth Sciences
26,100,pub.1016515574,10.3126/hjs.v5i7.1275,,,"Geochronologic, structural and metamorphic constraints on the evolution of the South Tibetan detachment system, Bhutan Himalaya",Himalayan Journal of Sciences,,,1970-01-01,1970,5,7,78-79,All OA; Gold,Article,"Kellett, Dawn A; Grujic, Djordje; Coutand, Isabelle; Warren, Clare",,"Kellett, Dawn A (Dalhousie University); Grujic, Djordje (Dalhousie University); Coutand, Isabelle (University of Lille); Warren, Clare (Dalhousie University)",0,0,,,https://www.nepjol.info/index.php/HJS/article/download/1275/1255,https://app.dimensions.ai/details/publication/pub.1016515574,,,,,,
