,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bernard Kirtman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,500,pub.1091340634,10.1039/c7cp03161k,28861565,,Surface effects on converse piezoelectricity of crystals,Physical Chemistry Chemical Physics,,,2017,2017,19,36,24724-24734,Closed,Article,"Molayem, Mohammad; Springborg, Michael; Kirtman, Bernard",,"Molayem, Mohammad (Saarland University); Springborg, Michael (Saarland University); Kirtman, Bernard (University of California System)",2,1,0.43,,,https://app.dimensions.ai/details/publication/pub.1091340634,02 Physical Sciences; 03 Chemical Sciences,02 Physical Sciences,03 Chemical Sciences,,,
11,100,pub.1083406183,10.1007/978-3-319-27282-5_40,,,The Response of Extended Systems to Electrostatic Fields,,Handbook of Computational Chemistry,,2017,2017,,,1415-1458,Closed,Chapter,"Springborg, Michael; Molayem, Mohammad; Kirtman, Bernard","Springborg, Michael","Springborg, Michael (Saarland University; Tianjin University); Molayem, Mohammad (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",1,0,,0.36,,https://app.dimensions.ai/details/publication/pub.1083406183,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
12,200,pub.1055111165,10.1021/acs.jpcc.6b01077,,,Third-Order Electric Field Response of Infinite Linear Chains Composed of Phenalenyl Radicals,The Journal of Physical Chemistry C,,,3/31/16,2016,120,12,6756-6761,Closed,Article,"Salustro, Simone; Maschio, Lorenzo; Kirtman, Bernard; Rérat, Michel; Dovesi, Roberto",,"Salustro, Simone (); Maschio, Lorenzo (); Kirtman, Bernard (University of California, Santa Barbara); Rérat, Michel (University of Pau and Pays de l'Adour); Dovesi, Roberto ()",10,4,,,,https://app.dimensions.ai/details/publication/pub.1055111165,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
13,400,pub.1001272876,10.1063/1.4942172,26931690,,Numerical and exact kinetic energy operator using Eckart conditions with one or several reference geometries: Application to HONO,The Journal of Chemical Physics,,,2/28/16,2016,144,8,84116,Closed,Article,"Lauvergnat, David; Luis, Josep M; Kirtman, Bernard; Reis, Heribert; Nauts, André",,"Lauvergnat, David (); Luis, Josep M (University of Girona); Kirtman, Bernard (University of California, Santa Barbara); Reis, Heribert (Matej Bel University); Nauts, André ()",6,4,1.27,1.23,,https://app.dimensions.ai/details/publication/pub.1001272876,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
14,100,pub.1053531766,10.1515/zpch-2015-0701,,,Direct Piezoelectric Tensor of 3D Periodic Systems through a Coupled Perturbed Hartree–Fock/Kohn–Sham Method,Zeitschrift für Physikalische Chemie,,,1/28/16,2016,230,7-May,719-736,Closed,Article,"Baima, Jacopo; Erba, Alessandro; Maschio, Lorenzo; Zicovich-Wilson, Claudio M.; Dovesi, Roberto; Kirtman, Bernard",,"Baima, Jacopo (University of Turin); Erba, Alessandro (University of Turin); Maschio, Lorenzo (University of Turin); Zicovich-Wilson, Claudio M. (Universidad Autónoma del Estado de Morelos); Dovesi, Roberto (University of Turin); Kirtman, Bernard (University of California, Santa Barbara)",6,4,,1.5,,https://app.dimensions.ai/details/publication/pub.1053531766,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
15,400,pub.1055098759,10.1021/acs.jctc.5b00791,26636615,,Computation of Second Harmonic Generation for Crystalline Urea and KDP. An ab Initio Approach through the Coupled Perturbed Hartree-Fock/Kohn-Sham Scheme.,Journal of Chemical Theory and Computation,,,1/12/16,2016,12,1,107-13,Closed,Article,"Rérat, Michel; Maschio, Lorenzo; Kirtman, Bernard; Civalleri, Bartolomeo; Dovesi, Roberto",,"Rérat, Michel (University of Pau and Pays de l'Adour); Maschio, Lorenzo (University of Turin); Kirtman, Bernard (University of California, Santa Barbara); Civalleri, Bartolomeo (University of Turin); Dovesi, Roberto (University of Turin)",9,6,0.15,1.62,,https://app.dimensions.ai/details/publication/pub.1055098759,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
16,400,pub.1047642771,10.1063/1.4937770,26723646,,"Calculation of the dynamic first electronic hyperpolarizability β(−ωσ; ω1, ω2) of periodic systems. Theory, validation, and application to multi-layer MoS2",The Journal of Chemical Physics,,,12/28/15,2015,143,24,244102,"All OA; Green, Published",Article,"Maschio, Lorenzo; Rérat, Michel; Kirtman, Bernard; Dovesi, Roberto",,"Maschio, Lorenzo (University of Turin); Rérat, Michel (University of Pau and Pays de l'Adour); Kirtman, Bernard (University of California, Santa Barbara); Dovesi, Roberto (University of Turin)",6,4,0.37,2,https://iris.unito.it/bitstream/2318/1558371/1/Maschio_jcp_2015.pdf,https://app.dimensions.ai/details/publication/pub.1047642771,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
17,200,pub.1098507751,10.1063/1.4906650,,,The linear and nonlinear response of infinite periodic systems to static and/or dynamic electric fields. Implementation in CRYSTAL code,AIP Conference Proceedings,,,2015,2015,1642,,193-196,Closed,Proceeding,"Kirtman, Bernard; Springborg, Michael; Rérat, Michel; Ferrero, Mauro; Lacivita, Valentina; Orlando, Roberto; Dovesi, Roberto",,"Kirtman, Bernard (); Springborg, Michael (); Rérat, Michel (); Ferrero, Mauro (); Lacivita, Valentina (); Orlando, Roberto (); Dovesi, Roberto ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1098507751,,,,,,
18,200,pub.1051627811,10.1007/978-3-319-11068-4,,,"Calculations on nonlinear optical properties for large systems, The elongation method",SpringerBriefs in Molecular Science,,,2015,2015,,,,Closed,Monograph,"Gu, Feng Long; Aoki, Yuriko; Springborg, Michael; Kirtman, Bernard",,"Gu, Feng Long (South China Normal University); Aoki, Yuriko (Kyushu University); Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1051627811,,,,,,
19,100,pub.1084926098,10.1007/978-94-007-6169-8_40-1,,,The Response of Extended Systems to Electrostatic Fields,,Handbook of Computational Chemistry,,2015,2015,,,Jan-44,Closed,Chapter,"Springborg, Michael; Kirtman, Bernard; Molayem, Mohammad",,"Springborg, Michael (Saarland University); Kirtman, Bernard (); Molayem, Mohammad (Saarland University)",1,1,,0.26,,https://app.dimensions.ai/details/publication/pub.1084926098,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
20,200,pub.1025017235,10.1063/1.4904387,,,"Erratum: “Ab initio investigation of electronic and vibrational contributions to linear and nonlinear dielectric properties of ice” [J. Chem. Phys. 140, 224702 (2014)]",The Journal of Chemical Physics,,,12/28/14,2014,141,24,249901,All OA; Gold,Article,"Casassa, S.; Baima, J.; Mahmoud, A.; Kirtman, B.",,"Casassa, S. (); Baima, J. (); Mahmoud, A. (); Kirtman, B. ()",0,0,,,http://aip.scitation.org/doi/pdf/10.1063/1.4904387,https://app.dimensions.ai/details/publication/pub.1025017235,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
21,100,pub.1002517241,10.1002/qua.24658,,,CRYSTAL14: A program for the ab initio investigation of crystalline solids,International Journal of Quantum Chemistry,,,10/5/14,2014,114,19,1287-1317,All OA; Gold,Article,"Dovesi, Roberto; Orlando, Roberto; Erba, Alessandro; Zicovich‐Wilson, Claudio M.; Civalleri, Bartolomeo; Casassa, Silvia; Maschio, Lorenzo; Ferrabone, Matteo; De La Pierre, Marco; D'Arco, Philippe; Noël, Yves; Causà, Mauro; Rérat, Michel; Kirtman, Bernard",,"Dovesi, Roberto (); Orlando, Roberto (); Erba, Alessandro (); Zicovich‐Wilson, Claudio M. (Universidad Autónoma del Estado de Morelos); Civalleri, Bartolomeo (); Casassa, Silvia (); Maschio, Lorenzo (); Ferrabone, Matteo (); De La Pierre, Marco (); D'Arco, Philippe (Sorbonne University); Noël, Yves (Sorbonne University); Causà, Mauro (); Rérat, Michel (Institut des Sciences Analytiques et de Physico-Chimie pour l'Environnement et les Matériaux); Kirtman, Bernard ()",656,279,,114.28,http://onlinelibrary.wiley.com/doi/10.1002/qua.24658/pdf,https://app.dimensions.ai/details/publication/pub.1002517241,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
22,100,pub.1020289870,10.1002/jrs.4519,,,Raman spectrum of NaAlSi2O6 jadeite. A quantum mechanical simulation,Journal of Raman Spectroscopy,,,2014-08,2014,45,8,703-709,Closed,Article,"Prencipe, Mauro; Maschio, Lorenzo; Kirtman, Bernard; Salustro, Simone; Erba, Alessandro; Dovesi, Roberto",,"Prencipe, Mauro (University of Turin); Maschio, Lorenzo (University of Turin); Kirtman, Bernard (University of California System); Salustro, Simone (University of Turin); Erba, Alessandro (University of Turin); Dovesi, Roberto (University of Turin)",24,11,,4.8,,https://app.dimensions.ai/details/publication/pub.1020289870,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
23,400,pub.1016150261,10.1063/1.4880961,24929409,,Ab initio investigation of electronic and vibrational contributions to linear and nonlinear dielectric properties of ice,The Journal of Chemical Physics,,,6/14/14,2014,140,22,224702,"All OA; Green, Published",Article,"Casassa, S; Baima, J; Mahmoud, A; Kirtman, B",,"Casassa, S (University of Turin); Baima, J (University of Turin); Mahmoud, A (University of Turin); Kirtman, B (University of California, Santa Barbara)",4,1,0.11,0.61,https://iris.unito.it/bitstream/2318/148616/1/1.4880961.pdf,https://app.dimensions.ai/details/publication/pub.1016150261,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
24,400,pub.1058089655,10.1063/1.4864038,24511932,,Electronic responses of long chains to electrostatic fields: Hartree-Fock vs. density-functional theory: a model study.,The Journal of Chemical Physics,,,2/7/14,2014,140,5,54117,Closed,Article,"Vargas, Jorge; Springborg, Michael; Kirtman, Bernard",,"Vargas, Jorge (Saarland University); Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",6,1,0.26,1.2,,https://app.dimensions.ai/details/publication/pub.1058089655,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
25,200,pub.1055425022,10.1021/ct400938a,26579906,,Computation of Nonlinear Optical Properties of Molecules with Large Amplitude Anharmonic Motions. III. Arbitrary Double-Well Potentials.,Journal of Chemical Theory and Computation,,,1/14/14,2014,10,1,236-42,Closed,Article,"Reis, H; Luis, J M; Garcia Borràs, M; Kirtman, B",,"Reis, H (National Hellenic Research Foundation); Luis, J M (University of Girona); Garcia Borràs, M (University of Girona); Kirtman, B (University of California, Santa Barbara)",5,2,0.31,1.11,,https://app.dimensions.ai/details/publication/pub.1055425022,08 Information and Computing Sciences; 0803 Computer Software; 0307 Theoretical and Computational Chemistry; 0601 Biochemistry and Cell Biology; 03 Chemical Sciences; 06 Biological Sciences,08 Information and Computing Sciences,0803 Computer Software,0307 Theoretical and Computational Chemistry,0601 Biochemistry and Cell Biology,03 Chemical Sciences
26,400,pub.1056097947,10.1021/jp4099446,24124910,,"Raman spectrum of pyrope garnet. A quantum mechanical simulation of frequencies, intensities, and isotope shifts.",The Journal of Physical Chemistry A,,,11/14/13,2013,117,45,11464-71,Closed,Article,"Maschio, Lorenzo; Kirtman, Bernard; Salustro, Simone; Zicovich-Wilson, Claudio M.; Orlando, Roberto; Dovesi, Roberto",,"Maschio, Lorenzo (); Kirtman, Bernard (University of California, Santa Barbara); Salustro, Simone (); Zicovich-Wilson, Claudio M. (Universidad Autónoma del Estado de Morelos); Orlando, Roberto (); Dovesi, Roberto ()",18,9,0.47,5.91,,https://app.dimensions.ai/details/publication/pub.1056097947,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
27,400,pub.1058084541,10.1063/1.4824443,24181999,,Ab initio analytical Raman intensities for periodic systems through a coupled perturbed Hartree-Fock/Kohn-Sham method in an atomic orbital basis. II. Validation and comparison with experiments.,The Journal of Chemical Physics,,,10/28/13,2013,139,16,164102,Closed,Article,"Maschio, Lorenzo; Kirtman, Bernard; Rérat, Michel; Orlando, Roberto; Dovesi, Roberto",,"Maschio, Lorenzo (); Kirtman, Bernard (); Rérat, Michel (); Orlando, Roberto (); Dovesi, Roberto ()",68,35,1.94,9.69,,https://app.dimensions.ai/details/publication/pub.1058084541,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
28,400,pub.1058084540,10.1063/1.4824442,24181998,,Ab initio analytical Raman intensities for periodic systems through a coupled perturbed Hartree-Fock/Kohn-Sham method in an atomic orbital basis. I. Theory.,The Journal of Chemical Physics,,,10/28/13,2013,139,16,164101,"All OA; Green, Published",Article,"Maschio, Lorenzo; Kirtman, Bernard; Rérat, Michel; Orlando, Roberto; Dovesi, Roberto",,"Maschio, Lorenzo (); Kirtman, Bernard (); Rérat, Michel (); Orlando, Roberto (); Dovesi, Roberto ()",77,38,1.86,10.97,https://iris.unito.it/bitstream/2318/139236/1/Maschio_jcp2013a.pdf,https://app.dimensions.ai/details/publication/pub.1058084540,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
29,200,pub.1058085072,10.1063/1.4826136,24182090,,"Comment on ""Ab initio analytical infrared intensities for periodic systems through a coupled perturbed Hartree-Fock/Kohn-Sham method"" [J. Chem. Phys. 137, 204113 (2012)].",The Journal of Chemical Physics,,,10/28/13,2013,139,16,167101,All OA; Gold,Article,"Maschio, Lorenzo; Kirtman, Bernard; Rérat, Michel; Orlando, Roberto; Dovesi, Roberto",,"Maschio, Lorenzo (); Kirtman, Bernard (); Rérat, Michel (); Orlando, Roberto (); Dovesi, Roberto ()",23,13,0.79,,http://aip.scitation.org/doi/pdf/10.1063/1.4826136,https://app.dimensions.ai/details/publication/pub.1058085072,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
30,400,pub.1023213369,10.1002/jcc.23316,23677638,,Performance of density functional theory in computing nonresonant vibrational (hyper)polarizabilities,Journal of Computational Chemistry,,Imines; Polymers; Quantum Theory; Vibration,7/30/13,2013,34,20,1775-1784,Closed,Article,"Bulik, Ireneusz W.; Zaleśny, Robert; Bartkowiak, Wojciech; Luis, Josep M.; Kirtman, Bernard; Scuseria, Gustavo E.; Avramopoulos, Aggelos; Reis, Heribert; Papadopoulos, Manthos G.",,"Bulik, Ireneusz W. (Rice University); Zaleśny, Robert (Wrocław University of Technology); Bartkowiak, Wojciech (Wrocław University of Technology); Luis, Josep M. (University of Girona); Kirtman, Bernard (); Scuseria, Gustavo E. (Rice University; King Abdulaziz University); Avramopoulos, Aggelos (); Reis, Heribert (); Papadopoulos, Manthos G. ()",33,10,1.97,5.34,,https://app.dimensions.ai/details/publication/pub.1023213369,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
31,400,pub.1055424517,10.1021/ct300805p,26589051,,A Full Dimensionality Approach to Evaluate the Nonlinear Optical Properties of Molecules with Large Amplitude Anharmonic Tunneling Motions.,Journal of Chemical Theory and Computation,,,1/8/13,2013,9,1,520-32,Closed,Article,"Garcia-Borràs, Marc; Solà, Miquel; Lauvergnat, David; Reis, Heribert; Luis, Josep M; Kirtman, Bernard",,"Garcia-Borràs, Marc (University of Girona); Solà, Miquel (University of Girona); Lauvergnat, David (); Reis, Heribert (National Hellenic Research Foundation); Luis, Josep M (University of Girona); Kirtman, Bernard (University of California, Santa Barbara)",7,1,0.55,1,,https://app.dimensions.ai/details/publication/pub.1055424517,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
32,100,pub.1001274286,10.1007/978-3-319-01529-3_18,,,On Converse Piezoelectricity,Progress in Theoretical Chemistry and Physics,"Advances in Quantum Methods and Applications in Chemistry, Physics, and Biology",,2013,2013,27,,331-348,Closed,Chapter,"Springborg, Michael; Kirtman, Bernard; Vargas, Jorge","Springborg, Michael","Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara); Vargas, Jorge (Saarland University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1001274286,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
33,400,pub.1058063671,10.1063/1.4767438,23205987,,Ab initio analytical infrared intensities for periodic systems through a coupled perturbed Hartree-Fock/Kohn-Sham method.,The Journal of Chemical Physics,,,11/28/12,2012,137,20,204113,Closed,Article,"Maschio, Lorenzo; Kirtman, Bernard; Orlando, Roberto; Rèrat, Michel",,"Maschio, Lorenzo (); Kirtman, Bernard (); Orlando, Roberto (); Rèrat, Michel ()",72,33,1.93,,,https://app.dimensions.ai/details/publication/pub.1058063671,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
34,400,pub.1055424347,10.1021/ct300433q,26592114,,Electronic and Vibrational Nonlinear Optical Properties of Five Representative Electrides.,Journal of Chemical Theory and Computation,,,8/14/12,2012,8,8,2688-97,Closed,Article,"Garcia-Borràs, Marc; Solà, Miquel; Luis, Josep M; Kirtman, Bernard",,"Garcia-Borràs, Marc (University of Girona); Solà, Miquel (University of Girona); Luis, Josep M (University of Girona); Kirtman, Bernard (University of California, Santa Barbara)",37,15,1.21,6.67,,https://app.dimensions.ai/details/publication/pub.1055424347,08 Information and Computing Sciences; 0803 Computer Software; 0307 Theoretical and Computational Chemistry; 0601 Biochemistry and Cell Biology; 03 Chemical Sciences; 06 Biological Sciences,08 Information and Computing Sciences,0803 Computer Software,0307 Theoretical and Computational Chemistry,0601 Biochemistry and Cell Biology,03 Chemical Sciences
35,400,pub.1058053980,10.1063/1.4731266,22779633,,Static and dynamic coupled perturbed Hartree-Fock vibrational (hyper)polarizabilities of polyacetylene calculated by the finite field nuclear relaxation method.,The Journal of Chemical Physics,,,7/7/12,2012,137,1,14103,"All OA; Green, Published",Article,"Lacivita, Valentina; Rérat, Michel; Kirtman, Bernard; Orlando, Roberto; Ferrabone, Matteo; Dovesi, Roberto",,"Lacivita, Valentina (University of Turin); Rérat, Michel (); Kirtman, Bernard (); Orlando, Roberto (); Ferrabone, Matteo (); Dovesi, Roberto ()",5,1,0.14,0.56,https://iris.unito.it/bitstream/2318/123052/1/jcp1207.pdf,https://app.dimensions.ai/details/publication/pub.1058053980,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
