,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carla M D'Antonio. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1092328735,10.1111/1365-2745.12879,,,Long‐term dynamics and impacts of plant invasions,Journal of Ecology,,,2017-11,2017,105,6,1459-1461,Closed,Article,"D'Antonio, Carla; Flory, S. Luke",,"D'Antonio, Carla (University of California, Santa Barbara); Flory, S. Luke (University of Florida)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1092328735,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
11,200,pub.1092328283,10.1111/1365-2745.12855,,,Ecosystem vs. community recovery 25 years after grass invasions and fire in a subtropical woodland,Journal of Ecology,,,2017-11,2017,105,6,1462-1474,All OA; Gold,Article,"D'Antonio, Carla M.; Yelenik, Stephanie G.; Mack, Michelle C.",,"D'Antonio, Carla M. (); Yelenik, Stephanie G. (United States Geological Survey); Mack, Michelle C. (Northern Arizona University)",6,3,,,https://doi.org/10.1111/1365-2745.12855,https://app.dimensions.ai/details/publication/pub.1092328283,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
12,500,pub.1091229204,10.1111/ele.12822,28834087,,Boom‐bust dynamics in biological invasions: towards an improved application of the concept,Ecology Letters,,Ecology; Introduced Species; Population Dynamics,2017-10,2017,20,10,1337-1350,All OA; Gold,Article,"Strayer, David L.; D'Antonio, Carla M.; Essl, Franz; Fowler, Mike S.; Geist, Juergen; Hilt, Sabine; Jarić, Ivan; Jöhnk, Klaus; Jones, Clive G.; Lambin, Xavier; Latzka, Alexander W.; Pergl, Jan; Pyšek, Petr; Robertson, Peter; Schmalensee, Menja; Stefansson, Robert A.; Wright, Justin; Jeschke, Jonathan M.",,"Strayer, David L. (Cary Institute of Ecosystem Studies; Free University of Berlin); D'Antonio, Carla M. (University of California, Santa Barbara); Essl, Franz (University of Vienna); Fowler, Mike S. (Swansea University); Geist, Juergen (Technical University Munich); Hilt, Sabine (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Jarić, Ivan (Leibniz Institute of Freshwater Ecology and Inland Fisheries; University of Belgrade); Jöhnk, Klaus (Commonwealth Scientific and Industrial Research Organisation); Jones, Clive G. (Cary Institute of Ecosystem Studies); Lambin, Xavier (University of Aberdeen); Latzka, Alexander W. (McGill University); Pergl, Jan (Academy of Sciences of the Czech Republic); Pyšek, Petr (Institute of Botany; Charles University; Stellenbosch University); Robertson, Peter (); Schmalensee, Menja (University of Iceland); Stefansson, Robert A. (); Wright, Justin (Duke University); Jeschke, Jonathan M. (Free University of Berlin; Leibniz Institute of Freshwater Ecology and Inland Fisheries; Berlin Brandenburg Institute of Advanced Biodiversity Research)",28,27,1.66,10.91,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12822,https://app.dimensions.ai/details/publication/pub.1091229204,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,100,pub.1091244672,10.1007/s11258-017-0757-3,,,The influence of soil resources and plant traits on invasion and restoration in a subtropical woodland,Plant Ecology,,,2017-10,2017,218,10,1149-1161,Closed,Article,"Yelenik, Stephanie G.; D’Antonio, Carla M.; August-Schmidt, Elizabeth","Yelenik, Stephanie G.","Yelenik, Stephanie G. (); D’Antonio, Carla M. (University of California, Santa Barbara); August-Schmidt, Elizabeth (University of California, Santa Barbara)",5,4,,2.17,,https://app.dimensions.ai/details/publication/pub.1091244672,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
14,100,pub.1091918441,10.1101/171850,,,Fog and live fuel moisture in coastal California shrublands,bioRxiv,,,2017-08-03,2017,,,171850,"All OA; Green, Published",Preprint,"Emery, Nathan; D'Antonio, Carla M.; Still, Christopher J.",,"Emery, Nathan (Michigan State University); D'Antonio, Carla M. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/08/03/171850.full.pdf,https://app.dimensions.ai/details/publication/pub.1091918441,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1037425644,10.1016/j.rama.2016.10.003,,,Livestock Exclusion Impacts on Oak Savanna HabitatsDifferential Responses of Understory and Open Habitats,Rangeland Ecology & Management,,,2017-05,2017,70,3,316-323,Closed,Article,"Stahlheber, Karen A.; D'Antonio, Carla M.; Tyler, Claudia M.",,"Stahlheber, Karen A. (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara)",1,1,,0.37,,https://app.dimensions.ai/details/publication/pub.1037425644,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
16,500,pub.1083931087,10.1093/conphys/cox016,28852513,PMC5570027,Can local adaptation explain varying patterns of herbivory tolerance in a recently introduced woody plant in North America?,Conservation Physiology,,,2017,2017,5,1,cox016,All OA; Gold,Article,"Long, Randall W.; Bush, Susan E.; Grady, Kevin C.; Smith, David S.; Potts, Daniel L.; D'Antonio, Carla M.; Dudley, Tom L.; Fehlberg, Shannon D.; Gaskin, John F.; Glenn, Edward P.; Hultine, Kevin R.",,"Long, Randall W. (University of California, Santa Barbara); Bush, Susan E. (Northern Arizona University); Grady, Kevin C. (Northern Arizona University); Smith, David S. (); Potts, Daniel L. (); D'Antonio, Carla M. (Northern Arizona University); Dudley, Tom L. (University of California, Santa Barbara); Fehlberg, Shannon D. (Desert Botanical Garden); Gaskin, John F. (Agricultural Research Service); Glenn, Edward P. (University of Arizona); Hultine, Kevin R. (Desert Botanical Garden)",3,3,0.3,1.19,https://academic.oup.com/conphys/article-pdf/5/1/cox016/11118780/cox016.pdf,https://app.dimensions.ai/details/publication/pub.1083931087,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,0604 Genetics,05 Environmental Sciences
17,100,pub.1011065503,10.1071/fp16234,,,Impact of fog drip versus fog immersion on the physiology of Bishop pine saplings,Functional Plant Biology,,,2017,2017,44,3,339,Closed,Article,"Baguskas, Sara A.; King, Jennifer Y.; Fischer, Douglas T.; D’Antonio, Carla M.; Still, Christopher J.",,"Baguskas, Sara A. (University of California, Santa Cruz); King, Jennifer Y. (University of California, Santa Barbara); Fischer, Douglas T. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",4,3,,1.74,,https://app.dimensions.ai/details/publication/pub.1011065503,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
18,200,pub.1023421076,10.1002/bes2.1278,,,California—Where Two Worlds Collided: The Established Researcher,Bulletin of the Ecological Society of America,,,2016-10,2016,97,4,370-371,All OA; Gold,Article,"D'Antonio, Carla M.",,"D'Antonio, Carla M. (University of California, Santa Barbara)",0,0,,,http://onlinelibrary.wiley.com/doi/10.1002/bes2.1278/pdf,https://app.dimensions.ai/details/publication/pub.1023421076,,,,,,
19,400,pub.1041828064,10.1038/nature19324,27556951,,Addition of multiple limiting resources reduces grassland diversity,Nature,,Biodiversity; Biomass; Fertilizers; Food; Grassland; Light; Plants; Poaceae,2016-09,2016,537,7618,93-96,"All OA; Green, Published",Article,"Harpole, W. Stanley; Sullivan, Lauren L.; Lind, Eric M.; Firn, Jennifer; Adler, Peter B.; Borer, Elizabeth T.; Chase, Jonathan; Fay, Philip A.; Hautier, Yann; Hillebrand, Helmut; MacDougall, Andrew S.; Seabloom, Eric W.; Williams, Ryan; Bakker, Jonathan D.; Cadotte, Marc W.; Chaneton, Enrique J.; Chu, Chengjin; Cleland, Elsa E.; D’Antonio, Carla; Davies, Kendi F.; Gruner, Daniel S.; Hagenah, Nicole; Kirkman, Kevin; Knops, Johannes M. H.; La Pierre, Kimberly J.; McCulley, Rebecca L.; Moore, Joslin L.; Morgan, John W.; Prober, Suzanne M.; Risch, Anita C.; Schuetz, Martin; Stevens, Carly J.; Wragg, Peter D.","Harpole, W. Stanley","Harpole, W. Stanley (Helmholtz Centre for Environmental Research; German Center for Integrative Biodiversity Research; Martin Luther University Halle-Wittenberg); Sullivan, Lauren L. (University of Minnesota); Lind, Eric M. (University of Minnesota); Firn, Jennifer (Queensland University of Technology); Adler, Peter B. (Utah State University); Borer, Elizabeth T. (University of Minnesota); Chase, Jonathan (German Center for Integrative Biodiversity Research; Martin Luther University Halle-Wittenberg); Fay, Philip A. (); Hautier, Yann (Utrecht University); Hillebrand, Helmut (Carl von Ossietzky University of Oldenburg); MacDougall, Andrew S. (University of Guelph); Seabloom, Eric W. (University of Minnesota); Williams, Ryan (Iowa State University); Bakker, Jonathan D. (University of Washington); Cadotte, Marc W. (University of Toronto); Chaneton, Enrique J. (University of Buenos Aires); Chu, Chengjin (Sun Yat-sen University); Cleland, Elsa E. (); D’Antonio, Carla (University of California, Santa Barbara); Davies, Kendi F. (University of Colorado Boulder); Gruner, Daniel S. (University of Maryland, College Park); Hagenah, Nicole (University of KwaZulu-Natal); Kirkman, Kevin (University of KwaZulu-Natal); Knops, Johannes M. H. (University of Nebraska–Lincoln); La Pierre, Kimberly J. (University of California, Berkeley); McCulley, Rebecca L. (University of Kentucky); Moore, Joslin L. (Monash University); Morgan, John W. (La Trobe University); Prober, Suzanne M. (); Risch, Anita C. (Swiss Federal Institute for Forest, Snow and Landscape Research); Schuetz, Martin (Swiss Federal Institute for Forest, Snow and Landscape Research); Stevens, Carly J. (Lancaster University); Wragg, Peter D. (Yale University)",104,74,5.63,31.82,https://repository.si.edu/bitstream/handle/10088/35486/Harpole_et_al_2016_Nature.pdf;https://repository.si.edu/bitstream/handle/10088/35486/Harpole_et_al_2016_Nature.pdf,https://app.dimensions.ai/details/publication/pub.1041828064,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
20,100,pub.1027452494,10.1007/s10021-016-9975-0,,,Factors Regulating Nitrogen Retention During the Early Stages of Recovery from Fire in Coastal Chaparral Ecosystems,Ecosystems,,,2016-08,2016,19,5,910-926,Closed,Article,"Hanan, Erin J.; D’Antonio, Carla M.; Roberts, Dar A.; Schimel, Joshua P.","Hanan, Erin J.","Hanan, Erin J. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",15,10,,4.53,,https://app.dimensions.ai/details/publication/pub.1027452494,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences
21,100,pub.1047294760,10.1111/oik.02372,,,How much do phenotypic plasticity and local genetic variation contribute to phenotypic divergences along environmental gradients in widespread invasive plants? A meta‐analysis,Oikos,,,2016-07,2016,125,7,905-917,Closed,Article,"Liao, Huixuan; D'Antonio, Carla M.; Chen, Baoming; Huang, Qiaoqiao; Peng, Shaolin",,"Liao, Huixuan (Sun Yat-sen University); D'Antonio, Carla M. (); Chen, Baoming (Sun Yat-sen University); Huang, Qiaoqiao (); Peng, Shaolin (Sun Yat-sen University)",18,14,,4.24,,https://app.dimensions.ai/details/publication/pub.1047294760,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
22,200,pub.1059824449,10.1093/jpe/rtw056,,,Multiple ecological strategies explain the distribution of exotic and native C 4 grasses in heterogeneous early successional sites in Hawai’i,Chinese Journal of Plant Ecology,,,2016-06-07,2016,,,rtw056,All OA; Gold,Article,"Xavier, Rafael de Oliveira; D’Antonio, Carla M.",,"Xavier, Rafael de Oliveira (); D’Antonio, Carla M. ()",2,1,,0.59,https://academic.oup.com/jpe/article-pdf/10/3/426/17459178/rtw056.pdf,https://app.dimensions.ai/details/publication/pub.1059824449,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
23,400,pub.1011273895,10.1007/s00442-016-3556-y,26852312,,Coastal fog during summer drought improves the water status of sapling trees more than adult trees in a California pine forest,Oecologia,,"California; Droughts; Forests; Models, Biological; Pinus; Seasons; Trees; Water; Weather",2016-05,2016,181,1,137-148,Closed,Article,"Baguskas, Sara A.; Still, Christopher J.; Fischer, Douglas T.; D’Antonio, Carla M.; King, Jennifer Y.","Baguskas, Sara A.","Baguskas, Sara A. (University of California, Santa Barbara; University of California, Santa Cruz); Still, Christopher J. (University of California, Santa Barbara; Oregon State University); Fischer, Douglas T. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); King, Jennifer Y. (University of California, Santa Barbara)",12,6,0.41,2.94,,https://app.dimensions.ai/details/publication/pub.1011273895,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
