,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Andrew John Plantinga. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1104589207,10.2139/ssrn.3173855,,,Salience and the Government Provision of Public Goods,SSRN Electronic Journal,,,2018,2018,,,,"All OA; Green, Accepted & Submitted",Preprint,"Wibbenmeyer, Matthew; Anderson, Sarah; Plantinga, Andrew",,"Wibbenmeyer, Matthew (); Anderson, Sarah (); Plantinga, Andrew ()",1,1,,,https://escholarship.org/content/qt6s43g37z/qt6s43g37z.pdf?t=psxmyx,https://app.dimensions.ai/details/publication/pub.1104589207,,,,,,
11,500,pub.1092330759,10.1073/pnas.1706847114,29078299,PMC5692540,Finding water scarcity amid abundance using human–natural system models,Proceedings of the National Academy of Sciences,,"Climate Change; Conservation of Natural Resources; Ecosystem; Forests; Humans; Models, Theoretical; Water; Water Resources; Water Supply",2017-11-07,2017,114,45,11884-11889,All OA; Gold,Article,"Jaeger, William K.; Amos, Adell; Bigelow, Daniel P.; Chang, Heejun; Conklin, David R.; Haggerty, Roy; Langpap, Christian; Moore, Kathleen; Mote, Philip W.; Nolin, Anne W.; Plantinga, Andrew J.; Schwartz, Cynthia L.; Tullos, Desiree; Turner, David P.",,"Jaeger, William K. (Oregon State University); Amos, Adell (University of Oregon); Bigelow, Daniel P. (Agricultural Research Service); Chang, Heejun (Portland State University); Conklin, David R. (); Haggerty, Roy (Oregon State University); Langpap, Christian (Oregon State University); Moore, Kathleen (Oregon State University); Mote, Philip W. (Oregon State University); Nolin, Anne W. (Oregon State University); Plantinga, Andrew J. (University of California, Santa Barbara); Schwartz, Cynthia L. (Oregon State University); Tullos, Desiree (Oregon State University); Turner, David P. (Oregon State University)",14,14,0,14.88,https://www.pnas.org/content/pnas/114/45/11884.full.pdf,https://app.dimensions.ai/details/publication/pub.1092330759,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
12,200,pub.1090889165,10.3368/le.93.3.413,,,How Does Urbanization Affect Water Withdrawals? Insights from an Econometric-Based Landscape Simulation,Land Economics,,,2017-08,2017,93,3,413-436,Closed,Article,"Bigelow, Daniel P.; Plantinga, Andrew J.; Lewis, David J.; Langpap, Christian",,"Bigelow, Daniel P. (); Plantinga, Andrew J. (); Lewis, David J. (); Langpap, Christian ()",8,5,,8.5,,https://app.dimensions.ai/details/publication/pub.1090889165,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
13,100,pub.1092959372,10.1017/jwe.2017.27,,,Terroir in the New World: Hedonic Estimation of Vineyard Sale Prices in California*,Journal of Wine Economics,,,2017-08,2017,12,3,282-301,All OA; Gold,Article,"Cross, Robin; Plantinga, Andrew J.; Stavins, Robert N.",,"Cross, Robin (Oregon State University); Plantinga, Andrew J. (University of California, Santa Barbara); Stavins, Robert N. (Harvard University)",4,3,,4.25,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/717519A8443C13D7DA332B272112D879/S193143611700027Xa.pdf/div-class-title-terroir-in-the-new-world-hedonic-estimation-of-vineyard-sale-prices-in-california-a-href-fns01-ref-type-fn-a-div.pdf,https://app.dimensions.ai/details/publication/pub.1092959372,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
14,100,pub.1085414587,10.1016/j.regsciurbeco.2017.05.002,,,Town mouse and country mouse: Effects of urban growth controls on equilibrium sorting and land prices,Regional Science and Urban Economics,,,2017-07,2017,65,Rev. Econ. Stat. 93 4 2011,104-115,Closed,Article,"Bigelow, Daniel P.; Plantinga, Andrew J.","Bigelow, Daniel P.","Bigelow, Daniel P. (Economic Research Service); Plantinga, Andrew J. (University of California, Santa Barbara)",1,1,,1.06,,https://app.dimensions.ai/details/publication/pub.1085414587,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
15,100,pub.1049679564,10.1016/j.landusepol.2016.10.011,,,Effects of local land-use planning on development and disturbance in riparian areas,Land Use Policy,,,2017-01,2017,60,,16-25,Closed,Article,"Dempsey, Judith A.; Plantinga, Andrew J.; Kline, Jeffrey D.; Lawler, Joshua J.; Martinuzzi, Sebastian; Radeloff, Volker C.; Bigelow, Daniel P.","Plantinga, Andrew J.","Dempsey, Judith A. (Federal Communications Commission); Plantinga, Andrew J. (University of California, Santa Barbara); Kline, Jeffrey D. (Agricultural Research Service); Lawler, Joshua J. (); Martinuzzi, Sebastian (); Radeloff, Volker C. (); Bigelow, Daniel P. (Economic Research Service)",4,4,,1.86,,https://app.dimensions.ai/details/publication/pub.1049679564,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
16,100,pub.1026447556,10.1016/j.jebo.2016.10.005,,,Anchored in the past: Persistent price effects of obsolete vineyard ratings in France,Journal of Economic Behavior & Organization,,,2017-01,2017,133,,39-51,Closed,Article,"Gergaud, Olivier; Plantinga, Andrew J.; Ringeval-Deluze, Aurelie","Plantinga, Andrew J.","Gergaud, Olivier (Kedge Business School); Plantinga, Andrew J. (University of California, Santa Barbara); Ringeval-Deluze, Aurelie (University of Reims Champagne-Ardenne)",4,2,,3.92,,https://app.dimensions.ai/details/publication/pub.1026447556,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
17,100,pub.1093976228,10.1109/wsc.2016.7822219,,,Modeling the Adaptation of the Forest Sector to Climate Change: A Coupled Approach,,2016 Winter Simulation Conference (WSC),,2016-12,2016,,,1713-1724,Closed,Proceeding,"Sloggy, Matthew R.; Plantinga, Andrew J.; Latta, Greg S.",,"Sloggy, Matthew R. (Oregon State University); Plantinga, Andrew J. (University of California, Santa Barbara); Latta, Greg S. (University of Idaho)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093976228,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
18,100,pub.1031010459,10.5849/jof.15-096,,,The Effects of Internet Use on Global Demand for Paper Products,Journal of Forestry,,,2016-07-31,2016,114,4,433-440,All OA; Gold,Article,"Latta, Greg S.; Plantinga, Andrew J.; Sloggy, Matthew R.",,"Latta, Greg S. (); Plantinga, Andrew J. (); Sloggy, Matthew R. ()",14,7,,4.8,https://academic.oup.com/jof/article-pdf/114/4/433/23181934/3225.pdf,https://app.dimensions.ai/details/publication/pub.1031010459,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
19,100,pub.1002451112,10.1111/gec3.12259,,,Social Science/Natural Science Perspectives on Wildfire and Climate Change,Geography Compass,,,2016-02,2016,10,2,67-86,Closed,Article,"Ayres, Andrew; Degolia, Alexander; Fienup, Matthew; Kim, Yunyeol; Sainz, Jade; Urbisci, Laura; Viana, Daniel; Wesolowski, Graham; Plantinga, Andrew J.; Tague, Christina",,"Ayres, Andrew (); Degolia, Alexander (); Fienup, Matthew (); Kim, Yunyeol (); Sainz, Jade (); Urbisci, Laura (); Viana, Daniel (); Wesolowski, Graham (); Plantinga, Andrew J. (); Tague, Christina ()",3,3,,0.81,,https://app.dimensions.ai/details/publication/pub.1002451112,16 Studies in Human Society; 0699 Other Biological Sciences; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences; 06 Biological Sciences,16 Studies in Human Society,0699 Other Biological Sciences,0406 Physical Geography and Environmental Geoscience,1604 Human Geography,04 Earth Sciences
20,100,pub.1019708602,10.1146/annurev-resource-100814-125056,,,Integrating Economic Land-Use and Biophysical Models,Annual Review of Resource Economics,,,2015-10,2015,7,1,1-17,Closed,Article,"Plantinga, Andrew J.",,"Plantinga, Andrew J. (University of California, Santa Barbara)",5,3,,3.2,,https://app.dimensions.ai/details/publication/pub.1019708602,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
21,100,pub.1029961828,10.1016/j.biocon.2015.02.015,,,Scenarios of future land use change around United States’ protected areas,Biological Conservation,,,2015-04,2015,184,Biol. Conserv. 143 2010,446-455,Closed,Article,"Martinuzzi, Sebastián; Radeloff, Volker C.; Joppa, Lucas N.; Hamilton, Christopher M.; Helmers, David P.; Plantinga, Andrew J.; Lewis, David J.","Martinuzzi, Sebastián","Martinuzzi, Sebastián (University of Wisconsin–Madison); Radeloff, Volker C. (University of Wisconsin–Madison); Joppa, Lucas N. (Microsoft Research (United Kingdom)); Hamilton, Christopher M. (University of Wisconsin–Madison); Helmers, David P. (University of Wisconsin–Madison); Plantinga, Andrew J. (University of California, Santa Barbara); Lewis, David J. (Oregon State University)",38,17,,9.33,,https://app.dimensions.ai/details/publication/pub.1029961828,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
22,100,pub.1053780177,10.1017/s0376892914000174,,,Change in agricultural land use constrains adaptation of national wildlife refuges to climate change,Environmental Conservation,,,2015-03,2015,42,1,12-19,Closed,Article,"HAMILTON, CHRISTOPHER M.; THOGMARTIN, WAYNE E.; RADELOFF, VOLKER C.; PLANTINGA, ANDREW J.; HEGLUND, PATRICIA J.; MARTINUZZI, SEBASTIAN; PIDGEON, ANNA M.",,"HAMILTON, CHRISTOPHER M. (University of Wisconsin–Madison); THOGMARTIN, WAYNE E. (United States Geological Survey); RADELOFF, VOLKER C. (University of Wisconsin–Madison); PLANTINGA, ANDREW J. (Oregon State University); HEGLUND, PATRICIA J. (United States Geological Survey); MARTINUZZI, SEBASTIAN (University of Wisconsin–Madison); PIDGEON, ANNA M. (University of Wisconsin–Madison)",11,3,,2.56,,https://app.dimensions.ai/details/publication/pub.1053780177,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
23,400,pub.1049177958,10.1890/13-2078.1,26255365,,Future land‐use scenarios and the loss of wildlife habitats in the southeastern United States,Ecological Applications,,"Agrochemicals; Animals; Animals, Wild; Conservation of Natural Resources; Ecosystem; Endangered Species; Human Activities; Models, Theoretical; Southeastern United States; Time Factors; Urbanization; Vertebrates",2015-01,2015,25,1,160-171,Closed,Article,"Martinuzzi, Sebastián; Withey, John C.; Pidgeon, Anna M.; Plantinga, Andrew J.; McKerrow, Alexa J.; Williams, Steven G.; Helmers, David P.; Radeloff, Volker C.",,"Martinuzzi, Sebastián (University of Wisconsin–Madison); Withey, John C. (Florida International University); Pidgeon, Anna M. (University of Wisconsin–Madison); Plantinga, Andrew J. (University of California, Santa Barbara); McKerrow, Alexa J. (United States Geological Survey); Williams, Steven G. (North Carolina State University); Helmers, David P. (University of Wisconsin–Madison); Radeloff, Volker C. (University of Wisconsin–Madison)",20,8,0.38,4.65,,https://app.dimensions.ai/details/publication/pub.1049177958,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
24,400,pub.1007841067,10.4269/ajtmh.14-0181,25048372,PMC4183398,Lyme Disease Risk Influences Human Settlement in the Wildland–Urban Interface: Evidence from a Longitudinal Analysis of Counties in the Northeastern United States,American Journal of Tropical Medicine and Hygiene,,"Animals; Borrelia burgdorferi; Environment; Forests; Humans; Incidence; Longitudinal Studies; Lyme Disease; Models, Statistical; New England; Population Dynamics; Risk; Urban Population",2014-10-01,2014,91,4,747-755,All OA; Gold,Article,"Larsen, Ashley E.; MacDonald, Andrew J.; Plantinga, Andrew J.",,"Larsen, Ashley E. (University of California, Santa Barbara); MacDonald, Andrew J. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",10,9,0.28,2.51,http://www.ajtmh.org/deliver/fulltext/14761645/91/4/747.pdf?itemId=/content/journals/10.4269/ajtmh.14-0181&mimeType=pdf&containerItemId=content/journals/14761645,https://app.dimensions.ai/details/publication/pub.1007841067,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
25,400,pub.1049329883,10.1073/pnas.1405557111,24799685,PMC4034212,Projected land-use change impacts on ecosystem services in the United States,Proceedings of the National Academy of Sciences,,"Agriculture; Amphibians; Animals; Biodiversity; Birds; Carbon; Conservation of Natural Resources; Ecosystem; Food Supply; Geography; Models, Econometric; Public Policy; Trees; United States",2014-05-20,2014,111,20,7492-7497,All OA; Gold,Article,"Lawler, Joshua J.; Lewis, David J.; Nelson, Erik; Plantinga, Andrew J.; Polasky, Stephen; Withey, John C.; Helmers, David P.; Martinuzzi, Sebastián; Pennington, Derric; Radeloff, Volker C.",,"Lawler, Joshua J. (University of Washington); Lewis, David J. (Oregon State University); Nelson, Erik (Bowdoin College); Plantinga, Andrew J. (University of California, Santa Barbara); Polasky, Stephen (University of Minnesota); Withey, John C. (Florida International University); Helmers, David P. (University of Wisconsin–Madison); Martinuzzi, Sebastián (University of Wisconsin–Madison); Pennington, Derric (World Wildlife Fund); Radeloff, Volker C. (University of Wisconsin–Madison)",236,133,2.56,46.59,http://www.pnas.org/content/111/20/7492.full.pdf,https://app.dimensions.ai/details/publication/pub.1049329883,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
26,400,pub.1037298314,10.1073/pnas.1404484111,24722635,PMC4035974,Implementing the optimal provision of ecosystem services,Proceedings of the National Academy of Sciences,,Conservation of Natural Resources; Costs and Cost Analysis; Ecosystem; Taxes,2014-04-29,2014,111,17,6248-6253,All OA; Gold,Article,"Polasky, Stephen; Lewis, David J.; Plantinga, Andrew J.; Nelson, Erik",,"Polasky, Stephen (University of Minnesota); Lewis, David J. (Oregon State University); Plantinga, Andrew J. (University of California, Santa Barbara); Nelson, Erik (Bowdoin College)",56,28,0.44,19.41,http://www.pnas.org/content/111/17/6248.full.pdf,https://app.dimensions.ai/details/publication/pub.1037298314,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
27,400,pub.1032593544,10.1016/j.jenvman.2013.10.025,24473346,,Critical habitat for threatened and endangered species: How should the economic costs be evaluated?,Journal of Environmental Management,,Animals; Conservation of Natural Resources; Costs and Cost Analysis; Ecosystem; Endangered Species,2014-02,2014,134,Environ. Resour. Econ. 19 2001,127-135,Closed,Article,"Plantinga, Andrew J.; Helvoigt, Ted L.; Walker, Kirsten","Plantinga, Andrew J.","Plantinga, Andrew J. (University of California, Santa Barbara); Helvoigt, Ted L. (); Walker, Kirsten ()",6,2,0.13,2.08,,https://app.dimensions.ai/details/publication/pub.1032593544,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
28,200,pub.1089133228,10.1093/acprof:oso/9780199676880.003.0013,,,Are Investments to Promote Biodiversity Conservation and Ecosystem Services Aligned?,,Nature in the Balance,,2014-01-23,2014,,,285-314,Closed,Chapter,"Polasky, Stephen; Johnson, Kris; Keeler, Bonnie; Kovacs, Kent; Nelson, Erik; Pennington, Derric; Plantinga, Andrew J.; Withey, John",,"Polasky, Stephen (); Johnson, Kris (); Keeler, Bonnie (); Kovacs, Kent (); Nelson, Erik (); Pennington, Derric (); Plantinga, Andrew J. (); Withey, John ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1089133228,,,,,,
29,200,pub.1059990424,10.1093/reep/ret019,,,Pay or Waive: An Economic Assessment of Property Owner Compensation Laws in the United States,Review of Environmental Economics and Policy,,,2014-01-01,2014,8,1,103-119,Closed,Article,"Grout, C.; Plantinga, A. J.; Jaeger, W. K.",,"Grout, C. (); Plantinga, A. J. (); Jaeger, W. K. ()",2,0,,0.69,,https://app.dimensions.ai/details/publication/pub.1059990424,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
30,400,pub.1024694673,10.1111/gcb.12383,24022881,,Threats and opportunities for freshwater conservation under future land use change scenarios in the United States,Global Change Biology,,"Conservation of Natural Resources; Ecosystem; Fresh Water; Human Activities; Models, Theoretical; United States",2014-01,2014,20,1,113-124,Closed,Article,"Martinuzzi, Sebastián; Januchowski‐Hartley, Stephanie R.; Pracheil, Brenda M.; McIntyre, Peter B.; Plantinga, Andrew J.; Lewis, David J.; Radeloff, Volker C.",,"Martinuzzi, Sebastián (University of Wisconsin–Madison); Januchowski‐Hartley, Stephanie R. (University of Wisconsin–Madison); Pracheil, Brenda M. (University of Wisconsin–Madison); McIntyre, Peter B. (University of Wisconsin–Madison); Plantinga, Andrew J. (University of California, Santa Barbara); Lewis, David J. (University of Puget Sound); Radeloff, Volker C. (University of Wisconsin–Madison)",43,16,1.22,8.49,,https://app.dimensions.ai/details/publication/pub.1024694673,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
31,100,pub.1103745314,10.2737/pnw-gtr-888,,,New cost estimates for carbon sequestration through afforestation in the United States,,,,2014-01,2014,888,,,All OA; Gold,Article,"Nielsen, Anne Sofie Elburg; Plantinga, Andrew J.; Alig, Ralph J.",,"Nielsen, Anne Sofie Elburg (); Plantinga, Andrew J. (); Alig, Ralph J. ()",5,3,,,https://www.fs.usda.gov/treesearch/pubs/download/45563.pdf,https://app.dimensions.ai/details/publication/pub.1103745314,,,,,,
32,100,pub.1032557299,10.1016/j.reseneeco.2013.11.006,,,The optimal time path for carbon abatement and carbon sequestration under uncertainty: The case of stochastic targeted stock,Resource and Energy Economics,,,2014-01,2014,36,1,151-165,Closed,Article,"Haim, David; Plantinga, Andrew J.; Thomann, Enrique","Haim, David","Haim, David (Oregon State University); Plantinga, Andrew J. (University of California, Santa Barbara); Thomann, Enrique (Oregon State University)",5,2,,1.94,,https://app.dimensions.ai/details/publication/pub.1032557299,"1505 Marketing; 14 Economics; 15 Commerce, Management, Tourism and Services; 1403 Econometrics; 1402 Applied Economics",1505 Marketing,14 Economics,"15 Commerce, Management, Tourism and Services",1403 Econometrics,1402 Applied Economics
