,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Stuart H Sweeney. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1035500736,10.1111/joac.12005,,,"Agrarian Winners of Neoliberal Reform: The ‘Maize Boom’ of Sinaloa, Mexico",Journal of Agrarian Change,,,2014-01,2014,14,1,26-51,Closed,Article,"Eakin, Hallie; Bausch, Julia C.; Sweeney, Stuart",,"Eakin, Hallie (Arizona State University); Bausch, Julia C. (Arizona State University); Sweeney, Stuart (University of California, Santa Barbara)",21,8,,12.59,,https://app.dimensions.ai/details/publication/pub.1035500736,1605 Policy and Administration; 1606 Political Science; 16 Studies in Human Society,1605 Policy and Administration,1606 Political Science,16 Studies in Human Society,,
11,100,pub.1001256136,10.1111/dech.12074,,,Selling Maize in Mexico: The Persistence of Peasant Farming in an Era of Global Markets,Development and Change,,,2014-01,2014,45,1,133-155,Closed,Article,"Eakin, Hallie; Perales, Hugo; Appendini, Kirsten; Sweeney, Stuart",,"Eakin, Hallie (); Perales, Hugo (); Appendini, Kirsten (); Sweeney, Stuart ()",21,10,,10.42,,https://app.dimensions.ai/details/publication/pub.1001256136,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
12,100,pub.1014705477,10.1016/j.apgeog.2012.12.005,,,Mexican maize production: Evolving organizational and spatial structures since 1980,Applied Geography,,,2013-05,2013,39,,78-92,Closed,Article,"Sweeney, Stuart; Steigerwald, Douglas G.; Davenport, Frank; Eakin, Hallie","Sweeney, Stuart","Sweeney, Stuart (University of California, Santa Barbara); Steigerwald, Douglas G. (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Eakin, Hallie (Arizona State University)",25,10,,5.34,,https://app.dimensions.ai/details/publication/pub.1014705477,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
13,100,pub.1011776779,10.1016/j.jrurstud.2012.11.001,,,"Understanding peri-urban maize production through an examination of household livelihoods in the Toluca Metropolitan Area, Mexico",Journal of Rural Studies,,,2013-04,2013,30,,52-63,Closed,Article,"Lerner, Amy M.; Eakin, Hallie; Sweeney, Stuart","Lerner, Amy M.","Lerner, Amy M. (University of California, Santa Barbara); Eakin, Hallie (Arizona State University); Sweeney, Stuart (University of California, Santa Barbara)",19,5,,6.04,,https://app.dimensions.ai/details/publication/pub.1011776779,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
14,400,pub.1046360910,10.1016/j.ehb.2012.06.001,23040879,,Combining insights from quantile and ordinal regression: Child malnutrition in Guatemala,Economics & Human Biology,,"Child Nutrition Disorders; Child, Preschool; Female; Guatemala; Health Policy; Humans; Infant; Male; Models, Statistical; Regression Analysis",2013-03,2013,11,2,164-177,Closed,Article,"Sweeney, Stuart; Davenport, Frank; Grace, Kathryn","Sweeney, Stuart","Sweeney, Stuart (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Grace, Kathryn (University of Utah)",5,1,0.26,2.97,,https://app.dimensions.ai/details/publication/pub.1046360910,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
15,100,pub.1050536787,10.1007/s12546-012-9094-5,,,Understanding stalling demographic transition in high-fertility countries: a case study of Guatemala,Journal of Population Research,,,2013-03,2013,30,1,19-37,Closed,Article,"Grace, Kathryn; Sweeney, Stuart H.","Grace, Kathryn","Grace, Kathryn (University of Utah); Sweeney, Stuart H. (University of California, Santa Barbara)",2,1,,0.74,,https://app.dimensions.ai/details/publication/pub.1050536787,16 Studies in Human Society; 1603 Demography,16 Studies in Human Society,1603 Demography,,,
16,100,pub.1044073429,10.1111/j.1538-4632.2010.00807.x,,,A Geostatistical Linear Regression Model for Small Area Data. 一种适用于小区域数据的地统计线性回归模型,Geographical Analysis,,,2011-01,2011,43,1,38-60,Closed,Article,"Nagle, Nicholas N.; Sweeney, Stuart H.; Kyriakidis, Phaedon C.",,"Nagle, Nicholas N. (University of Tennessee at Knoxville); Sweeney, Stuart H. (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara; University of the Aegean)",13,1,,2.68,,https://app.dimensions.ai/details/publication/pub.1044073429,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
17,100,pub.1050306437,10.1016/j.ecolecon.2008.01.031,,,"Testing assumptions underlying economic research on transgenic food crops for Third World farmers: Evidence from Cuba, Guatemala and Mexico",Ecological Economics,,,2008-11,2008,67,4,667-682,Closed,Article,"Soleri, Daniela; Cleveland, David A.; Glasgow, Garrett; Sweeney, Stuart H.; Cuevas, Flavio Aragón; Fuentes, Mario R.; L., Humberto Ríos","Soleri, Daniela","Soleri, Daniela (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); Glasgow, Garrett (University of California, Santa Barbara); Sweeney, Stuart H. (University of California, Santa Barbara); Cuevas, Flavio Aragón (); Fuentes, Mario R. (); L., Humberto Ríos (Instituto Nacional de Ciencias Agrícolas)",18,1,,6.78,,https://app.dimensions.ai/details/publication/pub.1050306437,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
18,100,pub.1037559435,10.1029/2005jg000113,,,Evaluation of Airborne Visible/Infrared Imaging Spectrometer (AVIRIS) and Moderate Resolution Imaging Spectrometer (MODIS) measures of live fuel moisture and fuel condition in a shrubland ecosystem in southern California,Journal of Geophysical Research,,,2006-12,2006,111,G4,,All OA; Gold,Article,"Roberts, D. A.; Dennison, P. E.; Peterson, S.; Sweeney, S.; Rechel, J.",,"Roberts, D. A. (University of California, Santa Barbara); Dennison, P. E. (University of Utah); Peterson, S. (University of California, Santa Barbara); Sweeney, S. (University of California, Santa Barbara); Rechel, J. (Pacific Southwest Research Station)",89,17,,10.38,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005JG000113,https://app.dimensions.ai/details/publication/pub.1037559435,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,200,pub.1053110263,10.1177/0160017606290307,,,The Politics of Small Numbers and Transactions,International Regional Science Review,,,2006-07,2006,29,3,227-230,Closed,Article,"Sweeney, Stuart H.",,"Sweeney, Stuart H. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1053110263,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
20,100,pub.1013214473,10.1177/0160017606289896,,,On the State of the Geography in the U.S. Bureau of Labor Statistics Covered Wages and Employment (ES-202) Series,International Regional Science Review,,,2006-07,2006,29,3,247-263,Closed,Article,"Feser, Edward; Sweeney, Stuart H.",,"Feser, Edward (University of Illinois at Urbana Champaign); Sweeney, Stuart H. (University of California, Santa Barbara)",5,0,,1.17,,https://app.dimensions.ai/details/publication/pub.1013214473,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
21,100,pub.1006496605,10.1002/psp.379,,,Multiregional cohort enrolment projections: matching methods to enrolment policies,Population Space and Place,,,2005-09,2005,11,5,361-380,Closed,Article,"Sweeney, Stuart H.; Middleton, Erin J.",,"Sweeney, Stuart H. (University of California, Santa Barbara); Middleton, Erin J. (University of California, Santa Barbara)",3,0,,0.78,,https://app.dimensions.ai/details/publication/pub.1006496605,1605 Policy and Administration; 1604 Human Geography; 1603 Demography; 16 Studies in Human Society,1605 Policy and Administration,1604 Human Geography,1603 Demography,16 Studies in Human Society,
22,400,pub.1056956630,10.1051/ebr:2005019,16634221,,"Understanding the potential impact of transgenic crops in traditional agriculture: maize farmers’ perspectives in Cuba, Guatemala and Mexico",Environmental Biosafety Research,,"Adult; Aged; Agriculture; Cuba; Genotype; Guatemala; Humans; Mexico; Middle Aged; Plants, Genetically Modified; Public Opinion; Risk Management; Seeds; Zea mays",2005-07,2005,4,3,141-166,All OA; Gold,Article,"Soleri, Daniela; Cleveland, David A.; C., Flavio Aragón; L., Mario R. Fuentes; L., Humberto Ríos; Sweeney, Stuart H.",,"Soleri, Daniela (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); C., Flavio Aragón (); L., Mario R. Fuentes (); L., Humberto Ríos (Instituto Nacional de Ciencias Agrícolas); Sweeney, Stuart H. (University of California, Santa Barbara)",20,1,0.1,2.44,https://www.ebr-journal.org/articles/ebr/pdf/2005/03/ebr0522.pdf,https://app.dimensions.ai/details/publication/pub.1056956630,0703 Crop and Pasture Production; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,07 Agricultural and Veterinary Sciences,,,
23,100,pub.1043731453,10.1007/s00168-004-0221-x,,,Accounting for migration in regional occupational employment projections,The Annals of Regional Science,,,2005-06,2005,39,2,297-316,Closed,Article,"Sweeney, Stuart H.; Goldstein, Harvey A.","Sweeney, Stuart H.","Sweeney, Stuart H. (University of California, Santa Barbara); Goldstein, Harvey A. (University of North Carolina System)",2,0,,0.49,,https://app.dimensions.ai/details/publication/pub.1043731453,16 Studies in Human Society; 1604 Human Geography; 12 Built Environment and Design; 1205 Urban and Regional Planning,16 Studies in Human Society,1604 Human Geography,12 Built Environment and Design,1205 Urban and Regional Planning,
24,100,pub.1013068593,10.1111/j.0022-4146.2005.00376.x,,,A Descriptive Analysis of Discrete U.S. Industrial Complexes*,Journal of Regional Science,,,2005-05,2005,45,2,395-419,Closed,Article,"Feser, Edward; Sweeney, Stuart; Renski, Henry",,"Feser, Edward (University of Illinois at Urbana Champaign); Sweeney, Stuart (University of California, Santa Barbara); Renski, Henry (University of North Carolina at Chapel Hill)",55,9,,13.61,,https://app.dimensions.ai/details/publication/pub.1013068593,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
25,100,pub.1004426813,10.1068/a35318,,,Robust Point-Pattern Inference from Spatially Censored Data,Environment and Planning A Economy and Space,,,2005-01,2005,37,1,141-159,Closed,Article,"Sweeney, Stuart H; Konty, Kevin J",,"Sweeney, Stuart H (); Konty, Kevin J ()",5,0,,1.42,,https://app.dimensions.ai/details/publication/pub.1004426813,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
26,100,pub.1049431959,10.1111/j.0022-4146.2004.00337.x,,,Regional Occupational Employment Projections: Modeling Supply Constraints in the Direct‐Requirements Approach*,Journal of Regional Science,,,2004-05,2004,44,2,263-288,Closed,Article,"Sweeney, Stuart H.",,"Sweeney, Stuart H. (University of California, Santa Barbara)",2,0,,0.59,,https://app.dimensions.ai/details/publication/pub.1049431959,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
27,100,pub.1001984414,10.1111/j.1529-8817.2003.00753.x,,,Soil databases and the problem of establishing regional biogeochemical trends,Global Change Biology,,,2004-05,2004,10,5,796-814,Closed,Article,"Holmes, Karen W.; Roberts, Dar A.; Sweeney, Stuart; Numata, Izaya; Matricardi, Eraldo; Biggs, Trent W.; Batista, Getulio; Chadwick, Oliver A.",,"Holmes, Karen W. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Sweeney, Stuart (University of California, Santa Barbara); Numata, Izaya (University of California, Santa Barbara); Matricardi, Eraldo (Michigan State University); Biggs, Trent W. (University of California, Santa Barbara); Batista, Getulio (University of Taubaté); Chadwick, Oliver A. (University of California, Santa Barbara)",19,0,,1.78,,https://app.dimensions.ai/details/publication/pub.1001984414,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
28,100,pub.1037749267,10.1177/0160017602238985,,,"Out-Migration, Depopulation, And The Geography Of U.S. Economic Distress",International Regional Science Review,,,2003-01,2003,26,1,38-67,Closed,Article,"Feser, Edward; Sweeney, Stuart",,"Feser, Edward (University of North Carolina System); Sweeney, Stuart (University of California, Santa Barbara)",23,4,,6.19,,https://app.dimensions.ai/details/publication/pub.1037749267,14 Economics; 16 Studies in Human Society; 1603 Demography; 1604 Human Geography; 1402 Applied Economics,14 Economics,16 Studies in Human Society,1603 Demography,1604 Human Geography,1402 Applied Economics
29,100,pub.1052584375,10.1111/j.1538-4632.2002.tb01091.x,,,Population Forecasting with Nonstationary Multiregional Growth Matrices,Geographical Analysis,,,2002-10,2002,34,4,289-312,All OA; Gold,Article,"Sweeney, Stuart H.; Konty, Kevin J.",,"Sweeney, Stuart H. (University of California, Santa Barbara); Konty, Kevin J. (University of California, Santa Barbara)",11,0,,2.3,http://onlinelibrary.wiley.com/doi/10.1111/j.1538-4632.2002.tb01091.x/pdf,https://app.dimensions.ai/details/publication/pub.1052584375,16 Studies in Human Society; 1603 Demography,16 Studies in Human Society,1603 Demography,,,
30,200,pub.1087780387,10.4337/9781781950746.00017,,,"Theory, Methods and a Cross-Metropolitan Comparison of Business Clustering",,Industrial Location Economics,,2002,2002,,,,"All OA; Green, Published",Chapter,"Feser, Edward J.; Sweeney, Stuart H.",,"Feser, Edward J. (); Sweeney, Stuart H. ()",11,1,,,https://www.mir-nayka.com/jour/article/download/856/830,https://app.dimensions.ai/details/publication/pub.1087780387,,,,,,
31,100,pub.1013287297,10.1007/pl00011462,,,A test for the coincident economic and spatial clustering of business enterprises,Journal of Geographical Systems,,,2000-12,2000,2,4,349-373,Closed,Article,"Feser, Edward J.; Sweeney, Stuart H.",,"Feser, Edward J. (University of North Carolina System); Sweeney, Stuart H. (University of California, Santa Barbara)",41,4,,7.15,,https://app.dimensions.ai/details/publication/pub.1013287297,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
32,300,pub.1024467423,10.1080/08898489909525460,12295227,,Model‐based incomplete data analysis with an application to occupational mobility and migration accounts,Mathematical Population Studies,,"Americas; Demography; Developed Countries; Economics; Emigration and Immigration; Health Workforce; Models, Theoretical; Mortality; North America; Occupations; Population; Population Dynamics; Research; Research Design; Statistics as Topic; United States",1999-05,1999,7,3,279-305,Closed,Article,"Sweeney, Stuart H.",,"Sweeney, Stuart H. (University of California, Santa Barbara)",5,0,0,,,https://app.dimensions.ai/details/publication/pub.1024467423,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
33,100,pub.1033715245,10.1111/j.1538-4632.1998.tb00388.x,,,Plant Size and Clustering of Manufacturing Activity,Geographical Analysis,,,1998-01,1998,30,1,45-64,All OA; Gold,Article,"Sweeney, Stuart H.; Feser, Edward J.",,"Sweeney, Stuart H. (); Feser, Edward J. ()",30,5,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.1998.tb00388.x,https://app.dimensions.ai/details/publication/pub.1033715245,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
