,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roger M Nisbet. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
15,500,pub.1037603944,10.1016/j.scitotenv.2016.11.149,27939199,,Damage assessment for soybean cultivated in soil with either CeO2 or ZnO manufactured nanomaterials,The Science of The Total Environment,,Cerium; Chlorophyll; Lipid Peroxidation; Nanostructures; Plant Leaves; Plant Roots; Reactive Oxygen Species; Soil; Soil Pollutants; Soybeans; Zinc Oxide,2017-02,2017,579,Int. J. Remote Sens. 20 1999,1756-1768,Closed,Article,"Priester, John H.; Moritz, Shelly Cole; Espinosa, Katherine; Ge, Yuan; Wang, Ying; Nisbet, Roger M.; Schimel, Joshua P.; Goggi, A. Susana; Gardea-Torresdey, Jorge L.; Holden, Patricia A.","Holden, Patricia A.","Priester, John H. (University of California, Santa Barbara); Moritz, Shelly Cole (University of California, Santa Barbara); Espinosa, Katherine (Iowa State University); Ge, Yuan (University of California, Santa Barbara); Wang, Ying (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara); Goggi, A. Susana (Iowa State University); Gardea-Torresdey, Jorge L. (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara)",24,22,1.34,11.68,,https://app.dimensions.ai/details/publication/pub.1037603944,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
16,500,pub.1029357341,10.1016/j.aquatox.2016.12.009,28039777,,Photosynthetic efficiency predicts toxic effects of metal nanomaterials in phytoplankton,Aquatic Toxicology,,"High-Throughput Screening Assays; Metal Nanoparticles; Photosynthesis; Phytoplankton; Water Pollutants, Chemical",2017-02,2017,183,Adv. Mater. 23 12 2011,85-93,"All OA; Green, Published",Article,"Miller, Robert J.; Muller, Erik B.; Cole, Bryan; Martin, Tyronne; Nisbet, Roger; Bielmyer-Fraser, Gretchen K.; Jarvis, Tayler A.; Keller, Arturo A.; Cherr, Gary; Lenihan, Hunter S.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara); Cole, Bryan (University of California, Davis); Martin, Tyronne (University of California, Santa Barbara); Nisbet, Roger (University of California, Santa Barbara); Bielmyer-Fraser, Gretchen K. (Jacksonville University); Jarvis, Tayler A. (Valdosta State University); Keller, Arturo A. (University of California, Santa Barbara); Cherr, Gary (University of California, Davis); Lenihan, Hunter S. (University of California, Santa Barbara)",9,8,1.07,3.51,https://escholarship.org/content/qt1fx2v0jq/qt1fx2v0jq.pdf?t=pt895e,https://app.dimensions.ai/details/publication/pub.1029357341,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,400,pub.1038728962,10.1080/10408444.2016.1190685,27340745,PMC5141515,The pros and cons of ecological risk assessment based on data from different levels of biological organization,Critical Reviews in Toxicology,,"Animals; Biomarkers; Ecosystem; Environmental Monitoring; Humans; Models, Theoretical; Risk Assessment",2016-10-20,2016,46,9,1-29,"All OA; Green, Accepted & Submitted",Article,"Rohr, Jason R; Salice, Christopher J; Nisbet, Roger M",,"Rohr, Jason R (University of South Florida); Salice, Christopher J (Towson University); Nisbet, Roger M ()",29,21,2.2,9.53,http://europepmc.org/articles/pmc5141515?pdf=render,https://app.dimensions.ai/details/publication/pub.1038728962,11 Medical and Health Sciences; 1115 Pharmacology and Pharmaceutical Sciences,11 Medical and Health Sciences,1115 Pharmacology and Pharmaceutical Sciences,,,
18,400,pub.1016346777,10.1016/j.jtbi.2016.05.034,27245109,,Feedbacks and tipping points in organismal response to oxidative stress,Journal of Theoretical Biology,,"Environment; Feedback; Models, Biological; Oxidative Stress; Reactive Oxygen Species",2016-09,2016,404,,361-374,"All OA; Green, Published",Article,"Klanjscek, Tin; Muller, Erik B.; Nisbet, Roger M.","Klanjscek, Tin","Klanjscek, Tin (University of California, Santa Barbara; Rudjer Boskovic Institute); Muller, Erik B. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",4,3,0.31,0.86,https://escholarship.org/content/qt2h26r5bt/qt2h26r5bt.pdf?t=pt89ag,https://app.dimensions.ai/details/publication/pub.1016346777,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
19,400,pub.1034056805,10.1007/s10646-016-1667-1,27151402,PMC4921107,Daphnia magna’s sense of competition: intra-specific interactions (ISI) alter life history strategies and increase metals toxicity,Ecotoxicology,,"Animals; Biological Assay; Daphnia; Dose-Response Relationship, Drug; Life History Traits; Metals; Water Pollutants, Chemical",2016-08,2016,25,6,1126-1135,All OA; Gold,Article,"Gust, Kurt A.; Kennedy, Alan J.; Melby, Nicolas L.; Wilbanks, Mitchell S.; Laird, Jennifer; Meeks, Barbara; Muller, Erik B.; Nisbet, Roger M.; Perkins, Edward J.","Gust, Kurt A.","Gust, Kurt A. (Engineer Research and Development Center); Kennedy, Alan J. (Engineer Research and Development Center); Melby, Nicolas L. (Engineer Research and Development Center); Wilbanks, Mitchell S. (Engineer Research and Development Center); Laird, Jennifer (Engineer Research and Development Center); Meeks, Barbara (); Muller, Erik B. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Perkins, Edward J. (Engineer Research and Development Center)",4,3,0.58,1.04,https://link.springer.com/content/pdf/10.1007%2Fs10646-016-1667-1.pdf,https://app.dimensions.ai/details/publication/pub.1034056805,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,400,pub.1055088884,10.1021/acs.est.6b00608,27177237,PMC4967154,Considerations of Environmentally Relevant Test Conditions for Improved Evaluation of Ecological Hazards of Engineered Nanomaterials.,Environmental Science & Technology,,Ecology; Ecosystem; Ecotoxicology; Environment; Humans; Nanostructures,2016-06-21,2016,50,12,6124-45,"All OA; Green, Accepted & Submitted",Article,"Holden, Patricia A; Gardea-Torresdey, Jorge L; Klaessig, Fred; Turco, Ronald F; Mortimer, Monika; Hund-Rinke, Kerstin; Cohen Hubal, Elaine A; Avery, David; Barceló, Damià; Behra, Renata; Cohen, Yoram; Deydier-Stephan, Laurence; Ferguson, P Lee; Fernandes, Teresa F; Herr Harthorn, Barbara; Henderson, W Matthew; Hoke, Robert A; Hristozov, Danail; Johnston, John M; Kane, Agnes B; Kapustka, Larry; Keller, Arturo A; Lenihan, Hunter S; Lovell, Wess; Murphy, Catherine J; Nisbet, Roger M; Petersen, Elijah J; Salinas, Edward R; Scheringer, Martin; Sharma, Monita; Speed, David E; Sultan, Yasir; Westerhoff, Paul; White, Jason C; Wiesner, Mark R; Wong, Eva M; Xing, Baoshan; Steele Horan, Meghan; Godwin, Hilary A; Nel, André E",,"Holden, Patricia A (University of California, Santa Barbara; University of California Los Angeles); Gardea-Torresdey, Jorge L (University of California Los Angeles; The University of Texas at El Paso); Klaessig, Fred (University of California Los Angeles); Turco, Ronald F (Purdue University West Lafayette); Mortimer, Monika (University of California, Santa Barbara; University of California Los Angeles; National Institute of Chemical Physics and Biophysics); Hund-Rinke, Kerstin (Fraunhofer Institute for Molecular Biology and Applied Ecology); Cohen Hubal, Elaine A (); Avery, David (University of California Los Angeles); Barceló, Damià (Institute of Environmental Assessment and Water Research; Catalan Institute for Water Research); Behra, Renata (Swiss Federal Institute of Aquatic Science and Technology; Swiss Federal Institute of Technology in Zurich); Cohen, Yoram (University of California Los Angeles); Deydier-Stephan, Laurence (); Ferguson, P Lee (); Fernandes, Teresa F (Heriot-Watt University); Herr Harthorn, Barbara (University of California Los Angeles); Henderson, W Matthew (Environmental Protection Agency); Hoke, Robert A (DuPont (United States)); Hristozov, Danail (Ca Foscari University of Venice); Johnston, John M (Environmental Protection Agency); Kane, Agnes B (Brown University); Kapustka, Larry (); Keller, Arturo A (University of California, Santa Barbara; University of California Los Angeles); Lenihan, Hunter S (University of California, Santa Barbara; University of California Los Angeles); Lovell, Wess (); Murphy, Catherine J (University of Illinois at Urbana Champaign); Nisbet, Roger M (University of California Los Angeles; University of California, Santa Barbara); Petersen, Elijah J (National Institute of Standards and Technology); Salinas, Edward R (BASF (Germany)); Scheringer, Martin (Swiss Federal Institute of Technology in Zurich); Sharma, Monita (); Speed, David E (GlobalFoundries (United States)); Sultan, Yasir (Environment Canada); Westerhoff, Paul (Arizona State University); White, Jason C (Connecticut Agricultural Experiment Station); Wiesner, Mark R (); Wong, Eva M (Environmental Protection Agency); Xing, Baoshan (University of Massachusetts Amherst); Steele Horan, Meghan (University of California Los Angeles); Godwin, Hilary A (University of California Los Angeles); Nel, André E (University of California Los Angeles)",83,48,8.12,32.18,http://europepmc.org/articles/pmc4967154?pdf=render,https://app.dimensions.ai/details/publication/pub.1055088884,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
21,400,pub.1013242145,10.1021/acs.est.5b06251,27183309,,Influence of Phytoplankton on Fate and Effects of Modified Zerovalent Iron Nanoparticles.,Environmental Science & Technology,,"Iron; Metal Nanoparticles; Nanoparticles; Phytoplankton; Sulfides; Water Pollutants, Chemical",2016-06-07,2016,50,11,5597-605,All OA; Gold,Article,"Adeleye, Adeyemi S; Stevenson, Louise M; Su, Yiming; Nisbet, Roger M; Zhang, Yalei; Keller, Arturo A",,"Adeleye, Adeyemi S (University of California, Santa Barbara); Stevenson, Louise M (University of California, Santa Barbara); Su, Yiming (Tongji University; University of California, Santa Barbara); Nisbet, Roger M (University of California, Santa Barbara); Zhang, Yalei (Tongji University); Keller, Arturo A (University of California, Santa Barbara)",13,10,1.37,2.64,https://doi.org/10.1021/acs.est.5b06251,https://app.dimensions.ai/details/publication/pub.1013242145,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
22,100,pub.1023568689,10.1016/j.ecolmodel.2015.08.013,,,Integrating ecological insight derived from individual-based simulations and physiologically structured population models,Ecological Modelling,,,2016-04,2016,326,,101-112,"All OA; Green, Accepted & Submitted",Article,"Nisbet, Roger M.; Martin, Benjamin T.; de Roos, Andre M.","Nisbet, Roger M.","Nisbet, Roger M. (University of California, Santa Barbara); Martin, Benjamin T. (University of California, Santa Barbara); de Roos, Andre M. (University of Amsterdam)",7,3,,3.76,https://pure.uva.nl/ws/files/2774240/174429_EM_paper_Nisbet_Martin_de_Roos_final.pdf,https://app.dimensions.ai/details/publication/pub.1023568689,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
23,400,pub.1039590737,10.1242/jeb.136044,26823098,,The implications of reduced metabolic rate in resource-limited corals,Journal of Experimental Biology,,"Adaptation, Physiological; Animals; Anthozoa; Biomass; Darkness; Food Deprivation",2016-03-15,2016,219,6,870-877,All OA; Gold,Article,"Jacobson, Lianne M; Edmunds, Peter J; Muller, Erik B; Nisbet, Roger M",,"Jacobson, Lianne M (California State University, Northridge); Edmunds, Peter J (California State University, Northridge); Muller, Erik B (University of California, Santa Barbara); Nisbet, Roger M (University of California, Santa Barbara)",2,1,0,0.42,http://jeb.biologists.org/content/219/6/870.full.pdf,https://app.dimensions.ai/details/publication/pub.1039590737,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
24,100,pub.1024218240,10.1007/s12080-015-0261-0,,,Departures from neutrality induced by niche and relative fitness differences,Theoretical Ecology,,,2015-11,2015,8,4,449-465,All OA; Gold,Article,"Carroll, Ian T.; Nisbet, Roger M.","Carroll, Ian T.","Carroll, Ian T. (Woods Hole Oceanographic Institution); Nisbet, Roger M. (University of California, Santa Barbara)",9,3,,1.76,https://link.springer.com/content/pdf/10.1007%2Fs12080-015-0261-0.pdf,https://app.dimensions.ai/details/publication/pub.1024218240,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
25,400,pub.1055087768,10.1021/acs.est.5b01837,26378804,,Quantitative Adverse Outcome Pathway Analysis of Hatching in Zebrafish with CuO Nanoparticles.,Environmental Science & Technology,,"Animals; Copper; Ecotoxicology; Embryo, Nonmammalian; Enzyme Inhibitors; Enzymes; Female; Kinetics; Metal Nanoparticles; Models, Theoretical; Zebrafish",2015-10-06,2015,49,19,11817-24,"All OA; Green, Published",Article,"Muller, Erik B; Lin, Sijie; Nisbet, Roger M",,"Muller, Erik B (University of California, Santa Barbara); Lin, Sijie (University of California Los Angeles); Nisbet, Roger M (University of California, Santa Barbara)",26,14,1.24,6.38,https://escholarship.org/content/qt6v0151r2/qt6v0151r2.pdf?t=pt87hv,https://app.dimensions.ai/details/publication/pub.1055087768,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
