,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Christopher J Costello. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1101244831,10.1038/s41467-018-03249-1,29507321,PMC5838171,Marine spatial planning makes room for offshore aquaculture in crowded coastal waters,Nature Communications,,Aquaculture; Conservation of Natural Resources; Ecosystem; Geography; Seawater,2018-12,2018,9,1,945,All OA; Gold,Article,"Lester, S. E.; Stevens, J. M.; Gentry, R. R.; Kappel, C. V.; Bell, T. W.; Costello, C. J.; Gaines, S. D.; Kiefer, D. A.; Maue, C. C.; Rensel, J. E.; Simons, R. D.; Washburn, L.; White, C.","Lester, S. E.","Lester, S. E. (Florida State University); Stevens, J. M. (California Polytechnic State University); Gentry, R. R. (University of California, Santa Barbara); Kappel, C. V. (University of California, Santa Barbara); Bell, T. W. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (University of California, Santa Barbara); Kiefer, D. A. (University of Southern California); Maue, C. C. (Stanford University); Rensel, J. E. (); Simons, R. D. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); White, C. (California Polytechnic State University)",16,16,,,https://www.nature.com/articles/s41467-018-03249-1.pdf,https://app.dimensions.ai/details/publication/pub.1101244831,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,04 Earth Sciences,06 Biological Sciences
11,100,pub.1107376066,10.1016/j.jeem.2018.08.009,,,Maximizing the impact of climate finance: Funding projects or pilot projects?,Journal of Environmental Economics and Management,,,2018-11,2018,92,Q. J. Econ. 88 1974,270-281,"All OA; Green, Published",Article,"Kotchen, Matthew J.; Costello, Christopher","Kotchen, Matthew J.","Kotchen, Matthew J. (Yale University; National Bureau of Economic Research); Costello, Christopher (National Bureau of Economic Research; University of California, Santa Barbara)",1,1,,,http://www.nber.org/papers/w23023.pdf,https://app.dimensions.ai/details/publication/pub.1107376066,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
12,100,pub.1101519726,10.1111/conl.12452,,,Adaptive comanagement to achieve climate‐ready fisheries,Conservation Letters,,,2018-11,2018,11,6,e12452,All OA; Gold,Article,"Wilson, Jono R.; Lomonico, Serena; Bradley, Darcy; Sievanen, Leila; Dempsey, Tom; Bell, Michael; McAfee, Skyli; Costello, Christopher; Szuwalski, Cody; McGonigal, Huff; Fitzgerald, Sean; Gleason, Mary",,"Wilson, Jono R. (The Nature Conservancy; University of California, Santa Barbara); Lomonico, Serena (The Nature Conservancy; University of California, Santa Barbara); Bradley, Darcy (The Nature Conservancy; University of California, Santa Barbara); Sievanen, Leila (); Dempsey, Tom (The Nature Conservancy); Bell, Michael (The Nature Conservancy); McAfee, Skyli (The Nature Conservancy); Costello, Christopher (University of California, Santa Barbara); Szuwalski, Cody (University of California, Santa Barbara); McGonigal, Huff (); Fitzgerald, Sean (University of California, Santa Barbara); Gleason, Mary (The Nature Conservancy)",6,6,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12452,https://app.dimensions.ai/details/publication/pub.1101519726,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
13,500,pub.1107120502,10.1371/journal.pone.0204258,30235291,PMC6147551,Are fishery management upgrades worth the cost?,PLoS ONE,,"Conservation of Natural Resources; Cost-Benefit Analysis; Databases, Factual; Fisheries",2018-09-20,2018,13,9,e0204258,All OA; Gold,Article,"Mangin, Tracey; Costello, Christopher; Anderson, James; Arnason, Ragnar; Elliott, Matthew; Gaines, Steve D.; Hilborn, Ray; Peterson, Emily; Sumaila, Rashid",,"Mangin, Tracey (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Anderson, James (University of Florida); Arnason, Ragnar (University of Iceland); Elliott, Matthew (); Gaines, Steve D. (University of California, Santa Barbara); Hilborn, Ray (University of Washington); Peterson, Emily (); Sumaila, Rashid (University of British Columbia)",2,2,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0204258&type=printable,https://app.dimensions.ai/details/publication/pub.1107120502,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
14,200,pub.1105743440,10.1038/s41559-018-0634-z,30038247,,Reply to ‘Achieving sustainable and equitable fisheries requires nuanced policies not silver bullets’,Nature Ecology & Evolution,,Conservation of Natural Resources; Fisheries,2018-09,2018,2,9,1335-1335,Closed,Article,"Cabral, Reniel B.; Gaines, Steven D.; Mayorga, Juan; Clemence, Michaela; Lynham, John; Koeshendrajana, Sonny; Muawanah, Umi; Nugroho, Duto; Anna, Zuzy; Mira; Ghofar, Abdul; Zulbainarni, Nimmi; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Clemence, Michaela (University of California, Santa Barbara); Lynham, John (University of Hawaii at Manoa); Koeshendrajana, Sonny (Ministry of Maritime Affairs and Fisheries); Muawanah, Umi (Ministry of Maritime Affairs and Fisheries); Nugroho, Duto (Ministry of Maritime Affairs and Fisheries); Anna, Zuzy (Padjadjaran University); Mira (Ministry of Maritime Affairs and Fisheries); Ghofar, Abdul (Diponegoro University); Zulbainarni, Nimmi (Bogor Agricultural University); Costello, Christopher (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105743440,,,,,,
15,100,pub.1084025988,10.1007/s10640-017-0138-3,,,Natural Resource Federalism: Preferences Versus Connectivity for Patchy Resources,Environmental and Resource Economics,,,2018-09,2018,71,1,99-126,Closed,Article,"Costello, Christopher; Kaffine, Daniel","Kaffine, Daniel","Costello, Christopher (University of California, Santa Barbara; National Bureau of Economic Research); Kaffine, Daniel (University of Colorado Boulder)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1084025988,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
16,500,pub.1106322844,10.1126/science.aat7789,30139846,,Response to Comment on “Tracking the global footprint of fisheries”,Science,,Animals; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Human Activities; Humans,2018-08-24,2018,361,6404,eaat7789,All OA; Gold,Article,"Kroodsma, David A.; Mayorga, Juan; Hochberg, Timothy; Miller, Nathan A.; Boerder, Kristina; Ferretti, Francesco; Wilson, Alex; Bergman, Bjorn; White, Timothy D.; Block, Barbara A.; Woods, Paul; Sullivan, Brian; Costello, Christopher; Worm, Boris",,"Kroodsma, David A. (); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Hochberg, Timothy (); Miller, Nathan A. (); Boerder, Kristina (Dalhousie University); Ferretti, Francesco (Stanford University); Wilson, Alex (Google); Bergman, Bjorn (); White, Timothy D. (Stanford University); Block, Barbara A. (Stanford University); Woods, Paul (); Sullivan, Brian (Google); Costello, Christopher (University of California, Santa Barbara); Worm, Boris (Dalhousie University)",3,3,,,https://science.sciencemag.org/content/sci/361/6404/eaat7789.full.pdf,https://app.dimensions.ai/details/publication/pub.1106322844,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,500,pub.1106406659,10.1126/sciadv.aao1378,30167455,PMC6114984,Improved fisheries management could offset many negative effects of climate change,Science Advances,,Animals; Climate Change; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes,2018-08,2018,4,8,eaao1378,All OA; Gold,Article,"Gaines, Steven D.; Costello, Christopher; Owashi, Brandon; Mangin, Tracey; Bone, Jennifer; Molinos, Jorge García; Burden, Merrick; Dennis, Heather; Halpern, Benjamin S.; Kappel, Carrie V.; Kleisner, Kristin M.; Ovando, Daniel",,"Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Owashi, Brandon (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Bone, Jennifer (University of California, Santa Barbara); Molinos, Jorge García (Hokkaido University); Burden, Merrick (Environmental Defense Fund); Dennis, Heather (San Francisco Bay Conservation and Development Commission); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Kappel, Carrie V. (University of California, Santa Barbara); Kleisner, Kristin M. (Environmental Defense Fund); Ovando, Daniel (University of California, Santa Barbara)",20,20,,,https://advances.sciencemag.org/content/advances/4/8/eaao1378.full.pdf,https://app.dimensions.ai/details/publication/pub.1106406659,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,500,pub.1104430317,10.1126/sciadv.aat2504,29881780,PMC5990315,The economics of fishing the high seas,Science Advances,,"Fisheries; Humans; Models, Economic; Oceanography; Oceans and Seas; Spatial Analysis",2018-06,2018,4,6,eaat2504,All OA; Gold,Article,"Sala, Enric; Mayorga, Juan; Costello, Christopher; Kroodsma, David; Palomares, Maria L. D.; Pauly, Daniel; Sumaila, U. Rashid; Zeller, Dirk",,"Sala, Enric (National Geographic Society); Mayorga, Juan (National Geographic Society; University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Kroodsma, David (); Palomares, Maria L. D. (University of British Columbia); Pauly, Daniel (University of British Columbia); Sumaila, U. Rashid (University of British Columbia); Zeller, Dirk (University of Western Australia)",31,31,,,http://advances.sciencemag.org/content/advances/4/6/eaat2504.full.pdf,https://app.dimensions.ai/details/publication/pub.1104430317,06 Biological Sciences; 1402 Applied Economics; 0602 Ecology; 14 Economics,06 Biological Sciences,1402 Applied Economics,0602 Ecology,14 Economics,
19,100,pub.1101895634,10.1016/j.jeem.2018.03.009,,,A Forward-Looking Ricardian Approach: Do land markets capitalize climate change forecasts?,Journal of Environmental Economics and Management,,,2018-05,2018,89,J. Ass. Environ. Resour. Econ. 3 1 2016,235-254,"All OA; Green, Published",Article,"Severen, Christopher; Costello, Christopher; Deschênes, Olivier","Severen, Christopher","Severen, Christopher (); Costello, Christopher (University of California, Santa Barbara; National Bureau of Economic Research); Deschênes, Olivier (National Bureau of Economic Research; University of California, Santa Barbara; Institute for the Study of Labor)",7,6,,,http://www.nber.org/papers/w22413.pdf,https://app.dimensions.ai/details/publication/pub.1101895634,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
20,500,pub.1101557951,10.1038/s41559-018-0499-1,29572526,,Rapid and lasting gains from solving illegal fishing,Nature Ecology & Evolution,,Conservation of Natural Resources; Fisheries; Government Regulation; Indonesia,2018-04,2018,2,4,650-658,Closed,Article,"Cabral, Reniel B.; Mayorga, Juan; Clemence, Michaela; Lynham, John; Koeshendrajana, Sonny; Muawanah, Umi; Nugroho, Duto; Anna, Zuzy; Mira; Ghofar, Abdul; Zulbainarni, Nimmi; Gaines, Steven D.; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Clemence, Michaela (University of California, Santa Barbara); Lynham, John (University of Hawaii at Manoa); Koeshendrajana, Sonny (Ministry of Maritime Affairs and Fisheries); Muawanah, Umi (Ministry of Maritime Affairs and Fisheries); Nugroho, Duto (Ministry of Maritime Affairs and Fisheries); Anna, Zuzy (Padjadjaran University); Mira (Ministry of Maritime Affairs and Fisheries); Ghofar, Abdul (Diponegoro University); Zulbainarni, Nimmi (Bogor Agricultural University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",21,21,,,,https://app.dimensions.ai/details/publication/pub.1101557951,1402 Applied Economics; 0704 Fisheries Sciences; 14 Economics; 07 Agricultural and Veterinary Sciences,1402 Applied Economics,0704 Fisheries Sciences,14 Economics,07 Agricultural and Veterinary Sciences,
21,200,pub.1092641684,10.1086/695612,,,"Property Rights, Regulatory Capture, and Exploitation of Natural Resources",Journal of the Association of Environmental and Resource Economists,,,2018-04,2018,5,2,441-479,Closed,Article,"Costello, Christopher; Grainger, Corbett A.",,"Costello, Christopher (); Grainger, Corbett A. ()",6,5,,,,https://app.dimensions.ai/details/publication/pub.1092641684,,,,,,
22,500,pub.1101537454,10.1126/science.aao4248,29590074,,"Protecting marine mammals, turtles, and birds by rebuilding global fisheries",Science,,Animals; Aquatic Organisms; Birds; Endangered Species; Fisheries; Mammals; Population; Turtles,2018-03-16,2018,359,6381,1255-1258,All OA; Gold,Article,"Burgess, Matthew G.; McDermott, Grant R.; Owashi, Brandon; Reeves, Lindsey E. Peavey; Clavelle, Tyler; Ovando, Daniel; Wallace, Bryan P.; Lewison, Rebecca L.; Gaines, Steven D.; Costello, Christopher",,"Burgess, Matthew G. (University of California, Santa Barbara); McDermott, Grant R. (University of Oregon; University of California, Santa Barbara); Owashi, Brandon (University of California, Santa Barbara); Reeves, Lindsey E. Peavey (University of California, Santa Barbara); Clavelle, Tyler (University of California, Santa Barbara); Ovando, Daniel (University of California, Santa Barbara); Wallace, Bryan P. (Conservation Science Partners; Duke University); Lewison, Rebecca L. (San Diego State University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",4,4,,,http://science.sciencemag.org/content/sci/359/6381/1255.full.pdf,https://app.dimensions.ai/details/publication/pub.1101537454,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
23,500,pub.1101173574,10.1126/science.aao5646,29472481,,Tracking the global footprint of fisheries,Science,,Animals; Fisheries; Fishes; Human Activities; Humans; Oceans and Seas; Ships; Spatio-Temporal Analysis,2018-02-23,2018,359,6378,904-908,All OA; Gold,Article,"Kroodsma, David A.; Mayorga, Juan; Hochberg, Timothy; Miller, Nathan A.; Boerder, Kristina; Ferretti, Francesco; Wilson, Alex; Bergman, Bjorn; White, Timothy D.; Block, Barbara A.; Woods, Paul; Sullivan, Brian; Costello, Christopher; Worm, Boris",,"Kroodsma, David A. (); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Hochberg, Timothy (); Miller, Nathan A. (); Boerder, Kristina (Dalhousie University); Ferretti, Francesco (Stanford University); Wilson, Alex (Google); Bergman, Bjorn (); White, Timothy D. (Stanford University); Block, Barbara A. (Stanford University); Woods, Paul (); Sullivan, Brian (Google); Costello, Christopher (University of California, Santa Barbara); Worm, Boris (Dalhousie University)",104,104,,,http://science.sciencemag.org/content/sci/359/6378/904.full.pdf,https://app.dimensions.ai/details/publication/pub.1101173574,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
24,100,pub.1092613966,10.1016/j.marpol.2017.10.042,,,The cost of management delay: The case for reforming Mexican fisheries sooner rather than later,Marine Policy,,,2018-02,2018,88,,1-10,Closed,Article,"Mangin, Tracey; Cisneros-Mata, Miguel Ángel; Bone, Jennifer; Costello, Christopher; Gaines, Steven D.; McDonald, Gavin; Rodriguez, Laura; Strauss, C. Kent; Zapata, Pedro","Costello, Christopher","Mangin, Tracey (University of California, Santa Barbara); Cisneros-Mata, Miguel Ángel (); Bone, Jennifer (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); McDonald, Gavin (University of California, Santa Barbara); Rodriguez, Laura (); Strauss, C. Kent (University of California, Berkeley); Zapata, Pedro ()",7,7,,,,https://app.dimensions.ai/details/publication/pub.1092613966,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
25,500,pub.1100710911,10.1371/journal.pone.0191821,29381762,PMC5790253,A user-friendly tool to evaluate the effectiveness of no-take marine reserves,PLoS ONE,,Animals; Biodiversity; Conservation of Natural Resources; Evaluation Studies as Topic; Marine Biology; Seawater,2018-01-30,2018,13,1,e0191821,All OA; Gold,Article,"Villaseñor-Derbez, Juan Carlos; Faro, Caio; Wright, Melaina; Martínez, Jael; Fitzgerald, Sean; Fulton, Stuart; del Mar Mancha-Cisneros, Maria; McDonald, Gavin; Micheli, Fiorenza; Suárez, Alvin; Torre, Jorge; Costello, Christopher",,"Villaseñor-Derbez, Juan Carlos (University of California, Santa Barbara); Faro, Caio (University of California, Santa Barbara); Wright, Melaina (University of California, Santa Barbara); Martínez, Jael (University of California, Santa Barbara); Fitzgerald, Sean (University of California, Santa Barbara); Fulton, Stuart (); del Mar Mancha-Cisneros, Maria (Arizona State University); McDonald, Gavin (University of California, Santa Barbara); Micheli, Fiorenza (Stanford University); Suárez, Alvin (); Torre, Jorge (); Costello, Christopher (University of California, Santa Barbara)",2,2,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0191821&type=printable,https://app.dimensions.ai/details/publication/pub.1100710911,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
26,100,pub.1003808199,10.1016/j.marpol.2016.12.005,,,Five rules for pragmatic blue growth,Marine Policy,,,2018-01,2018,87,,331-339,Closed,Article,"Burgess, Matthew G.; Clemence, Michaela; McDermott, Grant R.; Costello, Christopher; Gaines, Steven D.","Burgess, Matthew G.","Burgess, Matthew G. (University of California, Santa Barbara); Clemence, Michaela (University of California, Santa Barbara); McDermott, Grant R. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",28,26,,,,https://app.dimensions.ai/details/publication/pub.1003808199,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
27,200,pub.1099690632,10.1073/pnas.1717933114,29208720,PMC5740619,Reply to Hilborn: Role of marine reserves depends on assumptions,Proceedings of the National Academy of Sciences,,Conservation of Natural Resources; Fisheries; Fishes; Marine Biology; Population Dynamics,2017-12-12,2017,114,50,e10611-e10611,All OA; Gold,Article,"Hastings, Alan; Gaines, Steven D.; Costello, Christopher",,"Hastings, Alan (University of California, Davis); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",0,0,0,,https://www.pnas.org/content/pnas/114/50/E10611.full.pdf,https://app.dimensions.ai/details/publication/pub.1099690632,,,,,,
