,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Thomas Dunne. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
18,400,pub.1020801536,10.1111/jfb.12085,23639149,,How does coarse gravel augmentation affect early‐stage Chinook salmon Oncorhynchus tshawytscha embryonic survivorship?,Journal of Fish Biology,,Animals; Conservation of Natural Resources; Ecosystem; Rivers; Salmon,2013-05,2013,82,5,1484-1496,"All OA; Green, Published",Article,"Utz, R. M.; Mesick, C. F.; Cardinale, B. J.; Dunne, T.",,"Utz, R. M. (University of California, Santa Barbara); Mesick, C. F. (); Cardinale, B. J. (University of Michigan); Dunne, T. (University of California, Santa Barbara)",2,1,0,0.4,https://deepblue.lib.umich.edu/bitstream/2027.42/98336/1/jfb12085.pdf,https://app.dimensions.ai/details/publication/pub.1020801536,0602 Ecology; 0704 Fisheries Sciences; 0608 Zoology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,0608 Zoology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
19,100,pub.1041519655,10.1016/b978-0-12-374739-6.00258-x,,,9.32 Large River Floodplains,,Treatise on Geomorphology,,2013,2013,,,645-678,Closed,Chapter,"Dunne, T.; Aalto, R.E.",,"Dunne, T. (University of California, Santa Barbara); Aalto, R.E. (University of Exeter)",16,6,,2.4,,https://app.dimensions.ai/details/publication/pub.1041519655,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
20,100,pub.1034158225,10.1029/2012eo020017,,,Sivapalan receives 2011 Robert E. Horton Medal: Citation,Eos,,,2012-01-10,2012,93,2,22-23,All OA; Gold,Article,"Dunne, Thomas",,"Dunne, Thomas (University of California, Santa Barbara)",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012EO020017,https://app.dimensions.ai/details/publication/pub.1034158225,,,,,,
21,400,pub.1027352968,10.1016/j.scitotenv.2011.10.004,22078330,,"Sediment-adsorbed total mercury flux through Yolo Bypass, the primary floodway and wetland in the Sacramento Valley, California",The Science of The Total Environment,,"California; Environmental Monitoring; Geologic Sediments; Mercury; Regression Analysis; Rivers; Water Movements; Water Pollutants, Chemical; Wetlands",2011-12,2011,412,Can J Fish Aquat Sci 49 1992,203-213,"All OA; Green, Published",Article,"Springborn, Michael; Singer, Michael Bliss; Dunne, Thomas","Singer, Michael Bliss","Springborn, Michael (University of California, Davis); Singer, Michael Bliss (University of St Andrews; University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",19,4,0.77,2.77,https://escholarship.org/content/qt3vn2w2tb/qt3vn2w2tb.pdf?t=nuuckv,https://app.dimensions.ai/details/publication/pub.1027352968,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
22,100,pub.1007912757,10.1029/2009wr008926,,,"Channel dynamics and habitat development in a meandering, gravel bed river",Water Resources Research,,,2011-04,2011,47,4,,"All OA; Green, Published",Article,"Harrison, L. R.; Legleiter, C. J.; Wydzga, M. A.; Dunne, T.",,"Harrison, L. R. (University of California, Santa Barbara); Legleiter, C. J. (University of Wyoming); Wydzga, M. A. (California Polytechnic State University); Dunne, T. (University of California, Santa Barbara)",45,10,,13.09,https://escholarship.org/content/qt7p91z834/qt7p91z834.pdf?t=nuucut,https://app.dimensions.ai/details/publication/pub.1007912757,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
23,100,pub.1035264682,10.1029/2010jf001838,,,"Effect of point bar development on the local force balance governing flow in a simple, meandering gravel bed river",Journal of Geophysical Research,,,2011-03,2011,116,F1,n/a-n/a,"All OA; Green, Published",Article,"Legleiter, C. J.; Harrison, L. R.; Dunne, T.",,"Legleiter, C. J. (University of Wyoming); Harrison, L. R. (University of California, Santa Barbara); Dunne, T. (University of California, Santa Barbara)",34,6,,9.45,https://escholarship.org/content/qt912974dr/qt912974dr.pdf?t=nuudjz,https://app.dimensions.ai/details/publication/pub.1035264682,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
24,100,pub.1036779217,10.1016/j.jaridenv.2010.09.001,,,"Effects of cattle trampling on vegetation, infiltration, and erosion in a tropical rangeland",Journal of Arid Environments,,,2011-01,2011,75,1,58-69,Closed,Article,"Dunne, T.; Western, D.; Dietrich, W.E.","Dunne, T.","Dunne, T. (University of California, Santa Barbara); Western, D. (); Dietrich, W.E. (University of California, Berkeley)",42,15,,7.07,,https://app.dimensions.ai/details/publication/pub.1036779217,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
25,200,pub.1026331580,10.1126/science.328.5979.689,20448167,PMC5125622,Climate Change and the Integrity of Science,Science,,Climate Change; Politics; Public Policy; Research; Research Personnel,2010-05-07,2010,328,5979,689-690,All OA; Gold,Article,"Gleick, P. H.; Adams, R. M.; Amasino, R. M.; Anders, E.; Anderson, D. J.; Anderson, W. W.; Anselin, L. E.; Arroyo, M. K.; Asfaw, B.; Ayala, F. J.; Bax, A.; Bebbington, A. J.; Bell, G.; Bennett, M. V. L.; Bennetzen, J. L.; Berenbaum, M. R.; Berlin, O. B.; Bjorkman, P. J.; Blackburn, E.; Blamont, J. E.; Botchan, M. R.; Boyer, J. S.; Boyle, E. A.; Branton, D.; Briggs, S. P.; Briggs, W. R.; Brill, W. J.; Britten, R. J.; Broecker, W. S.; Brown, J. H.; Brown, P. O.; Brunger, A. T.; Cairns, J.; Canfield, D. E.; Carpenter, S. R.; Carrington, J. C.; Cashmore, A. R.; Castilla, J. C.; Cazenave, A.; Chapin, F. S.; Ciechanover, A. J.; Clapham, D. E.; Clark, W. C.; Clayton, R. N.; Coe, M. D.; Conwell, E. M.; Cowling, E. B.; Cowling, R. M; Cox, C. S.; Croteau, R. B.; Crothers, D. M.; Crutzen, P. J.; Daily, G. C.; Dalrymple, G. B.; Dangl, J. L.; Darst, S. A.; Davies, D. R.; Davis, M. B.; de Camilli, P. V.; Dean, C.; Defries, R. S.; Deisenhofer, J.; Delmer, D. P.; Delong, E. F.; Derosier, D. J.; Diener, T. O.; Dirzo, R.; Dixon, J. E.; Donoghue, M. J.; Doolittle, R. F.; Dunne, T.; Ehrlich, P. R.; Eisenstadt, S. N.; Eisner, T.; Emanuel, K. A.; Englander, S. W.; Ernst, W. G.; Falkowski, P. G.; Feher, G.; Ferejohn, J. A.; Fersht, A.; Fischer, E. H.; Fischer, R.; Flannery, K. V.; Frank, J.; Frey, P. A.; Fridovich, I.; Frieden, C.; Futuyma, D. J.; Gardner, W. R.; Garrett, C. J. R.; Gilbert, W.; Goldberg, R. B.; Goodenough, W. H.; Goodman, C. S.; Goodman, M.; Greengard, P.; Hake, S.; Hammel, G.; Hanson, S.; Harrison, S. C.; Hart, S. R.; Hartl, D. L.; Haselkorn, R.; Hawkes, K.; Hayes, J. M.; Hille, B.; Hökfelt, T.; House, J. S.; Hout, M.; Hunten, D. M.; Izquierdo, I. A.; Jagendorf, A. T.; Janzen, D. H.; Jeanloz, R.; Jencks, C. S.; Jury, W. A.; Kaback, H. R.; Kailath, T.; Kay, P.; Kay, S. A.; Kennedy, D.; Kerr, A.; Kessler, R. C.; Khush, G. S.; Kieffer, S. W.; Kirch, P. V.; Kirk, K.; Kivelson, M. G.; Klinman, J. P.; Klug, A.; Knopoff, L.; Kornberg, H.; Kutzbach, J. E.; Lagarias, J. C.; Lambeck, K.; Landy, A.; Langmuir, C. H.; Larkins, B. A.; Le Pichon, X. T.; Lenski, R. E.; Leopold, E. B.; Levin, S. A.; Levitt, M.; Likens, G. E.; Lippincott-Schwartz, J.; Lorand, L.; Lovejoy, C. O.; Lynch, M.; Mabogunje, A. L.; Malone, T. F.; Manabe, S.; Marcus, J.; Massey, D. S.; McWilliams, J. C.; Medina, E.; Melosh, H. J.; Meltzer, D. J.; Michener, C. D.; Miles, E. L.; Mooney, H. A.; Moore, P. B.; Morel, F. M. M.; Mosley-Thompson, E. S.; Moss, B.; Munk, W. H.; Myers, N.; Nair, G. B.; Nathans, J.; Nester, E. W.; Nicoll, R. A.; Novick, R. P.; O'Connell, J. F.; Olsen, P. E.; Opdyke, N. D.; Oster, G. F.; Ostrom, E.; Pace, N. R.; Paine, R. T.; Palmiter, R. D.; Pedlosky, J.; Petsko, G. A.; Pettengill, G. H.; Philander, S. G.; Piperno, D. R.; Pollard, T. D.; Price, P. B.; Reichard, P. A.; Reskin, B. F.; Ricklefs, R. E.; Rivest, R. L.; Roberts, J. D.; Romney, A. K.; Rossmann, M. G.; Russell, D. W.; Rutter, W. J.; Sabloff, J. A.; Sagdeev, R. Z.; Sahlins, M. D.; Salmond, A.; Sanes, J. R.; Schekman, R.; Schellnhuber, J.; Schindler, D. W.; Schmitt, J.; Schneider, S. H.; Schramm, V. L.; Sederoff, R. R.; Shatz, C. J.; Sherman, F.; Sidman, R. L.; Sieh, K.; Simons, E. L.; Singer, B. H.; Singer, M. F.; Skyrms, B.; Sleep, N. H.; Smith, B. D.; Snyder, S. H.; Sokal, R. R.; Spencer, C. S.; Steitz, T. A.; Strier, K. B.; Südhof, T. C.; Taylor, S. S.; Terborgh, J.; Thomas, D. H.; Thompson, L. G.; Tjian, R. T.; Turner, M. G.; Uyeda, S.; Valentine, J. W.; Valentine, J. S.; van Etten, J. L.; van Holde, K. E.; Vaughan, M.; Verba, S.; von Hippel, P. H.; Wake, D. B.; Walker, A.; Walker, J. E.; Watson, E. B.; Watson, P. J.; Weigel, D.; Wessler, S. R.; West-Eberhard, M. J.; White, T. D.; Wilson, W. J.; Wolfenden, R. V.; Wood, J. A.; Woodwell, G. M.; Wright, H. E.; Wu, C.; Wunsch, C.; Zoback, M. L.",,"Gleick, P. H. (); Adams, R. M. (); Amasino, R. M. (); Anders, E. (); Anderson, D. J. (); Anderson, W. W. (); Anselin, L. E. (); Arroyo, M. K. (); Asfaw, B. (); Ayala, F. J. (); Bax, A. (); Bebbington, A. J. (); Bell, G. (); Bennett, M. V. L. (); Bennetzen, J. L. (); Berenbaum, M. R. (); Berlin, O. B. (); Bjorkman, P. J. (); Blackburn, E. (); Blamont, J. E. (); Botchan, M. R. (); Boyer, J. S. (); Boyle, E. A. (); Branton, D. (); Briggs, S. P. (); Briggs, W. R. (); Brill, W. J. (); Britten, R. J. (); Broecker, W. S. (); Brown, J. H. (); Brown, P. O. (); Brunger, A. T. (); Cairns, J. (); Canfield, D. E. (); Carpenter, S. R. (); Carrington, J. C. (); Cashmore, A. R. (); Castilla, J. C. (); Cazenave, A. (); Chapin, F. S. (); Ciechanover, A. J. (); Clapham, D. E. (); Clark, W. C. (); Clayton, R. N. (); Coe, M. D. (); Conwell, E. M. (); Cowling, E. B. (); Cowling, R. M (); Cox, C. S. (); Croteau, R. B. (); Crothers, D. M. (); Crutzen, P. J. (); Daily, G. C. (); Dalrymple, G. B. (); Dangl, J. L. (); Darst, S. A. (); Davies, D. R. (); Davis, M. B. (); de Camilli, P. V. (); Dean, C. (); Defries, R. S. (); Deisenhofer, J. (); Delmer, D. P. (); Delong, E. F. (); Derosier, D. J. (); Diener, T. O. (); Dirzo, R. (); Dixon, J. E. (); Donoghue, M. J. (); Doolittle, R. F. (); Dunne, T. (); Ehrlich, P. R. (); Eisenstadt, S. N. (); Eisner, T. (); Emanuel, K. A. (); Englander, S. W. (); Ernst, W. G. (); Falkowski, P. G. (); Feher, G. (); Ferejohn, J. A. (); Fersht, A. (); Fischer, E. H. (); Fischer, R. (); Flannery, K. V. (); Frank, J. (); Frey, P. A. (); Fridovich, I. (); Frieden, C. (); Futuyma, D. J. (); Gardner, W. R. (); Garrett, C. J. R. (); Gilbert, W. (); Goldberg, R. B. (); Goodenough, W. H. (); Goodman, C. S. (); Goodman, M. (); Greengard, P. (); Hake, S. (); Hammel, G. (); Hanson, S. (); Harrison, S. C. (); Hart, S. R. (); Hartl, D. L. (); Haselkorn, R. (); Hawkes, K. (); Hayes, J. M. (); Hille, B. (); Hökfelt, T. (); House, J. S. (); Hout, M. (); Hunten, D. M. (); Izquierdo, I. A. (); Jagendorf, A. T. (); Janzen, D. H. (); Jeanloz, R. (); Jencks, C. S. (); Jury, W. A. (); Kaback, H. R. (); Kailath, T. (); Kay, P. (); Kay, S. A. (); Kennedy, D. (); Kerr, A. (); Kessler, R. C. (); Khush, G. S. (); Kieffer, S. W. (); Kirch, P. V. (); Kirk, K. (); Kivelson, M. G. (); Klinman, J. P. (); Klug, A. (); Knopoff, L. (); Kornberg, H. (); Kutzbach, J. E. (); Lagarias, J. C. (); Lambeck, K. (); Landy, A. (); Langmuir, C. H. (); Larkins, B. A. (); Le Pichon, X. T. (); Lenski, R. E. (); Leopold, E. B. (); Levin, S. A. (); Levitt, M. (); Likens, G. E. (); Lippincott-Schwartz, J. (); Lorand, L. (); Lovejoy, C. O. (); Lynch, M. (); Mabogunje, A. L. (); Malone, T. F. (); Manabe, S. (); Marcus, J. (); Massey, D. S. (); McWilliams, J. C. (); Medina, E. (); Melosh, H. J. (); Meltzer, D. J. (); Michener, C. D. (); Miles, E. L. (); Mooney, H. A. (); Moore, P. B. (); Morel, F. M. M. (); Mosley-Thompson, E. S. (); Moss, B. (); Munk, W. H. (); Myers, N. (); Nair, G. B. (); Nathans, J. (); Nester, E. W. (); Nicoll, R. A. (); Novick, R. P. (); O'Connell, J. F. (); Olsen, P. E. (); Opdyke, N. D. (); Oster, G. F. (); Ostrom, E. (); Pace, N. R. (); Paine, R. T. (); Palmiter, R. D. (); Pedlosky, J. (); Petsko, G. A. (); Pettengill, G. H. (); Philander, S. G. (); Piperno, D. R. (); Pollard, T. D. (); Price, P. B. (); Reichard, P. A. (); Reskin, B. F. (); Ricklefs, R. E. (); Rivest, R. L. (); Roberts, J. D. (); Romney, A. K. (); Rossmann, M. G. (); Russell, D. W. (); Rutter, W. J. (); Sabloff, J. A. (); Sagdeev, R. Z. (); Sahlins, M. D. (); Salmond, A. (); Sanes, J. R. (); Schekman, R. (); Schellnhuber, J. (); Schindler, D. W. (); Schmitt, J. (); Schneider, S. H. (); Schramm, V. L. (); Sederoff, R. R. (); Shatz, C. J. (); Sherman, F. (); Sidman, R. L. (); Sieh, K. (); Simons, E. L. (); Singer, B. H. (); Singer, M. F. (); Skyrms, B. (); Sleep, N. H. (); Smith, B. D. (); Snyder, S. H. (); Sokal, R. R. (); Spencer, C. S. (); Steitz, T. A. (); Strier, K. B. (); Südhof, T. C. (); Taylor, S. S. (); Terborgh, J. (); Thomas, D. H. (); Thompson, L. G. (); Tjian, R. T. (); Turner, M. G. (); Uyeda, S. (); Valentine, J. W. (); Valentine, J. S. (); van Etten, J. L. (); van Holde, K. E. (); Vaughan, M. (); Verba, S. (); von Hippel, P. H. (); Wake, D. B. (); Walker, A. (); Walker, J. E. (); Watson, E. B. (); Watson, P. J. (); Weigel, D. (); Wessler, S. R. (); West-Eberhard, M. J. (); White, T. D. (); Wilson, W. J. (); Wolfenden, R. V. (); Wood, J. A. (); Woodwell, G. M. (); Wright, H. E. (); Wu, C. (); Wunsch, C. (); Zoback, M. L. ()",74,15,0.46,,http://science.sciencemag.org/content/328/5979/689.full.pdf,https://app.dimensions.ai/details/publication/pub.1026331580,,,,,,
26,100,pub.1006420395,10.1130/b26560.1,,,A mechanism of chute cutoff along large meandering rivers with uniform floodplain topography,Geological Society of America Bulletin,,,2010-05-01,2010,122,5-6,855-869,Closed,Article,"Constantine, José Antonio; McLean, Stephen R.; Dunne, Thomas",,"Constantine, José Antonio (University of California, Santa Barbara); McLean, Stephen R. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",58,20,,6.58,,https://app.dimensions.ai/details/publication/pub.1006420395,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
27,100,pub.1025391881,10.1029/2010eo050010,,,William E. Dietrich Receives 2009 Robert E. Horton Medal,Eos,,,2010-02-02,2010,91,5,47-47,All OA; Gold,Article,"Dunne, Thomas; Dietrich, William E.",,"Dunne, Thomas (University of California, Santa Barbara); Dietrich, William E. (University of California, Berkeley)",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010EO050010,https://app.dimensions.ai/details/publication/pub.1025391881,,,,,,
28,100,pub.1008671682,10.1111/j.1365-3091.2009.01084.x,,,"Controls on the alluviation of oxbow lakes by bed‐material load along the Sacramento River, California",Sedimentology,,,2010-02,2010,57,2,389-407,Closed,Article,"CONSTANTINE, JOSÉ ANTONIO; DUNNE, THOMAS; PIÉGAY, HERVÉ; KONDOLF, G. MATHIAS",,"CONSTANTINE, JOSÉ ANTONIO (University of California, Santa Barbara); DUNNE, THOMAS (University of California, Santa Barbara); PIÉGAY, HERVÉ (University of Lyon System); KONDOLF, G. MATHIAS (University of California, Berkeley)",63,16,,7.15,,https://app.dimensions.ai/details/publication/pub.1008671682,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
29,100,pub.1047047991,10.1029/2009jf001302,,,A rain splash transport equation assimilating field and laboratory measurements,Journal of Geophysical Research,,,2010,2010,115,F1,,All OA; Gold,Article,"Dunne, Thomas; Malmon, Daniel V.; Mudd, Simon M.",,"Dunne, Thomas (University of California, Santa Barbara); Malmon, Daniel V. (United States Geological Survey); Mudd, Simon M. (University of Edinburgh)",55,19,,6.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JF001302,https://app.dimensions.ai/details/publication/pub.1047047991,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
30,100,pub.1052332109,10.1016/j.geomorph.2008.11.002,,,Examining the physical meaning of the bank erosion coefficient used in meander migration modeling,Geomorphology,,,2009-05,2009,106,3-4,242-252,Closed,Article,"Constantine, Candice R.; Dunne, Thomas; Hanson, Gregory J.","Constantine, Candice R.","Constantine, Candice R. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Hanson, Gregory J. (Agricultural Research Service)",51,13,,5.25,,https://app.dimensions.ai/details/publication/pub.1052332109,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
31,100,pub.1045514670,10.1002/hyp.7252,,,Simulating hydrologic and hydraulic processes throughout the Amazon River Basin,Hydrological Processes,,,2009-04-15,2009,23,8,1221-1235,Closed,Article,"Beighley, R. E.; Eggert, K. G.; Dunne, T.; He, Y.; Gummadi, V.; Verdin, K. L.",,"Beighley, R. E. (San Diego State University); Eggert, K. G. (Los Alamos National Laboratory); Dunne, T. (); He, Y. (San Diego State University); Gummadi, V. (San Diego State University); Verdin, K. L. (United States Geological Survey)",91,15,,10.28,,https://app.dimensions.ai/details/publication/pub.1045514670,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
32,400,pub.1007448317,10.1007/s00267-008-9162-y,18810527,,Projecting Cumulative Benefits of Multiple River Restoration Projects: An Example from the Sacramento-San Joaquin River System in California,Environmental Management,,"Animals; Animals, Wild; California; Conservation of Natural Resources; Ecosystem; Environment; Geologic Sediments; Humans; Models, Biological; Predatory Behavior; Rivers; Salmon; Water Movements; Water Supply",2008-12,2008,42,6,933-945,Closed,Article,"Kondolf, G. Mathias; Angermeier, Paul L.; Cummins, Kenneth; Dunne, Thomas; Healey, Michael; Kimmerer, Wim; Moyle, Peter B.; Murphy, Dennis; Patten, Duncan; Railsback, Steve; Reed, Denise J.; Spies, Robert; Twiss, Robert","Kondolf, G. Mathias","Kondolf, G. Mathias (University of California, Berkeley); Angermeier, Paul L. (Virginia Tech); Cummins, Kenneth (Humboldt State University); Dunne, Thomas (University of California, Santa Barbara); Healey, Michael (University of British Columbia); Kimmerer, Wim (San Francisco State University); Moyle, Peter B. (University of California, Davis); Murphy, Dennis (University of Nevada Reno); Patten, Duncan (Montana State University); Railsback, Steve (); Reed, Denise J. (University of New Orleans); Spies, Robert (); Twiss, Robert ()",26,6,0.15,2.8,,https://app.dimensions.ai/details/publication/pub.1007448317,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
33,100,pub.1046442395,10.1111/j.1752-1688.2007.00138.x,,,Impacts of Climate Variability and Land Use Alterations on Frequency Distributions of Terrestrial Runoff Loading to Coastal Waters in Southern California1,JAWRA Journal of the American Water Resources Association,,,2008-02,2008,44,1,62-74,Closed,Article,"Beighley, R. Edward; Dunne, Thomas; Melack, John M.",,"Beighley, R. Edward (San Diego State University); Dunne, Thomas (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",23,4,,2.02,,https://app.dimensions.ai/details/publication/pub.1046442395,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
34,400,pub.1009358114,10.1890/06-1689.1,18372554,,THE RATE AND EXTENT OF DEFORESTATION IN WATERSHEDS OF THE SOUTHWESTERN AMAZON BASIN,Ecological Applications,,Brazil; Ecology; Trees,2008-01,2008,18,1,31-48,Closed,Article,"Biggs, Trent W.; Dunne, Thomas; Roberts, Dar A.; Matricardi, E.",,"Biggs, Trent W. (San Diego State University); Dunne, Thomas (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Matricardi, E. ()",8,2,0.16,0.69,,https://app.dimensions.ai/details/publication/pub.1009358114,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,100,pub.1062733800,10.1130/g24130a.1,,,Meander cutoff and the controls on the production of oxbow lakes,Geology,,,2008,2008,36,1,23-26,Closed,Article,"Constantine, José Antonio; Dunne, Thomas",,"Constantine, José Antonio (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",62,14,,6.13,,https://app.dimensions.ai/details/publication/pub.1062733800,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
36,100,pub.1002789538,10.1002/9780470723722.ch8,,,"Effects of Tectonism, Climate Change, and Sea‐level Change on the Form and Behaviour of the Modern Amazon River and its Floodplain",,Large Rivers,,2007-12-21,2007,,,115-144,Closed,Chapter,"Mertes, Leal A. K.; Dunne, Thomas",,"Mertes, Leal A. K. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",31,3,,3.08,,https://app.dimensions.ai/details/publication/pub.1002789538,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
37,100,pub.1037778151,10.1029/2007gl029447,,,Spatial and temporal complexity of the Amazon flood measured from space,Geophysical Research Letters,,,2007-04,2007,34,8,,All OA; Gold,Article,"Alsdorf, Doug; Bates, Paul; Melack, John; Wilson, Matt; Dunne, Thomas",,"Alsdorf, Doug (The Ohio State University); Bates, Paul (University of Bristol); Melack, John (University of California, Santa Barbara); Wilson, Matt (University of Exeter); Dunne, Thomas (University of California, Santa Barbara)",110,14,,10.47,http://onlinelibrary.wiley.com/doi/10.1029/2007GL029447/pdf,https://app.dimensions.ai/details/publication/pub.1037778151,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
38,100,pub.1021572315,10.1029/2006wr004894,,,Modeling the influence of river rehabilitation scenarios on bed material sediment flux in a large river over decadal timescales,Water Resources Research,,,2006-12,2006,42,12,,All OA; Gold,Article,"Singer, Michael Bliss; Dunne, Thomas",,"Singer, Michael Bliss (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",18,2,,3.5,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006WR004894,https://app.dimensions.ai/details/publication/pub.1021572315,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
39,200,pub.1058785895,10.1086/507613,,,Spatially Variable Exhumation Rates in Orogenic Belts: An Andean Example,The Journal of Geology,,,2006-11,2006,114,6,665-681,Closed,Article,"Safran, Elizabeth B.; Blythe, Ann; Dunne, Thomas",,"Safran, Elizabeth B. (); Blythe, Ann (); Dunne, Thomas ()",18,1,,2.32,,https://app.dimensions.ai/details/publication/pub.1058785895,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
40,100,pub.1049776877,10.1002/hyp.6213,,,Water storage and runoff processes in plinthic soils under forest and pasture in eastern Amazonia,Hydrological Processes,,,2006-08-15,2006,20,12,2509-2526,Closed,Article,"de Moraes, Jorge M.; Schuler, Azeneth E.; Dunne, Thomas; de O. Figueiredo, Ricardo; Victoria, Reynaldo L.",,"de Moraes, Jorge M. (University of Sao Paulo); Schuler, Azeneth E. (Instituto de Pesquisa Ambiental da Amazônia); Dunne, Thomas (University of California, Santa Barbara); de O. Figueiredo, Ricardo (Brazilian Agricultural Research Corporation); Victoria, Reynaldo L. (University of Sao Paulo)",75,15,,8.96,,https://app.dimensions.ai/details/publication/pub.1049776877,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
41,100,pub.1003910826,10.1002/hyp.6214,,,"Transport of water, solutes and nutrients from a pasture hillslope, southwestern Brazilian Amazon",Hydrological Processes,,,2006-08-15,2006,20,12,2527-2547,Closed,Article,"Biggs, Trent Wade; Dunne, Thomas; Muraoka, Takashi",,"Biggs, Trent Wade (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Muraoka, Takashi ()",39,5,,4.66,,https://app.dimensions.ai/details/publication/pub.1003910826,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
42,200,pub.1058781555,10.1086/498101,,,Geomorphic Controls on Andean Denudation Rates,The Journal of Geology,,,2006-01,2006,114,1,85-99,Closed,Article,"Aalto, Rolf; Dunne, Thomas; Guyot, Jean Loup",,"Aalto, Rolf (); Dunne, Thomas (); Guyot, Jean Loup ()",106,19,,13.65,,https://app.dimensions.ai/details/publication/pub.1058781555,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
