,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Richard Lee Church. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
20,100,pub.1051687533,10.1111/gean.12043,,,On the Finite Optimality Set of the Vector Assignment p‐Median Problem,Geographical Analysis,,,2015-04,2015,47,2,134-145,Closed,Article,"Lei, Ting L.; Church, Richard L.",,"Lei, Ting L. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",1,1,,0.27,,https://app.dimensions.ai/details/publication/pub.1051687533,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
21,100,pub.1038511001,10.1016/j.ejor.2014.10.020,,,On the unified dispersion problem: Efficient formulations and exact algorithms,European Journal of Operational Research,,,2015-03,2015,241,3,622-630,Closed,Article,"Lei, Ting L.; Church, Richard L.","Lei, Ting L.","Lei, Ting L. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",5,3,,2.64,,https://app.dimensions.ai/details/publication/pub.1038511001,08 Information and Computing Sciences; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0802 Computation Theory and Mathematics,,,
22,100,pub.1050630705,10.1007/978-3-319-20282-2_7,,,Saving the Forest by Reducing Fire Severity: Selective Fuels Treatment Location and Scheduling,International Series in Operations Research & Management Science,Applications of Location Analysis,,2015,2015,232,,173-190,Closed,Chapter,"Church, Richard L.; Niblett, Matthew R.; O’Hanley, Jesse; Middleton, Richard; Barber, Klaus","Church, Richard L.","Church, Richard L. (University of California, Santa Barbara); Niblett, Matthew R. (University of California, Santa Barbara); O’Hanley, Jesse (University of Kent); Middleton, Richard (Los Alamos National Laboratory); Barber, Klaus ()",1,1,,0.29,,https://app.dimensions.ai/details/publication/pub.1050630705,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
23,100,pub.1033784596,10.1007/978-3-319-13111-5_24,,,Location Problems Under Disaster Events,,Location Science,,2015,2015,,,623-642,Closed,Chapter,"Scaparra, Maria Paola; Church, Richard L.","Scaparra, Maria Paola","Scaparra, Maria Paola (University of Kent); Church, Richard L. (University of California, Santa Barbara)",8,5,,3.97,,https://app.dimensions.ai/details/publication/pub.1033784596,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
24,100,pub.1005901633,10.1007/978-3-319-20282-2_6,,,Modeling the Potential for Critical Habitat,International Series in Operations Research & Management Science,Applications of Location Analysis,,2015,2015,232,,155-171,Closed,Chapter,"Church, Richard L.; Niblett, Matthew R.; Gerrard, Ross A.","Church, Richard L.","Church, Richard L. (University of California, Santa Barbara); Niblett, Matthew R. (University of California, Santa Barbara); Gerrard, Ross A. (US Forest Service)",3,2,,0.74,,https://app.dimensions.ai/details/publication/pub.1005901633,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
25,100,pub.1000404576,10.1080/00045608.2014.923722,,,Designing Robust Coverage Systems: A Maximal Covering Model with Geographically Varying Failure Probabilities,Annals of the American Association of Geographers,,,2014-09-03,2014,104,5,922-938,Closed,Article,"Lei, Ting L.; Tong, Daoqin; Church, Richard L.",,"Lei, Ting L. (); Tong, Daoqin (); Church, Richard L. ()",3,1,,0.69,,https://app.dimensions.ai/details/publication/pub.1000404576,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
26,100,pub.1036702728,10.1139/cjfr-2013-0476,,,Optimizing cable harvesting layout when using variable-length cable roads in central Europe,Canadian Journal of Forest Research,,,2014-08,2014,44,8,949-960,Closed,Article,"Bont, Leo; Heinimann, Hans Rudolf; Church, Richard L.",,"Bont, Leo (Swiss Federal Institute of Technology in Zurich); Heinimann, Hans Rudolf (Swiss Federal Institute of Technology in Zurich); Church, Richard L. (University of California, Santa Barbara)",5,3,,,,https://app.dimensions.ai/details/publication/pub.1036702728,04 Earth Sciences; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,05 Environmental Sciences,07 Agricultural and Veterinary Sciences,,
27,100,pub.1040185522,10.1007/s10109-014-0197-8,,,Corridor location: the multi-gateway shortest path model,Journal of Geographical Systems,,,2014-07,2014,16,3,287-309,Closed,Article,"Scaparra, Maria P.; Church, Richard L.; Medrano, F. Antonio","Church, Richard L.","Scaparra, Maria P. (University of Kent); Church, Richard L. (University of California, Santa Barbara); Medrano, F. Antonio (University of California, Santa Barbara)",11,4,,1.7,,https://app.dimensions.ai/details/publication/pub.1040185522,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
28,100,pub.1021703401,10.1016/j.jtrangeo.2014.06.022,,,"Spatial analysis of access to and accessibility surrounding train stations: a case study of accessibility for the elderly in Perth, Western Australia",Journal of Transport Geography,,,2014-07,2014,39,,111-120,"All OA; Green, Accepted & Submitted",Article,"Lin, Ting; Xia, Jianhong; Robinson, Todd P.; Goulias, Konstadinos G.; Church, Richard L.; Olaru, Doina; Tapin, John; Han, Renlong","Lin, Ting","Lin, Ting (Curtin University); Xia, Jianhong (Curtin University); Robinson, Todd P. (Curtin University); Goulias, Konstadinos G. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara); Olaru, Doina (University of Western Australia); Tapin, John (University of Western Australia); Han, Renlong ()",29,14,,10.32,https://espace.curtin.edu.au/bitstream/20.500.11937/12498/2/200822_200822a.pdf,https://app.dimensions.ai/details/publication/pub.1021703401,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
29,100,pub.1017375888,10.1111/gean.12038,,,The p‐Compact‐regions Problem,Geographical Analysis,,,2014-07,2014,46,3,250-273,"All OA; Green, Published",Article,"Li, Wenwen; Church, Richard L.; Goodchild, Michael F.",,"Li, Wenwen (Arizona State University); Church, Richard L. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",14,8,,3.28,https://escholarship.org/content/qt20t5m3kd/qt20t5m3kd.pdf?t=oemjkr,https://app.dimensions.ai/details/publication/pub.1017375888,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
30,100,pub.1026839070,10.1177/0160017612450710,,,Vector Assignment Ordered Median Problem,International Regional Science Review,,,2014-04,2014,37,2,194-224,Closed,Article,"Lei, Ting L.; Church, Richard L.",,"Lei, Ting L. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",17,4,,5.69,,https://app.dimensions.ai/details/publication/pub.1026839070,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
31,100,pub.1020236290,10.1177/0160017613507772,,,Corridor Location for Infrastructure Development,International Regional Science Review,,,2014-04,2014,37,2,129-148,Closed,Article,"Medrano, F. Antonio; Church, Richard L.",,"Medrano, F. Antonio (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",6,2,,2.01,,https://app.dimensions.ai/details/publication/pub.1020236290,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
32,100,pub.1049732194,10.1016/j.compenvurbsys.2013.10.002,,,An extendable heuristic framework to solve the p-compact-regions problem for urban economic modeling,Computers Environment and Urban Systems,,,2014-01,2014,43,,1-13,Closed,Article,"Li, Wenwen; Church, Richard L.; Goodchild, Michael F.","Li, Wenwen","Li, Wenwen (Arizona State University); Church, Richard L. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",16,5,,4.29,,https://app.dimensions.ai/details/publication/pub.1049732194,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
33,100,pub.1017969418,10.1111/gean.12020,,,A Unified Model for Dispersing Facilities,Geographical Analysis,,,2013-10,2013,45,4,401-418,Closed,Article,"Lei, Ting L.; Church, Richard L.",,"Lei, Ting L. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",4,1,,0.89,,https://app.dimensions.ai/details/publication/pub.1017969418,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
34,200,pub.1064734473,10.1287/trsc.1120.0425,,,Optimal Location of Railway Stations: The Lisbon-Porto High-Speed Rail Line,Transportation Science,,,2013-08,2013,47,3,330-343,Closed,Article,"Repolho, Hugo M.; Antunes, António P.; Church, Richard L.",,"Repolho, Hugo M. (); Antunes, António P. (); Church, Richard L. ()",15,4,,3.31,,https://app.dimensions.ai/details/publication/pub.1064734473,"0102 Applied Mathematics; 01 Mathematical Sciences; 1507 Transportation and Freight Services; 15 Commerce, Management, Tourism and Services",0102 Applied Mathematics,01 Mathematical Sciences,1507 Transportation and Freight Services,"15 Commerce, Management, Tourism and Services",
35,100,pub.1025431841,10.1007/978-1-4614-8745-6_7,,,A Parallel Algorithm to Solve Near-Shortest Path Problems on Raster Graphs,,Modern Accelerator Technologies for Geographic Information Science,,2013,2013,,,83-94,Closed,Chapter,"Medrano, F. Antonio; Church, Richard L.","Medrano, F. Antonio","Medrano, F. Antonio (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",1,0,,0.4,,https://app.dimensions.ai/details/publication/pub.1025431841,08 Information and Computing Sciences; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0802 Computation Theory and Mathematics,,,
36,100,pub.1030368971,10.1007/s10479-012-1170-x,,,The stochastic interdiction median problem with disruption intensity levels,Annals of Operations Research,,,2012-12,2012,201,1,345-365,Closed,Article,"Losada, Chaya; Scaparra, M. Paola; Church, Richard L.; Daskin, Mark S.","Scaparra, M. Paola","Losada, Chaya (University of Kent); Scaparra, M. Paola (University of Kent); Church, Richard L. (University of California, Santa Barbara); Daskin, Mark S. (University of Michigan)",30,9,,12.91,,https://app.dimensions.ai/details/publication/pub.1030368971,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
37,100,pub.1027527376,10.1080/13658816.2011.615748,,,Aggregation in continuous space coverage modeling,International Journal of Geographical Information Science,,,2012-05,2012,26,5,795-816,Closed,Article,"Tong, Daoqin; Church, Richard L.",,"Tong, Daoqin (); Church, Richard L. ()",17,3,,4,,https://app.dimensions.ai/details/publication/pub.1027527376,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
38,100,pub.1044818433,10.1177/0160017611435357,,,Protecting Supply Systems to Mitigate Potential Disaster,International Regional Science Review,,,2012-04,2012,35,2,188-210,Closed,Article,"Scaparra, Maria Paola; Church, Richard",,"Scaparra, Maria Paola (); Church, Richard (University of California, Santa Barbara)",31,13,,18.11,,https://app.dimensions.ai/details/publication/pub.1044818433,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
39,100,pub.1027784878,10.1007/978-3-642-35527-1_46,,,Geospatial Data Mining on the Web: Discovering Locations of Emergency Service Facilities,Lecture Notes in Computer Science,Advanced Data Mining and Applications,,2012,2012,7713,,552-563,Closed,Chapter,"Li, Wenwen; Goodchild, Michael F.; Church, Richard L.; Zhou, Bin",,"Li, Wenwen (Arizona State University); Goodchild, Michael F. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara); Zhou, Bin (Institute of Oceanographic Instrumentation)",7,4,,2.39,,https://app.dimensions.ai/details/publication/pub.1027784878,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0801 Artificial Intelligence and Image Processing
40,200,pub.1057643848,10.1061/(asce)te.1943-5436.0000293,,,Optimization Models for the Location of Motorway Interchanges: Concessionaires’ Perspective,Journal of Transportation Engineering,,,2011-12,2011,137,12,962-970,Closed,Article,"Repolho, Hugo M.; Antunes, António P.; Church, Richard L.",,"Repolho, Hugo M. (); Antunes, António P. (); Church, Richard L. ()",4,1,,1.33,,https://app.dimensions.ai/details/publication/pub.1057643848,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
41,100,pub.1039217044,10.1016/j.envsoft.2011.07.008,,,Restoring forest landscapes for biodiversity conservation and rural livelihoods: A spatial optimisation model,Environmental Modelling & Software,,,2011-12,2011,26,12,1622-1638,Closed,Article,"Orsi, Francesco; Church, Richard L.; Geneletti, Davide","Orsi, Francesco","Orsi, Francesco (University of Trento); Church, Richard L. (University of California, Santa Barbara); Geneletti, Davide (University of Trento; Harvard University)",25,3,,3.14,,https://app.dimensions.ai/details/publication/pub.1039217044,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
42,100,pub.1013673964,10.1016/j.tre.2011.01.004,,,Locating short-term empty-container storage facilities to support port operations: A user optimal approach,Transportation Research Part E Logistics and Transportation Review,,,2011-09,2011,47,5,738-754,Closed,Article,"Lei, Ting L.; Church, Richard L.","Church, Richard L.","Lei, Ting L. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",18,6,,4.01,,https://app.dimensions.ai/details/publication/pub.1013673964,"15 Commerce, Management, Tourism and Services; 0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 1507 Transportation and Freight Services; 01 Mathematical Sciences","15 Commerce, Management, Tourism and Services",0102 Applied Mathematics,0103 Numerical and Computational Mathematics,1507 Transportation and Freight Services,01 Mathematical Sciences
