,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Douglas W Burbank. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1020070403,10.1111/bre.12139,,,"Provenance and tectonic implications of Orán Group foreland basin sediments, Río Iruya canyon, NW Argentina (23° S)",Basin Research,,,2017-02,2017,29,S1,96-112,All OA; Gold,Article,"Amidon, William H.; Luna, Lisa V.; Fisher, G. Burch; Burbank, Douglas W.; Kylander‐Clark, Andrew R. C.; Alonso, Ricardo",,"Amidon, William H. (Middlebury College); Luna, Lisa V. (Middlebury College); Fisher, G. Burch (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Kylander‐Clark, Andrew R. C. (University of California, Santa Barbara); Alonso, Ricardo (National University of Salta)",3,2,,1.15,https://doi.org/10.1111/bre.12139,https://app.dimensions.ai/details/publication/pub.1020070403,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1017290291,10.1111/bre.12141,,,"Controls on intermontane basin filling, isolation and incision on the margin of the Puna Plateau, NW Argentina (~23°S)",Basin Research,,,2017-02,2017,29,S1,131-155,"All OA; Green, Published",Article,"Streit, Rebecca L.; Burbank, Douglas W.; Strecker, Manfred R.; Alonso, Ricardo N.; Cottle, John M.; Kylander‐Clark, Andrew R.C.",,"Streit, Rebecca L. (University of California System); Burbank, Douglas W. (University of California System); Strecker, Manfred R. (University of Potsdam); Alonso, Ricardo N. (National University of Salta); Cottle, John M. (University of California System); Kylander‐Clark, Andrew R.C. (University of California System)",10,6,,3.84,http://ri.conicet.gov.ar/bitstream/11336/66948/4/CONICET_Digital_Nro.d0bc78a9-c7d9-463c-80ea-1be3b0055773_C.pdf,https://app.dimensions.ai/details/publication/pub.1017290291,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1024708534,10.1016/j.jsames.2016.05.013,,,"U-Pb ages of detrital and volcanic zircons of the Toro Negro Formation, northwestern Argentina: Age, provenance and sedimentation rates",Journal of South American Earth Sciences,,,2016-10,2016,70,J. S. Am. Earth Sci. 40 2012,237-250,All OA; Gold,Article,"Amidon, William H.; Ciccioli, Patricia L.; Marenssi, Sergio A.; Limarino, Carlos O.; Fisher, G. Burch; Burbank, Douglas W.; Kylander-Clark, Andrew","Amidon, William H.","Amidon, William H. (Middlebury College); Ciccioli, Patricia L. (University of Buenos Aires); Marenssi, Sergio A. (University of Buenos Aires); Limarino, Carlos O. (University of Buenos Aires); Fisher, G. Burch (The University of Texas at Austin; University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Kylander-Clark, Andrew (University of California, Santa Barbara)",7,6,,1.87,https://manuscript.elsevier.com/S0895981116300803/pdf/S0895981116300803.pdf,https://app.dimensions.ai/details/publication/pub.1024708534,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
13,100,pub.1008155804,10.1038/ngeo2773,,,Fluvial bevelling of topography controlled by lateral channel mobility and uplift rate,Nature Geoscience,,,2016-09,2016,9,9,706-710,Closed,Article,"Bufe, Aaron; Paola, Chris; Burbank, Douglas W.","Bufe, Aaron","Bufe, Aaron (University of California System); Paola, Chris (University of Minnesota); Burbank, Douglas W. (University of California System)",24,19,,6.17,,https://app.dimensions.ai/details/publication/pub.1008155804,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
14,100,pub.1044782218,10.1130/l444.1,,,Along-strike changes in Himalayan thrust geometry: Topographic and tectonic discontinuities in western Nepal,Литосфера,,,2015-10,2015,7,5,511-518,All OA; Gold,Article,"Harvey, Jonathan E.; Burbank, Douglas W.; Bookhagen, Bodo",,"Harvey, Jonathan E. (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Bookhagen, Bodo (University of Potsdam)",29,17,,5.95,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/7/5/511/3045347/511.pdf,https://app.dimensions.ai/details/publication/pub.1044782218,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1050007372,10.1002/2015jb012102,,,"Hinge‐migrated fold‐scarp model based on an analysis of bed geometry: A study from the Mingyaole anticline, southern foreland of Chinese Tian Shan",Journal of Geophysical Research Solid Earth,,,2015-09,2015,120,9,6592-6613,All OA; Gold,Article,"Li, Tao; Chen, Jie; Thompson, Jessica A.; Burbank, Douglas W.; Yang, Huili",,"Li, Tao (China Earthquake Administration); Chen, Jie (China Earthquake Administration); Thompson, Jessica A. (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Yang, Huili (China Earthquake Administration)",16,9,,3.28,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JB012102,https://app.dimensions.ai/details/publication/pub.1050007372,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1025194375,10.1002/2014jb011632,,,"Active flexural‐slip faulting: A study from the Pamir‐Tian Shan convergent zone, NW China",Journal of Geophysical Research Solid Earth,,,2015-06,2015,120,6,4359-4378,"All OA; Green, Published",Article,"Li, Tao; Chen, Jie; Thompson, Jessica A.; Burbank, Douglas W.; Yang, Xiaodong",,"Li, Tao (China Earthquake Administration; Sinopec (China)); Chen, Jie (China Earthquake Administration); Thompson, Jessica A. (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Yang, Xiaodong (China Earthquake Administration)",12,4,,2.46,https://escholarship.org/content/qt4f1893qp/qt4f1893qp.pdf?t=nxlups,https://app.dimensions.ai/details/publication/pub.1025194375,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1027958014,10.1002/2014tc003690,,,"Late Miocene northward propagation of the northeast Pamir thrust system, northwest China",Tectonics,,,2015-03,2015,34,3,510-534,All OA; Gold,Article,"Thompson, Jessica A.; Burbank, Douglas W.; Li, Tao; Chen, Jie; Bookhagen, Bodo",,"Thompson, Jessica A. (University of California System); Burbank, Douglas W. (University of California System); Li, Tao (China Earthquake Administration); Chen, Jie (China Earthquake Administration); Bookhagen, Bodo (University of Potsdam)",38,17,,7.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014TC003690,https://app.dimensions.ai/details/publication/pub.1027958014,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1049192064,10.1016/j.quascirev.2014.06.032,,,"Constraints on the late Quaternary glacial history of the Inylchek and Sary-Dzaz valleys from in situ cosmogenic 10Be and 26Al, eastern Kyrgyz Tian Shan",Quaternary Science Reviews,,,2014-10,2014,101,Nature 384 1996,77-90,Closed,Article,"Lifton, Nathaniel; Beel, Casey; Hättestrand, Clas; Kassab, Christine; Rogozhina, Irina; Heermance, Richard; Oskin, Michael; Burbank, Douglas; Blomdin, Robin; Gribenski, Natacha; Caffee, Marc; Goehring, Brent M.; Heyman, Jakob; Ivanov, Mikhail; Li, Yanan; Li, Yingkui; Petrakov, Dmitry; Usubaliev, Ryskul; Codilean, Alexandru T.; Chen, Yixin; Harbor, Jon; Stroeven, Arjen P.","Lifton, Nathaniel","Lifton, Nathaniel (Purdue University West Lafayette); Beel, Casey (Purdue University West Lafayette); Hättestrand, Clas (Stockholm University); Kassab, Christine (Purdue University West Lafayette); Rogozhina, Irina (); Heermance, Richard (California State University, Northridge); Oskin, Michael (University of California, Davis); Burbank, Douglas (University of California, Santa Barbara); Blomdin, Robin (Purdue University West Lafayette; Stockholm University); Gribenski, Natacha (Stockholm University); Caffee, Marc (Purdue University West Lafayette); Goehring, Brent M. (Purdue University West Lafayette); Heyman, Jakob (Stockholm University); Ivanov, Mikhail (Moscow State University); Li, Yanan (University of Tennessee at Knoxville); Li, Yingkui (University of Tennessee at Knoxville); Petrakov, Dmitry (Moscow State University); Usubaliev, Ryskul (); Codilean, Alexandru T. (University of Wollongong); Chen, Yixin (Peking University); Harbor, Jon (Purdue University West Lafayette; Stockholm University); Stroeven, Arjen P. (Stockholm University)",21,10,,3.39,,https://app.dimensions.ai/details/publication/pub.1049192064,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
19,100,pub.1027483742,10.1002/2013tc003394,,,"Pliocene‐Pleistocene initiation, style, and sequencing of deformation in the central Tien Shan",Tectonics,,,2014-04,2014,33,4,464-484,All OA; Gold,Article,"Goode, Joseph K.; Burbank, Douglas W.; Ormukov, Cholponbek",,"Goode, Joseph K. (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Ormukov, Cholponbek ()",12,7,,2.02,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013TC003394,https://app.dimensions.ai/details/publication/pub.1027483742,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1001889891,10.1130/g35342.1,,,Dominance of tectonics over climate in Himalayan denudation,Geology,,,2014-03-01,2014,42,3,243-246,"All OA; Green, Accepted & Submitted",Article,"Godard, Vincent; Bourlès, Didier L.; Spinabella, Françoise; Burbank, Douglas W.; Bookhagen, Bodo; Fisher, G. Burch; Moulin, Adrien; Léanni, Laëtitia",,"Godard, Vincent (); Bourlès, Didier L. (); Spinabella, Françoise (); Burbank, Douglas W. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara); Fisher, G. Burch (University of California, Santa Barbara); Moulin, Adrien (); Léanni, Laëtitia ()",83,33,,14,https://escholarship.org/content/qt39j244dj/qt39j244dj.pdf?t=nxlv4f,https://app.dimensions.ai/details/publication/pub.1001889891,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1029938967,10.1002/2013jf002826,,,Relationship of channel steepness to channel incision rate from a tilted and progressively exposed unconformity surface,Journal of Geophysical Research Earth Surface,,,2014-02,2014,119,2,366-384,All OA; Gold,Article,"Oskin, M. E.; Burbank, D. W.; Phillips, F. M.; Marrero, S. M.; Bookhagen, B.; Selander, J. A.",,"Oskin, M. E. (University of California, Davis); Burbank, D. W. (University of California, Santa Barbara); Phillips, F. M. (New Mexico Institute of Mining and Technology); Marrero, S. M. (New Mexico Institute of Mining and Technology); Bookhagen, B. (University of California, Santa Barbara); Selander, J. A. (University of California, Davis)",4,2,,0.62,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013JF002826,https://app.dimensions.ai/details/publication/pub.1029938967,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1006900403,10.1002/tect.20081,,,The growth of northeastern Tibet and its relevance to large‐scale continental geodynamics: A review of recent studies,Tectonics,,,2013-09,2013,32,5,1358-1370,All OA; Gold,Article,"Yuan, Dao‐Yang; Ge, Wei‐Peng; Chen, Zhen‐Wei; Li, Chuan‐You; Wang, Zhi‐Cai; Zhang, Hui‐Ping; Zhang, Pei‐Zhen; Zheng, De‐Wen; Zheng, Wen‐Jun; Craddock, William H.; Dayem, Katherine E.; Duvall, Alison R.; Hough, Brian G.; Lease, Richard O.; Champagnac, Jean‐Daniel; Burbank, Douglas W.; Clark, Marin K.; Farley, Kenneth A.; Garzione, Carmala N.; Kirby, Eric; Molnar, Peter; Roe, Gerard H.",,"Yuan, Dao‐Yang (); Ge, Wei‐Peng (); Chen, Zhen‐Wei (China Earthquake Administration); Li, Chuan‐You (China Earthquake Administration); Wang, Zhi‐Cai (China Earthquake Administration); Zhang, Hui‐Ping (China Earthquake Administration); Zhang, Pei‐Zhen (China Earthquake Administration); Zheng, De‐Wen (China Earthquake Administration); Zheng, Wen‐Jun (China Earthquake Administration); Craddock, William H. (Pennsylvania State University; United States Geological Survey); Dayem, Katherine E. (); Duvall, Alison R. (University of Michigan; University of Washington); Hough, Brian G. (University of Rochester); Lease, Richard O. (University of California System; United States Geological Survey); Champagnac, Jean‐Daniel (); Burbank, Douglas W. (University of California System); Clark, Marin K. (University of Michigan); Farley, Kenneth A. (California Institute of Technology); Garzione, Carmala N. (University of Rochester); Kirby, Eric (Pennsylvania State University; Oregon State University); Molnar, Peter (Oregon State University); Roe, Gerard H. (University of Washington)",156,77,,23.77,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/tect.20081,https://app.dimensions.ai/details/publication/pub.1006900403,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1033099416,10.1002/jgrb.50316,,,"Quantification of three‐dimensional folding using fluvial terraces: A case study from the Mushi anticline, northern margin of the Chinese Pamir",Journal of Geophysical Research Solid Earth,,,2013-08,2013,118,8,4628-4647,All OA; Gold,Article,"Li, Tao; Chen, Jie; Thompson, Jessica A.; Burbank, Douglas W.; Yang, Xiaodong",,"Li, Tao (Guangzhou Institute of Geochemistry); Chen, Jie (Guangzhou Institute of Geochemistry); Thompson, Jessica A. (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Yang, Xiaodong (Guangzhou Institute of Geochemistry)",29,12,,8.83,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrb.50316,https://app.dimensions.ai/details/publication/pub.1033099416,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
24,100,pub.1008254124,10.1002/grl.50253,,,Frequency‐dependent landscape response to climatic forcing,Geophysical Research Letters,,,2013-03-16,2013,40,5,859-863,All OA; Gold,Article,"Godard, Vincent; Tucker, Gregory E.; Fisher, G. Burch; Burbank, Douglas W.; Bookhagen, Bodo",,"Godard, Vincent (); Tucker, Gregory E. (University of Colorado Boulder); Fisher, G. Burch (University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara)",37,9,,5.54,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/grl.50253,https://app.dimensions.ai/details/publication/pub.1008254124,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
25,100,pub.1023849153,10.1016/j.crte.2012.10.010,,,Modern climate and erosion in the Himalaya,Comptes Rendus Geoscience,,,2012-11,2012,344,11-12,610-626,"All OA; Green, Published",Article,"Burbank, Douglas W.; Bookhagen, Bodo; Gabet, Emmanuel J.; Putkonen, Jaakko","Burbank, Douglas W.","Burbank, Douglas W. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara); Gabet, Emmanuel J. (San Jose State University); Putkonen, Jaakko (University of North Dakota)",33,8,,4.48,https://escholarship.org/content/qt8kx9995n/qt8kx9995n.pdf?t=p2n6p0,https://app.dimensions.ai/details/publication/pub.1023849153,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
26,200,pub.1088810739,10.1130/2012.2492(01),,,"Channel widths, landslides, faults, and beyond: The new world order of high-spatial resolution Google Earth imagery in the study of earth surface processes",Geological Society of America Special Papers,Google Earth and Virtual Visualizations in Geoscience Education and Research,,2012-10,2012,492,,1-22,"All OA; Green, Published",Chapter,"Fisher, G. Burch; Amos, Colin B.; Bookhagen, Bodo; Burbank, Douglas W.; Godard, Vincent",,"Fisher, G. Burch (); Amos, Colin B. (); Bookhagen, Bodo (); Burbank, Douglas W. (); Godard, Vincent ()",23,10,,,https://escholarship.org/content/qt8173m819/qt8173m819.pdf?t=p2n6lz,https://app.dimensions.ai/details/publication/pub.1088810739,,,,,,
27,100,pub.1050758277,10.1029/2011jf002230,,,"Impact of glacial erosion on 10Be concentrations in fluvial sediments of the Marsyandi catchment, central Nepal",Journal of Geophysical Research,,,2012-09,2012,117,F3,n/a-n/a,"All OA; Green, Published",Article,"Godard, V.; Burbank, D. W.; Bourlès, D. L.; Bookhagen, B.; Braucher, R.; Fisher, G. B.",,"Godard, V. (University of California, Santa Barbara); Burbank, D. W. (University of California, Santa Barbara); Bourlès, D. L. (); Bookhagen, B. (University of California, Santa Barbara); Braucher, R. (); Fisher, G. B. (University of California, Santa Barbara)",44,13,,7.64,https://hal-amu.archives-ouvertes.fr/hal-01537127/file/godard2012impact%20%281%29.pdf,https://app.dimensions.ai/details/publication/pub.1050758277,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
