,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sangwon Suh. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1091234610,10.1007/s11367-017-1388-6,,,Geographic variability of agriculture requires sector-specific uncertainty characterization,The International Journal of Life Cycle Assessment,,,2018-08,2018,23,8,1581-1589,Closed,Article,"Yang, Yi; Tao, Mengya; Suh, Sangwon","Suh, Sangwon","Yang, Yi (SRA International (United States)); Tao, Mengya (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1091234610,09 Engineering; 12 Built Environment and Design; 0912 Materials Engineering; 1202 Building; 0907 Environmental Engineering,09 Engineering,12 Built Environment and Design,0912 Materials Engineering,1202 Building,0907 Environmental Engineering
11,200,pub.1103273299,10.1021/acs.est.8b01476,29659270,,"Response to Comments on ""Assessing the Risk of Engineered Nanomaterials in the Environment: Development and Application of the nanoFate Model"".",Environmental Science & Technology,,,2018-05,2018,52,9,5511,Closed,Article,"Garner, Kendra L; Suh, Sangwon; Keller, Arturo A",,"Garner, Kendra L (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103273299,,,,,,
12,500,pub.1099748057,10.1016/j.envpol.2017.11.058,29245149,,OrganoRelease – A framework for modeling the release of organic chemicals from the use and post-use of consumer products,Environmental Pollution,,Acetates; California; Consumer Product Safety; Environmental Exposure; Organic Chemicals; Risk Assessment,2018-03,2018,234,J. Toxicol. Environ. Health-PART B-Crit. Rev. 10 2007,751-761,Closed,Article,"Tao, Mengya; Li, Dingsheng; Song, Runsheng; Suh, Sangwon; Keller, Arturo A.","Keller, Arturo A.","Tao, Mengya (University of California, Santa Barbara); Li, Dingsheng (University of California, Santa Barbara); Song, Runsheng (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1099748057,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
13,100,pub.1105288640,10.1007/978-3-319-66981-6_19,,,Neuro-marketing Tools for Assessing the Communication Effectiveness of Life Cycle Based Environmental Labelling—Procedure and Methodology,,"Designing Sustainable Technologies, Products and Policies",,2018,2018,,,163-173,All OA; Gold,Chapter,"Lewandowska, Anna; Borusiak, Barbara; Dierks, Christian; Giungato, Pasquale; Jerzyk, Ewa; Kurczewski, Przemyslaw; Sobierajewicz, Jagna; Suh, Sangwon; Witczak, Joanna","Lewandowska, Anna","Lewandowska, Anna (Poznań University of Economics and Business); Borusiak, Barbara (Poznań University of Economics and Business); Dierks, Christian (); Giungato, Pasquale (University of Bari Aldo Moro); Jerzyk, Ewa (Poznań University of Economics and Business); Kurczewski, Przemyslaw (Poznań University of Technology); Sobierajewicz, Jagna (Adam Mickiewicz University in Poznań); Suh, Sangwon (University of California, Santa Barbara); Witczak, Joanna (Poznań University of Economics and Business)",1,1,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-66981-6_19.pdf,https://app.dimensions.ai/details/publication/pub.1105288640,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
14,100,pub.1092582046,10.1088/1748-9326/aa98ca,,,Environmental and natural resource implications of sustainable urban infrastructure systems,Environmental Research Letters,,,2017-12-01,2017,12,12,125009,All OA; Gold,Article,"Bergesen, Joseph D; Suh, Sangwon; Baynes, Timothy M; Musango, Josephine Kaviti",,"Bergesen, Joseph D (University of California, Santa Barbara); Suh, Sangwon (); Baynes, Timothy M (Commonwealth Scientific and Industrial Research Organisation); Musango, Josephine Kaviti (Stellenbosch University)",3,2,,1.34,https://iopscience.iop.org/article/10.1088/1748-9326/aa98ca/pdf,https://app.dimensions.ai/details/publication/pub.1092582046,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
15,500,pub.1092186311,10.1021/acs.est.7b01907,29022708,,Dynamic Model for the Stocks and Release Flows of Engineered Nanomaterials.,Environmental Science & Technology,,Environmental Pollutants; Nanostructures; Paint; Physical Phenomena; Silicon Dioxide,2017-11-07,2017,51,21,12424-12433,"All OA; Green, Published",Article,"Song, Runsheng; Qin, Yuwei; Suh, Sangwon; Keller, Arturo A",,"Song, Runsheng (University of California, Santa Barbara); Qin, Yuwei (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",20,20,1.15,19.56,https://escholarship.org/content/qt5m40d0kz/qt5m40d0kz.pdf?t=ozrkhs,https://app.dimensions.ai/details/publication/pub.1092186311,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
16,500,pub.1091246261,10.1021/acs.est.7b02862,28809480,,Rapid Life-Cycle Impact Screening Using Artificial Neural Networks.,Environmental Science & Technology,,Animals; Ecosystem; Environmental Pollutants; Global Warming; Humans; Neural Networks (Computer); Principal Component Analysis; Reproducibility of Results,2017-09-19,2017,51,18,10777-10785,"All OA; Green, Accepted & Submitted",Article,"Song, Runsheng; Keller, Arturo A; Suh, Sangwon",,"Song, Runsheng (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",3,3,0.37,2.48,https://escholarship.org/content/qt7tr8n61t/qt7tr8n61t.pdf?t=ow5xvq,https://app.dimensions.ai/details/publication/pub.1091246261,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
17,100,pub.1084226419,10.1139/er-2016-0109,,,Cause-effect analysis for sustainable development policy,Environmental Reviews,,,2017-09,2017,25,3,358-379,"All OA; Green, Accepted & Submitted",Article,"Cucurachi, Stefano; Suh, Sangwon",,"Cucurachi, Stefano (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",7,7,,6.69,https://tspace.library.utoronto.ca/bitstream/1807/78414/1/er-2016-0109.pdf,https://app.dimensions.ai/details/publication/pub.1084226419,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
18,100,pub.1084162175,10.1080/09535314.2017.1295923,,,The role of primary processing in the supply risks of critical metals,Economic Systems Research,,,2017-07-03,2017,29,3,1-22,All OA; Gold,Article,"Nansai, Keisuke; Nakajima, Kenichi; Suh, Sangwon; Kagawa, Shigemi; Kondo, Yasushi; Takayanagi, Wataru; Shigetomi, Yosuke",,"Nansai, Keisuke (National Institute for Environmental Studies); Nakajima, Kenichi (National Institute for Environmental Studies); Suh, Sangwon (University of California, Santa Barbara); Kagawa, Shigemi (Kyushu University); Kondo, Yasushi (Waseda University); Takayanagi, Wataru (National Institute for Environmental Studies); Shigetomi, Yosuke (Nagasaki University)",8,7,,5.41,https://www.tandfonline.com/doi/pdf/10.1080/09535314.2017.1295923?needAccess=true,https://app.dimensions.ai/details/publication/pub.1084162175,1499 Other Economics; 14 Economics,1499 Other Economics,14 Economics,,,
19,100,pub.1045659578,10.1007/s11367-016-1224-4,,,What distribution function do life cycle inventories follow?,The International Journal of Life Cycle Assessment,,,2017-07,2017,22,7,1138-1145,Closed,Article,"Qin, Yuwei; Suh, Sangwon","Suh, Sangwon","Qin, Yuwei (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",12,8,,4.34,,https://app.dimensions.ai/details/publication/pub.1045659578,09 Engineering; 12 Built Environment and Design; 0912 Materials Engineering; 1202 Building; 0907 Environmental Engineering,09 Engineering,12 Built Environment and Design,0912 Materials Engineering,1202 Building,0907 Environmental Engineering
20,500,pub.1085347723,10.1021/acs.est.6b05279,28443660,,Assessing the Risk of Engineered Nanomaterials in the Environment: Development and Application of the nanoFate Model.,Environmental Science & Technology,,Agriculture; Environment; Fresh Water; Geologic Sediments; Metal Nanoparticles; Nanostructures; Risk; San Francisco; Seawater; Soil,2017-05-16,2017,51,10,5541-5551,"All OA; Green, Accepted & Submitted",Article,"Garner, Kendra L; Suh, Sangwon; Keller, Arturo A",,"Garner, Kendra L (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",56,53,6.72,23.14,https://escholarship.org/content/qt6tj1k4m4/qt6tj1k4m4.pdf?t=or4hy8,https://app.dimensions.ai/details/publication/pub.1085347723,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
21,100,pub.1084031330,10.1007/s11367-017-1287-x,,,Pre-calculated LCIs with uncertainties revisited,The International Journal of Life Cycle Assessment,,,2017-05,2017,22,5,827-831,Closed,Article,"Suh, Sangwon; Qin, Yuwei","Suh, Sangwon","Suh, Sangwon (University of California, Santa Barbara); Qin, Yuwei (University of California, Santa Barbara)",4,4,,1.45,,https://app.dimensions.ai/details/publication/pub.1084031330,09 Engineering; 12 Built Environment and Design; 0912 Materials Engineering; 1202 Building; 0907 Environmental Engineering,09 Engineering,12 Built Environment and Design,0912 Materials Engineering,1202 Building,0907 Environmental Engineering
22,100,pub.1018937580,10.1080/09535314.2016.1266992,,,Identifying critical supply chain paths and key sectors for mitigating primary carbonaceous PM2.5 mortality in Asia,Economic Systems Research,,,2017-01-02,2017,29,1,1-19,Closed,Article,"Nagashima, Fumiya; Kagawa, Shigemi; Suh, Sangwon; Nansai, Keisuke; Moran, Daniel",,"Nagashima, Fumiya (Kyushu University); Kagawa, Shigemi (Kyushu University); Suh, Sangwon (University of California, Santa Barbara); Nansai, Keisuke (National Institute for Environmental Studies); Moran, Daniel (Norwegian University of Science and Technology)",19,17,,12.84,,https://app.dimensions.ai/details/publication/pub.1018937580,1499 Other Economics; 14 Economics,1499 Other Economics,14 Economics,,,
23,100,pub.1090369601,10.1039/c7en00251c,,,Modeling human health characterization factors for indoor nanomaterial emissions in life cycle assessment: a case-study of titanium dioxide,Environmental Science Nano,,,2017,2017,4,8,1705-1721,"All OA; Green, Published",Article,"Tsang, Michael P.; Li, Dingsheng; Garner, Kendra L.; Keller, Arturo A.; Suh, Sangwon; Sonnemann, Guido W.",,"Tsang, Michael P. (University of Bordeaux); Li, Dingsheng (University of California System); Garner, Kendra L. (University of California System); Keller, Arturo A. (University of California System); Suh, Sangwon (University of California System); Sonnemann, Guido W. (University of Bordeaux)",6,6,,3.34,https://escholarship.org/content/qt74x5j7vp/qt74x5j7vp.pdf?t=ouu1dv,https://app.dimensions.ai/details/publication/pub.1090369601,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
24,400,pub.1055089686,10.1021/acs.est.6b04270,27934267,,Stochastic Technology Choice Model for Consequential Life Cycle Assessment.,Environmental Science & Technology,,"Choice Behavior; Environment; Greenhouse Effect; Models, Theoretical; Technology; Uncertainty",2016-12-06,2016,50,23,12575-12583,All OA; Gold,Article,"Kätelhön, Arne; Bardow, André; Suh, Sangwon",,"Kätelhön, Arne (RWTH Aachen University); Bardow, André (RWTH Aachen University); Suh, Sangwon (University of California, Santa Barbara)",9,9,0.07,7.36,http://unfccc.int/resource/docs/2015/cop21/eng/l09r01.pdf,https://app.dimensions.ai/details/publication/pub.1055089686,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
25,200,pub.1090060082,10.18356/ff668b8e-en,,,Photovoltaic power,,Green Energy Choices,,2016-11-21,2016,,,306-355,Closed,Chapter,"Bergesen, Joseph; Suh, Sangwon",,"Bergesen, Joseph (); Suh, Sangwon ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1090060082,,,,,,
26,100,pub.1044545764,10.1007/s11367-013-0592-2,,,Interoperability between ecoinvent ver. 3 and US LCI database: a case study,The International Journal of Life Cycle Assessment,,,2016-09,2016,21,9,1290-1298,Closed,Article,"Suh, Sangwon; Leighton, Matthew; Tomar, Shivira; Chen, Christine","Suh, Sangwon","Suh, Sangwon (University of California, Santa Barbara); Leighton, Matthew (); Tomar, Shivira (); Chen, Christine ()",13,3,,3.47,,https://app.dimensions.ai/details/publication/pub.1044545764,09 Engineering; 12 Built Environment and Design; 0912 Materials Engineering; 1202 Building; 0907 Environmental Engineering,09 Engineering,12 Built Environment and Design,0912 Materials Engineering,1202 Building,0907 Environmental Engineering
27,100,pub.1023018145,10.3390/su8080778,,,Multi-Scale Governance of Sustainable Natural Resource Use—Challenges and Opportunities for Monitoring and Institutional Development at the National and Global Level,Sustainability,,,2016-08-09,2016,8,8,778,All OA; Gold,Article,"Bringezu, Stefan; Potočnik, Janez; Schandl, Heinz; Lu, Yonglong; Ramaswami, Anu; Swilling, Mark; Suh, Sangwon",,"Bringezu, Stefan (University of Kassel); Potočnik, Janez (); Schandl, Heinz (); Lu, Yonglong (); Ramaswami, Anu (); Swilling, Mark (); Suh, Sangwon ()",31,24,,,http://www.mdpi.com/2071-1050/8/8/778/pdf,https://app.dimensions.ai/details/publication/pub.1023018145,12 Built Environment and Design,12 Built Environment and Design,,,,
28,100,pub.1049227007,10.1007/s10669-016-9589-2,,,Challenges in assessing the environmental consequences of dietary changes,Environment Systems and Decisions,,,2016-06,2016,36,2,217-219,All OA; Gold,Article,"Cucurachi, Stefano; Yang, Yi; Bergesen, Joseph D.; Qin, Yuwei; Suh, Sangwon","Suh, Sangwon","Cucurachi, Stefano (University of California, Santa Barbara); Yang, Yi (University of California, Santa Barbara; SRA International (United States)); Bergesen, Joseph D. (University of California, Santa Barbara); Qin, Yuwei (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",7,4,,2.29,https://link.springer.com/content/pdf/10.1007%2Fs10669-016-9589-2.pdf,https://app.dimensions.ai/details/publication/pub.1049227007,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
29,100,pub.1011236433,10.1016/j.apenergy.2016.02.013,,,A framework for technological learning in the supply chain: A case study on CdTe photovoltaics,Applied Energy,,,2016-05,2016,169,Proc Natl Acad Sci 2014,721-728,All OA; Gold,Article,"Bergesen, Joseph D.; Suh, Sangwon","Suh, Sangwon","Bergesen, Joseph D. (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",8,6,,6.54,https://manuscript.elsevier.com/S0306261916301362/pdf/S0306261916301362.pdf,https://app.dimensions.ai/details/publication/pub.1011236433,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
30,100,pub.1035836193,10.1080/09535314.2016.1166099,,,The emission cost of international sourcing: using structural decomposition analysis to calculate the contribution of international sourcing to CO2-emission growth,Economic Systems Research,,,2016-04-02,2016,28,2,151-167,"All OA; Green, Published",Article,"Hoekstra, Rutger; Michel, Bernhard; Suh, Sangwon",,"Hoekstra, Rutger (); Michel, Bernhard (); Suh, Sangwon ()",34,21,,27.8,https://escholarship.org/content/qt4jr1029c/qt4jr1029c.pdf?t=pqrr3o,https://app.dimensions.ai/details/publication/pub.1035836193,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
31,200,pub.1035204801,10.1111/jiec.12435,,,Life Cycle Environmental and Natural Resource Implications of Energy Efficiency Technologies,Journal of Industrial Ecology,,,2016-04,2016,20,2,218-222,"All OA; Green, Published",Article,"Suh, Sangwon; Hertwich, Edgar; Hellweg, Stefanie; Kendall, Alissa",,"Suh, Sangwon (University of California, Santa Barbara; University of California, Davis); Hertwich, Edgar (University of California, Santa Barbara; University of California, Davis); Hellweg, Stefanie (University of California, Santa Barbara; University of California, Davis); Kendall, Alissa (University of California, Santa Barbara; University of California, Davis)",2,2,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12363,https://app.dimensions.ai/details/publication/pub.1035204801,,,,,,
32,100,pub.1011192201,10.1111/jiec.12342,,,Potential Long‐Term Global Environmental Implications of Efficient Light‐Source Technologies,Journal of Industrial Ecology,,,2016-04,2016,20,2,263-275,All OA; Gold,Article,"Bergesen, Joseph D.; Tähkämö, Leena; Gibon, Thomas; Suh, Sangwon",,"Bergesen, Joseph D. (Aalto University; Norwegian University of Science and Technology); Tähkämö, Leena (Aalto University; Norwegian University of Science and Technology); Gibon, Thomas (Aalto University; Norwegian University of Science and Technology); Suh, Sangwon (Aalto University; Norwegian University of Science and Technology)",17,7,,5.13,https://doi.org/10.1111/jiec.12342,https://app.dimensions.ai/details/publication/pub.1011192201,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
33,100,pub.1017088888,10.1016/j.gloenvcha.2015.04.003,,,CO2 emission clusters within global supply chain networks: Implications for climate change mitigation,Global Environmental Change,,,2015-11,2015,35,Proc. Natl. Acad. Sci. U.S.A. 107 2010,486-496,Closed,Article,"Kagawa, Shigemi; Suh, Sangwon; Hubacek, Klaus; Wiedmann, Thomas; Nansai, Keisuke; Minx, Jan","Kagawa, Shigemi","Kagawa, Shigemi (Kyushu University); Suh, Sangwon (University of California, Santa Barbara); Hubacek, Klaus (University of Maryland, College Park); Wiedmann, Thomas (); Nansai, Keisuke (National Institute for Environmental Studies); Minx, Jan (Potsdam Institute for Climate Impact Research)",47,28,,22.92,,https://app.dimensions.ai/details/publication/pub.1017088888,"1503 Business and Management; 15 Commerce, Management, Tourism and Services",1503 Business and Management,"15 Commerce, Management, Tourism and Services",,,
34,400,pub.1055087707,10.1021/acs.est.5b01558,26308384,,"A Methodology for Integrated, Multiregional Life Cycle Assessment Scenarios under Large-Scale Technological Change.",Environmental Science & Technology,,"Climate Change; Electricity; Models, Theoretical; Technology",2015-09-15,2015,49,18,11218-26,"All OA; Green, Accepted & Submitted",Article,"Gibon, Thomas; Wood, Richard; Arvesen, Anders; Bergesen, Joseph D; Suh, Sangwon; Hertwich, Edgar G",,"Gibon, Thomas (Norwegian University of Science and Technology); Wood, Richard (Norwegian University of Science and Technology); Arvesen, Anders (Norwegian University of Science and Technology); Bergesen, Joseph D (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Hertwich, Edgar G (Norwegian University of Science and Technology)",54,36,0.35,13.26,https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/11250/2465017/2/Gibon_THEMIS_no_com_rev2_for_Cristin.pdf,https://app.dimensions.ai/details/publication/pub.1055087707,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
